run_key,events,pedestal_median_adc,pedestal_iqr_adc,noise_sigma_adc,common_mode_sigma_adc,pulse_q50_adc,pulse_q95_adc,pulse_q99_adc,pedestal_B2_adc,noise_B2_adc,pedestal_B4_adc,noise_B4_adc,pedestal_B6_adc,noise_B6_adc,pedestal_B8_adc,noise_B8_adc
44,4294,6922.5,104.5,5.9304,343.063232421875,25.5,4789.125,8021.125,6755.5,7.412999999999999,7018.0,4.4478,6929.5,5.1891,6906.5,8.1543
45,48181,6923.5,104.0,5.9304,342.7188415527344,26.5,5357.425000000003,8570.5,6757.5,7.412999999999999,7018.0,5.1891,6930.0,5.1891,6906.5,8.1543
46,1441,6920.0,100.0,5.9304,200.12237548828125,24.5,4968.774999999994,8404.22,6752.5,7.412999999999999,7017.5,4.4478,6929.0,4.4478,6906.0,8.1543
47,10970,6919.5,101.0,5.9304,207.3133087158203,24.5,5321.549999999996,8552.0,6752.0,6.6716999999999995,7017.0,4.4478,6929.5,4.4478,6905.5,8.1543
48,31713,6923.0,104.5,5.9304,325.14813232421875,26.0,4233.449999999997,7753.235000000008,6757.0,7.412999999999999,7019.0,4.4478,6930.5,5.1891,6906.0,8.1543
49,32354,6923.5,105.5,5.9304,330.5580749511719,26.0,4399.75,7832.925000000003,6757.5,8.1543,7019.5,5.1891,6931.0,5.1891,6905.5,8.1543
50,44804,6921.0,108.0,5.9304,220.20420837402344,29.5,8253.0,9177.425000000003,6754.0,7.412999999999999,7024.0,4.4478,6934.5,5.1891,6903.5,8.8956
51,20569,6922.5,108.0,5.9304,251.15463256835938,28.5,8006.125,9089.625,6756.0,7.412999999999999,7023.5,4.4478,6935.0,5.1891,6904.0,8.8956
52,10005,6923.0,108.0,5.9304,251.23951721191406,29.0,8004.5,9089.309999999998,6756.0,7.412999999999999,7023.5,4.4478,6935.0,5.1891,6904.0,8.8956
53,39612,6922.0,108.5,5.9304,227.2111053466797,30.0,7721.5,8735.0,6754.5,7.412999999999999,7024.0,4.4478,6935.5,5.1891,6904.5,8.8956
54,37413,6922.0,108.625,5.9304,211.675048828125,30.0,7724.224999999991,8743.244999999995,6755.0,7.412999999999999,7024.0,4.4478,6936.0,5.1891,6904.5,8.8956
55,24416,6923.0,112.0,5.9304,261.57379150390625,29.0,7880.5,9006.684999999998,6750.5,7.412999999999999,7020.5,4.4478,6931.5,5.1891,6906.5,8.8956
56,51823,6924.0,112.5,5.9304,226.65309143066406,30.5,8202.0,9160.0,6750.5,7.412999999999999,7022.0,4.4478,6933.0,5.1891,6908.0,9.636899999999999
57,31284,6928.0,112.5,5.9304,326.6368408203125,27.5,4201.5,7656.974999999991,6751.5,8.1543,7023.0,5.1891,6933.5,5.1891,6909.5,8.8956
58,34141,6924.0,112.5,5.9304,155.89376831054688,27.0,4484.0,7191.369999999995,6746.0,7.412999999999999,7022.0,4.4478,6933.0,4.4478,6909.0,7.412999999999999
59,42303,6926.5,116.5,6.6716999999999995,272.4618835449219,28.0,3341.2249999999913,5742.944999999992,6760.5,8.1543,7024.5,5.1891,6938.0,5.1891,6904.5,8.1543
60,36074,6922.5,115.0,6.6716999999999995,308.0544738769531,28.0,3389.0,5397.524999999994,6746.5,8.1543,7020.0,5.1891,6928.0,5.1891,6905.5,8.1543
61,36535,6921.5,114.0,6.6716999999999995,302.09765625,28.5,3402.5,5397.304999999993,6747.0,8.1543,7021.5,5.1891,6926.0,5.1891,6907.0,8.1543
62,37584,6924.0,112.5,6.6716999999999995,283.9753112792969,29.0,3352.625,5464.824999999997,6744.0,8.1543,7021.0,5.1891,6929.0,5.1891,6908.5,8.1543
63,37030,6922.0,120.5,5.9304,240.63929748535156,28.0,3540.0,6694.809999999998,6746.0,8.1543,7028.0,5.1891,6929.0,5.1891,6907.0,8.1543
64,35943,6914.0,108.0,5.9304,210.4746551513672,27.0,3153.5,6071.870000000024,6743.0,8.1543,7012.0,5.1891,6917.0,5.1891,6904.5,8.1543
65,38424,6919.5,114.0,5.9304,181.88526916503906,26.5,2632.625,5496.5749999999825,6743.5,8.1543,7017.5,5.1891,6924.5,5.1891,6905.5,8.1543
