method,heldout_run,real_label_ap,real_label_auc,pileup_miss_rate,false_split_rate,accepted_secondary_fraction,timing_tail_rate_abs_gt_15ns,energy_bias_median,energy_bias_sigma68,stave_pid_proxy_drift_span,reviewer_disagreement_rate
gradient_boosted_trees,48,0.3522678546458081,0.4811692969870875,1.0,0.08823529411764706,0.05504587155963303,0.0,-0.11345774962902326,0.038952886082055965,0.0,0.5321100917431193
gradient_boosted_trees,49,0.33007904564924817,0.4098793363499246,0.9743589743589743,0.08823529411764706,0.06542056074766354,0.0,-0.10527305919356059,0.04169051826893412,0.0,0.5607476635514018
gradient_boosted_trees,56,0.25759565392219,0.4398148148148149,1.0,0.011111111111111112,0.007936507936507936,0.0,-0.09710248898406801,0.03907421024537856,0.008,0.42857142857142855
gradient_boosted_trees,57,0.3572239485703734,0.5356409040619566,1.0,0.02702702702702703,0.017857142857142856,0.3333333333333333,-0.07949809373727032,0.08278006325442086,0.02459016393442623,0.4642857142857143
gradient_boosted_trees,64,0.18016522010083602,0.38166666666666665,1.0,0.0,0.0,,0.009163281246312494,0.10969269935831054,0.0,0.16129032258064516
gradient_boosted_trees,65,0.27456914498355567,0.35075493612078984,1.0,0.0,0.0,,0.023551862862448543,0.10939511447424825,0.0,0.1774193548387097
mlp,42,0.39804685625119063,0.8173758865248227,1.0,0.0,0.0,,10001.273222535963,18800.33916236582,0.0,0.1694915254237288
mlp,44,0.5530696617553305,0.20987654320987653,1.0,0.1111111111111111,0.037037037037037035,0.0,0.808704654880129,0.41275237786069274,0.0,0.9629629629629629
mlp,45,0.2842318944756081,0.4412788857233302,1.0,0.0,0.0,,0.833130346740031,0.5036791981897547,0.0,0.45
mlp,48,0.28110281767781076,0.3055954088952654,1.0,0.058823529411764705,0.03669724770642202,0.25,0.8076643679499588,0.4324830373647411,0.0,0.5321100917431193
mlp,49,0.29522951582331164,0.3646304675716441,1.0,0.014705882352941176,0.009345794392523364,0.0,0.8616562360250309,0.4722596840621613,0.0,0.5607476635514018
mlp,56,0.23764840679886529,0.3453703703703703,1.0,0.0,0.0,,0.7857666903054374,0.5751663548012605,0.0,0.42857142857142855
mlp,57,0.329970155383511,0.5365892207997471,1.0,0.018018018018018018,0.011904761904761904,0.0,1.0254730458834367,8361.492108730517,0.01639344262295082,0.4642857142857143
mlp,64,0.3696362235093063,0.7616666666666667,1.0,0.0,0.0,,5.5427531248373345,11270.524953984943,0.0,0.16129032258064516
mlp,65,0.5614710781157992,0.8141695702671312,1.0,0.0,0.0,,7010.12026520582,14246.641140464082,0.0,0.1774193548387097
ridge,42,0.2790731758847701,0.6808510638297872,0.9166666666666666,0.2553191489361702,0.22033898305084745,0.7692307692307693,2496.302530813064,4694.501882261309,0.3333333333333333,0.1694915254237288
ridge,44,0.6204910747649788,0.2716049382716049,0.8333333333333334,0.4444444444444444,0.25925925925925924,0.14285714285714285,-0.2756404982820919,0.1645645350671297,0.0,0.9629629629629629
ridge,45,0.33611426791054666,0.44666033554922446,0.7692307692307693,0.48148148148148145,0.4,0.020833333333333332,-0.2561829572817031,0.24292225834006623,0.0,0.45
ridge,48,0.27204022547352513,0.2829985652797705,0.7073170731707317,0.6029411764705882,0.48623853211009177,0.11320754716981132,-0.24326222220652996,0.2399234778991559,0.0,0.5321100917431193
ridge,49,0.3523101326789742,0.3834841628959276,0.6923076923076923,0.5441176470588235,0.45794392523364486,0.08163265306122448,-0.2569288827747407,0.22865473806343184,0.0,0.5607476635514018
ridge,56,0.2524698177607703,0.3780864197530864,0.7777777777777778,0.4777777777777778,0.40476190476190477,0.058823529411764705,-0.23440904517187738,0.24342123889275832,0.408,0.42857142857142855
ridge,57,0.3009927258412691,0.4626205152520942,0.7719298245614035,0.43243243243243246,0.3630952380952381,0.5555555555555556,-0.13323702630907694,2087.857149589752,0.35480093676814983,0.4642857142857143
ridge,64,0.21373502040139492,0.56,0.8333333333333334,0.4,0.3548387096774194,0.7727272727272727,1.0661585937483808,2813.5185749387006,0.1517857142857143,0.16129032258064516
ridge,65,0.4979788403074694,0.7607433217189314,0.8095238095238095,0.21951219512195122,0.20967741935483872,0.6153846153846154,1749.8980119765906,3556.864294691997,0.19999999999999998,0.1774193548387097
template_residual_boosted_stack_new,42,0.1286594703526534,0.1152482269503546,1.0,0.0,0.0,,0.04814653816661463,0.12011560201154375,0.0,0.1694915254237288
template_residual_boosted_stack_new,44,0.5168252734276089,0.16666666666666669,1.0,0.2222222222222222,0.07407407407407407,0.0,-0.13407150051958594,0.02767064700113707,0.0,0.9629629629629629
template_residual_boosted_stack_new,45,0.35300040964010926,0.5542893320671098,0.9743589743589743,0.08641975308641975,0.06666666666666667,0.25,-0.12878550374556536,0.0432067288885592,0.0,0.45
template_residual_boosted_stack_new,48,0.32352350158312404,0.4205523672883788,1.0,0.14705882352941177,0.09174311926605505,0.1,-0.12322030696858621,0.04062797328705272,0.0,0.5321100917431193
template_residual_boosted_stack_new,49,0.3018134254810431,0.38838612368024134,0.9743589743589743,0.11764705882352941,0.08411214953271028,0.0,-0.12161263770680568,0.03719094560465681,0.0,0.5607476635514018
template_residual_boosted_stack_new,56,0.23471821363407896,0.3717592592592593,1.0,0.044444444444444446,0.031746031746031744,0.0,-0.12765486504795898,0.04873765439733002,0.032,0.42857142857142855
template_residual_boosted_stack_new,57,0.36486294547825304,0.5207839418365734,0.9824561403508771,0.036036036036036036,0.02976190476190476,0.4,-0.09475821185197199,0.08887723844052911,0.040983606557377046,0.4642857142857143
template_residual_boosted_stack_new,64,0.22053815646928415,0.31416666666666665,1.0,0.0,0.0,,0.005986563204743258,0.108689434045219,0.0,0.16129032258064516
template_residual_boosted_stack_new,65,0.26167855857686645,0.321718931475029,1.0,0.0,0.0,,0.016972882342815323,0.11273008400476295,0.0,0.1774193548387097
tiny_sequence_transformer,42,0.40765084874991997,0.7943262411347518,1.0,0.0,0.0,,-0.06256844848394394,0.1311261282861233,0.0,0.1694915254237288
tiny_sequence_transformer,44,0.589239174885628,0.19753086419753088,0.9444444444444444,0.0,0.037037037037037035,0.0,-0.1734536960721016,0.05748121753334999,0.0,0.9629629629629629
tiny_sequence_transformer,45,0.264364429231414,0.4039252928141817,1.0,0.08641975308641975,0.058333333333333334,0.42857142857142855,-0.16413159668445587,0.06823819547891617,0.0,0.45
tiny_sequence_transformer,48,0.2649917414160088,0.26076040172166426,1.0,0.17647058823529413,0.11009174311926606,0.16666666666666666,-0.15556494146585464,0.0643816377222538,0.0,0.5321100917431193
tiny_sequence_transformer,49,0.3440074064689283,0.4170437405731523,0.9230769230769231,0.07352941176470588,0.07476635514018691,0.0,-0.1619453951716423,0.06386836275458335,0.0,0.5607476635514018
tiny_sequence_transformer,56,0.24431728599691294,0.3845679012345679,0.9444444444444444,0.05555555555555555,0.05555555555555555,0.14285714285714285,-0.1960197500884533,0.06692850217223167,0.056,0.42857142857142855
tiny_sequence_transformer,57,0.3337566826995067,0.5116168800379326,0.9824561403508771,0.04504504504504504,0.03571428571428571,0.3333333333333333,-0.1510056033730507,0.10022103935480117,0.0625,0.4642857142857143
tiny_sequence_transformer,64,0.3613138181368543,0.72,1.0,0.0,0.0,,-0.07541707530617714,0.0857375793159008,0.0,0.16129032258064516
tiny_sequence_transformer,65,0.5569853459527241,0.6968641114982578,1.0,0.0,0.0,,-0.0655868649482727,0.09441426515579222,0.0,0.1774193548387097
traditional_template_cfd,42,0.269774011299435,0.5124113475177305,0.9166666666666666,0.0,0.01694915254237288,1.0,-1.0,0.0,0.06666666666666667,0.1694915254237288
traditional_template_cfd,44,0.781303110469777,0.7222222222222222,0.8333333333333334,0.1111111111111111,0.14814814814814814,0.0,-1.0,0.391099792497838,0.0,0.9629629629629629
traditional_template_cfd,45,0.26979850165724883,0.30800886356441914,1.0,0.32098765432098764,0.21666666666666667,0.0,-1.0,0.4300719513507286,0.0,0.45
traditional_template_cfd,48,0.3206514166436723,0.3672883787661406,0.926829268292683,0.36764705882352944,0.25688073394495414,0.0,-1.0,0.4585386561536535,0.0,0.5321100917431193
traditional_template_cfd,49,0.3445245489449811,0.4600301659125189,0.7948717948717948,0.22058823529411764,0.21495327102803738,0.0,-1.0,0.43272762035767254,0.0,0.5607476635514018
traditional_template_cfd,56,0.2709707255116617,0.5128086419753086,0.6111111111111112,0.3888888888888889,0.3888888888888889,0.0,-0.3481136251429787,0.44583723283672233,0.392,0.42857142857142855
traditional_template_cfd,57,0.31291936517616814,0.45716769400979923,0.9298245614035088,0.1981981981981982,0.15476190476190477,0.0,-1.0,0.3913686073263876,0.20491803278688525,0.4642857142857143
traditional_template_cfd,64,0.20519713261648742,0.5108333333333334,1.0,0.0,0.0,,-1.0,0.0,0.0,0.16129032258064516
traditional_template_cfd,65,0.4862665496306049,0.6184668989547037,0.8571428571428571,0.0,0.04838709677419355,0.3333333333333333,-1.0,0.0,0.2,0.1774193548387097
