method,delay_samples,scale_bin,n,n_injected,roc_auc,average_precision,fixed_95_clean_rejection,real_minus_shuffled_auc,frontier_pass,fit_delay_bias_samples,fit_delay_rms_samples,fit_failure_rate
fit-output logistic calibration,2,mid,76,38,0.7042936288088641,0.7592584634148688,0.3684210526315789,0.24099722991689737,False,1.3125,2.091650066335189,0.1578947368421053
fit-output logistic calibration,3,high,92,46,0.697069943289225,0.6991174670130833,0.32608695652173914,0.23487712665406435,False,0.3157894736842105,1.3377121081198773,0.17391304347826086
fit-output logistic calibration,3,low,94,47,0.5448166591217746,0.6008003960511278,0.1702127659574468,0.046401086464463503,False,1.3142857142857143,2.138089935299395,0.25531914893617025
fit-output logistic calibration,3,mid,90,45,0.6012345679012345,0.6636011832936554,0.24444444444444444,0.0846913580246913,False,0.8571428571428571,1.6903085094570331,0.2222222222222222
fit-output logistic calibration,4,high,74,37,0.685536888239591,0.6943152770472083,0.24324324324324326,0.26880934989043104,False,0.3333333333333333,1.1902380714238083,0.3513513513513513
fit-output logistic calibration,4,low,68,34,0.6440311418685121,0.614938727822618,0.17647058823529413,0.11288927335640131,False,-0.10714285714285714,1.3228756555322954,0.17647058823529416
fit-output logistic calibration,4,mid,66,33,0.6905417814508724,0.74966298652212,0.3333333333333333,0.21946740128558317,False,0.17391304347826086,1.285369173834303,0.303030303030303
fit-output logistic calibration,5,high,82,41,0.802498512790006,0.8284888318981845,0.5121951219512195,0.3325401546698394,False,0.03225806451612903,0.7405316311773545,0.24390243902439024
fit-output logistic calibration,5,low,78,39,0.5134779750164365,0.5095310683348371,0.05128205128205128,-0.038132807363576604,False,-0.4583333333333333,1.5138251770487459,0.3846153846153846
fit-output logistic calibration,5,mid,72,36,0.7353395061728396,0.7874136666533373,0.4166666666666667,0.2608024691358026,False,-0.3548387096774194,1.2572371141874243,0.13888888888888884
fit-output logistic calibration,6,high,88,44,0.7941632231404959,0.8044030229951691,0.38636363636363635,0.41399793388429756,False,-0.95,1.70293863659264,0.09090909090909094
fit-output logistic calibration,6,low,74,37,0.6183345507669832,0.6438660012224233,0.16216216216216217,0.14864864864864857,False,-0.3181818181818182,0.9293203772845852,0.4054054054054054
