stave,bin,amp_low_adc,amp_high_adc,n_train,source,heldout_run
B4,7,15000.0,25000.0,0,train_stave_fallback,61
B6,0,1000.0,1500.0,161,train_bin,61
B6,1,1500.0,2200.0,876,train_bin,61
B6,2,2200.0,3200.0,1647,train_bin,61
B6,3,3200.0,4700.0,197,train_bin,61
B6,4,4700.0,6800.0,5,train_stave_fallback,61
B6,5,6800.0,10000.0,1,train_stave_fallback,61
B6,6,10000.0,15000.0,0,train_stave_fallback,61
B6,7,15000.0,25000.0,0,train_stave_fallback,61
B8,0,1000.0,1500.0,77,train_bin,61
B8,1,1500.0,2200.0,244,train_bin,61
B8,2,2200.0,3200.0,964,train_bin,61
B8,3,3200.0,4700.0,1247,train_bin,61
B8,4,4700.0,6800.0,344,train_bin,61
B8,5,6800.0,10000.0,11,train_stave_fallback,61
B8,6,10000.0,15000.0,0,train_stave_fallback,61
B8,7,15000.0,25000.0,0,train_stave_fallback,61
B4,0,1000.0,1500.0,270,train_bin,62
B4,1,1500.0,2200.0,910,train_bin,62
B4,2,2200.0,3200.0,1707,train_bin,62
B4,3,3200.0,4700.0,109,train_bin,62
B4,4,4700.0,6800.0,17,train_stave_fallback,62
B4,5,6800.0,10000.0,0,train_stave_fallback,62
B4,6,10000.0,15000.0,0,train_stave_fallback,62
B4,7,15000.0,25000.0,0,train_stave_fallback,62
B6,0,1000.0,1500.0,150,train_bin,62
B6,1,1500.0,2200.0,859,train_bin,62
B6,2,2200.0,3200.0,1748,train_bin,62
B6,3,3200.0,4700.0,252,train_bin,62
B6,4,4700.0,6800.0,4,train_stave_fallback,62
B6,5,6800.0,10000.0,0,train_stave_fallback,62
B6,6,10000.0,15000.0,0,train_stave_fallback,62
B6,7,15000.0,25000.0,0,train_stave_fallback,62
B8,0,1000.0,1500.0,72,train_bin,62
B8,1,1500.0,2200.0,236,train_bin,62
B8,2,2200.0,3200.0,1002,train_bin,62
B8,3,3200.0,4700.0,1305,train_bin,62
B8,4,4700.0,6800.0,388,train_bin,62
B8,5,6800.0,10000.0,10,train_stave_fallback,62
B8,6,10000.0,15000.0,0,train_stave_fallback,62
B8,7,15000.0,25000.0,0,train_stave_fallback,62
B4,0,1000.0,1500.0,294,train_bin,63
B4,1,1500.0,2200.0,1025,train_bin,63
B4,2,2200.0,3200.0,1994,train_bin,63
B4,3,3200.0,4700.0,117,train_bin,63
B4,4,4700.0,6800.0,19,train_stave_fallback,63
B4,5,6800.0,10000.0,1,train_stave_fallback,63
B4,6,10000.0,15000.0,0,train_stave_fallback,63
B4,7,15000.0,25000.0,0,train_stave_fallback,63
B6,0,1000.0,1500.0,156,train_bin,63
B6,1,1500.0,2200.0,958,train_bin,63
B6,2,2200.0,3200.0,2046,train_bin,63
B6,3,3200.0,4700.0,283,train_bin,63
B6,4,4700.0,6800.0,6,train_stave_fallback,63
B6,5,6800.0,10000.0,1,train_stave_fallback,63
B6,6,10000.0,15000.0,0,train_stave_fallback,63
B6,7,15000.0,25000.0,0,train_stave_fallback,63
B8,0,1000.0,1500.0,82,train_bin,63
B8,1,1500.0,2200.0,275,train_bin,63
B8,2,2200.0,3200.0,1135,train_bin,63
B8,3,3200.0,4700.0,1504,train_bin,63
B8,4,4700.0,6800.0,444,train_bin,63
B8,5,6800.0,10000.0,10,train_stave_fallback,63
B8,6,10000.0,15000.0,0,train_stave_fallback,63
B8,7,15000.0,25000.0,0,train_stave_fallback,63
B4,0,1000.0,1500.0,335,train_bin,65
B4,1,1500.0,2200.0,1140,train_bin,65
B4,2,2200.0,3200.0,2133,train_bin,65
B4,3,3200.0,4700.0,125,train_bin,65
B4,4,4700.0,6800.0,20,train_stave_fallback,65
B4,5,6800.0,10000.0,1,train_stave_fallback,65
B4,6,10000.0,15000.0,0,train_stave_fallback,65
B4,7,15000.0,25000.0,0,train_stave_fallback,65
B6,0,1000.0,1500.0,181,train_bin,65
B6,1,1500.0,2200.0,1077,train_bin,65
B6,2,2200.0,3200.0,2202,train_bin,65
B6,3,3200.0,4700.0,287,train_bin,65
B6,4,4700.0,6800.0,6,train_stave_fallback,65
B6,5,6800.0,10000.0,1,train_stave_fallback,65
B6,6,10000.0,15000.0,0,train_stave_fallback,65
B6,7,15000.0,25000.0,0,train_stave_fallback,65
B8,0,1000.0,1500.0,89,train_bin,65
B8,1,1500.0,2200.0,296,train_bin,65
B8,2,2200.0,3200.0,1250,train_bin,65
B8,3,3200.0,4700.0,1635,train_bin,65
B8,4,4700.0,6800.0,472,train_bin,65
B8,5,6800.0,10000.0,12,train_stave_fallback,65
B8,6,10000.0,15000.0,0,train_stave_fallback,65
B8,7,15000.0,25000.0,0,train_stave_fallback,65
