run,entries,selected_b_stave_pulses,selected_events,quiet_proxy_events,selected_event_fraction,quiet_event_fraction,event_max_q05_adc,event_max_median_adc,event_max_q95_adc,pre_mean_adc,pre_std_adc
34,39765,34118,33500,5143,0.8424493901672325,0.12933484219791275,37.5,6513.5,8780.399999999998,6923.751037344398,125.48193763359738
35,27786,11667,11141,12953,0.40095731663427625,0.4661700136759519,21.0,117.5,7033.0,6990.244727560642,233.65306044410855
36,21764,10391,9930,9022,0.45625804080132326,0.41453776879250137,22.5,458.25,8129.424999999999,7000.772652086013,250.96177173313728
37,50513,24537,23174,20095,0.4587729891315107,0.397818383386455,23.0,515.0,8154.699999999997,7023.381292934492,282.3754503791103
39,30321,14218,13329,12368,0.4395963193826061,0.4079021140463705,24.0,368.5,7750.5,7029.330826819696,292.37113304310543
40,32613,14708,13763,13568,0.4220096280624291,0.4160304173182473,24.5,271.5,7329.199999999999,7026.982614294913,282.0099346886211
41,33997,16146,15140,13605,0.4453334117716269,0.4001823690325617,25.5,412.5,7839.699999999997,7027.251816336736,284.37162102538457
42,33972,18112,17132,12000,0.5042976568939126,0.35323207347227126,26.5,1070.25,8596.5,7024.178970917226,278.7370923113152
43,13,5,5,6,0.38461538461538464,0.46153846153846156,23.6,155.5,3467.1999999999985,7043.985576923077,328.892578125
44,4294,2038,1912,1737,0.4452724732184443,0.40451793199813696,24.5,366.75,7747.25,7027.011644154634,282.55251513740103
45,48181,24333,23013,17934,0.47763641269380047,0.37222141508063344,26.0,724.5,8363.0,7029.179801166435,287.5893090637388
46,1441,687,677,608,0.46981263011797364,0.4219292158223456,25.5,484.5,8074.5,6952.897987508674,175.75946608258155
47,10970,5276,5161,4596,0.470464904284412,0.41896080218778486,24.5,517.5,8327.099999999999,6952.284412032816,172.72584320875114
48,31713,14000,13185,13452,0.4157600983823668,0.4241793586226469,25.0,236.5,7389.5,7019.387885094441,271.9115977674771
49,32354,14815,13937,13274,0.43076590220683686,0.41027384558323543,24.5,314.5,7506.5,7022.977066205106,276.85624652284105
50,44804,35217,34257,8013,0.7645969109900902,0.1788456387822516,35.5,6556.5,9097.925,6955.951790018748,161.47865703955003
51,20569,14740,14295,4654,0.6949778793329768,0.22626282269434586,32.0,5733.0,8993.3,6974.3874762992855,193.16663425543294
52,10005,7152,6933,2299,0.6929535232383808,0.22978510744627687,33.0,5775.0,8990.0,6974.670264867566,194.47256371814092
53,39612,32200,31386,6245,0.79233565586186,0.15765424618802384,37.5,6256.5,8634.0,6957.066747450268,161.68486822175097
54,37413,30440,29665,5900,0.792906209071713,0.15769919546681635,37.0,6272.5,8646.5,6952.043835030604,154.80951474086547
55,24416,17387,16841,5631,0.689752621231979,0.23062745740498033,32.0,5626.5,8912.5,6976.214285714285,197.17525393184798
56,51823,40148,38932,9680,0.7512494452270227,0.1867896493834784,35.5,6416.5,9076.0,6960.445516469521,168.2389865503734
57,31284,13833,12939,13122,0.4135980053701573,0.4194476409666283,26.0,228.0,7278.774999999998,7022.027106508119,274.5084627924818
58,34141,16781,15920,14486,0.4663015143083097,0.42429922966521194,26.0,427.0,6930.5,6928.326059576462,125.17613353446004
59,42303,21377,13863,22021,0.32770725480462376,0.5205540978181217,24.0,75.0,5361.950000000001,6984.583599271919,201.8076732146656
60,36074,17029,10140,20189,0.2810888728724289,0.5596551532960027,23.5,68.5,5091.174999999999,6982.81709818706,197.0428771414315
61,36535,18965,11287,19690,0.3089366361023676,0.5389352675516628,24.0,71.5,5101.5,6983.386670316135,196.36785274394416
62,37584,19089,11912,19637,0.316943380161771,0.5224829714772243,25.0,75.0,5127.424999999999,6979.913154533844,198.0756172839506
63,37030,18817,14781,17292,0.39916284093977855,0.46697272481771535,25.0,93.5,6282.0,6966.527032136106,192.89064947339995
64,35943,14630,12103,18649,0.3367275964721921,0.5188492891522689,24.5,75.0,5654.650000000005,6946.741229168406,169.6489719834182
65,38424,13038,11904,20517,0.3098063710181137,0.5339631480324797,24.5,73.0,5164.599999999991,6939.233395794296,156.63661383510305
