cell,negative_rows,positive_rows,matched_pairs
31|0|1|0|0|0|1|1|2|3|2,1,0,0
31|0|1|0|0|0|1|1|3|0|0,36,0,0
31|0|1|0|0|0|1|1|3|0|1,12,0,0
31|0|1|0|0|0|1|1|3|0|2,1,0,0
31|0|1|0|0|0|1|1|3|0|5,5,0,0
31|0|1|0|0|0|1|1|3|1|0,78,0,0
31|0|1|0|0|0|1|1|3|1|1,218,0,0
31|0|1|0|0|0|1|1|3|1|2,31,0,0
31|0|1|0|0|0|1|1|3|1|3,4,0,0
31|0|1|0|0|0|1|1|3|1|4,1,0,0
31|0|1|0|0|0|1|1|3|2|0,5,0,0
31|0|1|0|0|0|1|1|3|2|1,38,0,0
31|0|1|0|0|0|1|1|3|2|2,18,0,0
31|0|1|0|0|0|1|1|3|2|3,4,0,0
31|0|1|0|0|0|1|1|3|2|4,4,0,0
31|0|1|0|0|0|1|1|3|3|0,1,0,0
31|0|1|0|0|0|1|1|3|3|1,3,0,0
31|0|1|0|0|0|1|1|4|0|0,52,0,0
31|0|1|0|0|0|1|1|4|0|1,5,0,0
31|0|1|0|0|0|1|1|4|0|5,6,0,0
31|0|1|0|0|0|1|1|4|1|0,113,0,0
31|0|1|0|0|0|1|1|4|1|1,243,0,0
31|0|1|0|0|0|1|1|4|1|2,42,0,0
31|0|1|0|0|0|1|1|4|1|3,5,0,0
31|0|1|0|0|0|1|1|4|1|4,1,0,0
31|0|1|0|0|0|1|1|4|2|0,5,0,0
31|0|1|0|0|0|1|1|4|2|1,48,0,0
31|0|1|0|0|0|1|1|4|2|2,21,0,0
31|0|1|0|0|0|1|1|4|2|3,8,0,0
31|0|1|0|0|0|1|1|4|2|4,7,0,0
31|0|1|0|0|0|1|1|4|2|5,1,0,0
31|0|1|0|0|0|1|1|4|3|1,3,0,0
31|0|1|0|0|0|1|1|4|3|2,3,0,0
31|0|1|0|0|0|1|1|4|3|3,1,0,0
31|0|1|0|0|0|1|1|4|4|1,1,0,0
31|0|1|0|0|0|1|1|5|0|0,44,0,0
31|0|1|0|0|0|1|1|5|0|1,3,0,0
31|0|1|0|0|0|1|1|5|0|5,4,0,0
31|0|1|0|0|0|1|1|5|1|0,80,0,0
31|0|1|0|0|0|1|1|5|1|1,192,0,0
31|0|1|0|0|0|1|1|5|1|2,33,0,0
31|0|1|0|0|0|1|1|5|1|3,5,0,0
31|0|1|0|0|0|1|1|5|1|4,1,0,0
31|0|1|0|0|0|1|1|5|1|5,2,0,0
31|0|1|0|0|0|1|1|5|2|0,5,0,0
31|0|1|0|0|0|1|1|5|2|1,45,0,0
31|0|1|0|0|0|1|1|5|2|2,17,0,0
31|0|1|0|0|0|1|1|5|2|3,5,0,0
31|0|1|0|0|0|1|1|5|2|4,3,0,0
31|0|1|0|0|0|1|1|5|3|0,1,0,0
31|0|1|0|0|0|1|1|5|3|1,3,0,0
31|0|1|0|0|0|1|1|5|3|2,3,0,0
31|0|1|0|0|0|1|1|5|3|3,1,0,0
31|0|1|0|0|0|2|1|0|0|0,1,0,0
31|0|1|0|0|0|2|1|0|0|5,1,0,0
31|0|1|0|0|0|2|1|0|1|0,3,0,0
31|0|1|0|0|0|2|1|0|2|0,1,0,0
31|0|1|0|0|0|2|1|0|2|1,21,0,0
31|0|1|0|0|0|2|1|0|2|4,7,0,0
31|0|1|0|0|0|2|1|0|2|5,6,0,0
31|0|1|0|0|0|2|1|0|3|0,4,0,0
31|0|1|0|0|0|2|1|0|3|1,42,0,0
31|0|1|0|0|0|2|1|0|3|2,23,0,0
31|0|1|0|0|0|2|1|0|3|3,5,0,0
31|0|1|0|0|0|2|1|0|3|4,3,0,0
31|0|1|0|0|0|2|1|0|4|1,4,0,0
31|0|1|0|0|0|2|1|0|4|5,1,0,0
31|0|1|0|0|0|2|1|1|0|0,1,0,0
31|0|1|0|0|0|2|1|1|0|5,1,0,0
31|0|1|0|0|0|2|1|1|1|0,3,0,0
31|0|1|0|0|0|2|1|1|2|0,6,0,0
