method,n,positives,roc_auc,auc_ci_low,auc_ci_high,average_precision,role,family
traditional_scalar__peak_sample,9745,2038,0.8478604834344419,0.817158548986453,0.8681458546846367,0.7366467860276403,traditional_scalar,traditional_scalar
traditional_scalar__tail_14_17_over_total,9745,2038,0.8391223939899913,0.8115075375825153,0.8641007106974812,0.7754557771819584,traditional_scalar,charge_comparison_psd
traditional_scalar__final_sample,9745,2038,0.833985373020945,0.8064002818530128,0.860572932828756,0.7786373506073636,traditional_scalar,traditional_scalar
traditional_scalar__haar_l1_d01,9745,2038,0.813754698104638,0.7744909233902095,0.8480316428470037,0.6531485874444822,traditional_scalar,wavelet_haar
traditional_scalar__matched_template_nominal_chi2,9745,2038,0.8044284582296685,0.7584230576568238,0.8502865946123207,0.6403403122795132,traditional_scalar,matched_filter_template_chi2
traditional_scalar__haar_l1_d00,9745,2038,0.7996933952323779,0.7409559524713168,0.8397251393808867,0.7889268662676652,traditional_scalar,wavelet_haar
traditional_scalar__rise_10_50,9745,2038,0.7951937388400716,0.7554842726152149,0.823685587150844,0.6590987824357919,traditional_scalar,rise_time_width
traditional_scalar__haar_l1_d02,9745,2038,0.7841739720705582,0.7623783420172965,0.8007969476013637,0.6659416850208972,traditional_scalar,wavelet_haar
traditional_scalar__max_fall_step,9745,2038,0.7629143203997539,0.7362501504619741,0.7830346434696162,0.5543083941468208,traditional_scalar,zero_crossing_derivative
traditional_scalar__haar_l0_d02,9745,2038,0.7565742905045475,0.7227302870788468,0.7832053303599102,0.656552528529072,traditional_scalar,wavelet_haar
traditional_scalar__haar_l0_d01,9745,2038,0.7537179281977704,0.7038622966919688,0.7925302613523272,0.7442372717322957,traditional_scalar,wavelet_haar
traditional_scalar__le_ratio_s4_s7,9745,2038,0.7529604569110094,0.6965093424545904,0.8001452963069332,0.48596983028901364,traditional_scalar,constant_fraction_shape_ratios
traditional_scalar__haar_l0_d05,9745,2038,0.7467143668253107,0.7206119542371521,0.7725669849125372,0.5961755061297056,traditional_scalar,wavelet_haar
traditional_scalar__haar_l0_d04,9745,2038,0.7343325524009692,0.7279226016224672,0.7409420217431738,0.5108679534018078,traditional_scalar,wavelet_haar
traditional_scalar__haar_l2_d00,9745,2038,0.7260558217024325,0.6744950289140921,0.764503890259638,0.49099666103941625,traditional_scalar,wavelet_haar
traditional_scalar__haar_l0_d00,9745,2038,0.7252284128482411,0.6783495491463848,0.7630137976853708,0.6659538723753399,traditional_scalar,wavelet_haar
traditional_scalar__rise_20_80,9745,2038,0.7209743496888558,0.6907226840731558,0.7479664528406061,0.5377190005034624,traditional_scalar,rise_time_width
traditional_scalar__haar_l2_d01,9745,2038,0.7207863109037794,0.7013483963390372,0.740065407668221,0.563923500812531,traditional_scalar,wavelet_haar
traditional_scalar__haar_l0_d03,9745,2038,0.7182591040122199,0.6648632412037541,0.7652143929071922,0.4272283458081142,traditional_scalar,wavelet_haar
traditional_scalar__le_ratio_s5_s7,9745,2038,0.7140114393285077,0.6365375408853262,0.7731255292521754,0.37775818220667057,traditional_scalar,constant_fraction_shape_ratios
NN_1d_cnn,9745,2038,0.7098805070343123,0.6888850798897866,0.7331728322879052,0.5822323695766589,ml_panel,
traditional_scalar__zero_crossings_derivative,9745,2038,0.7067592924011703,0.6908856484667136,0.7221633843804709,0.36784565641409783,traditional_scalar,zero_crossing_derivative
traditional_scalar__max_rise_step,9745,2038,0.6865746483098538,0.6421581769327088,0.7292471899649916,0.5035639672131128,traditional_scalar,zero_crossing_derivative
traditional_scalar__area_over_peak,9745,2038,0.6731848352179233,0.6471680561152847,0.7070885897645669,0.5064437812209461,traditional_scalar,traditional_scalar
traditional_scalar__cf_ratio_s6_s8,9745,2038,0.6705354842907554,0.5978891349274666,0.7354264648311862,0.3544882617286277,traditional_scalar,constant_fraction_shape_ratios
traditional_scalar__middle_5_9_over_total,9745,2038,0.6523414664644112,0.6194807436057673,0.6802549122135634,0.3927853193854428,traditional_scalar,charge_comparison_psd
traditional_scalar__positive_area,9745,2038,0.620420967492815,0.5948571055168476,0.6514964153960544,0.3074867858305352,traditional_scalar,traditional_scalar
traditional_scalar__width50,9745,2038,0.6182330071447736,0.5979555330262571,0.6460679433253461,0.2830315100473085,traditional_scalar,rise_time_width
traditional_scalar__width20,9745,2038,0.6179045520602264,0.5899190489716307,0.6496816348787215,0.28743519642937365,traditional_scalar,rise_time_width
traditional_scalar__time_skewness,9745,2038,0.5917742915741435,0.5635345064487792,0.6219978020920952,0.36094382850378925,traditional_scalar,mean_time_moments
traditional_scalar__time_variance,9745,2038,0.5867781007363277,0.5664125767216535,0.6082256229417167,0.33081905565930514,traditional_scalar,mean_time_moments
traditional_scalar__fft_k1_fraction,9745,2038,0.560976836499401,0.5230215158476659,0.6077518311206149,0.2263546410444738,traditional_scalar,frequency_domain_fft
traditional_scalar__fft_high_over_low,9745,2038,0.5527355361661582,0.5368400357675919,0.5655123121296882,0.29963198379182443,traditional_scalar,frequency_domain_fft
traditional_scalar__time_kurtosis,9745,2038,0.5361883140786965,0.510704746320076,0.5575075144245198,0.27188134827247434,traditional_scalar,mean_time_moments
traditional_scalar__haar_l0_d06,9745,2038,0.5009193113381116,0.456320060051582,0.5450115985953319,0.25737732411308434,traditional_scalar,wavelet_haar
traditional_scalar__fft_k2_fraction,9745,2038,0.4651108948150446,0.43470545671299843,0.5003289702490379,0.18692719528536517,traditional_scalar,frequency_domain_fft
traditional_scalar__haar_l1_d03,9745,2038,0.44365620105245696,0.3855418437221782,0.5031273556536833,0.23958893863638903,traditional_scalar,wavelet_haar
traditional_scalar__haar_l0_d07,9745,2038,0.44002718301665017,0.3838026746651381,0.4985444808481204,0.23069766105778683,traditional_scalar,wavelet_haar
