alpha,fold,sigma68_ns,n_pair_residuals,heldout_run,selector
100.0,2,2.215686987309575,5523,63,dynamic_range
100.0,-1,2.25624578535368,0,63,dynamic_range
0.01,0,2.4319796982828956,3495,65,dynamic_range
0.01,1,2.4228581316267785,4188,65,dynamic_range
0.01,2,2.235193836820265,5523,65,dynamic_range
0.01,-1,2.3633438889099794,0,65,dynamic_range
0.1,0,2.4027390238414053,3495,65,dynamic_range
0.1,1,2.3613511204741275,4188,65,dynamic_range
0.1,2,2.2443560787044876,5523,65,dynamic_range
0.1,-1,2.336148741006674,0,65,dynamic_range
1.0,0,2.3311232206707504,3495,65,dynamic_range
1.0,1,2.296981672673977,4188,65,dynamic_range
1.0,2,2.2479646409777594,5523,65,dynamic_range
1.0,-1,2.292023178107496,0,65,dynamic_range
10.0,0,2.300085887145145,3495,65,dynamic_range
10.0,1,2.258756373379109,4188,65,dynamic_range
10.0,2,2.2500020023227854,5523,65,dynamic_range
10.0,-1,2.269614754282346,0,65,dynamic_range
100.0,0,2.297206267835261,3495,65,dynamic_range
100.0,1,2.233910355979563,4188,65,dynamic_range
100.0,2,2.229600445806846,5523,65,dynamic_range
100.0,-1,2.2535723565405568,0,65,dynamic_range
