stave,calibration_offset_adc,method,heldout_run
B8,-9.0,traditional_quietish_calibrated_median,39
B2,-16.893667373844437,ml_ipw_quiet_probability,39
B4,-17.26613724227809,ml_ipw_quiet_probability,39
B6,-14.262226315114276,ml_ipw_quiet_probability,39
B8,-13.578067801821817,ml_ipw_quiet_probability,39
B2,-17.5,traditional_quietest_calibrated_median,40
B4,-17.5,traditional_quietest_calibrated_median,40
B6,-14.5,traditional_quietest_calibrated_median,40
B8,-14.5,traditional_quietest_calibrated_median,40
B2,-11.5,traditional_quietish_calibrated_median,40
B4,-11.0,traditional_quietish_calibrated_median,40
B6,-7.5,traditional_quietish_calibrated_median,40
B8,-9.0,traditional_quietish_calibrated_median,40
B2,-16.895892930197988,ml_ipw_quiet_probability,40
B4,-17.123698489513117,ml_ipw_quiet_probability,40
B6,-14.220574734051297,ml_ipw_quiet_probability,40
B8,-13.943582975854042,ml_ipw_quiet_probability,40
B2,-17.5,traditional_quietest_calibrated_median,41
B4,-17.5,traditional_quietest_calibrated_median,41
B6,-14.5,traditional_quietest_calibrated_median,41
B8,-14.0,traditional_quietest_calibrated_median,41
B2,-11.5,traditional_quietish_calibrated_median,41
B4,-11.0,traditional_quietish_calibrated_median,41
B6,-7.5,traditional_quietish_calibrated_median,41
B8,-8.5,traditional_quietish_calibrated_median,41
B2,-17.037724990746028,ml_ipw_quiet_probability,41
B4,-17.082827113740677,ml_ipw_quiet_probability,41
B6,-14.228413283369264,ml_ipw_quiet_probability,41
B8,-13.429907346252094,ml_ipw_quiet_probability,41
B2,-17.5,traditional_quietest_calibrated_median,42
B4,-17.5,traditional_quietest_calibrated_median,42
B6,-14.5,traditional_quietest_calibrated_median,42
B8,-14.0,traditional_quietest_calibrated_median,42
B2,-11.5,traditional_quietish_calibrated_median,42
B4,-11.0,traditional_quietish_calibrated_median,42
B6,-7.5,traditional_quietish_calibrated_median,42
B8,-9.0,traditional_quietish_calibrated_median,42
B2,-16.980122107060197,ml_ipw_quiet_probability,42
B4,-17.095446592377357,ml_ipw_quiet_probability,42
B6,-14.219151894169954,ml_ipw_quiet_probability,42
B8,-13.696987480471762,ml_ipw_quiet_probability,42
B2,-17.5,traditional_quietest_calibrated_median,44
B4,-17.5,traditional_quietest_calibrated_median,44
B6,-14.5,traditional_quietest_calibrated_median,44
B8,-14.0,traditional_quietest_calibrated_median,44
B2,-11.5,traditional_quietish_calibrated_median,44
B4,-11.0,traditional_quietish_calibrated_median,44
B6,-7.5,traditional_quietish_calibrated_median,44
B8,-9.0,traditional_quietish_calibrated_median,44
B2,-17.08392883295346,ml_ipw_quiet_probability,44
B4,-17.186295388737562,ml_ipw_quiet_probability,44
B6,-14.225205428512709,ml_ipw_quiet_probability,44
B8,-13.772931741623779,ml_ipw_quiet_probability,44
B2,-17.5,traditional_quietest_calibrated_median,45
B4,-17.0,traditional_quietest_calibrated_median,45
B6,-14.5,traditional_quietest_calibrated_median,45
B8,-14.0,traditional_quietest_calibrated_median,45
B2,-11.5,traditional_quietish_calibrated_median,45
B4,-11.0,traditional_quietish_calibrated_median,45
B6,-7.5,traditional_quietish_calibrated_median,45
B8,-8.637499999999818,traditional_quietish_calibrated_median,45
B2,-16.89589293015615,ml_ipw_quiet_probability,45
B4,-16.995106550012224,ml_ipw_quiet_probability,45
B6,-14.21915189424817,ml_ipw_quiet_probability,45
B8,-13.449880163042963,ml_ipw_quiet_probability,45
B2,-17.5,traditional_quietest_calibrated_median,46
B4,-17.5,traditional_quietest_calibrated_median,46
B6,-14.5,traditional_quietest_calibrated_median,46
B8,-14.0,traditional_quietest_calibrated_median,46
B2,-11.5,traditional_quietish_calibrated_median,46
B4,-11.0,traditional_quietish_calibrated_median,46
B6,-7.5,traditional_quietish_calibrated_median,46
B8,-9.0,traditional_quietish_calibrated_median,46
B2,-17.13780076504463,ml_ipw_quiet_probability,46
B4,-17.109740163298284,ml_ipw_quiet_probability,46
B6,-14.21915189396077,ml_ipw_quiet_probability,46
B8,-13.637527641088127,ml_ipw_quiet_probability,46
B2,-17.5,traditional_quietest_calibrated_median,47
B4,-17.5,traditional_quietest_calibrated_median,47
B6,-14.5,traditional_quietest_calibrated_median,47
B8,-14.274999999999636,traditional_quietest_calibrated_median,47
B2,-11.527500000000146,traditional_quietish_calibrated_median,47
B4,-11.0,traditional_quietish_calibrated_median,47
B6,-7.5,traditional_quietish_calibrated_median,47
B8,-9.0,traditional_quietish_calibrated_median,47
B2,-17.25738084212753,ml_ipw_quiet_probability,47
B4,-17.2610439207092,ml_ipw_quiet_probability,47
B6,-14.219151894171773,ml_ipw_quiet_probability,47
B8,-13.876274197965358,ml_ipw_quiet_probability,47
B2,-17.5,traditional_quietest_calibrated_median,48
B4,-17.5,traditional_quietest_calibrated_median,48
B6,-14.5,traditional_quietest_calibrated_median,48
B8,-14.387499999999818,traditional_quietest_calibrated_median,48
B2,-11.5,traditional_quietish_calibrated_median,48
B4,-11.0,traditional_quietish_calibrated_median,48
B6,-7.5,traditional_quietish_calibrated_median,48
B8,-9.0,traditional_quietish_calibrated_median,48
B2,-16.980122107031093,ml_ipw_quiet_probability,48
B4,-17.08282711353604,ml_ipw_quiet_probability,48
B6,-14.219151894019888,ml_ipw_quiet_probability,48
B8,-13.909928586806473,ml_ipw_quiet_probability,48
B2,-17.5,traditional_quietest_calibrated_median,49
B4,-17.5,traditional_quietest_calibrated_median,49
B6,-14.5,traditional_quietest_calibrated_median,49
B8,-14.0,traditional_quietest_calibrated_median,49
B2,-11.5,traditional_quietish_calibrated_median,49
B4,-11.0,traditional_quietish_calibrated_median,49
B6,-7.5,traditional_quietish_calibrated_median,49
B8,-9.0,traditional_quietish_calibrated_median,49
B2,-16.893667373771677,ml_ipw_quiet_probability,49
B4,-17.095111346951853,ml_ipw_quiet_probability,49
B6,-14.262226315086082,ml_ipw_quiet_probability,49
B8,-13.772931741627417,ml_ipw_quiet_probability,49
B2,-17.5,traditional_quietest_calibrated_median,50
B4,-17.5,traditional_quietest_calibrated_median,50
B6,-14.5,traditional_quietest_calibrated_median,50
B8,-14.5,traditional_quietest_calibrated_median,50
B2,-11.5,traditional_quietish_calibrated_median,50
B4,-11.0,traditional_quietish_calibrated_median,50
B6,-7.5,traditional_quietish_calibrated_median,50
B8,-9.5,traditional_quietish_calibrated_median,50
B2,-17.17251425770155,ml_ipw_quiet_probability,50
B4,-17.261043920606426,ml_ipw_quiet_probability,50
B6,-14.262226314992404,ml_ipw_quiet_probability,50
B8,-14.033055488442642,ml_ipw_quiet_probability,50
B2,-17.5,traditional_quietest_calibrated_median,51
B4,-17.5,traditional_quietest_calibrated_median,51
B6,-14.5,traditional_quietest_calibrated_median,51
B8,-14.274999999999636,traditional_quietest_calibrated_median,51
B2,-11.5,traditional_quietish_calibrated_median,51
B4,-11.0,traditional_quietish_calibrated_median,51
B6,-7.5,traditional_quietish_calibrated_median,51
B8,-9.0,traditional_quietish_calibrated_median,51
B2,-17.055224990713214,ml_ipw_quiet_probability,51
B4,-17.1268284402272,ml_ipw_quiet_probability,51
B6,-14.219151894253628,ml_ipw_quiet_probability,51
B8,-13.876274198007195,ml_ipw_quiet_probability,51
B2,-17.5,traditional_quietest_calibrated_median,52
B4,-17.5,traditional_quietest_calibrated_median,52
B6,-14.5,traditional_quietest_calibrated_median,52
B8,-14.0,traditional_quietest_calibrated_median,52
B2,-11.5,traditional_quietish_calibrated_median,52
B4,-11.0,traditional_quietish_calibrated_median,52
B6,-7.5,traditional_quietish_calibrated_median,52
B8,-9.0,traditional_quietish_calibrated_median,52
B2,-17.0862053692299,ml_ipw_quiet_probability,52
B4,-17.12369848950675,ml_ipw_quiet_probability,52
B6,-14.221997574152738,ml_ipw_quiet_probability,52
B8,-13.772931741624689,ml_ipw_quiet_probability,52
B2,-17.5,traditional_quietest_calibrated_median,53
B4,-17.5,traditional_quietest_calibrated_median,53
B6,-14.5,traditional_quietest_calibrated_median,53
B8,-14.75,traditional_quietest_calibrated_median,53
B2,-11.5,traditional_quietish_calibrated_median,53
B4,-11.0,traditional_quietish_calibrated_median,53
B6,-7.5,traditional_quietish_calibrated_median,53
B8,-9.5,traditional_quietish_calibrated_median,53
B2,-17.08620536906983,ml_ipw_quiet_probability,53
B4,-17.13958808641246,ml_ipw_quiet_probability,53
B6,-14.105671799008178,ml_ipw_quiet_probability,53
B8,-14.104590846711744,ml_ipw_quiet_probability,53
B2,-17.5,traditional_quietest_calibrated_median,54
B4,-17.215000000000146,traditional_quietest_calibrated_median,54
B6,-14.5,traditional_quietest_calibrated_median,54
B8,-15.0,traditional_quietest_calibrated_median,54
B2,-11.5,traditional_quietish_calibrated_median,54
B4,-11.0,traditional_quietish_calibrated_median,54
B6,-7.5,traditional_quietish_calibrated_median,54
B8,-9.5,traditional_quietish_calibrated_median,54
B2,-17.055224990726856,ml_ipw_quiet_probability,54
B4,-17.006998763977208,ml_ipw_quiet_probability,54
B6,-14.219151894079914,ml_ipw_quiet_probability,54
B8,-14.175102344313927,ml_ipw_quiet_probability,54
B2,-17.5,traditional_quietest_calibrated_median,55
B4,-17.5,traditional_quietest_calibrated_median,55
B6,-14.5,traditional_quietest_calibrated_median,55
B8,-14.0,traditional_quietest_calibrated_median,55
B2,-11.5,traditional_quietish_calibrated_median,55
B4,-11.0,traditional_quietish_calibrated_median,55
B6,-7.5,traditional_quietish_calibrated_median,55
B8,-9.0,traditional_quietish_calibrated_median,55
B2,-16.980122107050192,ml_ipw_quiet_probability,55
B4,-17.129958390845786,ml_ipw_quiet_probability,55
B6,-14.2191518942127,ml_ipw_quiet_probability,55
B8,-13.696987480467214,ml_ipw_quiet_probability,55
B2,-17.5,traditional_quietest_calibrated_median,56
B4,-17.5,traditional_quietest_calibrated_median,56
B6,-14.5,traditional_quietest_calibrated_median,56
B8,-14.0,traditional_quietest_calibrated_median,56
B2,-11.5,traditional_quietish_calibrated_median,56
B4,-11.0,traditional_quietish_calibrated_median,56
B6,-7.5,traditional_quietish_calibrated_median,56
B8,-9.0,traditional_quietish_calibrated_median,56
B2,-17.172514257697912,ml_ipw_quiet_probability,56
B4,-17.280557983876406,ml_ipw_quiet_probability,56
B6,-14.262226314992404,ml_ipw_quiet_probability,56
B8,-13.637527641154065,ml_ipw_quiet_probability,56
B2,-17.5,traditional_quietest_calibrated_median,57
B4,-17.426249999999982,traditional_quietest_calibrated_median,57
B6,-14.5,traditional_quietest_calibrated_median,57
B8,-14.0,traditional_quietest_calibrated_median,57
B2,-11.5,traditional_quietish_calibrated_median,57
B4,-11.0,traditional_quietish_calibrated_median,57
B6,-7.5,traditional_quietish_calibrated_median,57
B8,-9.0,traditional_quietish_calibrated_median,57
B2,-17.035597872753897,ml_ipw_quiet_probability,57
B4,-17.00699876440831,ml_ipw_quiet_probability,57
B6,-14.25454470162731,ml_ipw_quiet_probability,57
B8,-13.696987480465395,ml_ipw_quiet_probability,57
B2,-18.0,traditional_quietest_calibrated_median,58
B4,-17.471250000000055,traditional_quietest_calibrated_median,58
B6,-14.5,traditional_quietest_calibrated_median,58
B8,-14.387499999999818,traditional_quietest_calibrated_median,58
B2,-12.0,traditional_quietish_calibrated_median,58
B4,-11.0,traditional_quietish_calibrated_median,58
B6,-7.5,traditional_quietish_calibrated_median,58
B8,-9.0,traditional_quietish_calibrated_median,58
B2,-17.593146272462945,ml_ipw_quiet_probability,58
B4,-17.014718147473104,ml_ipw_quiet_probability,58
B6,-14.26222631512428,ml_ipw_quiet_probability,58
B8,-13.909928586775095,ml_ipw_quiet_probability,58
B2,-17.5,traditional_quietest_calibrated_median,59
B4,-17.0,traditional_quietest_calibrated_median,59
B6,-14.0,traditional_quietest_calibrated_median,59
B8,-14.0,traditional_quietest_calibrated_median,59
B2,-11.5,traditional_quietish_calibrated_median,59
B4,-11.0,traditional_quietish_calibrated_median,59
B6,-7.5,traditional_quietish_calibrated_median,59
B8,-9.0,traditional_quietish_calibrated_median,59
B2,-17.055224990727766,ml_ipw_quiet_probability,59
B4,-16.947939261770443,ml_ipw_quiet_probability,59
B6,-13.85424390407752,ml_ipw_quiet_probability,59
B8,-13.578067801443467,ml_ipw_quiet_probability,59
B2,-17.5,traditional_quietest_calibrated_median,60
B4,-17.0,traditional_quietest_calibrated_median,60
B6,-14.0,traditional_quietest_calibrated_median,60
B8,-13.5,traditional_quietest_calibrated_median,60
B2,-11.5,traditional_quietish_calibrated_median,60
B4,-10.5,traditional_quietish_calibrated_median,60
B6,-7.0,traditional_quietish_calibrated_median,60
B8,-8.0,traditional_quietish_calibrated_median,60
B2,-17.083928831807498,ml_ipw_quiet_probability,60
B4,-16.777606931770606,ml_ipw_quiet_probability,60
B6,-13.683624211146707,ml_ipw_quiet_probability,60
B8,-12.716758164864586,ml_ipw_quiet_probability,60
B2,-17.5,traditional_quietest_calibrated_median,61
B4,-17.0,traditional_quietest_calibrated_median,61
B6,-14.175000000000182,traditional_quietest_calibrated_median,61
B8,-13.5,traditional_quietest_calibrated_median,61
B2,-11.5,traditional_quietish_calibrated_median,61
B4,-10.5,traditional_quietish_calibrated_median,61
B6,-7.0,traditional_quietish_calibrated_median,61
B8,-8.25,traditional_quietish_calibrated_median,61
B2,-17.09314627306594,ml_ipw_quiet_probability,61
B4,-16.902574396999626,ml_ipw_quiet_probability,61
B6,-13.969144758274979,ml_ipw_quiet_probability,61
B8,-12.893272108191468,ml_ipw_quiet_probability,61
B2,-17.5,traditional_quietest_calibrated_median,62
B4,-17.0,traditional_quietest_calibrated_median,62
B6,-14.458749999999782,traditional_quietest_calibrated_median,62
B8,-13.5,traditional_quietest_calibrated_median,62
B2,-11.5,traditional_quietish_calibrated_median,62
B4,-10.5,traditional_quietish_calibrated_median,62
B6,-7.0,traditional_quietish_calibrated_median,62
B8,-8.5,traditional_quietish_calibrated_median,62
B2,-17.086205369418167,ml_ipw_quiet_probability,62
B4,-16.783509034233248,ml_ipw_quiet_probability,62
B6,-13.95128297096926,ml_ipw_quiet_probability,62
B8,-12.931547618234617,ml_ipw_quiet_probability,62
B2,-17.5,traditional_quietest_calibrated_median,63
B4,-17.5,traditional_quietest_calibrated_median,63
B6,-14.5,traditional_quietest_calibrated_median,63
B8,-14.387499999999818,traditional_quietest_calibrated_median,63
B2,-11.513750000000073,traditional_quietish_calibrated_median,63
B4,-11.0,traditional_quietish_calibrated_median,63
B6,-7.5,traditional_quietish_calibrated_median,63
B8,-9.0,traditional_quietish_calibrated_median,63
B2,-17.257380842063867,ml_ipw_quiet_probability,63
B4,-17.095781836909737,ml_ipw_quiet_probability,63
B6,-14.012749383524351,ml_ipw_quiet_probability,63
B8,-13.909928586781007,ml_ipw_quiet_probability,63
B2,-17.5,traditional_quietest_calibrated_median,64
B4,-17.0,traditional_quietest_calibrated_median,64
B6,-14.5,traditional_quietest_calibrated_median,64
B8,-14.0,traditional_quietest_calibrated_median,64
B2,-11.5,traditional_quietish_calibrated_median,64
B4,-10.5,traditional_quietish_calibrated_median,64
B6,-7.5,traditional_quietish_calibrated_median,64
B8,-9.0,traditional_quietish_calibrated_median,64
B2,-17.21579593512797,ml_ipw_quiet_probability,64
B4,-16.99094476297705,ml_ipw_quiet_probability,64
B6,-14.219151894222705,ml_ipw_quiet_probability,64
B8,-13.578067801927318,ml_ipw_quiet_probability,64
B2,-17.5,traditional_quietest_calibrated_median,65
B4,-17.5,traditional_quietest_calibrated_median,65
B6,-14.5,traditional_quietest_calibrated_median,65
B8,-14.0,traditional_quietest_calibrated_median,65
B2,-12.0,traditional_quietish_calibrated_median,65
B4,-11.0,traditional_quietish_calibrated_median,65
B6,-7.5,traditional_quietish_calibrated_median,65
B8,-9.0,traditional_quietish_calibrated_median,65
B2,-17.335616623002807,ml_ipw_quiet_probability,65
B4,-17.082827113570602,ml_ipw_quiet_probability,65
B6,-14.219151894028073,ml_ipw_quiet_probability,65
B8,-13.696987480461758,ml_ipw_quiet_probability,65
