method,slice,value,n_events,boundary_disagreement_rate,disagreement_error_rate,agreement_error_rate,traditional_auc,method_auc,method_minus_traditional_auc,traditional_boundary_margin_median,method_boundary_margin_median
gradient_boosted_trees,energy_bin,energy_mid,153,0.16339869281045752,0.2,0.1015625,0.8045267489711934,0.9350137174211247,0.13048696844993135,0.2171483543872692,0.45805712358914275
gradient_boosted_trees,timing_bin,time_early,148,0.05405405405405406,0.5,0.014285714285714285,0.9931972789115646,0.9727891156462585,-0.020408163265306145,0.25388310079216037,0.4857562392422346
gradient_boosted_trees,timing_bin,time_late,168,0.32142857142857145,0.2037037037037037,0.18421052631578946,0.2964678633468442,0.6826867400115807,0.3862188766647365,0.20842893781312805,0.37825670784016063
gradient_boosted_trees,timing_bin,time_mid,164,0.22560975609756098,0.35135135135135137,0.28346456692913385,0.5965069413345274,0.806090461262875,0.20958351992834756,0.2507816618289646,0.4048300434255333
gradient_boosted_trees,pileup_bin,pileup,240,0.175,0.2857142857142857,0.17676767676767677,0.7469963191888326,0.8823529411764707,0.1353566219876381,0.23260166785684722,0.4285484276828321
gradient_boosted_trees,pileup_bin,single,240,0.2375,0.2807017543859649,0.13114754098360656,0.752297410192147,0.9314954051796157,0.1791979949874687,0.23832008142507585,0.43806841298243376
gradient_boosted_trees,saturation_bin,saturated,179,0.16759776536312848,0.3,0.12080536912751678,0.816591704147926,0.9270364817591206,0.11044477761119453,0.23288578061699317,0.4498761322735758
gradient_boosted_trees,saturation_bin,unsaturated,301,0.2292358803986711,0.2753623188405797,0.17672413793103448,0.7193517046458223,0.8898162868751104,0.17046458222928806,0.2512535142889733,0.41937183042333004
gradient_boosted_trees,pedestal_bin,pedestal_high,118,0.2033898305084746,0.20833333333333334,0.1702127659574468,0.7329282407407407,0.9131944444444444,0.18026620370370372,0.22961571859149338,0.448720469671255
gradient_boosted_trees,pedestal_bin,pedestal_low,181,0.13812154696132597,0.28,0.1794871794871795,0.731345115365734,0.8814432989690721,0.15009818360333815,0.2437243547093878,0.4326074233837728
gradient_boosted_trees,pedestal_bin,pedestal_mid,181,0.27624309392265195,0.32,0.11450381679389313,0.7895189003436426,0.9300441826215022,0.14052528227785965,0.23434886577748149,0.41971465931869123
gradient_boosted_trees,stave,B2,132,0.26515151515151514,0.34285714285714286,0.12371134020618557,0.824059108750866,0.9244978065111984,0.10043869776033243,0.2496490265632928,0.4392781708305164
gradient_boosted_trees,stave,B4,108,0.35185185185185186,0.18421052631578946,0.15714285714285714,0.7387798036465638,0.896914446002805,0.1581346423562412,0.2559765045342778,0.416809418773824
gradient_boosted_trees,stave,B6,121,0.08264462809917356,0.2,0.2072072072072072,0.7095628415300547,0.8795081967213114,0.16994535519125675,0.23852427628974832,0.43815581475994136
gradient_boosted_trees,stave,B8,119,0.13445378151260504,0.4375,0.1262135922330097,0.8223306544202067,0.9207807118254879,0.09845005740528123,0.1911242995929009,0.43321699747234355
joint_sequence_transformer,overall,all,480,0.39791666666666664,0.7801047120418848,0.3044982698961938,0.7503256621797656,0.5112462006079027,-0.23907946157186288,0.23762145327451525,0.07766205072402957
joint_sequence_transformer,source_run,58,96,0.4166666666666667,0.725,0.19642857142857142,0.7917228969860549,0.5290148448043185,-0.26270805218173643,0.22142017046799076,0.08135633170604709
joint_sequence_transformer,source_run,60,96,0.4583333333333333,0.8181818181818182,0.3269230769230769,0.7178819444444445,0.4878472222222222,-0.23003472222222232,0.2759893523629617,0.07312174141407016
joint_sequence_transformer,source_run,62,96,0.3958333333333333,0.7368421052631579,0.3620689655172414,0.7416413373860182,0.5419018671298307,-0.19973947025618755,0.22831831438936884,0.0816626846790314
joint_sequence_transformer,source_run,64,96,0.40625,0.8205128205128205,0.40350877192982454,0.7094356261022927,0.4369488536155203,-0.2724867724867724,0.22136812530975128,0.07627563178539279
joint_sequence_transformer,source_run,65,96,0.3125,0.8,0.24242424242424243,0.7734204793028323,0.5838779956427016,-0.1895424836601307,0.2279732113814674,0.0763463228940964
joint_sequence_transformer,pid_name,deuteron,235,0.5617021276595745,0.9696969696969697,0.7572815533980582,,,,0.22028133116420467,0.07393324375152588
joint_sequence_transformer,pid_name,proton,245,0.24081632653061225,0.3559322033898305,0.053763440860215055,,,,0.2557724945056249,0.08212372660636902
joint_sequence_transformer,energy_bin,energy_high,158,0.5253164556962026,0.6987951807228916,0.25333333333333335,0.7312810646143979,0.536475869809203,-0.19480519480519487,0.24089378947281537,0.07852038741111761
joint_sequence_transformer,energy_bin,energy_low,169,0.2485207100591716,0.8333333333333334,0.36220472440944884,0.7148972602739725,0.4657534246575342,-0.24914383561643827,0.272434666175993,0.07715857028961182
joint_sequence_transformer,energy_bin,energy_mid,153,0.43137254901960786,0.8484848484848485,0.26436781609195403,0.8045267489711934,0.5456104252400549,-0.2589163237311385,0.2171483543872692,0.0770857036113739
joint_sequence_transformer,timing_bin,time_early,148,0.12162162162162163,0.7777777777777778,0.015384615384615385,0.9931972789115646,0.9727891156462585,-0.020408163265306145,0.25388310079216037,0.08204635977745059
joint_sequence_transformer,timing_bin,time_late,168,0.5476190476190477,0.9021739130434783,0.7236842105263158,0.2964678633468442,0.2999420961204401,0.0034742327735958756,0.20842893781312805,0.07223804295063024
joint_sequence_transformer,timing_bin,time_mid,164,0.49390243902439024,0.6419753086419753,0.37349397590361444,0.5965069413345274,0.5014181221077773,-0.09508881922675017,0.2507816618289646,0.08239051699638367
joint_sequence_transformer,pileup_bin,pileup,240,0.42083333333333334,0.7722772277227723,0.302158273381295,0.7469963191888326,0.5035071879991666,-0.24348913118966597,0.23260166785684722,0.06796848773956302
joint_sequence_transformer,pileup_bin,single,240,0.375,0.7888888888888889,0.30666666666666664,0.752297410192147,0.5025062656641603,-0.24979114452798667,0.23832008142507585,0.09485496580600739
joint_sequence_transformer,saturation_bin,saturated,179,0.45251396648044695,0.7777777777777778,0.21428571428571427,0.816591704147926,0.532608695652174,-0.2839830084957521,0.23288578061699317,0.07184791564941412
joint_sequence_transformer,saturation_bin,unsaturated,301,0.3654485049833887,0.7818181818181819,0.3507853403141361,0.7193517046458223,0.4954071718777601,-0.2239445327680622,0.2512535142889733,0.08139315247535711
joint_sequence_transformer,pedestal_bin,pedestal_high,118,0.3559322033898305,0.6904761904761905,0.2894736842105263,0.7329282407407407,0.5972222222222222,-0.1357060185185185,0.22961571859149338,0.06342825293540955
joint_sequence_transformer,pedestal_bin,pedestal_low,181,0.4198895027624309,0.8157894736842105,0.3047619047619048,0.731345115365734,0.42574864997545414,-0.30559646539027985,0.2437243547093878,0.08121022582054138
joint_sequence_transformer,pedestal_bin,pedestal_mid,181,0.40331491712707185,0.7945205479452054,0.3148148148148148,0.7895189003436426,0.5832106038291606,-0.20630829651448201,0.23434886577748149,0.09649074077606201
joint_sequence_transformer,stave,B2,132,0.3409090909090909,0.8,0.2988505747126437,0.824059108750866,0.5400600323250981,-0.2839990764257678,0.2496490265632928,0.08148524165153506
joint_sequence_transformer,stave,B4,108,0.3148148148148148,0.7647058823529411,0.4594594594594595,0.7387798036465638,0.5035063113604489,-0.23527349228611494,0.2559765045342778,0.0796077698469162
joint_sequence_transformer,stave,B6,121,0.4793388429752066,0.7068965517241379,0.2222222222222222,0.7095628415300547,0.5592896174863388,-0.1502732240437159,0.23852427628974832,0.07816553115844732
joint_sequence_transformer,stave,B8,119,0.453781512605042,0.8518518518518519,0.2153846153846154,0.8223306544202067,0.4557979334098737,-0.366532721010333,0.1911242995929009,0.07311946153640747
mlp,overall,all,480,0.14583333333333334,0.7,0.2658536585365854,0.7503256621797656,0.7259921841076857,-0.02433347807207986,0.23762145327451525,0.11489655807422944
mlp,source_run,58,96,0.16666666666666666,0.75,0.225,0.7917228969860549,0.7377417903733693,-0.053981106612685625,0.22142017046799076,0.12771514560764585
mlp,source_run,60,96,0.15625,0.9333333333333333,0.2962962962962963,0.7178819444444445,0.6927083333333334,-0.02517361111111116,0.2759893523629617,0.11580159041514718
mlp,source_run,62,96,0.125,0.4166666666666667,0.2857142857142857,0.7416413373860182,0.7750759878419452,0.03343465045592697,0.22831831438936884,0.10907796476829831
mlp,source_run,64,96,0.14583333333333334,0.7857142857142857,0.32926829268292684,0.7094356261022927,0.671957671957672,-0.03747795414462074,0.22136812530975128,0.11725485414249442
mlp,source_run,65,96,0.13541666666666666,0.5384615384615384,0.1927710843373494,0.7734204793028323,0.7690631808278867,-0.004357298474945592,0.2279732113814674,0.10339835592191146
mlp,pid_name,deuteron,235,0.23829787234042554,0.8392857142857143,0.40782122905027934,,,,0.22028133116420467,0.08827810570982009
mlp,pid_name,proton,245,0.05714285714285714,0.14285714285714285,0.15584415584415584,,,,0.2557724945056249,0.1386644319050403
mlp,energy_bin,energy_high,158,0.12025316455696203,0.631578947368421,0.26618705035971224,0.7312810646143979,0.7062690396023729,-0.02501202501202504,0.24089378947281537,0.10191015627787653
mlp,energy_bin,energy_low,169,0.15976331360946747,0.6666666666666666,0.30985915492957744,0.7148972602739725,0.6740867579908676,-0.0408105022831049,0.272434666175993,0.14413227029283732
mlp,energy_bin,energy_mid,153,0.1568627450980392,0.7916666666666666,0.21705426356589147,0.8045267489711934,0.7906378600823045,-0.01388888888888884,0.2171483543872692,0.10539713979938525
mlp,timing_bin,time_early,148,0.0472972972972973,0.14285714285714285,0.0,0.9931972789115646,1.0,0.006802721088435382,0.25388310079216037,0.1470645438184123
mlp,timing_bin,time_late,168,0.2619047619047619,0.7727272727272727,0.43548387096774194,0.2964678633468442,0.2918355529820498,-0.004632310364794445,0.20842893781312805,0.07897793058888633
mlp,timing_bin,time_mid,164,0.11585365853658537,0.7368421052631579,0.3793103448275862,0.5965069413345274,0.5974025974025975,0.000895656068070072,0.2507816618289646,0.10880471951685136
mlp,pileup_bin,pileup,240,0.15833333333333333,0.6052631578947368,0.24752475247524752,0.7469963191888326,0.7408847836655325,-0.006111535523300127,0.23260166785684722,0.1028182555575812
mlp,pileup_bin,single,240,0.13333333333333333,0.8125,0.28365384615384615,0.752297410192147,0.7100389863547758,-0.04225842383737122,0.23832008142507585,0.12705881810633365
mlp,saturation_bin,saturated,179,0.12849162011173185,0.7391304347826086,0.21153846153846154,0.816591704147926,0.7888555722138931,-0.027736131934032904,0.23288578061699317,0.10582624542017405
mlp,saturation_bin,unsaturated,301,0.15614617940199335,0.6808510638297872,0.2992125984251969,0.7193517046458223,0.6956809750927399,-0.02367072955308247,0.2512535142889733,0.12191352011856471
mlp,pedestal_bin,pedestal_high,118,0.13559322033898305,0.5625,0.27450980392156865,0.7329282407407407,0.7042824074074074,-0.02864583333333326,0.22961571859149338,0.09623191401332884
mlp,pedestal_bin,pedestal_low,181,0.16022099447513813,0.7586206896551724,0.2565789473684211,0.731345115365734,0.6980854197349042,-0.033259695630829755,0.2437243547093878,0.1259111793499541
mlp,pedestal_bin,pedestal_mid,181,0.13812154696132597,0.72,0.2692307692307692,0.7895189003436426,0.771845851742759,-0.01767304860088359,0.23434886577748149,0.12487603978172213
mlp,stave,B2,132,0.09848484848484848,0.5384615384615384,0.24369747899159663,0.824059108750866,0.7857307781112907,-0.0383283306395753,0.2496490265632928,0.10253835631793556
mlp,stave,B4,108,0.19444444444444445,0.7142857142857143,0.41379310344827586,0.7387798036465638,0.7107293127629734,-0.028050490883590462,0.2559765045342778,0.1272847903500401
mlp,stave,B6,121,0.15702479338842976,0.6842105263157895,0.24509803921568626,0.7095628415300547,0.707103825136612,-0.0024590163934427034,0.23852427628974832,0.10385109674316012
mlp,stave,B8,119,0.14285714285714285,0.8235294117647058,0.18627450980392157,0.8223306544202067,0.7494259471871412,-0.07290470723306552,0.1911242995929009,0.13199751923456537
ridge,overall,all,480,0.10833333333333334,0.46153846153846156,0.2383177570093458,0.7503256621797656,0.8222318714719932,0.07190620929222757,0.23762145327451525,0.1118881046514984
ridge,source_run,58,96,0.09375,0.4444444444444444,0.19540229885057472,0.7917228969860549,0.8529014844804319,0.06117858749437699,0.22142017046799076,0.1080806666966071
ridge,source_run,60,96,0.08333333333333333,0.75,0.26136363636363635,0.7178819444444445,0.7764756944444444,0.05859374999999989,0.2759893523629617,0.11266288977545183
ridge,source_run,62,96,0.11458333333333333,0.2727272727272727,0.27058823529411763,0.7416413373860182,0.8102475032566218,0.06860616587060353,0.22831831438936884,0.12351704091567436
ridge,source_run,64,96,0.13541666666666666,0.38461538461538464,0.26506024096385544,0.7094356261022927,0.8121693121693121,0.10273368606701938,0.22136812530975128,0.10491427444038648
ridge,source_run,65,96,0.11458333333333333,0.5454545454545454,0.2,0.7734204793028323,0.8557734204793028,0.08235294117647052,0.2279732113814674,0.11239011785741071
ridge,pid_name,deuteron,235,0.1702127659574468,0.575,0.3333333333333333,,,,0.22028133116420467,0.07220528271409365
ridge,pid_name,proton,245,0.04897959183673469,0.08333333333333333,0.15879828326180256,,,,0.2557724945056249,0.13529263148152798
ridge,energy_bin,energy_high,158,0.0949367088607595,0.6666666666666666,0.2727272727272727,0.7312810646143979,0.7421837421837422,0.010902677569344266,0.24089378947281537,0.13159043973351225
ridge,energy_bin,energy_low,169,0.11834319526627218,0.05,0.22818791946308725,0.7148972602739725,0.8692922374429224,0.1543949771689499,0.272434666175993,0.08993211762332698
ridge,energy_bin,energy_mid,153,0.1111111111111111,0.7647058823529411,0.21323529411764705,0.8045267489711934,0.8465363511659808,0.04200960219478744,0.2171483543872692,0.11725277883401292
ridge,timing_bin,time_early,148,0.033783783783783786,0.0,0.006993006993006993,0.9931972789115646,0.9931972789115646,0.0,0.25388310079216037,0.13830052507005602
ridge,timing_bin,time_late,168,0.17857142857142858,0.4,0.3333333333333333,0.2964678633468442,0.3144180660104227,0.017950202663578496,0.20842893781312805,0.06346836357015928
ridge,timing_bin,time_mid,164,0.10365853658536585,0.7058823529411765,0.3741496598639456,0.5965069413345274,0.6324824600686669,0.03597551873413951,0.2507816618289646,0.10608183175829933
ridge,pileup_bin,pileup,240,0.12916666666666668,0.45161290322580644,0.22966507177033493,0.7469963191888326,0.8038752691159109,0.056878949927078315,0.23260166785684722,0.10673986697434024
ridge,pileup_bin,single,240,0.0875,0.47619047619047616,0.2465753424657534,0.752297410192147,0.8424533556112503,0.09015594541910332,0.23832008142507585,0.11937316468300227
ridge,saturation_bin,saturated,179,0.0670391061452514,0.5,0.19760479041916168,0.816591704147926,0.8335832083958021,0.0169915042478761,0.23288578061699317,0.127630946217684
ridge,saturation_bin,unsaturated,301,0.132890365448505,0.45,0.26436781609195403,0.7193517046458223,0.8132838721074014,0.09393216746157906,0.2512535142889733,0.10559685574411298
ridge,pedestal_bin,pedestal_high,118,0.1016949152542373,0.16666666666666666,0.2358490566037736,0.7329282407407407,0.8003472222222222,0.06741898148148151,0.22961571859149338,0.10989756797777497
ridge,pedestal_bin,pedestal_low,181,0.13812154696132597,0.6,0.23076923076923078,0.731345115365734,0.8085419734904271,0.07719685812469312,0.2437243547093878,0.1076094550299731
ridge,pedestal_bin,pedestal_mid,181,0.08287292817679558,0.4666666666666667,0.2469879518072289,0.7895189003436426,0.8604565537555229,0.0709376534118803,0.23434886577748149,0.11954171664676089
ridge,stave,B2,132,0.05303030303030303,0.2857142857142857,0.24,0.824059108750866,0.8637728007388594,0.03971369198799346,0.2496490265632928,0.12502014262764063
ridge,stave,B4,108,0.1111111111111111,0.08333333333333333,0.3229166666666667,0.7387798036465638,0.8036465638148668,0.06486676016830295,0.2559765045342778,0.11997313048769209
ridge,stave,B6,121,0.14049586776859505,0.5882352941176471,0.23076923076923078,0.7095628415300547,0.7890710382513662,0.07950819672131149,0.23852427628974832,0.10681546004776349
ridge,stave,B8,119,0.13445378151260504,0.6875,0.1650485436893204,0.8223306544202067,0.8573478760045924,0.035017221584385694,0.1911242995929009,0.1106179511460722
template_residual_boosted_stack_new,overall,all,480,0.19791666666666666,0.24210526315789474,0.15064935064935064,0.7503256621797656,0.8946330872774642,0.14430742509769856,0.23762145327451525,0.4327545953139226
template_residual_boosted_stack_new,source_run,58,96,0.1875,0.2777777777777778,0.11538461538461539,0.7917228969860549,0.9118308591992802,0.12010796221322528,0.22142017046799076,0.440261271339639
template_residual_boosted_stack_new,source_run,60,96,0.1875,0.1111111111111111,0.11538461538461539,0.7178819444444445,0.9014756944444445,0.18359375,0.2759893523629617,0.42881209073086896
template_residual_boosted_stack_new,source_run,62,96,0.1875,0.2222222222222222,0.21794871794871795,0.7416413373860182,0.8423795049934868,0.10073816760746857,0.22831831438936884,0.38606069431986306
template_residual_boosted_stack_new,source_run,64,96,0.19791666666666666,0.21052631578947367,0.19480519480519481,0.7094356261022927,0.900352733686067,0.19091710758377434,0.22136812530975128,0.4329959799625973
template_residual_boosted_stack_new,source_run,65,96,0.22916666666666666,0.36363636363636365,0.10810810810810811,0.7734204793028323,0.9137254901960785,0.1403050108932462,0.2279732113814674,0.4475849666885718
template_residual_boosted_stack_new,pid_name,deuteron,235,0.3021276595744681,0.14084507042253522,0.12804878048780488,,,,0.22028133116420467,0.3856876564966898
template_residual_boosted_stack_new,pid_name,proton,245,0.09795918367346938,0.5416666666666666,0.167420814479638,,,,0.2557724945056249,0.48147211093442965
template_residual_boosted_stack_new,energy_bin,energy_high,158,0.20253164556962025,0.34375,0.18253968253968253,0.7312810646143979,0.8576238576238576,0.12634279300945972,0.24089378947281537,0.37669797555291074
template_residual_boosted_stack_new,energy_bin,energy_low,169,0.21301775147928995,0.16666666666666666,0.17293233082706766,0.7148972602739725,0.8767836757990868,0.1618864155251143,0.272434666175993,0.44904721311136964
template_residual_boosted_stack_new,energy_bin,energy_mid,153,0.17647058823529413,0.2222222222222222,0.09523809523809523,0.8045267489711934,0.9410150891632373,0.13648834019204392,0.2171483543872692,0.45301562552399244
template_residual_boosted_stack_new,timing_bin,time_early,148,0.05405405405405406,0.5,0.014285714285714285,0.9931972789115646,0.9795918367346939,-0.013605442176870763,0.25388310079216037,0.48498213392621636
template_residual_boosted_stack_new,timing_bin,time_late,168,0.30357142857142855,0.11764705882352941,0.1623931623931624,0.2964678633468442,0.6687898089171975,0.3723219455703533,0.20842893781312805,0.39099179852152544
template_residual_boosted_stack_new,timing_bin,time_mid,164,0.21951219512195122,0.3611111111111111,0.2890625,0.5965069413345274,0.7723540826989103,0.17584714136438284,0.2507816618289646,0.4006866405139656
template_residual_boosted_stack_new,pileup_bin,pileup,240,0.18333333333333332,0.2727272727272727,0.1683673469387755,0.7469963191888326,0.8633238419334677,0.11632752274463509,0.23260166785684722,0.43275965427053886
template_residual_boosted_stack_new,pileup_bin,single,240,0.2125,0.21568627450980393,0.13227513227513227,0.752297410192147,0.9289195210247841,0.17662211083263712,0.23832008142507585,0.4327545953139226
template_residual_boosted_stack_new,saturation_bin,saturated,179,0.1787709497206704,0.3125,0.11564625850340136,0.816591704147926,0.921664167916042,0.10507246376811596,0.23288578061699317,0.4405030723145724
template_residual_boosted_stack_new,saturation_bin,unsaturated,301,0.20930232558139536,0.20634920634920634,0.1722689075630252,0.7193517046458223,0.8761923688394276,0.15684066419360532,0.2512535142889733,0.4308131935501528
template_residual_boosted_stack_new,pedestal_bin,pedestal_high,118,0.211864406779661,0.24,0.17204301075268819,0.7329282407407407,0.8833912037037037,0.15046296296296302,0.22961571859149338,0.4288334602828341
template_residual_boosted_stack_new,pedestal_bin,pedestal_low,181,0.14917127071823205,0.2962962962962963,0.17532467532467533,0.731345115365734,0.8686794305351005,0.13733431516936656,0.2437243547093878,0.44147102485140244
template_residual_boosted_stack_new,pedestal_bin,pedestal_mid,181,0.23756906077348067,0.20930232558139536,0.10869565217391304,0.7895189003436426,0.9339715267550319,0.14445262641138934,0.23434886577748149,0.428083507819926
template_residual_boosted_stack_new,stave,B2,132,0.29545454545454547,0.3333333333333333,0.0967741935483871,0.824059108750866,0.9069498960978989,0.08289078734703292,0.2496490265632928,0.4513636335171155
template_residual_boosted_stack_new,stave,B4,108,0.32407407407407407,0.11428571428571428,0.1506849315068493,0.7387798036465638,0.9172510518934082,0.17847124824684435,0.2559765045342778,0.4207967590297029
template_residual_boosted_stack_new,stave,B6,121,0.08264462809917356,0.2,0.2072072072072072,0.7095628415300547,0.8636612021857923,0.15409836065573768,0.23852427628974832,0.4295297686710319
template_residual_boosted_stack_new,stave,B8,119,0.09243697478991597,0.36363636363636365,0.1388888888888889,0.8223306544202067,0.9018369690011482,0.07950631458094148,0.1911242995929009,0.4310210904010205
