method,alpha,cv_rmse_ns_mean,cv_rmse_ns_std,note,pool,learning_rate,max_leaf_nodes,l2_regularization,max_iter,hidden_layer_sizes,epochs,weight_decay,hidden,grid_index
gated_cnn,,2.219797252026375,1.4058807096830384,,sample_iii_early,0.0007,,,,,40.0,0.001,32.0,1.0
gated_cnn,,2.251160485265981,1.3644447472671166,,sample_iii_early,0.001,,,,,30.0,0.0001,24.0,0.0
ridge,1000.0,3.0053347661549514,1.5561458718794523,,sample_iii_late,,,,,,,,,
ridge,100.0,3.023707045843678,1.4820108062370152,,sample_iii_late,,,,,,,,,
ridge,0.1,3.0280567354993884,1.436830632223933,,sample_iii_late,,,,,,,,,
ridge,0.01,3.028969566205652,1.435492702015366,,sample_iii_late,,,,,,,,,
ridge,1.0,3.03270147506279,1.437157880409918,,sample_iii_late,,,,,,,,,
ridge,10.0,3.035667652658529,1.4423324369477433,,sample_iii_late,,,,,,,,,
gradient_boosted_trees,,2.8725427436209667,1.6089881331194125,,sample_iii_late,0.02,31.0,1.0,180.0,,,,,2.0
gradient_boosted_trees,,2.9008864795262124,1.5984689510114458,,sample_iii_late,0.03,15.0,0.1,160.0,,,,,1.0
gradient_boosted_trees,,2.9136014532535945,1.5917889396362992,,sample_iii_late,0.04,7.0,0.0,140.0,,,,,0.0
mlp,0.01,3.107686842155836,1.6283152464009376,,sample_iii_late,,,,,"[32, 16]",,,,1.0
mlp,0.001,3.176156453435527,1.5534251158044738,,sample_iii_late,,,,,[24],,,,0.0
mlp,0.1,3.232998236208307,1.6487469168985875,,sample_iii_late,,,,,"[48, 24]",,,,2.0
cnn_1d,,3.062754541209117,1.3741145119422364,,sample_iii_late,0.0007,,,,,40.0,0.001,32.0,1.0
cnn_1d,,3.087555291158413,1.3638931057803438,,sample_iii_late,0.001,,,,,30.0,0.0001,24.0,0.0
gated_cnn,,3.0554876313693526,1.4288867401970937,,sample_iii_late,0.0007,,,,,40.0,0.001,32.0,1.0
gated_cnn,,3.0698676509414464,1.4141203227424004,,sample_iii_late,0.001,,,,,30.0,0.0001,24.0,0.0
ridge,0.01,2.6873267910701584,0.8413496166145842,,sample_iii_mixed,,,,,,,,,
ridge,0.1,2.687331641678247,0.8407649235576313,,sample_iii_mixed,,,,,,,,,
ridge,1.0,2.688771266123692,0.8374579522049778,,sample_iii_mixed,,,,,,,,,
ridge,10.0,2.6932617413890494,0.8342530837097082,,sample_iii_mixed,,,,,,,,,
ridge,100.0,2.694986629372541,0.8449203488772042,,sample_iii_mixed,,,,,,,,,
ridge,1000.0,2.712694711535497,0.8648075659947505,,sample_iii_mixed,,,,,,,,,
gradient_boosted_trees,,2.4173870136459867,0.8186516606955355,,sample_iii_mixed,0.03,15.0,0.1,160.0,,,,,1.0
gradient_boosted_trees,,2.4297671344676575,0.7842155901211759,,sample_iii_mixed,0.04,7.0,0.0,140.0,,,,,0.0
gradient_boosted_trees,,2.430944769919604,0.8733666537992663,,sample_iii_mixed,0.02,31.0,1.0,180.0,,,,,2.0
mlp,0.01,2.4302030566716892,0.9727726182782487,,sample_iii_mixed,,,,,"[32, 16]",,,,1.0
mlp,0.1,2.5379659750130794,0.9381438618124706,,sample_iii_mixed,,,,,"[48, 24]",,,,2.0
mlp,0.001,2.7598428188374915,0.9043582796156318,,sample_iii_mixed,,,,,[24],,,,0.0
cnn_1d,,2.83496335929803,0.24712426693956369,,sample_iii_mixed,0.0007,,,,,40.0,0.001,32.0,1.0
cnn_1d,,2.8546079153195785,0.2500122870679022,,sample_iii_mixed,0.001,,,,,30.0,0.0001,24.0,0.0
gated_cnn,,2.8282311116883054,0.23756440944213605,,sample_iii_mixed,0.0007,,,,,40.0,0.001,32.0,1.0
gated_cnn,,2.8319900016712,0.2555030265523916,,sample_iii_mixed,0.001,,,,,30.0,0.0001,24.0,0.0
