method,run,current_group,n,mean_score,auc_within_run,support_loss_fraction
ridge_residual,51,high_20nA,1800,0.8583062641109789,,0.11777777777777777
ridge_residual,52,high_20nA,1800,0.9390379502128935,,0.24555555555555555
ridge_residual,53,high_20nA,1800,0.9399746777637484,,0.24166666666666667
ridge_residual,54,high_20nA,1800,0.9395960291625505,,0.25722222222222224
ridge_residual,55,high_20nA,1800,0.9401585428008407,,0.24388888888888888
ridge_residual,56,high_20nA,1800,0.9392237861620303,,0.2361111111111111
ridge_residual,57,high_20nA,1800,0.940889850832482,,0.3111111111111111
shuffled_current_control,44,high_20nA,1800,0.8567859091568338,,0.2683333333333333
shuffled_current_control,45,high_20nA,1800,0.8564771396119982,,0.22333333333333333
shuffled_current_control,46,low_2nA,687,0.8566240789672425,,0.10043668122270742
shuffled_current_control,47,low_2nA,1800,0.940233495684837,,0.17277777777777778
shuffled_current_control,48,high_20nA,1800,0.8563350848761907,,0.22944444444444445
shuffled_current_control,49,high_20nA,1800,0.856646985070281,,0.26
shuffled_current_control,50,high_20nA,1800,0.857500693864845,,0.09777777777777778
shuffled_current_control,51,high_20nA,1800,0.8574403485917966,,0.11777777777777777
shuffled_current_control,52,high_20nA,1800,0.9401272296934141,,0.24555555555555555
shuffled_current_control,53,high_20nA,1800,0.9400494448677202,,0.24166666666666667
shuffled_current_control,54,high_20nA,1800,0.9400919214667636,,0.25722222222222224
shuffled_current_control,55,high_20nA,1800,0.9401640782847217,,0.24388888888888888
shuffled_current_control,56,high_20nA,1800,0.9400727671610258,,0.2361111111111111
shuffled_current_control,57,high_20nA,1800,0.9402851989158212,,0.3111111111111111
support_gated_cnn_new,44,high_20nA,1800,0.8249622963190589,,0.2683333333333333
support_gated_cnn_new,45,high_20nA,1800,0.8303124336070314,,0.22333333333333333
support_gated_cnn_new,46,low_2nA,687,0.8132861773748173,,0.10043668122270742
support_gated_cnn_new,47,low_2nA,1800,0.9370107568864614,,0.17277777777777778
support_gated_cnn_new,48,high_20nA,1800,0.8198590874492413,,0.22944444444444445
support_gated_cnn_new,49,high_20nA,1800,0.8227620013808774,,0.26
support_gated_cnn_new,50,high_20nA,1800,0.867312357292975,,0.09777777777777778
support_gated_cnn_new,51,high_20nA,1800,0.8621190198033356,,0.11777777777777777
support_gated_cnn_new,52,high_20nA,1800,0.9374365031721894,,0.24555555555555555
support_gated_cnn_new,53,high_20nA,1800,0.9369901484696318,,0.24166666666666667
support_gated_cnn_new,54,high_20nA,1800,0.9367135183120797,,0.25722222222222224
support_gated_cnn_new,55,high_20nA,1800,0.9369977550643114,,0.24388888888888888
support_gated_cnn_new,56,high_20nA,1800,0.9360977702183868,,0.2361111111111111
support_gated_cnn_new,57,high_20nA,1800,0.9428479089177668,,0.3111111111111111
topology_only_control,44,high_20nA,1800,0.8612185658642969,,0.2683333333333333
topology_only_control,45,high_20nA,1800,0.8600944217736436,,0.22333333333333333
topology_only_control,46,low_2nA,687,0.8553519462639066,,0.10043668122270742
topology_only_control,47,low_2nA,1800,0.9385956256625785,,0.17277777777777778
topology_only_control,48,high_20nA,1800,0.860491057884958,,0.22944444444444445
topology_only_control,49,high_20nA,1800,0.8605361437912875,,0.26
topology_only_control,50,high_20nA,1800,0.8566747749648248,,0.09777777777777778
topology_only_control,51,high_20nA,1800,0.8565178460677426,,0.11777777777777777
topology_only_control,52,high_20nA,1800,0.9390862848434834,,0.24555555555555555
topology_only_control,53,high_20nA,1800,0.9385500768375437,,0.24166666666666667
topology_only_control,54,high_20nA,1800,0.9384745939354772,,0.25722222222222224
topology_only_control,55,high_20nA,1800,0.93888011447975,,0.24388888888888888
topology_only_control,56,high_20nA,1800,0.9386190148046772,,0.2361111111111111
topology_only_control,57,high_20nA,1800,0.9415106391599585,,0.3111111111111111
traditional_matched_null,44,high_20nA,1800,0.8183290299728622,,0.2683333333333333
traditional_matched_null,45,high_20nA,1800,0.8268519795861059,,0.22333333333333333
traditional_matched_null,46,low_2nA,687,0.798890298330326,,0.10043668122270742
traditional_matched_null,47,low_2nA,1800,0.929111089505993,,0.17277777777777778
traditional_matched_null,48,high_20nA,1800,0.8069716996373345,,0.22944444444444445
traditional_matched_null,49,high_20nA,1800,0.8134590368822705,,0.26
traditional_matched_null,50,high_20nA,1800,0.8822079637394692,,0.09777777777777778
traditional_matched_null,51,high_20nA,1800,0.8694187210661612,,0.11777777777777777
traditional_matched_null,52,high_20nA,1800,0.9489910294275705,,0.24555555555555555
traditional_matched_null,53,high_20nA,1800,0.9504398182810646,,0.24166666666666667
traditional_matched_null,54,high_20nA,1800,0.9491587168236626,,0.25722222222222224
traditional_matched_null,55,high_20nA,1800,0.9481531551993783,,0.24388888888888888
traditional_matched_null,56,high_20nA,1800,0.9473525258764997,,0.2361111111111111
traditional_matched_null,57,high_20nA,1800,0.9330658603390619,,0.3111111111111111
