n,unsafe_rate,auc,average_precision,brier,ece,pass_coverage_at_risk10,unsafe_rate_at_risk10,charge_res68_at_risk10,timing_sigma68_at_risk10,run,method,family
17029,0.8766222326619296,0.9998145947446042,0.9999763252891098,0.0016026744519029013,0.0028927462283100448,0.1240824475894063,0.011358258400378608,1.2369443841094228,0.7959728011523696,60,gradient_boosted_trees,ml
17029,0.8766222326619296,0.999745948568359,0.9999660781678803,0.001586219273813724,0.0013803478665187084,0.12437606436079629,0.0113314447592068,1.2388163933333716,0.797144025692095,60,mlp,nn
17029,0.8766222326619296,0.8923588898615624,0.9810342320413994,0.08553674922902228,0.11841537007187165,0.0,,,,60,1d_cnn,nn
17029,0.8766222326619296,0.99965131696079,0.9999524724099973,0.018754031710827842,0.09975907160179767,0.05942803452933232,0.0009881422924901185,0.9546469524078072,0.7696978886065937,60,action_prior_residual_cnn_new_arch,new_architecture
18965,0.8699709992090693,0.9991838331571817,0.9998564959265064,0.03442187186852746,0.12768421462187216,0.10403374637490113,0.013177901672579827,1.1081996459822652,0.93753833927514,61,empirical_bayes_action_table,traditional
18965,0.8699709992090693,0.9983265716366992,0.9997672359423183,0.0043752695949792995,0.00433631660752179,0.13387819667809123,0.03190232374950768,1.2759022581034754,0.9733550053735883,61,ridge,ml
18965,0.8699709992090693,0.999841077640086,0.9999764541597292,0.00434037421924223,0.005510677443901395,0.13324545214869496,0.03205381875741987,1.271809507979863,0.9689064674217162,61,gradient_boosted_trees,ml
18965,0.8699709992090693,0.9993738223069087,0.999908668943474,0.00431535830429511,0.004034950387507879,0.1337727392565252,0.03192747339377217,1.277807680246886,0.9723583474595444,61,mlp,nn
18965,0.8699709992090693,0.8612473969888907,0.9731704195042372,0.09147090575478665,0.11048306009048411,0.0,,,,61,1d_cnn,nn
18965,0.8699709992090693,0.9991687175909356,0.999878652169516,0.02193891995050039,0.10212035962892906,0.05900342736620089,0.0,0.9601641094455308,1.024827063492316,61,action_prior_residual_cnn_new_arch,new_architecture
19089,0.8528471894808528,0.999754310687917,0.9999529662736124,0.033145596856963534,0.13010611492219393,0.1219026664571219,0.0021486892995272885,1.0199928617166591,0.7329872112852004,62,empirical_bayes_action_table,traditional
19089,0.8528471894808528,0.9995448116487633,0.9999279816648821,0.0014647195960865635,0.001543065321611453,0.14767667242914767,0.008158921603405462,1.138099444662759,0.7616882021656224,62,ridge,ml
19089,0.8528471894808528,0.9999100053968336,0.9999860523985096,0.001455757831025465,0.002516054921616231,0.14673372099114673,0.006426276329882185,1.1346979896811376,0.7650450950146042,62,gradient_boosted_trees,ml
19089,0.8528471894808528,0.9997871006058974,0.9999652984815892,0.0014242756733765407,0.0011061542261540523,0.14783383100214784,0.008504606661941885,1.1388646773393938,0.7616882021656224,62,mlp,nn
19089,0.8528471894808528,0.8808981397981043,0.9745194600746775,0.09440098351817743,0.11595445392083172,0.0,,,,62,1d_cnn,nn
19089,0.8528471894808528,0.9996716416082739,0.9999445080710581,0.020398000477747924,0.10503118807225803,0.07548850123107549,0.0006939625260235947,0.8545539748622067,0.75687984369325,62,action_prior_residual_cnn_new_arch,new_architecture
18817,0.7953446351703247,0.999701929758001,0.9999251684727711,0.024384540148655747,0.10337684275609604,0.17420417707392252,0.001525320317266626,0.9790401884039531,0.7822022609442016,63,empirical_bayes_action_table,traditional
18817,0.7953446351703247,0.9997394943469717,0.9999403205490813,0.0011078183909463781,0.001108031996451025,0.20497422543444757,0.004148301788955146,1.0684814814035477,0.7893641145766712,63,ridge,ml
18817,0.7953446351703247,0.9998439811621134,0.999967007570693,0.0010320217151629318,0.002174193387494064,0.20337992241058617,0.0023517115233864646,1.063156503018611,0.7890733386812693,63,gradient_boosted_trees,ml
18817,0.7953446351703247,0.9998402854311893,0.9999627963608791,0.0010314253226747267,0.0006785933840261523,0.20470850826380402,0.004153686396677051,1.0680436882149307,0.7893641145766712,63,mlp,nn
18817,0.7953446351703247,0.89459465691697,0.9657972835008496,0.11606671545726298,0.1654830613676227,0.0,,,,63,1d_cnn,nn
18817,0.7953446351703247,0.9997289623813804,0.9999373106624181,0.017499972600259556,0.09258477256956583,0.11478981771802094,0.000925925925925926,0.8185046122996943,0.8601207744848492,63,action_prior_residual_cnn_new_arch,new_architecture
13038,0.7312471237919926,0.9999248364181832,0.999968906480149,0.01590781273433755,0.08245812049097706,0.2329344991563123,0.00032927230819888045,0.8463731759959678,0.9972421358979808,65,empirical_bayes_action_table,traditional
13038,0.7312471237919926,0.9999119948504415,0.9999708684524504,0.0006947941101409092,0.0005288808601381938,0.2691363706089891,0.002279851809632374,0.9429917369566423,1.03769845769191,65,ridge,ml
13038,0.7312471237919926,0.999981575792669,0.9999934001574945,0.0008405335675304673,0.0018446469503619926,0.2681392851664366,0.002288329519450801,0.9373093865325325,1.03769845769191,65,gradient_boosted_trees,ml
13038,0.7312471237919926,0.9999843446621705,0.9999943284621395,0.0006906107285933741,0.0003545890581948736,0.26890627396840006,0.0019965772960638907,0.9421148666563328,1.03769845769191,65,mlp,nn
13038,0.7312471237919926,0.8858557195684181,0.9475281149064743,0.13636069841810738,0.18611007103392085,0.0,,,,65,1d_cnn,nn
13038,0.7312471237919926,0.9999541116005873,0.9999835633854095,0.01505620701837471,0.08608666423312183,0.16237152937567112,0.0,0.6201905880247012,1.032224105262424,65,action_prior_residual_cnn_new_arch,new_architecture
