window_mask,method,heldout_run,pileup_ap,pileup_auc,pid_auc,pid_efficiency,pid_purity,pid_balanced_accuracy,time_bias_ns,time_sigma68_ns,late_tail_rate_abs_gt_15ns,pileup_miss_rate,false_split_rate,energy_fractional_bias,energy_fractional_sigma68,n_events,n_positive
full_18_samples,gradient_boosted_trees,58,0.7356295060561172,0.7755198487712666,0.8718323586744638,0.9473684210526315,0.6792452830188679,0.8162768031189084,1.1660985612358266,8.284201625005725,0.125,0.21739130434782608,0.391304347826087,-0.03028354579508446,0.05974962479439208,92,46
full_18_samples,gradient_boosted_trees,60,0.6975910836504668,0.7381852551984878,0.8605200945626479,0.9111111111111111,0.7192982456140351,0.7853427895981087,-2.233984208444544,7.061239827741508,0.13793103448275862,0.3695652173913043,0.2608695652173913,-0.010403463817294551,0.048846476957659354,92,46
full_18_samples,gradient_boosted_trees,62,0.7541368519040249,0.7793005671077505,0.878095238095238,0.8571428571428571,0.7346938775510204,0.7985714285714285,-0.01151925101932072,7.304328398073142,0.08333333333333333,0.34782608695652173,0.17391304347826086,-0.08275224622420013,0.07835699793483844,92,46
full_18_samples,gradient_boosted_trees,64,0.7997436936982574,0.8034026465028355,0.9136212624584716,0.9591836734693877,0.8245614035087719,0.863312766967252,-0.32384404327076677,7.926077816168501,0.12903225806451613,0.32608695652173914,0.2608695652173913,-0.048455144010119626,0.07834295769579368,92,46
full_18_samples,gradient_boosted_trees,65,0.79306669537984,0.77882797731569,0.943289224952741,0.9130434782608695,0.84,0.8695652173913043,-1.4586209855227628,7.0297339049896115,0.13636363636363635,0.2826086956521739,0.30434782608695654,-0.04447469763434094,0.05700652173513866,92,46
full_18_samples,mlp,58,0.7591249099529287,0.7873345935727788,0.7587719298245614,0.6842105263157895,0.6341463414634146,0.7032163742690059,-0.16315120573354047,11.914210495661415,0.22857142857142856,0.2391304347826087,0.34782608695652173,-0.05110743159666081,0.09121372420879435,92,46
full_18_samples,mlp,60,0.6224533704098725,0.693289224952741,0.7654846335697401,0.6666666666666666,0.6818181818181818,0.6843971631205674,-0.17473115341115175,14.547315397112609,0.29310344827586204,0.3695652173913043,0.34782608695652173,-0.048960298558931754,0.11451507067599587,92,46
full_18_samples,mlp,62,0.6808151223068439,0.7046313799621928,0.8014285714285715,0.8095238095238095,0.7555555555555555,0.7947619047619048,0.19983127801785905,16.074120270597795,0.32,0.45652173913043476,0.34782608695652173,-0.05092803130137565,0.1350854014771407,92,46
full_18_samples,mlp,64,0.8276617470815245,0.8289224952741021,0.7769340294257238,0.6938775510204082,0.7727272727272727,0.7306597057427622,2.4267747825927044,12.592280034169512,0.30303030303030304,0.2826086956521739,0.1956521739130435,-0.0869293649699138,0.10605753404240917,92,46
full_18_samples,mlp,65,0.7319254511172101,0.774102079395085,0.7835538752362949,0.7391304347826086,0.7555555555555555,0.75,-1.9379055035258608,13.643191842184706,0.3333333333333333,0.34782608695652173,0.2826086956521739,-0.10755860140631199,0.15561166186898567,92,46
full_18_samples,ridge,58,0.7629820561729523,0.7533081285444234,0.7607212475633528,0.5789473684210527,0.5945945945945946,0.6505847953216375,-0.3181424076392325,9.557918101414337,0.08064516129032258,0.32608695652173914,0.34782608695652173,-0.029683816934132676,0.05289200360823794,92,46
full_18_samples,ridge,60,0.6631090675097987,0.7164461247637051,0.7664302600472812,0.6888888888888889,0.6888888888888889,0.6955082742316785,-0.3386818917141454,8.78100305741076,0.15,0.34782608695652173,0.2391304347826087,-0.04284540772212268,0.0381311426726335,92,46
full_18_samples,ridge,62,0.7364169723387606,0.7580340264650284,0.8042857142857143,0.7380952380952381,0.7209302325581395,0.7490476190476191,-1.7115778943493964,8.269843037505833,0.15,0.34782608695652173,0.2391304347826087,-0.041815119092319206,0.049892477204711065,92,46
full_18_samples,ridge,64,0.8267231253260681,0.8412098298676749,0.8182249644043663,0.673469387755102,0.7857142857142857,0.7320835310868533,-1.643845376382549,8.019645054035253,0.1,0.34782608695652173,0.13043478260869565,-0.047836821145420136,0.054560581038985034,92,46
full_18_samples,ridge,65,0.7419671751997547,0.7618147448015123,0.7939508506616257,0.6956521739130435,0.7804878048780488,0.75,0.7537531007824283,7.993736113795327,0.05357142857142857,0.391304347826087,0.17391304347826086,-0.045068994217447596,0.08293048021089316,92,46
full_18_samples,small_transformer,58,0.6750299831074084,0.6791115311909264,0.41520467836257313,0.0,0.0,0.49074074074074076,7.372002156624968,16.986377815781164,0.44642857142857145,0.391304347826087,0.391304347826087,-0.09385265071467536,0.09965441098730876,92,46
full_18_samples,small_transformer,60,0.6481439627337626,0.6720226843100189,0.4548463356973995,0.0,0.0,0.5,5.074361024701459,22.310671365565398,0.5227272727272727,0.5217391304347826,0.32608695652173914,-0.06743457234977944,0.09094073364481996,92,46
full_18_samples,small_transformer,62,0.6303154701259215,0.6493383742911154,0.40380952380952384,0.0,0.0,0.49,10.401338203470662,19.00171431932948,0.5172413793103449,0.3695652173913043,0.43478260869565216,-0.06242470182968384,0.10248581865839158,92,46
full_18_samples,small_transformer,64,0.7509591187510397,0.7892249527410208,0.5097294731846227,0.0,0.0,0.5,9.303869454252162,22.140113460127793,0.58,0.45652173913043476,0.17391304347826086,-0.05685880661513064,0.08098749621997058,92,46
full_18_samples,small_transformer,65,0.7478096559144336,0.7069943289224954,0.5534026465028355,0.021739130434782608,0.5,0.5,4.7925328282709545,17.007666450022,0.4090909090909091,0.5217391304347826,0.2826086956521739,-0.06773896109922384,0.1570359450193053,92,46
full_18_samples,traditional_template_likelihood,58,0.7066178140052849,0.6413043478260869,0.797270955165692,0.9473684210526315,0.5806451612903226,0.732943469785575,-0.6369495770137501,8.31014889567513,0.175,0.5652173913043478,0.13043478260869565,-0.029759392430848988,0.05263353886327892,92,46
full_18_samples,traditional_template_likelihood,60,0.6226522873262004,0.6167296786389413,0.6978723404255319,0.8888888888888888,0.5970149253731343,0.6572104018912529,-2.5320736996889304,10.001645311134709,0.19230769230769232,0.717391304347826,0.06521739130434782,-0.008108123499267247,0.06588006464502007,92,46
