method,subtype,current_group,n,prevalence_within_method_current_rows,timing_tail_gt5_rate,charge_bias_abs_mean,charge_bias_abs_res68,dropout_harm_rate,secondary_fraction_mean,downstream_topology_rate
temporal_gate_cnn_new,pretrigger_slope,high_20nA,163,0.9760479041916168,0.5705521472392638,0.2557979226112366,0.11919219970703127,0.9141104294478528,0.018716925755143166,0.018404907975460124
temporal_gate_cnn_new,rising_edge_distortion,low_2nA,7,0.02064896755162242,0.7142857142857143,0.2578156292438507,0.11080753326416017,0.5714285714285714,0.13103125989437103,0.0
temporal_gate_cnn_new,rising_edge_distortion,high_20nA,332,0.9793510324483776,0.8765060240963856,0.3036636710166931,0.20783477783203125,0.33433734939759036,0.12526489794254303,0.045180722891566265
temporal_gate_cnn_new,tail_recovery_dropout,low_2nA,5,0.015015015015015015,1.0,0.13704757392406464,0.01686004638671875,0.6,0.05956973508000374,0.0
temporal_gate_cnn_new,tail_recovery_dropout,high_20nA,328,0.984984984984985,0.9664634146341463,0.18897700309753418,0.11304439544677737,0.4268292682926829,0.08105930685997009,0.036585365853658534
traditional_train_frozen_cuts,early_sample_offset,low_2nA,17,0.017137096774193547,0.23529411764705882,0.45559239387512207,0.33068931579589844,1.0,0.025076204910874367,0.0
traditional_train_frozen_cuts,early_sample_offset,high_20nA,975,0.9828629032258065,0.3333333333333333,0.4652043282985687,0.33510831832885746,0.8687179487179487,0.026899350807070732,0.046153846153846156
traditional_train_frozen_cuts,nominal_baseline_excursion,low_2nA,0,0.0,,,,,,
traditional_train_frozen_cuts,nominal_baseline_excursion,high_20nA,3,1.0,0.6666666666666666,0.28909048438072205,0.18345970153808594,0.6666666666666666,0.016063300892710686,0.3333333333333333
traditional_train_frozen_cuts,peak_phase_late,low_2nA,0,0.0,,,,,,
traditional_train_frozen_cuts,peak_phase_late,high_20nA,13,1.0,0.6153846153846154,0.2748293876647949,0.12940208435058595,0.46153846153846156,0.015061009675264359,0.0
traditional_train_frozen_cuts,pretrigger_slope,low_2nA,4,0.017857142857142856,0.75,0.21120524406433105,0.07350021362304689,1.0,0.010497312992811203,0.0
traditional_train_frozen_cuts,pretrigger_slope,high_20nA,220,0.9821428571428571,0.5681818181818182,0.2870946228504181,0.14913103103637695,0.85,0.023909609764814377,0.05454545454545454
traditional_train_frozen_cuts,rising_edge_distortion,low_2nA,4,0.013333333333333334,1.0,0.3268136978149414,0.15947458267211914,0.25,0.16133755445480347,0.0
traditional_train_frozen_cuts,rising_edge_distortion,high_20nA,296,0.9866666666666667,0.918918918918919,0.36579084396362305,0.2444225311279297,0.1858108108108108,0.13239777088165283,0.030405405405405407
traditional_train_frozen_cuts,tail_recovery_dropout,low_2nA,2,0.044444444444444446,1.0,0.16957712173461914,0.05213022232055664,0.0,0.07866886258125305,0.0
traditional_train_frozen_cuts,tail_recovery_dropout,high_20nA,43,0.9555555555555556,0.9534883720930233,0.27175843715667725,0.17181793212890625,0.16279069767441862,0.09351889789104462,0.046511627906976744
