method,subtype,metric,ci_low,ci_high,n_boot_valid
mlp,early_sample_offset,secondary_fraction_mean_high_minus_low,-0.00038266144692897794,0.003897076100111008,73
mlp,early_sample_offset,timing_tail_gt5_rate_high_minus_low,0.07985733800274744,0.125048468970197,73
mlp,peak_phase_late,charge_bias_abs_mean_high_minus_low,,,0
mlp,peak_phase_late,charge_bias_abs_res68_high_minus_low,,,0
mlp,peak_phase_late,downstream_topology_rate_high_minus_low,,,0
mlp,peak_phase_late,dropout_harm_rate_high_minus_low,,,0
mlp,peak_phase_late,prevalence_within_method_current_rows_high_minus_low,1.0,1.0,57
mlp,peak_phase_late,secondary_fraction_mean_high_minus_low,,,0
mlp,peak_phase_late,timing_tail_gt5_rate_high_minus_low,,,0
mlp,pretrigger_slope,charge_bias_abs_mean_high_minus_low,0.053959161043167114,0.08158596754074098,73
mlp,pretrigger_slope,charge_bias_abs_res68_high_minus_low,0.056268173217773464,0.10833694458007816,73
mlp,pretrigger_slope,downstream_topology_rate_high_minus_low,0.04989010989010989,0.09361452267945393,73
mlp,pretrigger_slope,dropout_harm_rate_high_minus_low,-0.20515580027530972,-0.10469135802469139,73
mlp,pretrigger_slope,prevalence_within_method_current_rows_high_minus_low,0.8521117392750248,1.0,100
mlp,pretrigger_slope,secondary_fraction_mean_high_minus_low,0.006730917096138001,0.017627723887562754,73
mlp,pretrigger_slope,timing_tail_gt5_rate_high_minus_low,-0.2487102838879489,-0.13192348516313623,73
mlp,rising_edge_distortion,charge_bias_abs_mean_high_minus_low,0.013748240470886231,0.06036067008972169,73
mlp,rising_edge_distortion,charge_bias_abs_res68_high_minus_low,0.05682651901245117,0.0985757560729981,73
mlp,rising_edge_distortion,downstream_topology_rate_high_minus_low,0.018040621266427716,0.0679944229121097,73
mlp,rising_edge_distortion,dropout_harm_rate_high_minus_low,-0.0817149322563089,-0.006896551724137898,73
mlp,rising_edge_distortion,prevalence_within_method_current_rows_high_minus_low,0.9073534614931006,1.0,100
mlp,rising_edge_distortion,secondary_fraction_mean_high_minus_low,-0.039879216253757475,-0.022833886742591854,73
mlp,rising_edge_distortion,timing_tail_gt5_rate_high_minus_low,-0.12105820105820105,-0.07404381870200268,73
mlp,tail_recovery_dropout,charge_bias_abs_mean_high_minus_low,0.020809897780418397,0.114900279045105,73
mlp,tail_recovery_dropout,charge_bias_abs_res68_high_minus_low,0.03185145187377931,0.11165938949584964,73
mlp,tail_recovery_dropout,downstream_topology_rate_high_minus_low,0.0,0.0,73
mlp,tail_recovery_dropout,dropout_harm_rate_high_minus_low,0.0,0.07441860465116286,73
mlp,tail_recovery_dropout,prevalence_within_method_current_rows_high_minus_low,0.5927586206896552,1.0,100
