alpha_global,alpha_dev,fold,sigma68_ns,n_pair_residuals,heldout_run,model,alpha
100.0,100.0,0,1.4118206573103436,2997,58,traditional_hierarchical,
100.0,100.0,1,1.0052017790584942,3534,58,traditional_hierarchical,
100.0,100.0,2,1.0639834993334585,4710,58,traditional_hierarchical,
100.0,100.0,-1,1.1603353119007653,0,58,traditional_hierarchical,
100.0,1000.0,0,1.9835684755864627,2997,58,traditional_hierarchical,
100.0,1000.0,1,1.2533283124862953,3534,58,traditional_hierarchical,
100.0,1000.0,2,1.362676991357859,4710,58,traditional_hierarchical,
100.0,1000.0,-1,1.5331912598102058,0,58,traditional_hierarchical,
100.0,10000.0,0,2.0615285429600085,2997,58,traditional_hierarchical,
100.0,10000.0,1,1.3096943773581815,3534,58,traditional_hierarchical,
100.0,10000.0,2,1.4045748608013118,4710,58,traditional_hierarchical,
100.0,10000.0,-1,1.5919325937065008,0,58,traditional_hierarchical,
,,0,2.0748710855621266,2997,58,ml_charge_ridge,0.1
,,1,1.5146856553298294,3534,58,ml_charge_ridge,0.1
,,2,1.5617003319403726,4710,58,ml_charge_ridge,0.1
,,-1,1.7170856909441092,0,58,ml_charge_ridge,0.1
,,0,2.070493994238123,2997,58,ml_charge_ridge,1.0
,,1,1.5119513589074773,3534,58,ml_charge_ridge,1.0
,,2,1.56107395857271,4710,58,ml_charge_ridge,1.0
,,-1,1.7145064372394367,0,58,ml_charge_ridge,1.0
,,0,2.0835545002126885,2997,58,ml_charge_ridge,10.0
,,1,1.4890031178452363,3534,58,ml_charge_ridge,10.0
,,2,1.543217346540826,4710,58,ml_charge_ridge,10.0
,,-1,1.7052583215329171,0,58,ml_charge_ridge,10.0
,,0,2.0450441221057956,2997,58,ml_charge_ridge,100.0
,,1,1.4146699647507992,3534,58,ml_charge_ridge,100.0
,,2,1.4872712921988298,4710,58,ml_charge_ridge,100.0
,,-1,1.6489951263518083,0,58,ml_charge_ridge,100.0
,,0,1.7994195236091557,2997,58,ml_charge_ridge,1000.0
,,1,1.1192524211366945,3534,58,ml_charge_ridge,1000.0
,,2,1.1949327751826826,4710,58,ml_charge_ridge,1000.0
,,-1,1.371201573309511,0,58,ml_charge_ridge,1000.0
0.01,1.0,0,2.1231817151690575,2799,59,traditional_hierarchical,
0.01,1.0,1,1.3278236605496545,2841,59,traditional_hierarchical,
0.01,1.0,2,1.5061780356267391,3531,59,traditional_hierarchical,
0.01,1.0,-1,1.6523944704484836,0,59,traditional_hierarchical,
0.01,10.0,0,2.1253580800026253,2799,59,traditional_hierarchical,
0.01,10.0,1,1.3367687903834684,2841,59,traditional_hierarchical,
0.01,10.0,2,1.4960581216852467,3531,59,traditional_hierarchical,
0.01,10.0,-1,1.6527283306904466,0,59,traditional_hierarchical,
0.01,100.0,0,2.1302807937026462,2799,59,traditional_hierarchical,
0.01,100.0,1,1.3420026101992775,2841,59,traditional_hierarchical,
0.01,100.0,2,1.4727234940355074,3531,59,traditional_hierarchical,
0.01,100.0,-1,1.64833563264581,0,59,traditional_hierarchical,
0.01,1000.0,0,2.139495438092163,2799,59,traditional_hierarchical,
0.01,1000.0,1,1.3408321383483055,2841,59,traditional_hierarchical,
0.01,1000.0,2,1.4316168518782852,3531,59,traditional_hierarchical,
0.01,1000.0,-1,1.6373148094395846,0,59,traditional_hierarchical,
0.01,10000.0,0,2.141920536944864,2799,59,traditional_hierarchical,
0.01,10000.0,1,1.3095966527635219,2841,59,traditional_hierarchical,
0.01,10000.0,2,1.3851036161037837,3531,59,traditional_hierarchical,
0.01,10000.0,-1,1.6122069352707233,0,59,traditional_hierarchical,
0.1,1.0,0,2.051302380859575,2799,59,traditional_hierarchical,
0.1,1.0,1,1.24474599003139,2841,59,traditional_hierarchical,
0.1,1.0,2,1.462129551263312,3531,59,traditional_hierarchical,
0.1,1.0,-1,1.5860593073847589,0,59,traditional_hierarchical,
0.1,10.0,0,2.114043440346151,2799,59,traditional_hierarchical,
0.1,10.0,1,1.3327897661464558,2841,59,traditional_hierarchical,
0.1,10.0,2,1.501414499229672,3531,59,traditional_hierarchical,
0.1,10.0,-1,1.6494159019074264,0,59,traditional_hierarchical,
0.1,100.0,0,2.119098300185714,2799,59,traditional_hierarchical,
0.1,100.0,1,1.3416266284320018,2841,59,traditional_hierarchical,
0.1,100.0,2,1.476631802314054,3531,59,traditional_hierarchical,
0.1,100.0,-1,1.6457855769772565,0,59,traditional_hierarchical,
0.1,1000.0,0,2.1353913393409845,2799,59,traditional_hierarchical,
0.1,1000.0,1,1.3379305891029787,2841,59,traditional_hierarchical,
0.1,1000.0,2,1.4346180882556252,3531,59,traditional_hierarchical,
0.1,1000.0,-1,1.6359800055665294,0,59,traditional_hierarchical,
0.1,10000.0,0,2.1478665755709514,2799,59,traditional_hierarchical,
0.1,10000.0,1,1.3096568901817502,2841,59,traditional_hierarchical,
0.1,10000.0,2,1.3980192524980812,3531,59,traditional_hierarchical,
0.1,10000.0,-1,1.6185142394169276,0,59,traditional_hierarchical,
1.0,1.0,0,1.54110176914246,2799,59,traditional_hierarchical,
1.0,1.0,1,0.9293467107749361,2841,59,traditional_hierarchical,
1.0,1.0,2,1.152781775255976,3531,59,traditional_hierarchical,
1.0,1.0,-1,1.207743418391124,0,59,traditional_hierarchical,
1.0,10.0,0,2.040636200683629,2799,59,traditional_hierarchical,
1.0,10.0,1,1.273955160795315,2841,59,traditional_hierarchical,
1.0,10.0,2,1.4708898067173046,3531,59,traditional_hierarchical,
1.0,10.0,-1,1.5951603893987496,0,59,traditional_hierarchical,
1.0,100.0,0,2.1196002700341117,2799,59,traditional_hierarchical,
1.0,100.0,1,1.3496860216723974,2841,59,traditional_hierarchical,
1.0,100.0,2,1.5014299018337032,3531,59,traditional_hierarchical,
1.0,100.0,-1,1.6569053978467376,0,59,traditional_hierarchical,
1.0,1000.0,0,2.136339605552811,2799,59,traditional_hierarchical,
1.0,1000.0,1,1.3485673004292777,2841,59,traditional_hierarchical,
1.0,1000.0,2,1.4639679243051602,3531,59,traditional_hierarchical,
1.0,1000.0,-1,1.6496249434290828,0,59,traditional_hierarchical,
1.0,10000.0,0,2.149671500641407,2799,59,traditional_hierarchical,
1.0,10000.0,1,1.3310970669553632,2841,59,traditional_hierarchical,
1.0,10000.0,2,1.436228394784669,3531,59,traditional_hierarchical,
1.0,10000.0,-1,1.6389989874604798,0,59,traditional_hierarchical,
10.0,1.0,0,1.4447288005115024,2799,59,traditional_hierarchical,
10.0,1.0,1,2.021806868415655,2841,59,traditional_hierarchical,
10.0,1.0,2,2.034847363769335,3531,59,traditional_hierarchical,
10.0,1.0,-1,1.8337943442321645,0,59,traditional_hierarchical,
10.0,10.0,0,1.5296316200855338,2799,59,traditional_hierarchical,
10.0,10.0,1,0.9364889785836397,2841,59,traditional_hierarchical,
10.0,10.0,2,1.1501061024319739,3531,59,traditional_hierarchical,
10.0,10.0,-1,1.205408900367049,0,59,traditional_hierarchical,
10.0,100.0,0,2.0431928507887505,2799,59,traditional_hierarchical,
10.0,100.0,1,1.2850310661518107,2841,59,traditional_hierarchical,
10.0,100.0,2,1.449809317049315,3531,59,traditional_hierarchical,
10.0,100.0,-1,1.592677744663292,0,59,traditional_hierarchical,
10.0,1000.0,0,2.1235409418113274,2799,59,traditional_hierarchical,
10.0,1000.0,1,1.3526011168716843,2841,59,traditional_hierarchical,
10.0,1000.0,2,1.4552460839040717,3531,59,traditional_hierarchical,
10.0,1000.0,-1,1.6437960475290279,0,59,traditional_hierarchical,
10.0,10000.0,0,2.1484273171583808,2799,59,traditional_hierarchical,
10.0,10000.0,1,1.3347576045054714,2841,59,traditional_hierarchical,
10.0,10000.0,2,1.43044956108474,3531,59,traditional_hierarchical,
10.0,10000.0,-1,1.6378781609161974,0,59,traditional_hierarchical,
100.0,1.0,0,2.4382364037780637,2799,59,traditional_hierarchical,
100.0,1.0,1,2.765202137536636,2841,59,traditional_hierarchical,
100.0,1.0,2,2.8625560863261144,3531,59,traditional_hierarchical,
100.0,1.0,-1,2.688664875880271,0,59,traditional_hierarchical,
100.0,10.0,0,1.460907175219285,2799,59,traditional_hierarchical,
100.0,10.0,1,2.0207603740046096,2841,59,traditional_hierarchical,
100.0,10.0,2,2.0447912679573093,3531,59,traditional_hierarchical,
100.0,10.0,-1,1.8421529390604015,0,59,traditional_hierarchical,
100.0,100.0,0,1.4718690483314327,2799,59,traditional_hierarchical,
100.0,100.0,1,0.9347209413548418,2841,59,traditional_hierarchical,
100.0,100.0,2,1.074763854207925,3531,59,traditional_hierarchical,
100.0,100.0,-1,1.1604512812980665,0,59,traditional_hierarchical,
100.0,1000.0,0,2.009766796310051,2799,59,traditional_hierarchical,
100.0,1000.0,1,1.203555520999709,2841,59,traditional_hierarchical,
100.0,1000.0,2,1.3275937237348496,3531,59,traditional_hierarchical,
100.0,1000.0,-1,1.5136386803482036,0,59,traditional_hierarchical,
100.0,10000.0,0,2.1002335910017234,2799,59,traditional_hierarchical,
100.0,10000.0,1,1.25608416592545,2841,59,traditional_hierarchical,
100.0,10000.0,2,1.3632468533362556,3531,59,traditional_hierarchical,
100.0,10000.0,-1,1.573188203421143,0,59,traditional_hierarchical,
,,0,2.1005476990015968,2799,59,ml_charge_ridge,0.1
,,1,1.5315495448237009,2841,59,ml_charge_ridge,0.1
,,2,1.5232271409932228,3531,59,ml_charge_ridge,0.1
,,-1,1.7184414616061734,0,59,ml_charge_ridge,0.1
,,0,2.1095240597470917,2799,59,ml_charge_ridge,1.0
,,1,1.519438000526591,2841,59,ml_charge_ridge,1.0
,,2,1.5209974778360176,3531,59,ml_charge_ridge,1.0
,,-1,1.7166531793699,0,59,ml_charge_ridge,1.0
,,0,2.1093660164840777,2799,59,ml_charge_ridge,10.0
,,1,1.4973320185213543,2841,59,ml_charge_ridge,10.0
,,2,1.5030662426338552,3531,59,ml_charge_ridge,10.0
,,-1,1.703254759213096,0,59,ml_charge_ridge,10.0
,,0,2.065822348988603,2799,59,ml_charge_ridge,100.0
,,1,1.3933858116275821,2841,59,ml_charge_ridge,100.0
,,2,1.4383438188655324,3531,59,ml_charge_ridge,100.0
,,-1,1.632517326493906,0,59,ml_charge_ridge,100.0
,,0,1.7334280725771147,2799,59,ml_charge_ridge,1000.0
,,1,1.0639925953345368,2841,59,ml_charge_ridge,1000.0
,,2,1.1751872678035367,3531,59,ml_charge_ridge,1000.0
,,-1,1.324202645238396,0,59,ml_charge_ridge,1000.0
0.01,1.0,0,2.071129894765971,2799,60,traditional_hierarchical,
0.01,1.0,1,1.3388818566145138,2838,60,traditional_hierarchical,
0.01,1.0,2,1.4970965397284455,3399,60,traditional_hierarchical,
0.01,1.0,-1,1.6357027637029766,0,60,traditional_hierarchical,
0.01,10.0,0,2.0797771479610097,2799,60,traditional_hierarchical,
0.01,10.0,1,1.3420099249357815,2838,60,traditional_hierarchical,
0.01,10.0,2,1.4964400250203564,3399,60,traditional_hierarchical,
0.01,10.0,-1,1.6394090326390491,0,60,traditional_hierarchical,
0.01,100.0,0,2.08323155366297,2799,60,traditional_hierarchical,
0.01,100.0,1,1.3449742901338164,2838,60,traditional_hierarchical,
0.01,100.0,2,1.4672457145357836,3399,60,traditional_hierarchical,
0.01,100.0,-1,1.6318171861108566,0,60,traditional_hierarchical,
0.01,1000.0,0,2.0872970805795084,2799,60,traditional_hierarchical,
0.01,1000.0,1,1.3414922767820743,2838,60,traditional_hierarchical,
0.01,1000.0,2,1.420860340875027,3399,60,traditional_hierarchical,
0.01,1000.0,-1,1.6165498994122032,0,60,traditional_hierarchical,
0.01,10000.0,0,2.089757248353351,2799,60,traditional_hierarchical,
0.01,10000.0,1,1.328421428476584,2838,60,traditional_hierarchical,
0.01,10000.0,2,1.383962301060348,3399,60,traditional_hierarchical,
0.01,10000.0,-1,1.600713659296761,0,60,traditional_hierarchical,
0.1,1.0,0,2.008265607386679,2799,60,traditional_hierarchical,
0.1,1.0,1,1.2881670241389078,2838,60,traditional_hierarchical,
0.1,1.0,2,1.4465800574049161,3399,60,traditional_hierarchical,
0.1,1.0,-1,1.581004229643501,0,60,traditional_hierarchical,
0.1,10.0,0,2.073468661955735,2799,60,traditional_hierarchical,
0.1,10.0,1,1.339364584653934,2838,60,traditional_hierarchical,
0.1,10.0,2,1.4953779833992122,3399,60,traditional_hierarchical,
0.1,10.0,-1,1.6360704100029604,0,60,traditional_hierarchical,
0.1,100.0,0,2.0809089981270645,2799,60,traditional_hierarchical,
0.1,100.0,1,1.343565973069275,2838,60,traditional_hierarchical,
0.1,100.0,2,1.472950287957899,3399,60,traditional_hierarchical,
0.1,100.0,-1,1.6324750863847461,0,60,traditional_hierarchical,
0.1,1000.0,0,2.0879472044291276,2799,60,traditional_hierarchical,
0.1,1000.0,1,1.3434715096638117,2838,60,traditional_hierarchical,
0.1,1000.0,2,1.4273183335695176,3399,60,traditional_hierarchical,
0.1,1000.0,-1,1.6195790158874857,0,60,traditional_hierarchical,
0.1,10000.0,0,2.091778800865006,2799,60,traditional_hierarchical,
0.1,10000.0,1,1.33156784083429,2838,60,traditional_hierarchical,
0.1,10000.0,2,1.3855524281958316,3399,60,traditional_hierarchical,
0.1,10000.0,-1,1.6029663566317092,0,60,traditional_hierarchical,
1.0,1.0,0,1.5326919565040147,2799,60,traditional_hierarchical,
1.0,1.0,1,1.0305755549211004,2838,60,traditional_hierarchical,
1.0,1.0,2,1.1447360160088746,3399,60,traditional_hierarchical,
1.0,1.0,-1,1.23600117581133,0,60,traditional_hierarchical,
1.0,10.0,0,2.0095818241529355,2799,60,traditional_hierarchical,
1.0,10.0,1,1.3647488529944414,2838,60,traditional_hierarchical,
1.0,10.0,2,1.4476613838331636,3399,60,traditional_hierarchical,
1.0,10.0,-1,1.6073306869935136,0,60,traditional_hierarchical,
1.0,100.0,0,2.076129164096413,2799,60,traditional_hierarchical,
1.0,100.0,1,1.4191456304349501,2838,60,traditional_hierarchical,
1.0,100.0,2,1.474914646877365,3399,60,traditional_hierarchical,
1.0,100.0,-1,1.6567298138029092,0,60,traditional_hierarchical,
1.0,1000.0,0,2.0871405582660514,2799,60,traditional_hierarchical,
1.0,1000.0,1,1.4150187254968576,2838,60,traditional_hierarchical,
1.0,1000.0,2,1.438871836589791,3399,60,traditional_hierarchical,
1.0,1000.0,-1,1.6470103734509,0,60,traditional_hierarchical,
1.0,10000.0,0,2.0964786047722352,2799,60,traditional_hierarchical,
1.0,10000.0,1,1.402327827917893,2838,60,traditional_hierarchical,
1.0,10000.0,2,1.4001161130908937,3399,60,traditional_hierarchical,
1.0,10000.0,-1,1.6329741819270074,0,60,traditional_hierarchical,
10.0,1.0,0,1.4586326371266773,2799,60,traditional_hierarchical,
10.0,1.0,1,1.9274727004238006,2838,60,traditional_hierarchical,
10.0,1.0,2,1.9541387246980908,3399,60,traditional_hierarchical,
10.0,1.0,-1,1.7800813540828564,0,60,traditional_hierarchical,
10.0,10.0,0,1.5321135062493356,2799,60,traditional_hierarchical,
10.0,10.0,1,1.0308957794942701,2838,60,traditional_hierarchical,
10.0,10.0,2,1.0999623094842481,3399,60,traditional_hierarchical,
10.0,10.0,-1,1.220990531742618,0,60,traditional_hierarchical,
10.0,100.0,0,2.00775996641732,2799,60,traditional_hierarchical,
10.0,100.0,1,1.37793281660185,2838,60,traditional_hierarchical,
10.0,100.0,2,1.4175207611212268,3399,60,traditional_hierarchical,
10.0,100.0,-1,1.6010711813801324,0,60,traditional_hierarchical,
10.0,1000.0,0,2.079246060027849,2799,60,traditional_hierarchical,
10.0,1000.0,1,1.416081177053785,2838,60,traditional_hierarchical,
10.0,1000.0,2,1.426507095002299,3399,60,traditional_hierarchical,
10.0,1000.0,-1,1.6406114440279778,0,60,traditional_hierarchical,
10.0,10000.0,0,2.0953490975439717,2799,60,traditional_hierarchical,
10.0,10000.0,1,1.4091824095079062,2838,60,traditional_hierarchical,
10.0,10000.0,2,1.3959666925773537,3399,60,traditional_hierarchical,
10.0,10000.0,-1,1.6334993998764105,0,60,traditional_hierarchical,
100.0,1.0,0,2.2847391613795582,2799,60,traditional_hierarchical,
100.0,1.0,1,2.608199197226058,2838,60,traditional_hierarchical,
100.0,1.0,2,2.789804364771317,3399,60,traditional_hierarchical,
100.0,1.0,-1,2.5609142411256443,0,60,traditional_hierarchical,
100.0,10.0,0,1.462035866876222,2799,60,traditional_hierarchical,
100.0,10.0,1,1.92806954841321,2838,60,traditional_hierarchical,
100.0,10.0,2,1.9549699599435744,3399,60,traditional_hierarchical,
100.0,10.0,-1,1.7816917917443353,0,60,traditional_hierarchical,
100.0,100.0,0,1.4833661456503595,2799,60,traditional_hierarchical,
100.0,100.0,1,1.0645405504840557,2838,60,traditional_hierarchical,
100.0,100.0,2,1.0703372039105705,3399,60,traditional_hierarchical,
100.0,100.0,-1,1.2060813000149953,0,60,traditional_hierarchical,
100.0,1000.0,0,1.9815524534033073,2799,60,traditional_hierarchical,
100.0,1000.0,1,1.2893933880391106,2838,60,traditional_hierarchical,
100.0,1000.0,2,1.2848269737644833,3399,60,traditional_hierarchical,
100.0,1000.0,-1,1.5185909384023004,0,60,traditional_hierarchical,
100.0,10000.0,0,2.068699429136796,2799,60,traditional_hierarchical,
100.0,10000.0,1,1.3373847366447476,2838,60,traditional_hierarchical,
100.0,10000.0,2,1.3108292558943435,3399,60,traditional_hierarchical,
100.0,10000.0,-1,1.5723044738919623,0,60,traditional_hierarchical,
,,0,2.0713335241339164,2799,60,ml_charge_ridge,0.1
,,1,1.5388943221071714,2838,60,ml_charge_ridge,0.1
,,2,1.5197431893110438,3399,60,ml_charge_ridge,0.1
,,-1,1.7099903451840437,0,60,ml_charge_ridge,0.1
,,0,2.0782478564419486,2799,60,ml_charge_ridge,1.0
,,1,1.536467746358253,2838,60,ml_charge_ridge,1.0
,,2,1.517908055631002,3399,60,ml_charge_ridge,1.0
,,-1,1.7108745528104012,0,60,ml_charge_ridge,1.0
,,0,2.0837363738504044,2799,60,ml_charge_ridge,10.0
,,1,1.5236975757615867,2838,60,ml_charge_ridge,10.0
,,2,1.4874176025187476,3399,60,ml_charge_ridge,10.0
,,-1,1.6982838507102462,0,60,ml_charge_ridge,10.0
,,0,2.053309177806711,2799,60,ml_charge_ridge,100.0
,,1,1.45561960940342,2838,60,ml_charge_ridge,100.0
,,2,1.411626835608263,3399,60,ml_charge_ridge,100.0
,,-1,1.6401852076061314,0,60,ml_charge_ridge,100.0
,,0,1.748269259570371,2799,60,ml_charge_ridge,1000.0
,,1,1.0912679346635161,2838,60,ml_charge_ridge,1000.0
,,2,1.131938280063034,3399,60,ml_charge_ridge,1000.0
,,-1,1.3238251580989737,0,60,ml_charge_ridge,1000.0
0.01,1.0,0,1.5212348731527776,2622,61,traditional_hierarchical,
0.01,1.0,1,1.4986002072002047,2640,61,traditional_hierarchical,
0.01,1.0,2,1.6057652783521812,3399,61,traditional_hierarchical,
0.01,1.0,-1,1.5418667862350546,0,61,traditional_hierarchical,
0.01,10.0,0,1.5142545017876423,2622,61,traditional_hierarchical,
0.01,10.0,1,1.5010906782358466,2640,61,traditional_hierarchical,
0.01,10.0,2,1.605539554827088,3399,61,traditional_hierarchical,
0.01,10.0,-1,1.540294911616859,0,61,traditional_hierarchical,
0.01,100.0,0,1.5023980565750075,2622,61,traditional_hierarchical,
0.01,100.0,1,1.506331722098376,2640,61,traditional_hierarchical,
0.01,100.0,2,1.5817503595452937,3399,61,traditional_hierarchical,
0.01,100.0,-1,1.5301600460728924,0,61,traditional_hierarchical,
0.01,1000.0,0,1.4815389839652355,2622,61,traditional_hierarchical,
0.01,1000.0,1,1.5186991027218042,2640,61,traditional_hierarchical,
0.01,1000.0,2,1.5781430328834563,3399,61,traditional_hierarchical,
0.01,1000.0,-1,1.526127039856832,0,61,traditional_hierarchical,
0.01,10000.0,0,1.4776322842766465,2622,61,traditional_hierarchical,
0.01,10000.0,1,1.5280183921000838,2640,61,traditional_hierarchical,
0.01,10000.0,2,1.5830561772861536,3399,61,traditional_hierarchical,
0.01,10000.0,-1,1.5295689512209611,0,61,traditional_hierarchical,
0.1,1.0,0,1.4599245683144213,2622,61,traditional_hierarchical,
0.1,1.0,1,1.4323199075090647,2640,61,traditional_hierarchical,
0.1,1.0,2,1.5433053778711066,3399,61,traditional_hierarchical,
0.1,1.0,-1,1.4785166178981974,0,61,traditional_hierarchical,
0.1,10.0,0,1.5084636825296787,2622,61,traditional_hierarchical,
0.1,10.0,1,1.4979060506641013,2640,61,traditional_hierarchical,
0.1,10.0,2,1.5966989860137608,3399,61,traditional_hierarchical,
0.1,10.0,-1,1.5343562397358468,0,61,traditional_hierarchical,
0.1,100.0,0,1.5032949441937224,2622,61,traditional_hierarchical,
0.1,100.0,1,1.506677411955139,2640,61,traditional_hierarchical,
0.1,100.0,2,1.587208493514848,3399,61,traditional_hierarchical,
0.1,100.0,-1,1.53239361655457,0,61,traditional_hierarchical,
0.1,1000.0,0,1.4831732037205476,2622,61,traditional_hierarchical,
0.1,1000.0,1,1.5239862482469022,2640,61,traditional_hierarchical,
0.1,1000.0,2,1.58516276974093,3399,61,traditional_hierarchical,
0.1,1000.0,-1,1.5307740739027933,0,61,traditional_hierarchical,
0.1,10000.0,0,1.4782522469771946,2622,61,traditional_hierarchical,
0.1,10000.0,1,1.5324365970280536,2640,61,traditional_hierarchical,
0.1,10000.0,2,1.5881941318022537,3399,61,traditional_hierarchical,
0.1,10000.0,-1,1.532960991935834,0,61,traditional_hierarchical,
1.0,1.0,0,1.0870497831949555,2622,61,traditional_hierarchical,
