alpha,n,mean_lift,mean_q_shift,mean_cfd_shift_ns,tail_delta,heldout_run
1.0,3455,0.08477633639524773,-0.07714008577584695,0.39706703976053304,-0.002251147099682386,60
0.0,3418,0.0,0.0,0.0,0.0,61
0.1,3418,0.009105697756888598,-0.009014081090423936,0.04387213540403915,-0.0004058441558441525,61
0.2,3418,0.018211395513777172,-0.017848633128204883,0.08723556637963326,-0.0010336146321499179,61
0.25,3418,0.022764244392221834,-0.022199057636065434,0.10879613658449795,-0.0010336146321499179,61
0.3,3418,0.027317093270666136,-0.026505713322772916,0.13030634096440194,-0.0013041774027126897,61
0.4,3418,0.03642279102755434,-0.03498185218874317,0.1731279813298381,-0.0014394587879940739,61
0.5,3418,0.045528488784443696,-0.04328943562006737,0.21576930240019104,-0.0013041774027126897,61
0.75,3418,0.06829273317666534,-0.06337152850679727,0.3215050213418535,-0.0015747401732754615,61
1.0,3418,0.09105697756888743,-0.0822876500009486,0.42583781884645105,-0.002264063412849956,61
0.0,3395,0.0,0.0,0.0,0.0,62
0.1,3395,0.008631426204884806,-0.008546436072147686,0.041350259393102655,-0.00040584415584415945,62
0.2,3395,0.017262852409769543,-0.016926662556578216,0.08221891999296131,-0.0010336146321499248,62
0.25,3395,0.021578565512211857,-0.021056356247114116,0.10255394575661624,-0.0010336146321499248,62
0.3,3395,0.02589427861465424,-0.025139961958564657,0.12282966019718049,-0.0010336146321499248,62
0.4,3395,0.0345257048195391,-0.03318264629526401,0.16325701081373162,-0.0014394587879940773,62
0.5,3395,0.043157131024423735,-0.041076064793422525,0.20350091878765214,-0.0013041774027126862,62
0.75,3395,0.06473569653663538,-0.06018825384252363,0.3030311889966615,-0.0015747401732754615,62
1.0,3395,0.08631426204884748,-0.07834465230308467,0.40154102968863525,-0.0022640634128499627,62
0.0,2963,0.0,0.0,0.0,0.0,63
0.1,2963,0.00889422006183805,-0.008806887407902145,0.041332839675769964,-0.0006764069264069347,63
0.2,2963,0.017788440123676114,-0.017442959714475948,0.08241464766010623,-0.0008116883116883189,63
0.25,2963,0.02223555015459492,-0.021698079494771344,0.10282822841970127,-0.0008116883116883189,63
0.3,2963,0.026682660185513688,-0.025912710074908876,0.12316146402917771,-0.0009469696969696961,63
0.4,2963,0.03557688024735223,-0.03421751438946395,0.16369995847909555,-0.0012175324675324714,63
0.5,2963,0.04447110030918979,-0.04236152226775382,0.20398763020900137,-0.0013528138528138556,63
0.75,2963,0.06670665046378454,-0.06206265701342941,0.30356653847630594,-0.0014880952380952467,63
1.0,2963,0.08894220061837943,-0.08075016680170041,0.40203388895697123,-0.002583262633513897,63
0.0,3316,0.0,0.0,0.0,0.0,65
0.1,3316,0.008775531303166047,-0.008683646433232533,0.041968965340109694,-0.0005411255411255436,65
0.2,3316,0.017551062606332112,-0.017187910509082277,0.08347505802468318,-0.0010336146321499283,65
0.25,3316,0.021938828257915006,-0.02137359389848798,0.10414685128270808,-0.0010336146321499283,65
0.3,3316,0.026326593909498177,-0.025509880533964028,0.12477251213444635,-0.0010336146321499283,65
0.4,3316,0.035102125212664224,-0.03365405796886131,0.16588549067836758,-0.0013041774027126897,65
0.5,3316,0.04387765651583003,-0.041638441905741876,0.2068265288583851,-0.0014394587879940773,65
0.75,3316,0.06581648477374502,-0.06094373506413703,0.3084016662127209,-0.001574740173275465,65
1.0,3316,0.08775531303166002,-0.07927593534921648,0.4089654608163553,-0.0022025106495812304,65
