run,window,method,n,res68_abs_frac,bias_median_frac,frac_within10
62,w3_5,mlp_masked,2133,0.12631547940508037,-0.0001092426325335364,0.5766526019690577
62,w4_6,observed_ceiling,2133,0.25678186547751763,-0.1972707204495284,0.1875293014533521
62,w4_6,traditional_template,2133,0.575258794953656,-0.004785193747146305,0.20018752930145337
62,w4_6,gbr_masked,2133,0.0991806280706319,0.034580080609093414,0.6854195968120019
62,w4_6,mlp_masked,2133,0.10214181704044312,0.02373851015902046,0.6713548992030005
62,w5_7,observed_ceiling,2133,0.25678186547751763,-0.1972707204495284,0.1875293014533521
62,w5_7,traditional_template,2133,0.3216943470341073,-0.10443505497085613,0.21518987341772153
62,w5_7,gbr_masked,2133,0.11152512247005256,0.03937937889474303,0.6324425691514299
62,w5_7,mlp_masked,2133,0.12424752819677717,0.023208576797846072,0.5344585091420534
62,w3_7,observed_ceiling,2133,0.25678186547751763,-0.1972707204495284,0.1875293014533521
62,w3_7,traditional_template,2133,0.48524603820704215,-0.04826731054966807,0.21190811064228784
62,w3_7,gbr_masked,2133,0.09744429244907876,0.038295650137080785,0.6985466479137366
62,w3_7,mlp_masked,2133,0.10716638160693968,0.027816517961257926,0.6375996249413971
62,w2_8,observed_ceiling,2133,0.25678186547751763,-0.1972707204495284,0.1875293014533521
62,w2_8,traditional_template,2133,0.2600761497074254,-0.07990002840146959,0.35114861697140176
62,w2_8,gbr_masked,2133,0.08119439345095132,0.032026142611323694,0.7777777777777778
62,w2_8,mlp_masked,2133,0.08730174773469587,-0.01663423761431843,0.7355836849507735
63,s3,observed_ceiling,2444,0.2869214093410166,-0.2287297982835641,0.14648117839607203
63,s3,traditional_template,2444,7.397893403264633,-0.05224498136714307,0.08101472995090016
63,s3,gbr_masked,2444,0.14575669680090048,-0.015455138032822849,0.44762684124386254
63,s3,mlp_masked,2444,0.14499232889730926,-0.04656533228256904,0.4590834697217676
63,s4,observed_ceiling,2444,0.2869214093410166,-0.2287297982835641,0.14648117839607203
63,s4,traditional_template,2444,2.360018152213581,0.06793960442158956,0.0953355155482815
63,s4,gbr_masked,2444,0.14388840332421024,-0.009134158734456919,0.47422258592471356
63,s4,mlp_masked,2444,0.1442449595598828,-0.03652615422958855,0.45662847790507366
63,s5,observed_ceiling,2444,0.2869214093410166,-0.2287297982835641,0.14648117839607203
63,s5,traditional_template,2444,0.38241484844514373,-0.07945457378961265,0.14034369885433715
