window,method,res68_abs_frac,res68_abs_frac_ci95,bias_median_frac,bias_median_frac_ci95,frac_within10,frac_within10_ci95
s6,observed_ceiling,0.2675531010991482,"[0.2589357105130612, 0.2767055335977779]",-0.20765416762119807,"[-0.2184500759733593, -0.1976948038441109]",0.168724981153133,"[0.1520236859294454, 0.18629724341345424]"
s6,traditional_template,0.2641157459666939,"[0.2538482256069836, 0.27696143098297965]",-0.2016860890649245,"[-0.21473582748388254, -0.19039684606895588]",0.20717506017819493,"[0.18803577672707064, 0.22551562818007226]"
s7,gbr_masked,0.14062456466007583,"[0.13794326722784853, 0.14297761567856015]",0.013923016363935318,"[0.002530375769252872, 0.025279228426107535]",0.48849522911230536,"[0.47651392114054764, 0.5023403573997779]"
s7,mlp_masked,0.14177335944925798,"[0.1399991958565546, 0.1435455697059416]",0.004933912251474028,"[-0.013376934245887956, 0.01917036425386665]",0.49208918131317303,"[0.47942746227383987, 0.502900843375219]"
s7,observed_ceiling,0.2675531010991482,"[0.2589262469832879, 0.27795784012597574]",-0.20765416762119807,"[-0.2183393771261798, -0.19764862860213347]",0.168724981153133,"[0.15313152019632512, 0.18318487543827863]"
s7,traditional_template,0.2674993008743966,"[0.25786978133735766, 0.27854812436988224]",-0.20760760983740653,"[-0.21870373021377423, -0.19618390720442874]",0.16945703452260827,"[0.15329570885530047, 0.1856955190872407]"
w2_4,gbr_masked,0.1428724493491769,"[0.1403780889163982, 0.14527322432423515]",0.02621154407910737,"[0.010644175912098918, 0.040922747666277653]",0.48095585983564637,"[0.47075380123803434, 0.4902567314275501]"
w2_4,mlp_masked,0.14682366520864282,"[0.14225644680392796, 0.1527088137461622]",0.022734262941521973,"[0.0024740373468708147, 0.04278080677037155]",0.471191158605427,"[0.4546167311487373, 0.4871333268844714]"
w2_4,observed_ceiling,0.2675531010991482,"[0.2592449506532039, 0.2769735914773221]",-0.20765416762119807,"[-0.2186895888811844, -0.1970079220488806]",0.168724981153133,"[0.1527960878861874, 0.1844607443579007]"
w2_4,traditional_template,3.022758563090408,"[1.9977075280135141, 4.426387929759347]",0.3032911119730813,"[-0.01796999441662899, 0.749274429175545]",0.10836260827141096,"[0.09827975245031383, 0.1169800120429464]"
w2_8,gbr_masked,0.08120972878215624,"[0.07932581229244448, 0.08295661889138492]",0.029168391594658696,"[0.0240264131253684, 0.033155229339852106]",0.780679551738468,"[0.7723610837432571, 0.7880543739809774]"
w2_8,mlp_masked,0.10546136539153957,"[0.08244974032269173, 0.13670727422131548]",0.014942215758194793,"[-0.009758441703740975, 0.05282118811110202]",0.6817703084245282,"[0.5997970756407874, 0.7491610571145533]"
w2_8,observed_ceiling,0.2675531010991482,"[0.25873169365744114, 0.2774655167264178]",-0.20765416762119807,"[-0.2182694051412744, -0.19763755436118569]",0.168724981153133,"[0.15051950835546904, 0.1853069616655636]"
w2_8,traditional_template,0.2746753368322311,"[0.2579978483512164, 0.2940569625590832]",-0.07683093957451845,"[-0.09492288134363869, -0.06067251481438999]",0.3411550708167609,"[0.329247264615669, 0.35702499534356363]"
w3_5,gbr_masked,0.10716485451259018,"[0.10060311519990857, 0.11285814997912366]",0.028279610186630295,"[0.019436561489198288, 0.03568751901510337]",0.6461518988214024,"[0.6167856603864816, 0.6779747756225879]"
w3_5,mlp_masked,0.12307827119524427,"[0.10923789359369183, 0.13695738513893685]",0.013355445847626827,"[-0.0028096732749216054, 0.0333200663784776]",0.5921580301634408,"[0.5344628541600657, 0.6451786613564126]"
w3_5,observed_ceiling,0.2675531010991482,"[0.25801815242999143, 0.2764753500005006]",-0.20765416762119807,"[-0.21900017406174174, -0.1980394616403869]",0.168724981153133,"[0.15298471454296547, 0.18532708435427847]"
w3_5,traditional_template,0.9589675190641032,"[0.8293727039293823, 1.1094508008732396]",0.22609453183703762,"[0.07366767023950761, 0.37179522332300996]",0.1352105259460529,"[0.1253042402917509, 0.14368910594932305]"
w3_7,gbr_masked,0.09575442489812465,"[0.09411505348005499, 0.09713279786497006]",0.03254229025943558,"[0.02542207855988171, 0.03970140356715873]",0.7065128376596481,"[0.6975363657861466, 0.7187941135320742]"
w3_7,mlp_masked,0.10287836232727342,"[0.09720807377191787, 0.10827444677824986]",0.02262973498358701,"[0.010609861518228606, 0.03288052753101583]",0.6647520593452049,"[0.638572620659896, 0.6916224062587811]"
w3_7,observed_ceiling,0.2675531010991482,"[0.25839688820570833, 0.27757935662963373]",-0.20765416762119807,"[-0.21938191467503892, -0.19724010152729077]",0.168724981153133,"[0.15138182335564276, 0.18814996948067578]"
w3_7,traditional_template,0.5726263781847837,"[0.43649386533853385, 0.7199814416279623]",0.033155185601781906,"[-0.037710872067095266, 0.10630228045449694]",0.19275007997141014,"[0.1794421964012507, 0.20522724416828997]"
w4_6,gbr_masked,0.09694473393136552,"[0.094117845993417, 0.09957148331683842]",0.029797614424734616,"[0.022358002239310427, 0.037843250020047216]",0.6982031872836366,"[0.6814166819142161, 0.715230915173917]"
w4_6,mlp_masked,0.12042697635254576,"[0.1110583152840398, 0.12959137782474556]",0.028264501976437612,"[0.00999922554366409, 0.04511740788793817]",0.5916586933878365,"[0.5580177528350213, 0.6294633023515638]"
w4_6,observed_ceiling,0.2675531010991482,"[0.2582579637815801, 0.2768394101637328]",-0.20765416762119807,"[-0.21878320347246447, -0.19782002958175232]",0.168724981153133,"[0.150366206352416, 0.1844673011443254]"
w4_6,traditional_template,0.6176770874720131,"[0.47580291238044026, 0.7614016116194616]",0.06366811994487213,"[-0.010088130945552559, 0.13955797679844842]",0.17809038140277075,"[0.1655954560602192, 0.1910517633062939]"
w5_7,gbr_masked,0.11118941247903028,"[0.10895695593288784, 0.11323206494333199]",0.026282589852287826,"[0.018182392378032094, 0.0335054707081913]",0.623324056520808,"[0.6095905144611824, 0.6357385256896071]"
w5_7,mlp_masked,0.12133339134059391,"[0.1183315415450245, 0.12329213204629182]",0.005229328532822657,"[-0.009699837845579198, 0.018564649105125494]",0.5778590250324228,"[0.5598999237084459, 0.5932046657444521]"
w5_7,observed_ceiling,0.2675531010991482,"[0.25873151939533157, 0.277274491751502]",-0.20765416762119807,"[-0.21835270130471057, -0.19764760571133774]",0.168724981153133,"[0.15240378704783958, 0.1833623604166604]"
w5_7,traditional_template,0.346927806180701,"[0.3176723536914082, 0.3803689823475055]",-0.07924923248603584,"[-0.11377712449287768, -0.03201005741489766]",0.19443741301166576,"[0.18121935021128252, 0.20858023562319244]"
