window,method,timing_tail_frac_abs_gt5ns,timing_tail_frac_abs_gt5ns_ci95,timing_tail_delta_vs_observed,timing_tail_delta_vs_observed_ci95,q_template_shift_vs_observed,q_template_shift_vs_observed_ci95,amp_ratio_median,amp_ratio_median_ci95
s7,traditional_template,0.6979816354816355,"[0.5917925824175824, 0.827382293007293]",0.0,"[0.0, 0.0]",0.0,"[0.0, 0.0]",1.0,"[1.0, 1.0]"
w2_4,gbr_masked,0.7156630531630531,"[0.6081399737649739, 0.8363978504603504]",0.0176814176814177,"[-0.004418704418704416, 0.042615995115995134]",0.02373783680422916,"[0.017559050340436075, 0.03179218419822171]",1.2849317815748518,"[1.281283959168782, 1.28907599227675]"
w2_4,mlp_masked,0.7069211087068231,"[0.6121271143592573, 0.8114291268309124]",0.00893947322518751,"[-0.02640306122448978, 0.06593406593406594]",0.002382510891098588,"[-0.0014773074117921075, 0.008722899575840914]",1.0593481324111986,"[1.0059158857882515, 1.132867927035086]"
w2_4,traditional_template,0.6229065673190097,"[0.4655108212639894, 0.7820053626289225]",-0.07507506816262578,"[-0.13968937648373134, -0.023100485564483304]",0.1381683383338022,"[0.09887525613764381, 0.177063533723202]",1.5208627926269835,"[1.1580139641350118, 1.8911385223777588]"
w2_8,gbr_masked,0.7260568260568261,"[0.6097069597069597, 0.8462033462033461]",0.028075190575190572,"[-0.007593307593307611, 0.07877190377190375]",0.003798227547606146,"[0.00025341149324683947, 0.007892359993315666]",1.1251244472146222,"[1.115825424961997, 1.1342180643972315]"
w2_8,mlp_masked,0.692088171844287,"[0.6037774966602438, 0.8026366890039598]",-0.005893463637348535,"[-0.04061739768662369, 0.028166564630750044]",-0.004541125169898209,"[-0.01252658559300549, 0.0008725285789521085]",1.0251343749015518,"[1.0, 1.0754031247046556]"
w2_8,traditional_template,0.6979816354816355,"[0.5859260531135531, 0.819558346120846]",0.0,"[0.0, 0.0]",8.676207779627948e-06,"[0.0, 2.6028623338883845e-05]",1.0,"[1.0, 1.0]"
w3_5,gbr_masked,0.6901375276375276,"[0.5730896074646075, 0.8282423048048049]",-0.007844107844107844,"[-0.04105534105534108, 0.02524502524502527]",0.014930472540258791,"[0.007571680644285104, 0.021832494373533705]",1.212285899945099,"[1.1870079591630047, 1.2375591210463806]"
w3_5,mlp_masked,0.6955973766394509,"[0.6047485381138757, 0.8249890989500823]",-0.002384258842184469,"[-0.026978051926682057, 0.02855067923561077]",0.0005085399477537746,"[-0.0009188622139725822, 0.0019362651168178203]",1.0331122015987642,"[1.0, 1.068992976308149]"
w3_5,traditional_template,0.6639284455337157,"[0.594935949989752, 0.7347963823110831]",-0.034053189947919886,"[-0.10528843197691834, 0.03144027615257431]",0.13531765275265922,"[0.1218860610074482, 0.14953617106168188]",1.9954071881738908,"[1.8654565741855926, 2.1445369589115555]"
w3_7,gbr_masked,0.7115500115500115,"[0.6071382783882784, 0.8290460102960103]",0.013568376068376067,"[-0.012698412698412717, 0.04189560439560442]",0.008065579965952847,"[0.003256622437227359, 0.012976194408850244]",1.150319154857169,"[1.1346596990545668, 1.1636137272697713]"
w3_7,mlp_masked,0.6892079808010786,"[0.5909858292567963, 0.8155816071747051]",-0.008773654680556766,"[-0.03884504631896284, 0.026119469971797385]",0.00392754183466551,"[-0.0014297163160483756, 0.01345657835541253]",1.0118856590938379,"[1.0, 1.0356569772815132]"
w3_7,traditional_template,0.6870850245850246,"[0.5844200244200245, 0.8302514499389498]",-0.010896610896610901,"[-0.026340626340626346, 0.0]",0.006090167605402165,"[-0.0007721186597959055, 0.01614825807057697]",1.0211632087616296,"[1.0100465596067028, 1.0340260799660783]"
w4_6,gbr_masked,0.7038280038280037,"[0.5965508365508365, 0.8260877635877636]",0.005846368346368346,"[-0.026769626769626798, 0.04189560439560442]",0.015133255247175107,"[0.008648757166972661, 0.022350654621217686]",1.1849288098981778,"[1.1723971982622117, 1.1991093945479627]"
w4_6,mlp_masked,0.7159952272311825,"[0.6129302541521643, 0.8313740004048993]",0.018013591749546816,"[-0.003847354268702592, 0.04382610632610636]",0.0021358398318124805,"[-2.694564806826616e-05, 0.006383516964762652]",1.0372589941102262,"[1.0, 1.1117769823306785]"
w4_6,traditional_template,0.7066045441045441,"[0.6103783041283042, 0.824385859073359]",0.008622908622908614,"[-0.021535821535821547, 0.04671814671814672]",0.1332758560021603,"[0.12009416271221256, 0.1478927152992311]",1.4147786665186224,"[1.2590649266626108, 1.55043517545948]"
w5_7,gbr_masked,0.7198297198297199,"[0.6202622265122266, 0.8403386215886215]",0.021848084348084367,"[0.0019305019305019425, 0.045906964656964686]",0.010198464001867361,"[0.006068908254155871, 0.013463804827405659]",1.1792000279435768,"[1.160194691938974, 1.199034778783376]"
w5_7,mlp_masked,0.7225324225324226,"[0.6375873675873676, 0.8352429214929215]",0.02455078705078706,"[-0.015426659489159477, 0.06282623626373622]",0.004695761220250608,"[0.0, 0.013446373049531073]",1.0335269228310158,"[1.0, 1.0927695048699309]"
w5_7,traditional_template,0.6870850245850246,"[0.5871613371613371, 0.8413127413127413]",-0.010896610896610901,"[-0.026385671385671387, 0.0]",0.005937131269670275,"[-0.0007961694322687888, 0.016428674895357903]",1.0198508433364875,"[1.0089006213640015, 1.0319904429840103]"
