method,estimator,n_shared_cells,n_b2_covariances,n_downstream_covariances,b2_signed_cov_ns2,downstream_signed_cov_ns2,b2_minus_downstream_cov_ns2,inferred_correlated_fraction,left_out_run
raw_pair_median,median_centered,54,162,162,182.80965679848978,11.279109412096707,171.53054738639307,0.9383013479176889,58
raw_pair_median,median_centered,47,141,141,197.67787769985495,11.713805900049618,185.96407179980534,0.940742960029977,59
raw_pair_median,median_centered,47,141,141,219.6205707322294,12.237214758787525,207.38335597344187,0.9442801978066633,60
raw_pair_median,median_centered,47,141,141,237.9148838655149,9.581280667709462,228.33360319780545,0.9597281157360233,61
raw_pair_median,median_centered,48,144,144,219.8769894762539,11.989837802556464,207.88715167369745,0.9454702475638028,62
raw_pair_median,median_centered,49,147,147,184.6151409600011,10.871462167618143,173.74367879238295,0.9411128355394557,63
raw_pair_median,median_centered,55,165,165,187.57425182190542,11.452601592177666,176.12165022972775,0.9389436370880397,65
raw_pair_median,pearson,54,162,162,161.37199192839316,10.985164744392645,150.3868271840005,0.931926447625018,45
raw_pair_median,pearson,56,168,168,170.6525867614487,10.896634935933433,159.75595182551527,0.9361472618568297,48
raw_pair_median,pearson,56,168,168,170.6525867614487,10.896634935933433,159.75595182551527,0.9361472618568297,49
raw_pair_median,pearson,55,165,165,157.5325773872087,10.96890534359939,146.5636720436093,0.9303705587407596,50
raw_pair_median,pearson,55,165,165,165.22436872699092,10.933468009128232,154.29090071786268,0.9338265408827545,51
raw_pair_median,pearson,56,168,168,170.6525867614487,10.896634935933433,159.75595182551527,0.9361472618568297,52
raw_pair_median,pearson,54,162,162,149.4039559640075,11.012058566541311,138.3918973974662,0.9262933936689456,53
raw_pair_median,pearson,54,162,162,157.17897103217257,10.94875220326695,146.2302188289056,0.930342130811978,54
raw_pair_median,pearson,55,165,165,164.21175780843333,10.949277483868727,153.2624803245646,0.9333222076786853,55
raw_pair_median,pearson,54,162,162,149.247622739687,11.033852260187565,138.21377047949943,0.9260701640827308,56
raw_pair_median,pearson,56,168,168,170.6525867614487,10.896634935933433,159.75595182551527,0.9361472618568297,57
raw_pair_median,pearson,54,162,162,167.85613196038375,10.781673586195383,157.07445837418837,0.9357683662772593,58
raw_pair_median,pearson,47,141,141,181.052928555056,11.125433819335141,169.92749473572087,0.9385514837670685,59
raw_pair_median,pearson,47,141,141,201.26585047010326,11.638947478229147,189.62690299187412,0.9421712752012144,60
raw_pair_median,pearson,47,141,141,217.48884629837457,9.388499068166071,208.10034723020848,0.9568322733420273,61
raw_pair_median,pearson,48,144,144,201.331380681791,11.389968449681039,189.94141223210994,0.9434267603435196,62
raw_pair_median,pearson,49,147,147,169.09414117055138,10.352695790441617,158.74144538010975,0.9387755500056048,63
raw_pair_median,pearson,55,165,165,171.49061867403478,10.942609120513124,160.54800955352167,0.9361912085621864,65
raw_pair_median,winsor_mad,54,162,162,12.367371624044155,0.9810483148585346,11.38632330918562,0.920674469508847,45
raw_pair_median,winsor_mad,56,168,168,12.801259641626377,0.9839435526952586,11.817316088931118,0.9231369739977987,48
raw_pair_median,winsor_mad,56,168,168,12.801259641626377,0.9839435526952586,11.817316088931118,0.9231369739977987,49
raw_pair_median,winsor_mad,55,165,165,12.360771257629345,0.9815368768379371,11.379234380791408,0.9205925863054775,50
raw_pair_median,winsor_mad,55,165,165,12.683795201492028,0.9849608982685744,11.698834303223453,0.9223449383546724,51
raw_pair_median,winsor_mad,56,168,168,12.801259641626377,0.9839435526952586,11.817316088931118,0.9231369739977987,52
raw_pair_median,winsor_mad,54,162,162,12.012349032180092,0.9855239489298132,11.026825083250278,0.9179574331140665,53
raw_pair_median,winsor_mad,54,162,162,12.169674990568513,0.9765662206359214,11.193108769932591,0.9197541247902873,54
raw_pair_median,winsor_mad,55,165,165,12.53157733840097,0.9841525994385916,11.547424738962379,0.9214661831577405,55
raw_pair_median,winsor_mad,54,162,162,12.084141222303332,0.9847987551698649,11.099342467133468,0.9185048621119843,56
raw_pair_median,winsor_mad,56,168,168,12.801259641626377,0.9839435526952586,11.817316088931118,0.9231369739977987,57
raw_pair_median,winsor_mad,54,162,162,12.711777091122283,0.963079201380486,11.748697889741797,0.9242372490898156,58
raw_pair_median,winsor_mad,47,141,141,11.429756082012466,0.9491333864946185,10.480622695517846,0.9169594364320413,59
raw_pair_median,winsor_mad,47,141,141,15.486979029293444,1.0494035192904692,14.437575510002976,0.9322396241832875,60
raw_pair_median,winsor_mad,47,141,141,15.97366111290585,0.9691361535257706,15.00452495938008,0.9393291151805667,61
raw_pair_median,winsor_mad,48,144,144,14.433177794690893,1.0209056399029746,13.41227215478792,0.9292667453817063,62
raw_pair_median,winsor_mad,49,147,147,11.331820651900124,0.9744081085413598,10.357412543358764,0.9140113368827479,63
raw_pair_median,winsor_mad,55,165,165,12.8484972630472,0.9802577192125277,11.868239543834672,0.9237064304763648,65
traditional_saturation_ridge,winsor_mad,54,162,162,29.067431310584794,11.585217949630227,17.482213360954567,0.6014364728055102,45
traditional_saturation_ridge,winsor_mad,56,168,168,30.23469698003232,11.78788986061402,18.446807119418303,0.6101204563618081,48
traditional_saturation_ridge,winsor_mad,56,168,168,30.23469698003232,11.78788986061402,18.446807119418303,0.6101204563618081,49
traditional_saturation_ridge,winsor_mad,55,165,165,29.522924381585725,11.598627906213204,17.924296475372522,0.6071314698943716,50
traditional_saturation_ridge,winsor_mad,55,165,165,29.65266469091026,11.730278581001125,17.922386109909134,0.6044106422382697,51
traditional_saturation_ridge,winsor_mad,56,168,168,30.23469698003232,11.78788986061402,18.446807119418303,0.6101204563618081,52
traditional_saturation_ridge,winsor_mad,54,162,162,29.149638024556,11.334367134416526,17.815270890139473,0.6111661103692497,53
traditional_saturation_ridge,winsor_mad,54,162,162,29.617900430938718,11.62971697622525,17.988183454713468,0.6073416141247844,54
traditional_saturation_ridge,winsor_mad,55,165,165,29.935003336411317,11.632948230667653,18.302055105743662,0.6113931206241769,55
traditional_saturation_ridge,winsor_mad,54,162,162,29.252844605420616,11.53395313216412,17.718891473256498,0.6057151607735662,56
traditional_saturation_ridge,winsor_mad,56,168,168,30.23469698003232,11.78788986061402,18.446807119418303,0.6101204563618081,57
traditional_saturation_ridge,winsor_mad,54,162,162,29.915421039139336,11.7647583899577,18.150662649181633,0.6067326488714473,58
traditional_saturation_ridge,winsor_mad,47,141,141,28.483709548811746,12.479440394598601,16.004269154213144,0.5618744681687992,59
traditional_saturation_ridge,winsor_mad,47,141,141,33.07192508378218,12.05851322010057,21.01341186368161,0.6353852039289413,60
traditional_saturation_ridge,winsor_mad,47,141,141,34.83786295798032,11.527453846722368,23.310409111257954,0.6691113384128584,61
traditional_saturation_ridge,winsor_mad,48,144,144,33.02674854988749,12.635709538350183,20.39103901153731,0.6174098240623439,62
traditional_saturation_ridge,winsor_mad,49,147,147,29.152028995053158,11.99158206768678,17.16044692736638,0.5886536038461802,63
traditional_saturation_ridge,winsor_mad,55,165,165,30.3555318478916,11.832723902276605,18.522807945614996,0.6101954674499149,65
