stave,amp_atom,shape_atom,topology_atom,atom_id,n_pulses,n_events,median_log_amp,median_rise_ns,heldout_run
B6,0,0,low_amp_stave,B6_A0_S0_low_amp_stave,3,3,7.338888133838879,9.232283464566919,58
B6,0,0,mid_amp_stave,B6_A0_S0_mid_amp_stave,3,3,7.546974117516527,7.155029819037502,58
B6,0,1,low_amp_stave,B6_A0_S1_low_amp_stave,4,4,7.326673110599405,10.726689498533489,58
B6,0,1,mid_amp_stave,B6_A0_S1_mid_amp_stave,1,1,7.661762347798845,11.091967702433791,58
B6,0,2,low_amp_stave,B6_A0_S2_low_amp_stave,6,6,7.544817301304429,12.216403766455853,58
B6,0,2,mid_amp_stave,B6_A0_S2_mid_amp_stave,3,3,7.595135864647745,12.130972894932938,58
B6,1,0,mid_amp_stave,B6_A1_S0_mid_amp_stave,5,5,7.771488760117616,7.823729648968776,58
B6,1,1,high_amp_stave,B6_A1_S1_high_amp_stave,1,1,7.697348357810335,11.169738998127343,58
B6,1,1,mid_amp_stave,B6_A1_S1_mid_amp_stave,4,4,7.833099508078572,10.731734780951257,58
B6,1,2,low_amp_stave,B6_A1_S2_low_amp_stave,5,5,7.796057974316123,12.158297298898233,58
B6,1,2,mid_amp_stave,B6_A1_S2_mid_amp_stave,7,7,7.798523053625206,12.130048865024094,58
B6,2,0,high_amp_stave,B6_A2_S0_high_amp_stave,1,1,8.04012466444838,9.301349325337327,58
B6,2,0,low_amp_stave,B6_A2_S0_low_amp_stave,1,1,7.9643295563033485,8.940028792856026,58
B6,2,1,high_amp_stave,B6_A2_S1_high_amp_stave,1,1,7.9868449011613825,11.190920522919193,58
B6,2,1,low_amp_stave,B6_A2_S1_low_amp_stave,5,5,7.937910267005339,10.683112535099724,58
B6,2,1,mid_amp_stave,B6_A2_S1_mid_amp_stave,5,5,7.9815624487312755,11.164369324212764,58
B6,2,2,high_amp_stave,B6_A2_S2_high_amp_stave,4,4,7.959447398485983,12.16113998971343,58
B6,2,2,low_amp_stave,B6_A2_S2_low_amp_stave,2,2,7.892364107226543,12.127201008288857,58
B6,2,2,mid_amp_stave,B6_A2_S2_mid_amp_stave,2,2,7.937218038971322,11.694852295286385,58
B6,3,0,high_amp_stave,B6_A3_S0_high_amp_stave,5,5,8.118951928397392,9.490445442037931,58
B6,3,1,high_amp_stave,B6_A3_S1_high_amp_stave,2,2,8.084539418633664,10.998658913414072,58
B6,3,1,mid_amp_stave,B6_A3_S1_mid_amp_stave,2,2,8.073310333299702,10.90781157390251,58
B8,0,0,mid_amp_stave,B8_A0_S0_mid_amp_stave,1,1,7.123269803131856,7.803731277683635,58
B8,0,1,low_amp_stave,B8_A0_S1_low_amp_stave,2,2,7.253599399895238,11.271886970156814,58
B8,0,2,low_amp_stave,B8_A0_S2_low_amp_stave,6,6,7.533432231383467,12.139802546986715,58
B8,0,2,mid_amp_stave,B8_A0_S2_mid_amp_stave,1,1,7.647308832356238,12.579667796706332,58
B8,1,0,high_amp_stave,B8_A1_S0_high_amp_stave,1,1,7.757906208351747,8.49171716277246,58
B8,1,1,low_amp_stave,B8_A1_S1_low_amp_stave,1,1,7.809338381984018,11.086661495590235,58
B8,1,2,low_amp_stave,B8_A1_S2_low_amp_stave,1,1,7.674152921281675,12.855050399514411,58
B8,2,0,high_amp_stave,B8_A2_S0_high_amp_stave,3,3,7.983781068977451,7.06452385635253,58
B8,2,1,high_amp_stave,B8_A2_S1_high_amp_stave,6,6,7.978568017255784,10.925739262271204,58
B8,2,1,mid_amp_stave,B8_A2_S1_mid_amp_stave,4,4,8.028680994411102,11.0675336565889,58
B8,2,2,high_amp_stave,B8_A2_S2_high_amp_stave,4,4,7.910911391533073,11.95374128380719,58
B8,2,2,mid_amp_stave,B8_A2_S2_mid_amp_stave,2,2,8.002014506715772,11.935789261566462,58
B8,3,0,high_amp_stave,B8_A3_S0_high_amp_stave,31,31,8.337228854195962,9.612502711265066,58
B8,3,0,mid_amp_stave,B8_A3_S0_mid_amp_stave,1,1,8.115371438222871,9.262006735876724,58
B8,3,1,high_amp_stave,B8_A3_S1_high_amp_stave,8,8,8.176304262939556,10.37113911689881,58
B8,3,1,mid_amp_stave,B8_A3_S1_mid_amp_stave,1,1,8.0861025356691,10.513256031345094,58
B4,0,0,high_amp_stave,B4_A0_S0_high_amp_stave,3,3,7.491366572473775,9.74411413341787,59
B4,0,0,low_amp_stave,B4_A0_S0_low_amp_stave,89,89,7.335307983554307,7.5801137826059914,59
B4,0,0,mid_amp_stave,B4_A0_S0_mid_amp_stave,17,17,7.512071245835466,9.313131313131311,59
B4,0,1,high_amp_stave,B4_A0_S1_high_amp_stave,1,1,7.6783263565068856,11.343676122931448,59
B4,0,1,low_amp_stave,B4_A0_S1_low_amp_stave,37,37,7.498869733976931,10.828836697722569,59
B4,0,1,mid_amp_stave,B4_A0_S1_mid_amp_stave,31,31,7.52131798019924,10.765361523922465,59
B4,0,2,high_amp_stave,B4_A0_S2_high_amp_stave,3,3,7.661997558901893,12.288393857769215,59
B4,0,2,low_amp_stave,B4_A0_S2_low_amp_stave,103,103,7.486613313139955,12.243515334671741,59
B4,0,2,mid_amp_stave,B4_A0_S2_mid_amp_stave,85,85,7.559038255443384,12.290220635870867,59
B4,1,0,high_amp_stave,B4_A1_S0_high_amp_stave,1,1,7.8286354631901,9.858091354384271,59
B4,1,0,low_amp_stave,B4_A1_S0_low_amp_stave,18,18,7.778942061552553,8.409128710916137,59
B4,1,0,mid_amp_stave,B4_A1_S0_mid_amp_stave,7,7,7.776115477098742,9.098498248096483,59
B4,1,1,high_amp_stave,B4_A1_S1_high_amp_stave,4,4,7.762025226113257,11.036601899895295,59
B4,1,1,low_amp_stave,B4_A1_S1_low_amp_stave,28,28,7.774960753524014,11.02915785104437,59
B4,1,1,mid_amp_stave,B4_A1_S1_mid_amp_stave,35,35,7.825844392797672,10.75189251374114,59
B4,1,2,high_amp_stave,B4_A1_S2_high_amp_stave,12,12,7.843154808263119,12.006300709688894,59
B4,1,2,low_amp_stave,B4_A1_S2_low_amp_stave,64,64,7.791832640497008,12.094898504493138,59
B4,1,2,mid_amp_stave,B4_A1_S2_mid_amp_stave,76,76,7.781655064242557,12.181081179583725,59
B4,2,0,high_amp_stave,B4_A2_S0_high_amp_stave,1,1,7.90857096592598,9.186466464689474,59
B4,2,0,low_amp_stave,B4_A2_S0_low_amp_stave,1,1,7.922442332712485,7.349788821872682,59
B4,2,0,mid_amp_stave,B4_A2_S0_mid_amp_stave,8,8,7.972654892305317,9.467561134607276,59
B4,2,1,high_amp_stave,B4_A2_S1_high_amp_stave,12,12,7.961533449324789,10.859269731092834,59
B4,2,1,low_amp_stave,B4_A2_S1_low_amp_stave,17,17,7.947678571301568,11.11460348645845,59
B4,2,1,mid_amp_stave,B4_A2_S1_mid_amp_stave,36,36,7.955685318632229,10.917476213869064,59
B4,2,2,high_amp_stave,B4_A2_S2_high_amp_stave,8,8,7.951371957228987,11.924958960599678,59
B4,2,2,low_amp_stave,B4_A2_S2_low_amp_stave,14,14,7.91861830761399,12.001218032617594,59
B4,2,2,mid_amp_stave,B4_A2_S2_mid_amp_stave,28,28,7.929482878884137,11.815470750308645,59
B4,3,0,high_amp_stave,B4_A3_S0_high_amp_stave,2,2,8.440128796382817,8.087463934382319,59
B4,3,0,low_amp_stave,B4_A3_S0_low_amp_stave,5,5,8.068716192714781,9.118691265340892,59
B4,3,0,mid_amp_stave,B4_A3_S0_mid_amp_stave,1,1,8.109525659752872,5.688393432677362,59
B4,3,1,high_amp_stave,B4_A3_S1_high_amp_stave,3,3,8.152053954779639,10.948679332715479,59
B4,3,1,low_amp_stave,B4_A3_S1_low_amp_stave,1,1,8.094073148069352,10.707422279608949,59
B4,3,1,mid_amp_stave,B4_A3_S1_mid_amp_stave,2,2,8.16641010086719,10.535904984003906,59
B4,3,2,high_amp_stave,B4_A3_S2_high_amp_stave,5,5,8.411054595354571,26.57342545671336,59
B4,3,2,mid_amp_stave,B4_A3_S2_mid_amp_stave,5,5,8.156940426129621,14.37474733037957,59
B6,0,0,high_amp_stave,B6_A0_S0_high_amp_stave,6,6,7.500961615858845,6.845355503245303,59
B6,0,0,low_amp_stave,B6_A0_S0_low_amp_stave,24,24,7.371420909144694,9.522285872726286,59
B6,0,0,mid_amp_stave,B6_A0_S0_mid_amp_stave,51,51,7.497207223203318,8.609358997730872,59
B6,0,1,high_amp_stave,B6_A0_S1_high_amp_stave,1,1,7.523751400353667,11.023396821888198,59
B6,0,1,low_amp_stave,B6_A0_S1_low_amp_stave,64,64,7.456887476395503,10.80845132501631,59
B6,0,1,mid_amp_stave,B6_A0_S1_mid_amp_stave,26,26,7.552759882073006,10.768774396869919,59
B6,0,2,high_amp_stave,B6_A0_S2_high_amp_stave,2,2,7.640991068470784,13.027821384655212,59
B6,0,2,low_amp_stave,B6_A0_S2_low_amp_stave,118,118,7.4836653493753715,12.022237905633432,59
B6,0,2,mid_amp_stave,B6_A0_S2_mid_amp_stave,57,57,7.56734567601324,12.150376917992219,59
B6,1,0,high_amp_stave,B6_A1_S0_high_amp_stave,3,3,7.848738623446664,9.364635364635348,59
B6,1,0,low_amp_stave,B6_A1_S0_low_amp_stave,1,1,7.7025561132685825,10.02967717666644,59
B6,1,0,mid_amp_stave,B6_A1_S0_mid_amp_stave,23,23,7.7752758464868625,8.73394495412844,59
B6,1,1,high_amp_stave,B6_A1_S1_high_amp_stave,5,5,7.865379874349269,10.985941636928743,59
B6,1,1,low_amp_stave,B6_A1_S1_low_amp_stave,34,34,7.786438013348711,10.850055327661453,59
B6,1,1,mid_amp_stave,B6_A1_S1_mid_amp_stave,47,47,7.795646536334594,11.012367949490557,59
B6,1,2,high_amp_stave,B6_A1_S2_high_amp_stave,12,12,7.769890913345717,12.142420380414475,59
B6,1,2,low_amp_stave,B6_A1_S2_low_amp_stave,51,51,7.776954403322442,12.076684605472593,59
B6,1,2,mid_amp_stave,B6_A1_S2_mid_amp_stave,67,67,7.802209316247118,11.999850444618545,59
B6,2,0,high_amp_stave,B6_A2_S0_high_amp_stave,3,3,8.020434824861683,9.217843866171002,59
B6,2,0,low_amp_stave,B6_A2_S0_low_amp_stave,1,1,7.98514393119862,9.745057281773754,59
B6,2,0,mid_amp_stave,B6_A2_S0_mid_amp_stave,14,14,7.926290233777764,9.716699122033024,59
B6,2,1,high_amp_stave,B6_A2_S1_high_amp_stave,13,13,7.9658927350845286,10.914637630662021,59
B6,2,1,low_amp_stave,B6_A2_S1_low_amp_stave,8,8,7.900633713056667,10.700660243193575,59
B6,2,1,mid_amp_stave,B6_A2_S1_mid_amp_stave,57,57,7.954372272531867,10.897543050928661,59
B6,2,2,high_amp_stave,B6_A2_S2_high_amp_stave,8,8,7.921252754443472,11.71261350971762,59
B6,2,2,low_amp_stave,B6_A2_S2_low_amp_stave,14,14,7.919899118923293,11.975331079101746,59
B6,2,2,mid_amp_stave,B6_A2_S2_mid_amp_stave,21,21,7.94111768244213,11.847643466950203,59
B6,3,0,high_amp_stave,B6_A3_S0_high_amp_stave,9,9,8.179199798423086,8.70041691483025,59
B6,3,0,mid_amp_stave,B6_A3_S0_mid_amp_stave,4,4,8.104849952054796,9.356988271009357,59
B6,3,1,high_amp_stave,B6_A3_S1_high_amp_stave,3,3,8.072623363427311,10.80648671946555,59
B6,3,1,mid_amp_stave,B6_A3_S1_mid_amp_stave,11,11,8.09925056179696,10.524978081316263,59
B6,3,2,high_amp_stave,B6_A3_S2_high_amp_stave,2,2,8.386449156197429,17.671406227842404,59
B6,3,2,low_amp_stave,B6_A3_S2_low_amp_stave,1,1,8.078067881815437,16.123365790602094,59
B6,3,2,mid_amp_stave,B6_A3_S2_mid_amp_stave,2,2,8.225087609102058,59.99880689140724,59
B8,0,0,high_amp_stave,B8_A0_S0_high_amp_stave,15,15,7.599401333415815,7.028754936622725,59
B8,0,0,low_amp_stave,B8_A0_S0_low_amp_stave,5,5,7.222200988703133,9.845614035087735,59
B8,0,0,mid_amp_stave,B8_A0_S0_mid_amp_stave,8,8,7.393790863463287,7.942983136702718,59
B8,0,1,high_amp_stave,B8_A0_S1_high_amp_stave,3,3,7.5784011941955685,10.671237104025359,59
B8,0,1,low_amp_stave,B8_A0_S1_low_amp_stave,9,9,7.218176838403408,11.081100475403325,59
B8,0,1,mid_amp_stave,B8_A0_S1_mid_amp_stave,4,4,7.643961690959789,11.149275357190302,59
B8,0,2,high_amp_stave,B8_A0_S2_high_amp_stave,6,6,7.580443445653515,12.402081884630878,59
B8,0,2,low_amp_stave,B8_A0_S2_low_amp_stave,33,33,7.469654172932128,12.558278354746047,59
B8,0,2,mid_amp_stave,B8_A0_S2_mid_amp_stave,7,7,7.583501944861915,12.082648237840566,59
B8,1,0,high_amp_stave,B8_A1_S0_high_amp_stave,14,14,7.790174441634797,6.613240961976764,59
B8,1,0,low_amp_stave,B8_A1_S0_low_amp_stave,1,1,7.701878376882084,9.530082347993154,59
B8,1,0,mid_amp_stave,B8_A1_S0_mid_amp_stave,5,5,7.839131648274333,9.767657563636675,59
B8,1,1,high_amp_stave,B8_A1_S1_high_amp_stave,13,13,7.840116191033786,10.826832236859751,59
B8,1,1,low_amp_stave,B8_A1_S1_low_amp_stave,7,7,7.812580532747014,11.185836626144734,59
B8,1,1,mid_amp_stave,B8_A1_S1_mid_amp_stave,4,4,7.776840668620505,11.127920401426756,59
B8,1,2,high_amp_stave,B8_A1_S2_high_amp_stave,27,27,7.810149905664181,12.202236787602644,59
B8,1,2,low_amp_stave,B8_A1_S2_low_amp_stave,10,10,7.751319900182123,11.901822157786189,59
B8,1,2,mid_amp_stave,B8_A1_S2_mid_amp_stave,10,10,7.820739703242114,12.355810733589937,59
B8,2,0,high_amp_stave,B8_A2_S0_high_amp_stave,36,36,8.013922206550518,9.155282370834499,59
B8,2,0,low_amp_stave,B8_A2_S0_low_amp_stave,1,1,7.95892649305011,6.080814107180043,59
B8,2,0,mid_amp_stave,B8_A2_S0_mid_amp_stave,1,1,8.002861428320958,9.792105388328125,59
B8,2,1,high_amp_stave,B8_A2_S1_high_amp_stave,105,105,7.9919305198524775,10.810346384152297,59
B8,2,1,low_amp_stave,B8_A2_S1_low_amp_stave,3,3,7.939337055191027,10.61946504028117,59
B8,2,1,mid_amp_stave,B8_A2_S1_mid_amp_stave,4,4,7.985904773725835,10.963683640460875,59
B8,2,2,high_amp_stave,B8_A2_S2_high_amp_stave,32,32,7.932182411695969,11.925141705310676,59
B8,2,2,low_amp_stave,B8_A2_S2_low_amp_stave,1,1,7.922261058353247,12.05787130038837,59
B8,2,2,mid_amp_stave,B8_A2_S2_mid_amp_stave,2,2,7.931516483725831,12.428561139661973,59
B8,3,0,high_amp_stave,B8_A3_S0_high_amp_stave,285,285,8.303876200919763,8.990977630802703,59
B8,3,0,mid_amp_stave,B8_A3_S0_mid_amp_stave,2,2,8.10494200001356,7.377708283828351,59
B8,3,1,high_amp_stave,B8_A3_S1_high_amp_stave,104,104,8.156366414516626,10.334640572327778,59
B8,3,1,mid_amp_stave,B8_A3_S1_mid_amp_stave,5,5,8.13958641143647,10.483918275197112,59
B8,3,2,high_amp_stave,B8_A3_S2_high_amp_stave,1,1,8.247612954328439,17.760165155731087,59
B4,0,0,high_amp_stave,B4_A0_S0_high_amp_stave,2,2,7.5291267105147135,9.422701523108628,60
B4,0,0,low_amp_stave,B4_A0_S0_low_amp_stave,86,86,7.382124317333844,7.000596771366245,60
B4,0,0,mid_amp_stave,B4_A0_S0_mid_amp_stave,6,6,7.361102698082491,6.9475565480473325,60
B4,0,1,low_amp_stave,B4_A0_S1_low_amp_stave,14,14,7.5280384748419955,10.819280969774901,60
B4,0,1,mid_amp_stave,B4_A0_S1_mid_amp_stave,8,8,7.581209793690997,11.005995453972513,60
B4,0,2,low_amp_stave,B4_A0_S2_low_amp_stave,28,28,7.523337473703565,12.40914625736275,60
B4,0,2,mid_amp_stave,B4_A0_S2_mid_amp_stave,9,9,7.550661243105336,12.319914965057876,60
B4,1,0,low_amp_stave,B4_A1_S0_low_amp_stave,35,35,7.755553014410991,8.146320327511123,60
B4,1,0,mid_amp_stave,B4_A1_S0_mid_amp_stave,6,6,7.777888137058894,8.217045660146173,60
B4,1,1,high_amp_stave,B4_A1_S1_high_amp_stave,3,3,7.834590224731963,11.015549027813051,60
B4,1,1,low_amp_stave,B4_A1_S1_low_amp_stave,21,21,7.760253877768513,11.049605731732719,60
B4,1,1,mid_amp_stave,B4_A1_S1_mid_amp_stave,23,23,7.767898850233291,11.183893034825871,60
B4,1,2,high_amp_stave,B4_A1_S2_high_amp_stave,1,1,7.655390644826152,11.996016723388522,60
B4,1,2,low_amp_stave,B4_A1_S2_low_amp_stave,82,82,7.760677388254714,12.409413122554199,60
B4,1,2,mid_amp_stave,B4_A1_S2_mid_amp_stave,49,49,7.790696031174738,12.136413272102637,60
B4,2,0,high_amp_stave,B4_A2_S0_high_amp_stave,5,5,8.014666370464942,9.570078740157484,60
B4,2,0,low_amp_stave,B4_A2_S0_low_amp_stave,24,24,7.934244317823258,9.63246845087711,60
B4,2,0,mid_amp_stave,B4_A2_S0_mid_amp_stave,25,25,7.971948640779788,9.57433489827855,60
B4,2,1,high_amp_stave,B4_A2_S1_high_amp_stave,10,10,7.9869298701479075,11.048959611379384,60
B4,2,1,low_amp_stave,B4_A2_S1_low_amp_stave,67,67,7.951207156472972,10.970333901982542,60
B4,2,1,mid_amp_stave,B4_A2_S1_mid_amp_stave,84,84,7.950766759754822,10.982657880130297,60
B4,2,2,high_amp_stave,B4_A2_S2_high_amp_stave,4,4,7.917744587921021,12.22415502985692,60
B4,2,2,low_amp_stave,B4_A2_S2_low_amp_stave,50,50,7.897203423488319,12.004849804641989,60
B4,2,2,mid_amp_stave,B4_A2_S2_mid_amp_stave,64,64,7.910865496861815,12.051206128536332,60
B4,3,0,high_amp_stave,B4_A3_S0_high_amp_stave,11,11,8.47261414801827,9.051398628915194,60
B4,3,0,low_amp_stave,B4_A3_S0_low_amp_stave,15,15,8.071999241079077,9.896511657967832,60
B4,3,0,mid_amp_stave,B4_A3_S0_mid_amp_stave,16,16,8.108854404827973,9.606580272510655,60
B4,3,1,high_amp_stave,B4_A3_S1_high_amp_stave,10,10,8.127995044882063,10.579175683340612,60
B4,3,1,low_amp_stave,B4_A3_S1_low_amp_stave,13,13,8.054840221101024,10.819483703077069,60
B4,3,1,mid_amp_stave,B4_A3_S1_mid_amp_stave,25,25,8.059118133035776,10.594530662219597,60
B4,3,2,high_amp_stave,B4_A3_S2_high_amp_stave,4,4,8.473168306176717,16.681060452335338,60
B4,3,2,low_amp_stave,B4_A3_S2_low_amp_stave,2,2,8.192472632134546,13.365637094153797,60
B4,3,2,mid_amp_stave,B4_A3_S2_mid_amp_stave,6,6,8.080034794867974,12.20505670010676,60
B6,0,0,high_amp_stave,B6_A0_S0_high_amp_stave,4,4,7.550010804351302,6.701535416053829,60
B6,0,0,low_amp_stave,B6_A0_S0_low_amp_stave,13,13,7.404887575616125,9.01635514018692,60
B6,0,0,mid_amp_stave,B6_A0_S0_mid_amp_stave,33,33,7.447751280047908,7.115147126969415,60
B6,0,1,low_amp_stave,B6_A0_S1_low_amp_stave,20,20,7.547633104814265,11.106716267282412,60
B6,0,1,mid_amp_stave,B6_A0_S1_mid_amp_stave,6,6,7.552630902264031,10.967229323823597,60
B6,0,2,high_amp_stave,B6_A0_S2_high_amp_stave,1,1,7.566828479208331,11.96116227664183,60
B6,0,2,low_amp_stave,B6_A0_S2_low_amp_stave,38,38,7.548416955445894,12.267618063449191,60
B6,0,2,mid_amp_stave,B6_A0_S2_mid_amp_stave,5,5,7.519692404116539,12.050363223935456,60
B6,1,0,high_amp_stave,B6_A1_S0_high_amp_stave,4,4,7.828396211607286,6.851236048984719,60
B6,1,0,low_amp_stave,B6_A1_S0_low_amp_stave,4,4,7.704058252157831,9.756045663650077,60
B6,1,0,mid_amp_stave,B6_A1_S0_mid_amp_stave,32,32,7.748564235461454,8.356159568475693,60
B6,1,1,high_amp_stave,B6_A1_S1_high_amp_stave,2,2,7.834282506250117,11.141874700086277,60
B6,1,1,low_amp_stave,B6_A1_S1_low_amp_stave,34,34,7.78674485908323,11.14185339085839,60
B6,1,1,mid_amp_stave,B6_A1_S1_mid_amp_stave,32,32,7.798625375731259,11.112956162810569,60
B6,1,2,high_amp_stave,B6_A1_S2_high_amp_stave,2,2,7.807461997022912,13.010263914227785,60
B6,1,2,low_amp_stave,B6_A1_S2_low_amp_stave,60,60,7.747704631980172,12.217742652414909,60
B6,1,2,mid_amp_stave,B6_A1_S2_mid_amp_stave,32,32,7.7920391667463935,12.09704653512118,60
B6,2,0,high_amp_stave,B6_A2_S0_high_amp_stave,8,8,7.95642731930075,9.600784396148239,60
B6,2,0,low_amp_stave,B6_A2_S0_low_amp_stave,13,13,7.946086636765317,9.943710868977782,60
B6,2,0,mid_amp_stave,B6_A2_S0_mid_amp_stave,40,40,7.934863810318935,9.068359531995894,60
B6,2,1,high_amp_stave,B6_A2_S1_high_amp_stave,20,20,7.981988172819438,10.902012796027883,60
B6,2,1,low_amp_stave,B6_A2_S1_low_amp_stave,51,51,7.9354084787097525,10.889639334132141,60
B6,2,1,mid_amp_stave,B6_A2_S1_mid_amp_stave,118,118,7.959101180785539,10.9108235826847,60
B6,2,2,high_amp_stave,B6_A2_S2_high_amp_stave,6,6,7.9149669817548265,11.745481295584199,60
B6,2,2,low_amp_stave,B6_A2_S2_low_amp_stave,30,30,7.895434897252412,11.852965033484484,60
B6,2,2,mid_amp_stave,B6_A2_S2_mid_amp_stave,39,39,7.922804782879556,11.755418517652561,60
B6,3,0,high_amp_stave,B6_A3_S0_high_amp_stave,36,36,8.152629701440071,9.177078140110257,60
B6,3,0,low_amp_stave,B6_A3_S0_low_amp_stave,6,6,8.081551668617902,9.707421178663445,60
B6,3,0,mid_amp_stave,B6_A3_S0_mid_amp_stave,38,38,8.111477770662106,9.53468731189771,60
B6,3,1,high_amp_stave,B6_A3_S1_high_amp_stave,17,17,8.094531058479552,10.633595945908837,60
B6,3,1,low_amp_stave,B6_A3_S1_low_amp_stave,8,8,8.046068613783689,10.599708356877603,60
B6,3,1,mid_amp_stave,B6_A3_S1_mid_amp_stave,52,52,8.078765718567793,10.676284455818855,60
B6,3,2,high_amp_stave,B6_A3_S2_high_amp_stave,3,3,8.413608875159667,13.785091874851553,60
B6,3,2,mid_amp_stave,B6_A3_S2_mid_amp_stave,1,1,8.200974460822268,12.906875000000014,60
B8,0,0,high_amp_stave,B8_A0_S0_high_amp_stave,10,10,7.515170254791906,5.082455983523264,60
B8,0,0,low_amp_stave,B8_A0_S0_low_amp_stave,10,10,7.284916692484642,9.482846872093539,60
B8,0,0,mid_amp_stave,B8_A0_S0_mid_amp_stave,6,6,7.418176319104344,7.056287759140233,60
B8,0,1,low_amp_stave,B8_A0_S1_low_amp_stave,11,11,7.366445148327599,11.375355027414045,60
B8,0,1,mid_amp_stave,B8_A0_S1_mid_amp_stave,1,1,7.5840105918718645,11.444986709797135,60
B8,0,2,low_amp_stave,B8_A0_S2_low_amp_stave,28,28,7.401074421664616,12.22038038238379,60
B8,0,2,mid_amp_stave,B8_A0_S2_mid_amp_stave,1,1,7.381501894506707,13.247601085987853,60
B8,1,0,high_amp_stave,B8_A1_S0_high_amp_stave,16,16,7.738370157744434,6.515127741855553,60
B8,1,0,low_amp_stave,B8_A1_S0_low_amp_stave,1,1,7.748028524432376,9.724129163488435,60
B8,1,0,mid_amp_stave,B8_A1_S0_mid_amp_stave,2,2,7.75539858378552,7.480730570405978,60
B8,1,1,high_amp_stave,B8_A1_S1_high_amp_stave,1,1,7.650644551436897,10.360359070216163,60
B8,1,1,low_amp_stave,B8_A1_S1_low_amp_stave,2,2,7.808964220314589,11.353488085208397,60
B8,1,1,mid_amp_stave,B8_A1_S1_mid_amp_stave,6,6,7.75800490925282,10.999854175420673,60
B8,1,2,high_amp_stave,B8_A1_S2_high_amp_stave,1,1,7.72731482189652,12.256057820855617,60
B8,1,2,low_amp_stave,B8_A1_S2_low_amp_stave,18,18,7.7290408509958795,12.199175542367179,60
B8,1,2,mid_amp_stave,B8_A1_S2_mid_amp_stave,5,5,7.82464583092826,12.03871931524548,60
B8,2,0,high_amp_stave,B8_A2_S0_high_amp_stave,32,32,7.954284483926601,6.626812174303192,60
B8,2,0,low_amp_stave,B8_A2_S0_low_amp_stave,1,1,8.028944121829152,9.814998899567172,60
B8,2,0,mid_amp_stave,B8_A2_S0_mid_amp_stave,4,4,7.957076767615677,9.368369955445628,60
B8,2,1,high_amp_stave,B8_A2_S1_high_amp_stave,47,47,7.995138085698698,10.85530995934959,60
B8,2,1,low_amp_stave,B8_A2_S1_low_amp_stave,12,12,7.94541499520675,10.805448870872162,60
B8,2,1,mid_amp_stave,B8_A2_S1_mid_amp_stave,10,10,7.938893941838823,11.10894744091959,60
B8,2,2,high_amp_stave,B8_A2_S2_high_amp_stave,20,20,7.944218209311208,11.860508653428475,60
B8,2,2,low_amp_stave,B8_A2_S2_low_amp_stave,6,6,7.893636810904345,11.840462206708793,60
B8,2,2,mid_amp_stave,B8_A2_S2_mid_amp_stave,7,7,7.948031990637284,11.939271866259851,60
