species,ke_MeV,edep_scint_MeV,arrival_readout,detected_pe
deuteron,110.0,26.2418,892,278
deuteron,110.0,26.3842,886,271
deuteron,110.0,25.8982,892,268
deuteron,110.0,26.8471,947,289
deuteron,110.0,26.2349,911,250
deuteron,110.0,26.6279,928,269
deuteron,110.0,27.4073,942,296
deuteron,110.0,26.8625,912,268
deuteron,110.0,26.4003,919,271
deuteron,110.0,27.2564,910,241
deuteron,110.0,25.9902,877,254
deuteron,110.0,26.2795,913,295
deuteron,110.0,26.2408,907,262
deuteron,110.0,27.1548,944,281
deuteron,110.0,27.7376,911,279
deuteron,110.0,26.1694,905,272
deuteron,110.0,26.1180,896,283
deuteron,110.0,26.5592,885,256
deuteron,110.0,26.2452,849,244
deuteron,110.0,26.3128,941,284
deuteron,110.0,25.9635,865,264
deuteron,110.0,26.4834,945,270
deuteron,110.0,38.5924,556,174
deuteron,110.0,26.0254,924,276
deuteron,110.0,27.3578,949,283
deuteron,110.0,24.9840,819,247
deuteron,110.0,67.0197,1360,413
deuteron,110.0,25.4264,881,275
deuteron,110.0,64.5578,943,277
deuteron,110.0,26.1684,887,264
deuteron,110.0,26.0055,924,306
deuteron,110.0,26.1602,876,243
deuteron,110.0,26.7360,919,286
deuteron,110.0,26.7218,910,260
deuteron,110.0,25.8251,916,270
deuteron,110.0,26.2670,883,288
deuteron,110.0,26.3918,942,288
deuteron,110.0,25.6216,829,264
deuteron,110.0,26.2125,885,264
deuteron,110.0,26.5257,885,278
deuteron,110.0,48.1382,1219,367
deuteron,110.0,26.6848,885,231
deuteron,110.0,28.0856,988,297
deuteron,110.0,26.6014,899,274
deuteron,110.0,26.2562,863,276
deuteron,110.0,26.7120,862,261
deuteron,110.0,27.3419,973,271
deuteron,110.0,26.0634,854,290
deuteron,110.0,26.3350,900,273
deuteron,110.0,27.4370,882,272
deuteron,110.0,26.9183,892,285
deuteron,110.0,26.9913,858,258
deuteron,110.0,50.7471,1172,371
deuteron,110.0,26.9760,957,295
deuteron,110.0,26.9022,903,315
deuteron,110.0,26.9142,888,257
deuteron,110.0,78.8780,1469,436
deuteron,110.0,26.0794,925,258
deuteron,110.0,25.8383,855,272
deuteron,110.0,26.7410,935,315
deuteron,110.0,26.3661,864,247
deuteron,110.0,26.5069,888,249
deuteron,110.0,26.6115,894,249
deuteron,110.0,26.8194,882,287
deuteron,110.0,26.9657,926,280
deuteron,110.0,25.8247,843,267
deuteron,110.0,26.0241,920,298
deuteron,110.0,26.2111,881,255
deuteron,70.0,49.0703,1449,405
deuteron,70.0,50.6110,1555,467
deuteron,70.0,49.8910,1454,421
deuteron,70.0,50.0683,1460,450
deuteron,70.0,48.6529,1479,435
deuteron,70.0,49.1465,1518,469
deuteron,70.0,49.1032,954,297
deuteron,70.0,48.9132,1537,448
deuteron,70.0,50.4617,1554,483
deuteron,70.0,43.9657,971,301
deuteron,70.0,49.7412,1477,430
deuteron,70.0,55.7616,1669,532
deuteron,70.0,49.6415,1406,424
deuteron,70.0,49.2463,1489,469
deuteron,70.0,48.3003,1471,418
deuteron,70.0,62.7253,1553,451
deuteron,70.0,48.4777,1525,455
deuteron,70.0,49.0700,1463,407
deuteron,70.0,47.9741,1385,411
deuteron,70.0,48.6415,1457,432
deuteron,70.0,50.1047,1539,441
deuteron,70.0,49.2565,1519,467
deuteron,70.0,49.1706,1473,440
deuteron,70.0,49.7720,1440,430
deuteron,70.0,48.7604,1461,460
deuteron,70.0,49.8387,1453,447
deuteron,70.0,69.9994,1720,527
deuteron,70.0,49.8896,1459,429
deuteron,70.0,59.7293,1601,493
deuteron,70.0,49.5589,1488,442
deuteron,70.0,49.9772,1535,460
deuteron,70.0,50.9932,1530,437
deuteron,70.0,49.3303,1411,421
deuteron,70.0,49.3570,1410,432
deuteron,70.0,48.1533,1457,460
deuteron,70.0,49.4216,1468,433
deuteron,70.0,48.9189,1410,403
deuteron,70.0,50.9274,1546,446
deuteron,70.0,48.2894,1439,456
deuteron,70.0,48.0207,1457,440
deuteron,70.0,69.9955,1729,510
deuteron,70.0,48.6710,1469,444
deuteron,70.0,50.5910,1547,477
deuteron,70.0,51.8044,1257,371
deuteron,70.0,50.4470,1535,485
deuteron,70.0,50.2760,1524,445
deuteron,70.0,49.3932,1484,478
deuteron,70.0,50.9358,1441,460
deuteron,70.0,48.7612,1453,410
deuteron,70.0,49.4585,1505,471
deuteron,70.0,48.1385,1469,443
deuteron,70.0,8.9313,153,56
deuteron,70.0,31.0414,868,297
deuteron,70.0,48.4869,1459,452
deuteron,70.0,62.7252,1275,400
deuteron,70.0,48.4665,1500,458
deuteron,70.0,49.9007,1460,439
deuteron,70.0,49.0580,1543,468
deuteron,70.0,50.6576,1483,459
deuteron,70.0,22.5294,556,174
deuteron,70.0,64.1985,1033,310
deuteron,70.0,49.1888,1497,467
deuteron,70.0,49.8330,1483,426
deuteron,70.0,50.0476,1437,454
deuteron,70.0,48.4502,1446,443
deuteron,70.0,51.1128,1523,461
deuteron,70.0,48.9608,1403,430
deuteron,70.0,49.5005,1476,448
deuteron,70.0,49.4186,1489,444
deuteron,70.0,49.9304,1496,430
deuteron,70.0,49.3930,1487,447
deuteron,70.0,49.0655,1461,472
deuteron,70.0,49.9002,1447,439
deuteron,70.0,48.8309,1419,432
deuteron,70.0,51.1932,1556,486
deuteron,70.0,50.6628,1521,476
deuteron,70.0,50.8730,604,201
deuteron,70.0,49.5445,1503,457
deuteron,70.0,48.6391,1430,445
deuteron,70.0,50.4080,1476,426
deuteron,70.0,46.4453,807,245
deuteron,70.0,48.5852,1493,470
deuteron,70.0,49.5439,1534,462
deuteron,70.0,49.6615,1457,426
deuteron,70.0,64.1988,1104,328
deuteron,70.0,50.8492,1540,445
deuteron,70.0,48.9815,1432,431
deuteron,70.0,49.2369,1410,413
deuteron,70.0,50.1264,1496,444
deuteron,70.0,48.4250,1435,435
deuteron,70.0,49.6047,1506,419
deuteron,70.0,48.2933,1471,441
deuteron,70.0,53.5997,1054,341
deuteron,70.0,45.1549,1111,330
deuteron,70.0,50.5238,1491,452
deuteron,70.0,49.2197,1507,474
deuteron,70.0,50.8103,1516,447
deuteron,70.0,49.3816,1450,462
deuteron,70.0,49.8460,1476,467
deuteron,70.0,50.0336,1481,476
deuteron,70.0,53.8201,1321,377
deuteron,70.0,49.7133,1520,440
deuteron,70.0,50.2295,1525,465
deuteron,70.0,49.1733,1472,457
deuteron,70.0,50.1590,1527,483
deuteron,70.0,49.6965,1470,450
deuteron,70.0,48.9137,1508,444
deuteron,70.0,48.3176,1441,409
deuteron,70.0,50.5697,1498,433
deuteron,70.0,42.0487,1007,306
deuteron,70.0,49.4675,1466,447
deuteron,70.0,49.7118,1440,433
deuteron,70.0,49.8444,1482,435
deuteron,70.0,48.2983,1517,460
deuteron,70.0,49.1922,1495,484
deuteron,70.0,50.2227,1475,412
deuteron,70.0,49.3843,1422,411
deuteron,70.0,56.2972,1368,405
deuteron,70.0,50.5726,1519,446
deuteron,70.0,50.7716,1452,446
deuteron,70.0,49.9499,1541,466
deuteron,70.0,50.0442,1484,427
deuteron,70.0,29.7214,167,56
deuteron,70.0,49.0468,1454,436
deuteron,70.0,48.1794,1466,448
deuteron,70.0,50.8668,1518,477
deuteron,70.0,50.0614,1464,438
deuteron,70.0,49.3291,1431,457
deuteron,70.0,47.5002,1379,431
deuteron,70.0,50.7895,1455,432
deuteron,70.0,49.9168,1463,431
deuteron,70.0,50.4070,1550,501
deuteron,70.0,49.4603,1464,431
deuteron,70.0,49.4330,1476,434
deuteron,70.0,48.2447,1428,433
deuteron,70.0,49.8854,1534,464
deuteron,70.0,49.0837,1482,438
deuteron,70.0,48.3827,1401,406
deuteron,70.0,49.4873,1434,451
deuteron,70.0,50.8871,1564,480
deuteron,70.0,49.8550,1470,458
deuteron,70.0,48.6647,1471,475
deuteron,70.0,50.4696,1588,461
deuteron,70.0,50.2294,1459,455
deuteron,70.0,49.7500,1465,422
deuteron,70.0,48.9397,1458,454
deuteron,70.0,49.7409,1442,420
deuteron,70.0,49.7520,1537,474
deuteron,70.0,49.9757,1497,479
deuteron,70.0,49.6040,1521,455
deuteron,70.0,50.1712,1495,473
deuteron,70.0,49.3078,1483,443
deuteron,70.0,50.2302,1458,427
deuteron,70.0,49.8567,1493,465
deuteron,70.0,49.6292,1445,448
deuteron,70.0,50.0370,1466,436
deuteron,70.0,49.5477,1507,433
deuteron,70.0,55.7623,1564,481
deuteron,70.0,49.1209,1475,422
deuteron,70.0,48.9856,1483,442
deuteron,70.0,48.4233,1520,447
deuteron,70.0,51.0010,1473,411
deuteron,70.0,48.5581,1442,431
deuteron,70.0,62.7208,1331,410
deuteron,70.0,49.2242,1478,465
deuteron,70.0,49.5850,1472,438
deuteron,70.0,50.9595,1463,446
deuteron,70.0,48.9333,1452,409
deuteron,70.0,49.2874,1461,446
deuteron,70.0,49.0915,1506,459
deuteron,70.0,49.4818,1535,475
deuteron,70.0,49.6131,1501,481
deuteron,70.0,57.7999,835,260
deuteron,70.0,44.3851,727,214
deuteron,70.0,49.3049,1475,426
deuteron,70.0,49.4055,1511,459
deuteron,70.0,49.4287,1502,465
deuteron,70.0,49.2301,1482,422
deuteron,70.0,49.5491,1475,424
deuteron,70.0,48.5638,1413,427
deuteron,70.0,49.4853,1444,425
deuteron,70.0,49.2422,1447,453
deuteron,70.0,49.8876,1514,452
deuteron,70.0,48.9573,1497,413
deuteron,70.0,48.4654,1445,470
deuteron,70.0,49.4903,1433,426
deuteron,70.0,50.1231,1504,416
deuteron,70.0,49.6621,1508,446
deuteron,70.0,50.4460,1564,491
deuteron,70.0,50.3882,1470,426
deuteron,70.0,49.5037,1509,433
deuteron,70.0,49.7901,1475,441
deuteron,70.0,50.2690,1525,472
deuteron,70.0,49.9637,1500,471
deuteron,70.0,49.5510,1508,486
deuteron,70.0,49.5952,1417,417
deuteron,70.0,49.5154,1470,444
deuteron,70.0,49.6654,1435,428
deuteron,70.0,49.5401,1466,450
deuteron,70.0,50.0111,1469,467
proton,100.0,15.3222,559,171
proton,100.0,14.8214,531,155
proton,100.0,15.6381,593,189
proton,100.0,16.0073,574,163
proton,100.0,16.4033,584,180
proton,100.0,15.8915,581,164
proton,100.0,15.9473,566,182
proton,100.0,16.0833,561,173
proton,100.0,15.2691,559,157
proton,100.0,16.3059,600,186
proton,100.0,15.3071,602,176
proton,100.0,15.6009,580,208
proton,100.0,16.1260,610,168
proton,100.0,15.6045,571,173
proton,100.0,16.0679,572,183
proton,100.0,15.8737,560,171
proton,100.0,16.2488,610,178
proton,100.0,16.3945,605,169
proton,100.0,16.1454,551,175
proton,100.0,15.3958,587,189
proton,100.0,15.1293,573,178
proton,100.0,15.8809,600,194
proton,100.0,15.2925,578,177
proton,100.0,15.9625,583,191
proton,100.0,16.1974,580,168
proton,100.0,15.3459,558,149
proton,100.0,15.8539,550,173
proton,100.0,15.8946,527,159
proton,100.0,15.7839,588,200
proton,100.0,15.7987,531,157
proton,100.0,15.6587,590,184
proton,100.0,15.8258,550,178
proton,100.0,15.8704,578,179
proton,100.0,16.0963,571,176
proton,100.0,16.2334,583,143
proton,100.0,16.3107,587,180
proton,100.0,16.6881,570,169
proton,100.0,16.3329,591,184
proton,100.0,16.1678,623,193
proton,100.0,16.0787,625,195
proton,100.0,15.5793,567,173
proton,100.0,15.5365,552,150
proton,100.0,16.1229,600,217
proton,100.0,15.6031,567,165
proton,100.0,16.0826,607,174
proton,100.0,16.0144,573,178
proton,100.0,16.4184,624,177
proton,100.0,15.3392,552,165
proton,100.0,16.0127,569,192
proton,100.0,16.8645,599,203
proton,100.0,15.8039,559,160
proton,100.0,16.9899,635,183
proton,100.0,16.7437,652,202
proton,100.0,16.5629,605,180
proton,100.0,16.4655,614,197
proton,100.0,15.6168,535,145
proton,100.0,16.0470,573,169
proton,100.0,15.4539,510,169
proton,100.0,16.1060,586,185
proton,100.0,16.5162,575,169
proton,100.0,16.7344,591,168
proton,100.0,16.5552,614,179
proton,100.0,16.0488,591,182
proton,100.0,15.9167,583,186
proton,100.0,16.3464,568,179
proton,100.0,16.3583,615,175
proton,100.0,15.8368,557,178
proton,100.0,17.0561,611,181
proton,100.0,15.3213,495,153
proton,100.0,15.5981,560,156
proton,100.0,15.5831,551,161
proton,100.0,15.9033,545,174
proton,100.0,16.2274,580,196
proton,100.0,16.5630,563,183
proton,100.0,16.3332,609,179
proton,100.0,16.1194,590,193
proton,100.0,16.1554,601,191
proton,100.0,16.0947,582,153
proton,100.0,16.3287,572,170
proton,100.0,15.7192,537,162
proton,100.0,15.3564,551,186
proton,100.0,15.9411,590,183
proton,100.0,16.8159,625,191
proton,100.0,15.7190,550,162
proton,100.0,15.9401,579,176
proton,100.0,15.9797,550,174
proton,100.0,16.0536,584,187
proton,100.0,16.1659,603,171
proton,100.0,15.9222,599,196
proton,100.0,16.4537,624,188
proton,100.0,15.9616,562,168
proton,100.0,15.4705,545,146
proton,100.0,17.2985,665,209
proton,100.0,15.6822,578,171
proton,100.0,16.3400,599,189
proton,100.0,16.6142,611,143
proton,100.0,15.9492,571,188
proton,100.0,15.8929,520,148
proton,100.0,15.8257,618,187
proton,100.0,15.8842,570,177
proton,100.0,15.8860,601,192
proton,100.0,15.8247,579,183
proton,100.0,16.1486,588,188
proton,100.0,17.3602,576,158
proton,100.0,16.6337,607,191
proton,100.0,16.5367,574,168
proton,100.0,15.9208,564,176
proton,100.0,15.9341,562,174
proton,100.0,16.0052,580,178
proton,100.0,15.8434,626,189
proton,100.0,14.8371,600,170
proton,100.0,16.2287,572,178
proton,100.0,16.5517,600,184
proton,100.0,16.2026,534,166
proton,100.0,15.8212,593,154
proton,100.0,15.9338,594,174
proton,100.0,15.2474,523,168
proton,100.0,17.2652,648,203
proton,100.0,15.9490,606,177
proton,100.0,15.7904,549,145
proton,100.0,15.9718,594,172
proton,100.0,16.3930,568,187
proton,100.0,16.8662,604,189
proton,100.0,15.8029,588,176
proton,100.0,15.9534,564,156
proton,100.0,16.3640,558,177
proton,100.0,16.5941,576,175
proton,100.0,15.8110,611,184
proton,100.0,16.1255,613,195
proton,100.0,17.3103,618,198
proton,100.0,15.9509,533,169
proton,100.0,15.3782,556,168
proton,100.0,16.0709,569,153
proton,100.0,15.5073,563,183
proton,100.0,15.9837,603,187
proton,100.0,15.6115,591,181
proton,100.0,15.8231,566,177
proton,100.0,16.4032,551,155
proton,100.0,16.1970,614,177
proton,100.0,16.1787,570,166
proton,100.0,16.1813,607,170
proton,100.0,16.2617,582,159
proton,100.0,15.9319,583,169
proton,100.0,16.4531,593,182
proton,100.0,15.6547,548,150
proton,100.0,16.4413,584,174
proton,100.0,15.0038,554,170
proton,100.0,15.9146,530,158
proton,100.0,15.8333,560,143
proton,100.0,15.8980,597,194
proton,100.0,16.2946,576,169
proton,100.0,16.5505,584,194
proton,100.0,16.1609,591,183
proton,100.0,16.3578,604,196
proton,100.0,15.5032,580,164
proton,100.0,16.1778,605,204
proton,100.0,16.5230,568,163
proton,100.0,15.7838,565,194
proton,100.0,16.4996,545,168
proton,100.0,16.0761,545,165
proton,100.0,16.1288,620,188
proton,100.0,16.0075,564,162
proton,100.0,16.2794,656,191
proton,100.0,16.3267,605,180
proton,100.0,15.8214,576,172
proton,100.0,16.2993,654,173
proton,100.0,17.0919,660,195
proton,100.0,15.5459,556,143
proton,100.0,16.5074,583,179
proton,100.0,15.9407,538,170
proton,100.0,16.4663,594,179
proton,100.0,15.7702,564,174
proton,100.0,50.8281,983,297
proton,100.0,15.4277,536,150
proton,100.0,16.4307,590,171
proton,100.0,16.2946,594,181
proton,100.0,16.0887,578,165
proton,100.0,15.8699,584,171
proton,100.0,16.0846,565,156
proton,100.0,16.8506,629,193
proton,100.0,15.4333,543,163
proton,100.0,15.9127,578,177
proton,100.0,16.0023,576,170
proton,100.0,16.0324,547,173
proton,100.0,15.7669,582,183
proton,100.0,16.4133,640,188
proton,100.0,15.8808,585,178
proton,100.0,15.6360,565,184
proton,100.0,15.9819,621,189
proton,100.0,16.4467,617,178
proton,100.0,16.2089,560,172
proton,100.0,16.3203,596,192
proton,100.0,15.5120,563,184
proton,100.0,15.8108,620,178
proton,100.0,16.3728,607,172
proton,100.0,15.8380,599,181
proton,100.0,15.4671,540,164
proton,100.0,16.1088,585,195
proton,100.0,15.8086,574,185
proton,100.0,16.3213,582,193
proton,140.0,11.7039,424,109
proton,140.0,11.8170,432,150
proton,140.0,11.8462,400,125
proton,140.0,12.8288,433,143
proton,140.0,12.0651,491,161
proton,140.0,11.5877,433,149
proton,140.0,11.9670,439,129
proton,140.0,11.5006,418,128
proton,140.0,12.1705,420,130
proton,140.0,12.6737,445,142
proton,140.0,13.1415,476,150
proton,140.0,11.6067,448,137
proton,140.0,11.9805,446,142
proton,140.0,12.5322,463,121
proton,140.0,11.8640,427,132
proton,140.0,13.1501,426,126
proton,140.0,13.1333,489,154
proton,140.0,11.8993,450,152
proton,140.0,11.7219,469,145
proton,140.0,12.3045,461,134
proton,140.0,11.5709,406,123
proton,140.0,12.2460,427,122
proton,140.0,12.1835,473,146
proton,140.0,12.3893,419,127
proton,140.0,12.6902,440,137
proton,140.0,13.0983,496,163
proton,140.0,11.9920,426,132
proton,140.0,12.8806,507,170
proton,140.0,12.0283,449,155
proton,140.0,11.9720,457,134
proton,140.0,13.1205,503,160
proton,140.0,12.7570,464,139
proton,140.0,11.8521,417,126
proton,140.0,11.8977,485,154
proton,140.0,12.9322,482,158
proton,140.0,11.7651,475,149
proton,140.0,12.4087,416,132
proton,140.0,12.2499,470,125
proton,140.0,11.6035,447,137
proton,140.0,11.4014,445,125
proton,140.0,12.1547,471,143
proton,140.0,12.2770,446,122
proton,140.0,13.1239,491,151
proton,140.0,12.2069,482,144
proton,140.0,11.6492,449,130
proton,140.0,11.8223,485,159
proton,140.0,11.7712,429,135
proton,140.0,11.8235,410,116
proton,140.0,11.4382,413,119
proton,140.0,12.5671,465,146
proton,140.0,11.5740,419,130
proton,140.0,11.6806,432,127
proton,140.0,11.8727,472,134
proton,140.0,11.3396,400,120
proton,140.0,12.4612,437,126
proton,140.0,12.4364,459,151
proton,140.0,11.9083,483,141
proton,140.0,12.4496,443,154
proton,140.0,12.4126,470,128
proton,140.0,12.7008,462,124
proton,140.0,12.2712,467,157
proton,140.0,11.8715,450,131
proton,140.0,11.2091,427,124
proton,140.0,11.7726,450,129
proton,140.0,11.6495,444,134
proton,140.0,12.1293,446,153
proton,140.0,11.8008,448,140
proton,140.0,12.1635,456,154
proton,140.0,12.3915,466,125
proton,140.0,12.2167,431,136
proton,140.0,20.5078,515,165
proton,140.0,12.9066,487,132
proton,140.0,11.5077,411,122
proton,140.0,12.4957,453,133
proton,140.0,12.2095,467,143
proton,140.0,12.5298,484,152
proton,140.0,12.7748,442,155
proton,140.0,11.3443,457,121
proton,140.0,11.5952,447,144
proton,140.0,12.7988,493,157
proton,140.0,12.8230,492,140
proton,140.0,11.8819,431,131
proton,140.0,11.9582,447,125
proton,140.0,12.1034,494,154
proton,140.0,12.1877,403,134
proton,140.0,11.8136,418,138
proton,140.0,12.5286,468,133
proton,140.0,11.8865,420,136
proton,140.0,12.3026,502,151
proton,140.0,12.1924,442,135
proton,140.0,12.1940,445,137
proton,140.0,12.6291,471,148
proton,140.0,12.1443,447,134
proton,140.0,11.7538,438,132
proton,140.0,11.6116,446,132
proton,140.0,11.4252,453,140
proton,140.0,12.8226,480,139
proton,140.0,12.7623,452,137
proton,140.0,12.7776,470,145
proton,140.0,12.2215,465,134
proton,140.0,11.8281,443,129
proton,140.0,11.4189,428,135
proton,140.0,11.6753,401,106
proton,140.0,11.7328,433,123
proton,140.0,11.9265,437,141
proton,140.0,12.8190,455,152
proton,140.0,11.8091,425,131
proton,140.0,12.2659,460,129
proton,140.0,12.3549,459,148
proton,140.0,12.3882,437,138
proton,140.0,12.1261,440,136
proton,140.0,11.9008,429,125
proton,140.0,11.6606,475,151
proton,140.0,12.3995,445,131
proton,140.0,12.4811,490,156
proton,140.0,12.3615,437,120
proton,140.0,12.2959,479,143
proton,140.0,11.7377,441,125
proton,140.0,12.0597,460,144
proton,140.0,11.7991,456,143
proton,140.0,12.4023,428,130
proton,140.0,12.2275,426,134
proton,140.0,12.2568,456,152
proton,140.0,11.7394,438,142
proton,140.0,12.5028,460,133
proton,140.0,11.9514,418,133
proton,140.0,12.0740,447,134
proton,140.0,11.8317,450,140
proton,140.0,13.3993,504,129
proton,140.0,11.0810,408,121
proton,140.0,12.7977,484,135
proton,140.0,12.7426,469,135
proton,140.0,12.0305,449,126
proton,140.0,12.3494,432,133
proton,140.0,12.0177,445,142
proton,140.0,11.9899,436,126
proton,140.0,12.0187,443,125
proton,140.0,12.3912,434,137
proton,140.0,12.2308,445,134
proton,140.0,12.0820,435,124
proton,140.0,82.9904,1608,499
proton,140.0,12.5390,443,126
proton,140.0,11.6799,426,121
proton,140.0,12.2527,455,129
proton,140.0,12.2840,452,149
proton,140.0,11.6384,419,133
proton,140.0,12.0920,460,146
proton,140.0,12.3266,436,142
proton,140.0,12.8561,513,147
proton,140.0,12.7095,469,151
proton,140.0,11.9225,457,140
proton,140.0,12.1907,478,156
proton,140.0,12.8047,479,147
proton,140.0,12.4204,448,121
proton,140.0,12.2593,426,121
proton,140.0,12.1883,446,141
proton,140.0,12.0541,430,115
proton,140.0,12.0973,451,119
proton,140.0,13.1304,508,161
proton,140.0,11.7170,467,146
proton,140.0,11.6346,452,129
proton,140.0,12.3093,454,149
proton,140.0,11.9170,417,142
proton,140.0,12.6049,428,141
proton,140.0,12.6752,498,153
proton,140.0,11.6664,438,124
proton,140.0,35.5043,725,235
proton,140.0,13.0409,478,150
proton,140.0,12.6261,476,139
proton,140.0,12.0044,423,120
proton,140.0,12.0879,453,130
proton,140.0,13.3376,458,132
proton,140.0,11.8335,407,146
proton,140.0,12.3171,449,118
proton,140.0,11.9688,402,110
proton,140.0,11.8446,437,130
proton,140.0,11.9471,463,141
proton,140.0,11.7705,469,138
proton,140.0,12.3595,458,140
proton,140.0,12.5974,478,136
proton,140.0,12.8836,464,147
proton,140.0,12.3064,479,146
proton,140.0,12.1571,399,127
proton,140.0,11.9995,464,133
proton,140.0,13.1580,455,129
proton,140.0,11.9684,435,129
proton,140.0,12.7092,499,135
proton,140.0,12.1393,463,148
proton,140.0,11.9911,425,138
proton,140.0,12.2965,487,144
proton,140.0,12.6490,497,150
proton,140.0,10.9666,382,117
proton,140.0,12.0451,423,148
proton,140.0,12.0256,496,168
proton,140.0,12.2121,441,137
proton,140.0,12.7269,491,158
proton,140.0,12.4812,454,146
proton,140.0,12.7209,461,137
proton,140.0,12.0363,451,122
proton,140.0,11.5264,416,118
proton,60.0,27.7779,935,299
proton,60.0,27.1024,893,268
proton,60.0,27.4451,936,283
proton,60.0,28.0017,970,293
proton,60.0,27.1363,1011,327
proton,60.0,29.7153,1002,290
proton,60.0,28.0426,934,281
proton,60.0,27.6270,901,289
