event,track_id,pdg,particle,y_deuteron,pseudo_run,total_edep_MeV,early_edep_MeV,downstream_edep_MeV,early_fraction,deepest_layer,n_layers_hit,layer_centroid,max_layer_edep_MeV,B2_edep_MeV,B4_edep_MeV,B6_edep_MeV,B8_edep_MeV,edep_l0,edep_l1,edep_l2,edep_l3,edep_l4,edep_l5,edep_l6,edep_l7
66,1,2212,proton,0,0,90.463738,40.00165,50.462087,0.44218436,3,4,1.4909214,38.277291,40.00165,50.462087,0,0,18.236298,21.765352,38.277291,12.184796,0,0,0,0
68,1,2212,proton,0,0,133.90048,25.845459,108.05502,0.19301992,6,7,3.5592846,31.324926,25.845459,31.834785,52.928244,23.291987,12.416574,13.428885,15.13317,16.701615,21.603319,31.324926,23.291987,0
73,1,2212,proton,0,0,19.1276,19.1276,0,1,1,2,0.47604346,10.022031,19.1276,0,0,0,10.022031,9.105569,0,0,0,0,0,0
74,1,2212,proton,0,0,134.14877,24.604441,109.54433,0.18341161,6,7,3.6390096,29.671138,24.604441,32.293875,50.168215,27.08224,11.722511,12.881931,14.432326,17.861548,20.497077,29.671138,27.08224,0
78,2,1000010020,deuteron,1,0,69.271105,69.271105,0,1,1,2,0.24492346,52.304987,69.271105,0,0,0,52.304987,16.966119,0,0,0,0,0,0
85,2,1000010020,deuteron,1,0,53.395179,53.395179,0,1,0,1,0,53.395179,53.395179,0,0,0,53.395179,0,0,0,0,0,0,0
85,1,2212,proton,0,0,87.949112,40.906984,47.042128,0.46512106,2,3,1.3364507,47.042128,40.906984,47.042128,0,0,17.45159,23.455394,47.042128,0,0,0,0,0
88,2,1000010020,deuteron,1,0,81.322432,81.322432,0,1,1,2,0.53492068,43.50105,81.322432,0,0,0,37.821382,43.50105,0,0,0,0,0,0
88,1,2212,proton,0,0,38.717811,38.717811,0,1,0,1,0,38.717811,38.717811,0,0,0,38.717811,0,0,0,0,0,0,0
91,1,2212,proton,0,0,145.8653,23.316222,122.54908,0.15984762,7,8,4.2611067,29.86526,23.316222,28.352388,37.180189,57.016505,11.508979,11.807243,13.582562,14.769826,16.885449,20.29474,29.86526,27.151245
94,1,2212,proton,0,0,23.71504,23.71504,0,1,1,2,0.43634605,13.367076,23.71504,0,0,0,13.367076,10.347964,0,0,0,0,0,0
99,1,2212,proton,0,0,120.72216,23.83856,96.883598,0.19746632,7,8,4.0460585,23.559224,23.83856,24.28705,30.117914,42.478634,11.659991,12.178569,11.709398,12.577652,13.902003,16.215911,18.919411,23.559224
101,2,1000010020,deuteron,1,0,72.38921,72.38921,0,1,1,2,0.3741188,45.307046,72.38921,0,0,0,45.307046,27.082164,0,0,0,0,0,0
102,2,1000010020,deuteron,1,0,17.963616,17.963616,0,1,0,1,0,17.963616,17.963616,0,0,0,17.963616,0,0,0,0,0,0,0
107,1,2212,proton,0,0,146.86266,24.099184,122.76347,0.16409334,7,8,4.3092114,31.92839,24.099184,27.316055,36.516699,58.930718,11.393135,12.706049,12.969027,14.347028,16.919152,19.597547,27.002328,31.92839
112,1,2212,proton,0,0,139.49596,24.430599,115.06536,0.17513482,6,7,3.8081209,39.611158,24.430599,31.32619,44.128011,39.611158,11.195985,13.234615,15.318845,16.007346,18.983869,25.144142,39.611158,0
115,1,2212,proton,0,0,131.08906,23.638577,107.45048,0.18032456,7,8,4.1756901,28.785891,23.638577,26.961151,30.979612,49.509718,11.353708,12.284869,12.316773,14.644378,14.206523,16.773089,20.723826,28.785891
121,1,2212,proton,0,0,113.26135,21.89825,91.363101,0.19334265,7,8,3.9770256,20.900581,21.89825,25.332203,28.234154,37.796744,10.590606,11.307644,12.322854,13.009349,13.389925,14.844229,16.896163,20.900581
122,1,2212,proton,0,0,116.20794,22.256873,93.951066,0.19152627,7,8,4.0020099,21.98803,22.256873,25.87432,28.611627,39.465119,10.759517,11.497356,12.501684,13.372636,13.390187,15.22144,17.47709,21.98803
137,1,2212,proton,0,0,127.29037,28.665751,98.624615,0.22519969,5,6,3.0565257,33.459758,28.665751,37.328598,61.296017,0,13.358275,15.307475,16.870816,20.457782,27.836259,33.459758,0,0
145,1,2212,proton,0,0,133.60082,26.400631,107.20019,0.1976083,6,7,3.5076847,33.39911,26.400631,31.778854,55.583234,19.8381,12.613804,13.786827,15.254487,16.524367,22.184124,33.39911,19.8381,0
153,2,1000010020,deuteron,1,0,103.74331,48.865047,54.878259,0.47101879,3,4,1.4962218,36.476488,48.865047,54.878259,0,0,21.800345,27.064701,36.476488,18.401772,0,0,0,0
154,2,1000010020,deuteron,1,0,72.722519,72.722519,0,1,1,2,0.38561608,44.679546,72.722519,0,0,0,44.679546,28.042973,0,0,0,0,0,0
155,1,2212,proton,0,0,130.52102,25.061094,105.45993,0.1920081,6,7,3.4853676,36.542592,25.061094,31.601995,59.063879,14.794052,11.791362,13.269732,14.7244,16.877595,22.521287,36.542592,14.794052,0
162,2,1000010020,deuteron,1,0,91.526682,91.526682,0,1,1,2,0.63708161,58.309966,91.526682,0,0,0,33.216716,58.309966,0,0,0,0,0,0
163,2,1000010020,deuteron,1,0,86.481423,86.481423,0,1,1,2,0.59992392,51.882274,86.481423,0,0,0,34.599149,51.882274,0,0,0,0,0,0
164,1,2212,proton,0,0,51.298826,22.239258,29.059567,0.43352373,4,5,1.7680963,13.57689,22.239258,25.318074,3.741493,0,10.717003,11.522256,11.741185,13.57689,3.741493,0,0,0
171,2,1000010020,deuteron,1,0,79.801753,79.801753,0,1,1,2,0.50383971,40.207293,79.801753,0,0,0,39.594461,40.207293,0,0,0,0,0,0
171,1,2212,proton,0,0,89.350028,41.474825,47.875202,0.46418369,2,3,1.3270294,47.875202,41.474825,47.875202,0,0,18.65512,22.819705,47.875202,0,0,0,0,0
181,2,1000010020,deuteron,1,0,101.09746,48.043507,53.053948,0.47521975,3,4,1.4834611,35.642789,48.043507,53.053948,0,0,21.588423,26.455084,35.642789,17.41116,0,0,0,0
185,1,2212,proton,0,0,4.2702802,4.2702802,0,1,0,1,0,4.2702802,4.2702802,0,0,0,4.2702802,0,0,0,0,0,0,0
188,2,1000010020,deuteron,1,0,59.285159,59.285159,0,1,0,1,0,59.285159,59.285159,0,0,0,59.285159,0,0,0,0,0,0,0
188,1,2212,proton,0,0,65.471813,65.471813,0,1,1,2,0.61641113,40.357554,65.471813,0,0,0,25.114259,40.357554,0,0,0,0,0,0
195,2,1000010020,deuteron,1,0,73.018291,73.018291,0,1,1,2,0.38170368,45.146941,73.018291,0,0,0,45.146941,27.87135,0,0,0,0,0,0
200,2,1000010020,deuteron,1,0,51.61532,51.61532,0,1,0,1,0,51.61532,51.61532,0,0,0,51.61532,0,0,0,0,0,0,0
200,1,2212,proton,0,0,89.359774,40.206837,49.152937,0.44994336,3,4,1.4299264,42.183543,40.206837,49.152937,0,0,17.704202,22.502635,42.183543,6.9693941,0,0,0,0
202,2,1000010020,deuteron,1,0,31.717522,31.717522,0,1,0,1,0,31.717522,31.717522,0,0,0,31.717522,0,0,0,0,0,0,0
202,1,2212,proton,0,0,87.977652,42.211055,45.766597,0.47979292,2,3,1.3108887,45.766597,42.211055,45.766597,0,0,18.415339,23.795716,45.766597,0,0,0,0,0
203,1,2212,proton,0,0,50.81599,50.81599,0,1,1,2,0.23471193,38.888871,50.81599,0,0,0,38.888871,11.927119,0,0,0,0,0,0
209,2,1000010020,deuteron,1,0,66.270498,48.978416,17.292082,0.73906817,2,3,0.92743746,26.877578,48.978416,17.292082,0,0,22.100838,26.877578,17.292082,0,0,0,0,0
211,2,1000010020,deuteron,1,0,2.0404472,2.0404472,0,1,0,1,0,2.0404472,2.0404472,0,0,0,2.0404472,0,0,0,0,0,0,0
211,1,2212,proton,0,0,90.338733,39.371629,50.967104,0.43582224,3,4,1.5303537,36.824153,39.371629,50.967104,0,0,17.198569,22.173061,36.824153,14.14295,0,0,0,0
213,2,1000010020,deuteron,1,0,39.323322,39.323322,0,1,0,1,0,39.323322,39.323322,0,0,0,39.323322,0,0,0,0,0,0,0
213,1,2212,proton,0,0,39.251742,36.082516,3.1692261,0.91925897,2,3,0.66116608,19.613468,36.082516,3.1692261,0,0,16.469048,19.613468,3.1692261,0,0,0,0,0
214,2,1000010020,deuteron,1,0,120.68994,54.988633,65.701311,0.45561901,3,4,1.3822154,60.97616,54.988633,65.701311,0,0,24.296909,30.691724,60.97616,4.7251517,0,0,0,0
214,1,2212,proton,0,0,37.150859,37.150859,0,1,0,1,0,37.150859,37.150859,0,0,0,37.150859,0,0,0,0,0,0,0
216,2,1000010020,deuteron,1,0,6.3969083,6.3969083,0,1,0,1,0,6.3969083,6.3969083,0,0,0,6.3969083,0,0,0,0,0,0,0
217,2,1000010020,deuteron,1,0,77.582643,77.582643,0,1,1,2,0.47398648,40.809519,77.582643,0,0,0,40.809519,36.773124,0,0,0,0,0,0
217,1,2212,proton,0,0,40.446822,40.446822,0,1,0,1,0,40.446822,40.446822,0,0,0,40.446822,0,0,0,0,0,0,0
223,1,2212,proton,0,0,20.240355,20.240355,0,1,1,2,0.32308199,13.701061,20.240355,0,0,0,13.701061,6.5392943,0,0,0,0,0,0
225,2,1000010020,deuteron,1,0,55.623024,55.623024,0,1,0,1,0,55.623024,55.623024,0,0,0,55.623024,0,0,0,0,0,0,0
228,2,1000010020,deuteron,1,0,94.912555,94.912555,0,1,1,2,0.67122044,63.707247,94.912555,0,0,0,31.205308,63.707247,0,0,0,0,0,0
228,1,2212,proton,0,0,40.219408,40.219408,0,1,0,1,0,40.219408,40.219408,0,0,0,40.219408,0,0,0,0,0,0,0
229,2,1000010020,deuteron,1,0,64.163831,64.163831,0,1,0,1,0,64.163831,64.163831,0,0,0,64.163831,0,0,0,0,0,0,0
230,2,1000010020,deuteron,1,0,70.215043,70.215043,0,1,1,2,0.33868196,46.434475,70.215043,0,0,0,46.434475,23.780569,0,0,0,0,0,0
230,1,2212,proton,0,0,58.040643,58.040643,0,1,1,2,0.50865803,29.522839,58.040643,0,0,0,28.517804,29.522839,0,0,0,0,0,0
233,1,2212,proton,0,0,114.27896,21.311687,92.96727,0.18648828,7,8,4.0388429,21.215557,21.311687,23.920813,29.798913,39.247544,10.57836,10.733327,11.975079,11.945734,14.661317,15.137595,18.031987,21.215557
241,1,2212,proton,0,0,137.97625,24.919716,113.05653,0.18060874,6,7,3.7922523,39.366469,24.919716,30.604881,43.08518,39.366469,11.598948,13.320768,15.009139,15.595741,18.510254,24.574925,39.366469,0
247,2,1000010020,deuteron,1,0,40.011372,40.011372,0,1,0,1,0,40.011372,40.011372,0,0,0,40.011372,0,0,0,0,0,0,0
247,1,2212,proton,0,0,136.37381,25.505198,110.86861,0.18702417,6,7,3.6605287,29.907819,25.505198,31.965472,48.995319,29.907819,12.307395,13.197802,14.212514,17.752958,20.10498,28.890339,29.907819,0
248,1,2212,proton,0,0,134.4926,26.135883,108.35671,0.19432953,6,7,3.5814826,29.880929,26.135883,31.88815,50.448935,26.019629,12.525681,13.610202,15.386205,16.501946,20.568005,29.880929,26.019629,0
251,2,1000010020,deuteron,1,0,132.52601,48.878871,83.647143,0.36882473,3,4,1.8085413,45.946648,48.878871,83.647143,0,0,22.441031,26.437839,37.700495,45.946648,0,0,0,0
252,1,2212,proton,0,0,9.1688957,9.1688957,0,1,0,1,0,9.1688957,9.1688957,0,0,0,9.1688957,0,0,0,0,0,0,0
253,1,2212,proton,0,0,113.15897,22.266936,90.892038,0.1967757,7,8,3.9557246,19.931395,22.266936,24.676747,28.814266,37.401025,10.818334,11.448602,12.18506,12.491687,14.076917,14.737349,17.46963,19.931395
260,1,2212,proton,0,0,128.68526,28.241077,100.44418,0.21945852,5,6,3.1381638,39.405793,28.241077,35.478487,64.965693,0,13.27302,14.968057,16.836674,18.641814,25.5599,39.405793,0,0
264,2,1000010020,deuteron,1,0,132.41199,50.747,81.664994,0.38325078,3,4,1.7711598,43.312228,50.747,81.664994,0,0,22.866411,27.88059,38.352766,43.312228,0,0,0,0
267,2,1000010020,deuteron,1,0,57.855745,57.855745,0,1,0,1,0,57.855745,57.855745,0,0,0,57.855745,0,0,0,0,0,0,0
267,1,2212,proton,0,0,87.843148,43.81444,44.028708,0.4987804,2,3,1.2893856,44.028708,43.81444,44.028708,0,0,18.608167,25.206273,44.028708,0,0,0,0,0
270,1,2212,proton,0,0,12.258048,12.258048,0,1,1,2,0.14611884,10.466917,12.258048,0,0,0,10.466917,1.7911318,0,0,0,0,0,0
273,1,2212,proton,0,0,121.47651,22.771511,98.704996,0.18745609,7,8,4.0859733,24.487905,22.771511,25.545403,29.438508,43.721085,10.642359,12.129152,12.081074,13.464329,14.341473,15.097035,19.233179,24.487905
283,1,2212,proton,0,0,146.23091,24.525829,121.70508,0.16771987,7,8,4.1430138,32.335868,24.525829,29.207867,39.147632,53.34958,11.44048,13.085349,13.829397,15.37847,17.892237,21.255395,32.335868,21.013712
285,2,1000010020,deuteron,1,0,24.193737,24.193737,0,1,0,1,0,24.193737,24.193737,0,0,0,24.193737,0,0,0,0,0,0,0
286,2,1000010020,deuteron,1,0,71.412337,71.412337,0,1,1,2,0.31731736,48.751963,71.412337,0,0,0,48.751963,22.660374,0,0,0,0,0,0
289,2,1000010020,deuteron,1,0,123.28115,53.444011,69.837136,0.43351325,3,4,1.5445041,48.789785,53.444011,69.837136,0,0,23.757394,29.686617,48.789785,21.047351,0,0,0,0
291,1,2212,proton,0,0,132.0443,27.155388,104.88892,0.20565361,6,7,3.4588172,34.835936,27.155388,31.888907,55.586636,17.413373,12.82042,14.334969,14.947299,16.941608,20.7507,34.835936,17.413373,0
295,2,1000010020,deuteron,1,0,119.7536,54.670271,65.083332,0.45652297,2,3,1.3492457,65.083332,54.670271,65.083332,0,0,23.259901,31.410371,65.083332,0,0,0,0,0
295,1,2212,proton,0,0,43.045864,43.045864,0,1,0,1,0,43.045864,43.045864,0,0,0,43.045864,0,0,0,0,0,0,0
299,2,1000010020,deuteron,1,0,126.5908,52.95832,73.632478,0.41834257,3,4,1.6207714,44.680079,52.95832,73.632478,0,0,24.000928,28.957393,44.680079,28.9524,0,0,0,0
303,2,1000010020,deuteron,1,0,73.74838,73.74838,0,1,1,2,0.41018705,43.497749,73.74838,0,0,0,43.497749,30.250631,0,0,0,0,0,0
303,1,2212,proton,0,0,46.822431,46.822431,0,1,0,1,0,46.822431,46.822431,0,0,0,46.822431,0,0,0,0,0,0,0
304,1,2212,proton,0,0,125.18993,22.815407,102.37452,0.18224635,7,8,4.1346267,25.978683,22.815407,25.541352,30.992018,45.841153,10.938101,11.877306,12.325358,13.215994,14.548067,16.44395,19.86247,25.978683
312,2,1000010020,deuteron,1,0,61.460502,61.460502,0,1,0,1,0,61.460502,61.460502,0,0,0,61.460502,0,0,0,0,0,0,0
312,1,2212,proton,0,0,60.655386,60.655386,0,1,1,2,0.54369275,32.977894,60.655386,0,0,0,27.677492,32.977894,0,0,0,0,0,0
331,2,1000010020,deuteron,1,0,59.983676,59.983676,0,1,0,1,0,59.983676,59.983676,0,0,0,59.983676,0,0,0,0,0,0,0
331,1,2212,proton,0,0,88.947512,40.1038,48.843712,0.45087039,3,4,1.3807364,46.229095,40.1038,48.843712,0,0,17.592773,22.511027,46.229095,2.6146169,0,0,0,0
334,1,2212,proton,0,0,38.15637,38.15637,0,1,0,1,0,38.15637,38.15637,0,0,0,38.15637,0,0,0,0,0,0,0
340,1,2212,proton,0,0,48.359454,48.359454,0,1,1,2,0.11186955,42.949504,48.359454,0,0,0,42.949504,5.4099502,0,0,0,0,0,0
344,1,2212,proton,0,0,147.15786,24.300405,122.85745,0.16513155,7,8,4.2496734,29.406849,24.300405,28.477633,36.895533,57.484284,11.335944,12.964461,13.801548,14.676085,16.683789,20.211744,29.406849,28.077435
354,2,1000010020,deuteron,1,0,65.211752,65.211752,0,1,0,1,0,65.211752,65.211752,0,0,0,65.211752,0,0,0,0,0,0,0
358,2,1000010020,deuteron,1,0,39.081439,39.081439,0,1,0,1,0,39.081439,39.081439,0,0,0,39.081439,0,0,0,0,0,0,0
361,2,1000010020,deuteron,1,0,59.469649,59.469649,0,1,0,1,0,59.469649,59.469649,0,0,0,59.469649,0,0,0,0,0,0,0
361,1,2212,proton,0,0,63.457465,63.457465,0,1,1,2,0.58433885,37.080662,63.457465,0,0,0,26.376803,37.080662,0,0,0,0,0,0
362,2,1000010020,deuteron,1,0,5.6619244,5.6619244,0,1,0,1,0,5.6619244,5.6619244,0,0,0,5.6619244,0,0,0,0,0,0,0
364,2,1000010020,deuteron,1,0,9.0414153,9.0414153,0,1,0,1,0,9.0414153,9.0414153,0,0,0,9.0414153,0,0,0,0,0,0,0
365,1,2212,proton,0,0,23.978031,23.978031,0,1,1,2,0.50461201,12.099603,23.978031,0,0,0,11.878429,12.099603,0,0,0,0,0,0
366,1,2212,proton,0,0,57.333415,26.947888,30.385527,0.47002063,3,4,1.5637292,15.7622,26.947888,30.385527,0,0,12.688332,14.259555,15.7622,14.623327,0,0,0,0
368,1,2212,proton,0,0,129.34061,27.735368,101.60524,0.21443666,5,6,3.2001557,43.334766,27.735368,34.013982,67.59126,0,13.507904,14.227464,16.059119,17.954863,24.256494,43.334766,0,0
369,1,2212,proton,0,0,145.94083,23.788862,122.15197,0.16300347,7,8,4.2087097,30.677214,23.788862,28.943716,38.045735,55.162519,11.238528,12.550333,13.708001,15.235716,17.13998,20.905755,30.677214,24.485305
375,1,2212,proton,0,0,132.22073,26.747979,105.47275,0.20229792,6,7,3.3628064,41.761801,26.747979,33.532967,63.812037,8.1277486,12.494095,14.253884,15.996506,17.536461,22.050236,41.761801,8.1277486,0
376,1,2212,proton,0,0,128.6707,27.159291,101.51141,0.21107596,5,6,3.2142129,43.530491,27.159291,34.292113,67.219293,0,13.235032,13.924259,15.633241,18.658872,23.688802,43.530491,0,0
379,2,1000010020,deuteron,1,0,130.53408,49.739294,80.794781,0.38104452,3,4,1.7653761,41.713262,49.739294,80.794781,0,0,22.600381,27.138913,39.08152,41.713262,0,0,0,0
384,2,1000010020,deuteron,1,0,37.262206,37.262206,0,1,1,2,0.37852459,23.157545,37.262206,0,0,0,23.157545,14.104661,0,0,0,0,0,0
390,2,1000010020,deuteron,1,0,25.463208,25.463208,0,1,1,2,0.02352373,24.864219,25.463208,0,0,0,24.864219,0.59898963,0,0,0,0,0,0
395,1,2212,proton,0,0,129.9274,27.494196,102.4332,0.211612,5,6,3.2272899,44.496932,27.494196,33.607209,68.825992,0,12.991961,14.502235,15.811389,17.79582,24.32906,44.496932,0,0
398,2,1000010020,deuteron,1,0,69.600059,69.600059,0,1,1,2,0.28150693,50.00716,69.600059,0,0,0,50.00716,19.592899,0,0,0,0,0,0
399,1,2212,proton,0,0,135.44453,26.467477,108.97705,0.19541193,6,7,3.6187729,28.988137,26.467477,31.411978,49.197573,28.367503,12.728976,13.738501,13.814883,17.597095,20.209436,28.988137,28.367503,0
411,1,2212,proton,0,0,126.20793,26.959354,99.248573,0.21361062,5,6,3.15342,38.245913,26.959354,35.240101,64.008472,0,13.074827,13.884527,15.89803,19.342071,25.76256,38.245913,0,0
412,2,1000010020,deuteron,1,0,59.705959,59.705959,0,1,1,2,0.3219559,40.483273,59.705959,0,0,0,40.483273,19.222686,0,0,0,0,0,0
412,1,2212,proton,0,0,43.764024,43.764024,0,1,0,1,0,43.764024,43.764024,0,0,0,43.764024,0,0,0,0,0,0,0
413,1,2212,proton,0,0,137.78403,24.753722,113.03031,0.17965596,6,7,3.7949955,38.864732,24.753722,30.493816,43.671763,38.864732,11.600656,13.153066,14.647351,15.846465,18.644582,25.027181,38.864732,0
415,1,2212,proton,0,0,137.64829,26.094672,111.55361,0.18957499,6,7,3.7104922,35.149728,26.094672,30.942434,45.46145,35.149728,11.967326,14.127347,14.939954,16.00248,19.477431,25.984019,35.149728,0
418,2,1000010020,deuteron,1,0,61.971804,61.971804,0,1,0,1,0,61.971804,61.971804,0,0,0,61.971804,0,0,0,0,0,0,0
424,1,2212,proton,0,0,135.19353,25.67057,109.52296,0.18988016,6,7,3.6103687,29.616015,25.67057,32.177014,50.343281,27.002668,12.312241,13.358329,14.796018,17.380996,20.727266,29.616015,27.002668,0
426,1,2212,proton,0,0,125.40107,27.050998,98.350067,0.21571585,5,6,3.1494954,38.31237,27.050998,34.679839,63.670228,0,12.931809,14.119189,16.201912,18.477928,25.357858,38.31237,0,0
429,1,2212,proton,0,0,117.59412,21.628731,95.965388,0.18392698,7,8,4.0390701,21.620806,21.628731,25.521548,30.393483,40.050357,10.023859,11.604872,12.630932,12.890616,14.458054,15.935429,18.429551,21.620806
434,1,2212,proton,0,0,138.86519,25.501817,113.36338,0.18364441,6,7,3.7468564,36.706034,25.501817,30.807431,45.849912,36.706034,12.70335,12.798466,14.574767,16.232664,19.823819,26.026092,36.706034,0
436,2,1000010020,deuteron,1,0,74.392725,48.825909,25.566816,0.6563264,2,3,1.0430042,26.45829,48.825909,25.566816,0,0,22.36762,26.45829,25.566816,0,0,0,0,0
437,2,1000010020,deuteron,1,0,134.64885,49.006974,85.641872,0.36396134,3,4,1.8345814,49.196715,49.006974,85.641872,0,0,22.463167,26.543807,36.445157,49.196715,0,0,0,0
444,2,1000010020,deuteron,1,0,72.01065,72.01065,0,1,1,2,0.36596243,45.657458,72.01065,0,0,0,45.657458,26.353192,0,0,0,0,0,0
444,1,2212,proton,0,0,51.335638,51.335638,0,1,1,2,0.30171902,35.8467,51.335638,0,0,0,35.8467,15.488938,0,0,0,0,0,0
447,2,1000010020,deuteron,1,0,129.66917,50.800351,78.868815,0.39176894,3,4,1.7302813,39.63982,50.800351,78.868815,0,0,23.402838,27.397513,39.63982,39.228994,0,0,0,0
450,2,1000010020,deuteron,1,0,68.524574,68.524574,0,1,1,2,0.21534098,53.768425,68.524574,0,0,0,53.768425,14.756149,0,0,0,0,0,0
451,2,1000010020,deuteron,1,0,128.81747,50.326594,78.490873,0.39068144,3,4,1.7299563,40.362367,50.326594,78.490873,0,0,22.588253,27.73834,40.362367,38.128506,0,0,0,0
453,2,1000010020,deuteron,1,0,132.30154,48.782012,83.51953,0.36871839,3,4,1.8101256,45.898353,48.782012,83.51953,0,0,22.237019,26.544993,37.621177,45.898353,0,0,0,0
457,2,1000010020,deuteron,1,0,120.57703,54.459909,66.11712,0.45166073,3,4,1.3997985,60.196115,54.459909,66.11712,0,0,23.831613,30.628296,60.196115,5.9210058,0,0,0,0
457,1,2212,proton,0,0,21.382104,21.382104,0,1,0,1,0,21.382104,21.382104,0,0,0,21.382104,0,0,0,0,0,0,0
461,2,1000010020,deuteron,1,0,123.66609,52.828597,70.837497,0.4271874,3,4,1.5752722,47.064067,52.828597,70.837497,0,0,23.469257,29.35934,47.064067,23.77343,0,0,0,0
466,2,1000010020,deuteron,1,0,69.41422,69.41422,0,1,1,2,0.26796443,50.813678,69.41422,0,0,0,50.813678,18.600542,0,0,0,0,0,0
475,2,1000010020,deuteron,1,0,66.187916,66.187916,0,1,1,2,0.058609388,62.308683,66.187916,0,0,0,62.308683,3.8792332,0,0,0,0,0,0
475,1,2212,proton,0,0,56.055807,56.055807,0,1,1,2,0.44926088,30.872126,56.055807,0,0,0,30.872126,25.183681,0,0,0,0,0,0
479,2,1000010020,deuteron,1,0,67.659375,67.659375,0,1,1,2,0.17740309,55.656393,67.659375,0,0,0,55.656393,12.002982,0,0,0,0,0,0
481,1,2212,proton,0,0,133.08174,25.070166,108.01158,0.1883817,6,7,3.586744,31.070728,25.070166,31.832305,52.206521,23.972753,12.111613,12.958553,14.858653,16.973652,21.135793,31.070728,23.972753,0
483,1,2212,proton,0,0,128.93108,26.567608,102.36347,0.20606054,5,6,3.2430874,44.761557,26.567608,34.23504,68.128433,0,12.416302,14.151306,15.996946,18.238095,23.366876,44.761557,0,0
484,1,2212,proton,0,0,133.96315,26.953916,107.00923,0.20120397,6,7,3.5216581,32.412546,26.953916,31.634428,53.488353,21.886448,13.208435,13.745481,14.561014,17.073414,21.075807,32.412546,21.886448,0
488,1,2212,proton,0,0,144.24249,25.054699,119.18779,0.17369847,7,8,4.0682956,36.545918,25.054699,28.435584,39.671787,51.080419,11.715324,13.339376,13.54211,14.893474,17.658888,22.012899,36.545918,14.534501
495,1,2212,proton,0,0,137.8737,26.143403,111.7303,0.18961849,6,7,3.6706329,32.844432,26.143403,31.988555,46.897311,32.844432,12.730293,13.41311,15.149561,16.838993,19.698613,27.198698,32.844432,0
500,1,2212,proton,0,0,117.13335,22.116189,95.017157,0.18881207,7,8,4.0570812,23.097493,22.116189,24.80494,29.06148,41.150736,10.95754,11.158649,11.870611,12.934329,13.792673,15.268807,18.053243,23.097493
501,1,2212,proton,0,0,134.63672,26.459078,108.17764,0.19652201,6,7,3.5677052,30.452779,26.459078,31.927729,51.046177,25.203732,12.542784,13.916294,15.215244,16.712485,20.593398,30.452779,25.203732,0
503,2,1000010020,deuteron,1,0,64.698553,64.698553,0,1,0,1,0,64.698553,64.698553,0,0,0,64.698553,0,0,0,0,0,0,0
503,1,2212,proton,0,0,58.096913,58.096913,0,1,1,2,0.5118644,29.737741,58.096913,0,0,0,28.359172,29.737741,0,0,0,0,0,0
504,1,2212,proton,0,0,130.7372,28.621373,102.11582,0.21892295,5,6,3.1849848,43.82212,28.621373,34.842035,67.273788,0,13.473778,15.147594,16.19499,18.647045,23.451668,43.82212,0,0
505,1,2212,proton,0,0,1.5443512,1.5443512,0,1,0,1,0,1.5443512,1.5443512,0,0,0,1.5443512,0,0,0,0,0,0,0
506,2,1000010020,deuteron,1,0,13.321171,13.321171,0,1,0,1,0,13.321171,13.321171,0,0,0,13.321171,0,0,0,0,0,0,0
