min_score,max_log_chi2_ndf,min_pred_sep_sample,max_pred_amp_ratio,n_positive,n_accepted,coverage,abstention_rate,accepted_time_rms_ns,charge_fractional_bias,charge_fractional_res68,bad_recovery_rate,risk_coverage_auc
-1.0,24.92297091484134,0.75,2.5,1300,964,0.7415384615384616,0.25846153846153846,14.208255083415672,-0.008012752808942439,0.08896730069903813,0.274896265560166,0.20411297244849141
-1.0,24.92297091484134,1.0,1.2,1300,689,0.53,0.47,14.546024666589233,-0.010545505661888627,0.08951038388483598,0.25834542815674894,0.20411297244849141
-1.0,24.92297091484134,1.0,1.5,1300,785,0.6038461538461538,0.39615384615384613,14.102022957370423,-0.011537798912203898,0.09039228348884623,0.25095541401273885,0.20411297244849141
-1.0,24.92297091484134,1.0,1.8,1300,914,0.703076923076923,0.2969230769230769,14.255134603379478,-0.009370861096075846,0.09020326839766374,0.2833698030634573,0.20411297244849141
-1.0,24.92297091484134,1.0,2.5,1300,914,0.703076923076923,0.2969230769230769,14.255134603379478,-0.009370861096075846,0.09020326839766374,0.2833698030634573,0.20411297244849141
-1.0,24.92297091484134,1.5,1.2,1300,624,0.48,0.52,15.091158508873988,-0.005988822898641676,0.09488849933953386,0.27884615384615385,0.20411297244849141
-1.0,24.92297091484134,1.5,1.5,1300,700,0.5384615384615384,0.46153846153846156,14.6599521848331,-0.010268799026537018,0.09527971013383607,0.2714285714285714,0.20411297244849141
-1.0,24.92297091484134,1.5,1.8,1300,808,0.6215384615384615,0.37846153846153846,14.74801932454987,-0.005144584844850345,0.09410732077495057,0.3069306930693069,0.20411297244849141
-1.0,24.92297091484134,1.5,2.5,1300,808,0.6215384615384615,0.37846153846153846,14.74801932454987,-0.005144584844850345,0.09410732077495057,0.3069306930693069,0.20411297244849141
-1.0,24.92297091484134,0.0,1.2,1300,808,0.6215384615384615,0.37846153846153846,14.194686983211984,-0.011030168132951691,0.08552406865466022,0.2376237623762376,0.20411297244849141
-1.0,24.92297091484134,0.0,1.5,1300,921,0.7084615384615385,0.2915384615384615,13.912638342032494,-0.011622327711934628,0.08635546332979024,0.23235613463626492,0.20411297244849141
-1.0,24.92297091484134,0.0,1.8,1300,1063,0.8176923076923077,0.1823076923076923,14.052128948205494,-0.009737565927645356,0.08651939573135925,0.2605832549388523,0.20411297244849141
-1.0,24.92297091484134,0.0,2.5,1300,1063,0.8176923076923077,0.1823076923076923,14.052128948205494,-0.009737565927645356,0.08651939573135925,0.2605832549388523,0.20411297244849141
