event_id,pair,method,residual_ns
65:670708:7428:245748,B4-B8,cfd20_reference,-4.0346076441745815
65:670708:7428:245748,B6-B8,cfd20_reference,1.621731048317077
65:671756:8387:246796,B4-B6,cfd20_reference,-5.01597351459041
65:671756:8387:246796,B4-B8,cfd20_reference,-5.3355210376159725
65:671756:8387:246796,B6-B8,cfd20_reference,-0.31954752302556244
65:672239:8844:247279,B4-B6,cfd20_reference,-3.991319424819217
65:672239:8844:247279,B4-B8,cfd20_reference,-5.195946973416568
65:672239:8844:247279,B6-B8,cfd20_reference,-1.204627548597351
65:672890:9443:247930,B4-B6,cfd20_reference,-4.450088787952623
65:672890:9443:247930,B4-B8,cfd20_reference,-4.165353150213562
65:672890:9443:247930,B6-B8,cfd20_reference,0.2847356377390611
65:674077:10572:249117,B4-B6,cfd20_reference,-3.8706343825665854
65:674077:10572:249117,B4-B8,cfd20_reference,-5.29638343199624
65:674077:10572:249117,B6-B8,cfd20_reference,-1.4257490494296547
65:674255:10737:249295,B4-B6,cfd20_reference,-7.017738463382479
65:674255:10737:249295,B4-B8,cfd20_reference,-4.960434694132935
65:674255:10737:249295,B6-B8,cfd20_reference,2.0573037692495433
65:674617:11075:249657,B4-B6,cfd20_reference,-5.967481781376513
65:674617:11075:249657,B4-B8,cfd20_reference,-6.051701008072932
65:674617:11075:249657,B6-B8,cfd20_reference,-0.08421922669641901
65:674684:11140:249724,B4-B6,cfd20_reference,-5.495267112573039
65:674684:11140:249724,B4-B8,cfd20_reference,-6.1975367499124445
65:674684:11140:249724,B6-B8,cfd20_reference,-0.7022696373394055
65:676071:12428:251111,B4-B6,cfd20_reference,-3.379935826212602
65:676071:12428:251111,B4-B8,cfd20_reference,-3.348277001078884
65:676071:12428:251111,B6-B8,cfd20_reference,0.03165882513371798
65:677190:13474:252230,B4-B6,cfd20_reference,-7.3116861516509815
65:677190:13474:252230,B4-B8,cfd20_reference,-8.013830107517428
65:677190:13474:252230,B6-B8,cfd20_reference,-0.7021439558664468
65:678223:14427:253263,B4-B6,cfd20_reference,-6.834626548187487
65:678223:14427:253263,B4-B8,cfd20_reference,-3.6410467549209216
65:678223:14427:253263,B6-B8,cfd20_reference,3.193579793266565
65:678819:14965:253859,B4-B6,cfd20_reference,-2.53117114747009
65:678819:14965:253859,B4-B8,cfd20_reference,-1.7438133187772848
65:678819:14965:253859,B6-B8,cfd20_reference,0.7873578286928051
65:680356:6:255396,B4-B6,cfd20_reference,-3.9451899030194753
65:680356:6:255396,B4-B8,cfd20_reference,-2.975201209403558
65:680356:6:255396,B6-B8,cfd20_reference,0.9699886936159174
65:681202:802:256242,B4-B6,cfd20_reference,-3.583932342462308
65:681202:802:256242,B4-B8,cfd20_reference,-4.608023931782331
65:681202:802:256242,B6-B8,cfd20_reference,-1.0240915893200224
65:682284:1811:257324,B4-B6,cfd20_reference,-5.565287971388045
65:682284:1811:257324,B4-B8,cfd20_reference,-5.625353755238919
