subset,consumer,run,method,method_label,n,pull_width68,coverage68,coverage95,tail_frac_abs_gt1p96,consumer_loss
s06c_accepted_support,pid_pull,62,mlp,MLP residual scale model,655,1.0962929505415153,0.4870229007633588,0.8732824427480916,0.1267175572519084,0.12384866410474332
s06c_accepted_support,pid_pull,62,phase_conformal_gated_cnn,Phase-conformal atom-gated CNN,655,0.9485718476580186,0.6305343511450382,0.9190839694656489,0.08091603053435115,0.05385383860066137
s06c_accepted_support,pid_pull,62,ridge,Ridge residual scale model,655,1.0758078852680604,0.49770992366412214,0.8748091603053435,0.1251908396946565,0.1152922832825628
s06c_accepted_support,pid_pull,62,traditional,S02/S03/S04 atom robust-width baseline,655,1.2802040022927839,0.46259541984732827,0.816793893129771,0.183206106870229,0.2041775720807284
s06c_accepted_support,pid_pull,63,cnn1d,1D-CNN residual scale model,298,0.8922120252982331,0.4664429530201342,0.9194630872483222,0.08053691275167785,0.1087770848304971
s06c_accepted_support,pid_pull,63,gradient_boosted_trees,HistGradientBoosting residual scale model,298,1.01764624792196,0.5201342281879194,0.8791946308724832,0.12080536912751678,0.09295306253151851
s06c_accepted_support,pid_pull,63,mlp,MLP residual scale model,298,1.0638918022325505,0.5335570469798657,0.8791946308724832,0.12080536912751678,0.1011587464111796
s06c_accepted_support,pid_pull,63,phase_conformal_gated_cnn,Phase-conformal atom-gated CNN,298,1.0016991569122358,0.5201342281879194,0.9261744966442953,0.0738255033557047,0.06547635689318143
s06c_accepted_support,pid_pull,63,ridge,Ridge residual scale model,298,1.0995957517218438,0.5503355704697986,0.8859060402684564,0.11409395973154363,0.10253439821303308
s06c_accepted_support,pid_pull,63,traditional,S02/S03/S04 atom robust-width baseline,298,1.3051392514651445,0.48322147651006714,0.8053691275167785,0.19463087248322147,0.2109672530146301
s06c_accepted_support,pid_pull,65,cnn1d,1D-CNN residual scale model,50,1.3235507998327192,0.3,0.9,0.1,0.2140600729924298
s06c_accepted_support,pid_pull,65,gradient_boosted_trees,HistGradientBoosting residual scale model,50,1.5241004172888546,0.4,0.76,0.24,0.30919747735646363
s06c_accepted_support,pid_pull,65,mlp,MLP residual scale model,50,1.4930789924305077,0.3,0.8,0.2,0.3064421211418769
s06c_accepted_support,pid_pull,65,phase_conformal_gated_cnn,Phase-conformal atom-gated CNN,50,0.9697898675213549,0.56,0.98,0.02,0.05072490615391128
s06c_accepted_support,pid_pull,65,ridge,Ridge residual scale model,50,1.7070825180935256,0.42,0.74,0.26,0.3599430025576314
s06c_accepted_support,pid_pull,65,traditional,S02/S03/S04 atom robust-width baseline,50,1.5875052128025344,0.44,0.74,0.26,0.3250486762348836
s06c_accepted_support,range_energy_pull,58,cnn1d,1D-CNN residual scale model,32,0.8715580542673493,0.25,1.0,0.0,0.15278285946741268
s06c_accepted_support,range_energy_pull,58,gradient_boosted_trees,HistGradientBoosting residual scale model,32,1.3016658685131972,0.3125,0.71875,0.28125,0.2960888401625493
s06c_accepted_support,range_energy_pull,58,mlp,MLP residual scale model,32,0.9510053062567935,0.28125,0.84375,0.15625,0.17823354647005163
s06c_accepted_support,range_energy_pull,58,phase_conformal_gated_cnn,Phase-conformal atom-gated CNN,32,0.5450860689159744,0.375,0.96875,0.03125,0.2031508558052564
s06c_accepted_support,range_energy_pull,58,ridge,Ridge residual scale model,32,0.666460911639094,0.40625,0.84375,0.15625,0.21811964512447649
s06c_accepted_support,range_energy_pull,58,traditional,S02/S03/S04 atom robust-width baseline,32,1.0340239834502123,0.46875,0.84375,0.15625,0.12761586889680307
s06c_accepted_support,range_energy_pull,59,cnn1d,1D-CNN residual scale model,643,0.941662534444802,0.3965785381026439,0.9253499222395023,0.07465007776049767,0.11093714377763739
s06c_accepted_support,range_energy_pull,59,gradient_boosted_trees,HistGradientBoosting residual scale model,643,1.0138662068764828,0.4867807153965785,0.8615863141524106,0.13841368584758942,0.10915058882802076
s06c_accepted_support,range_energy_pull,59,mlp,MLP residual scale model,643,1.0055692772637899,0.49922239502332816,0.8709175738724728,0.1290824261275272,0.09930030665812903
s06c_accepted_support,range_energy_pull,59,phase_conformal_gated_cnn,Phase-conformal atom-gated CNN,643,0.8233562270001542,0.6049766718506998,0.9611197511664075,0.038880248833592534,0.07608914832153651
s06c_accepted_support,range_energy_pull,59,ridge,Ridge residual scale model,643,1.061537229129201,0.49300155520995337,0.8351477449455676,0.16485225505443235,0.13273241904127805
s06c_accepted_support,range_energy_pull,59,traditional,S02/S03/S04 atom robust-width baseline,643,1.0886994939429073,0.5645412130637636,0.8631415241057543,0.1368584758942457,0.10764118120115879
s06c_accepted_support,range_energy_pull,60,cnn1d,1D-CNN residual scale model,731,0.9558188354403029,0.478796169630643,0.8974008207934336,0.10259917920656635,0.10081821136979671
s06c_accepted_support,range_energy_pull,60,gradient_boosted_trees,HistGradientBoosting residual scale model,731,1.0233182700299546,0.47332421340629277,0.8700410396716827,0.12995896032831739,0.11065036735432413
s06c_accepted_support,range_energy_pull,60,mlp,MLP residual scale model,731,1.2345114040891296,0.4240766073871409,0.8344733242134063,0.16552667578659372,0.19354441010304405
s06c_accepted_support,range_energy_pull,60,phase_conformal_gated_cnn,Phase-conformal atom-gated CNN,731,0.8817440033526327,0.5444596443228454,0.9357045143638851,0.06429548563611491,0.08376920393343791
s06c_accepted_support,range_energy_pull,60,ridge,Ridge residual scale model,731,0.9272177557661059,0.5157318741450069,0.8590971272229823,0.1409028727770178,0.11788640194498069
s06c_accepted_support,range_energy_pull,60,traditional,S02/S03/S04 atom robust-width baseline,731,1.1041956961599027,0.506155950752394,0.8358413132694938,0.16415868673050615,0.13976165275138025
s06c_accepted_support,range_energy_pull,61,cnn1d,1D-CNN residual scale model,686,1.3171016033108425,0.2565597667638484,0.8702623906705539,0.12973760932944606,0.23817663683572154
s06c_accepted_support,range_energy_pull,61,gradient_boosted_trees,HistGradientBoosting residual scale model,686,1.5491700322565212,0.25072886297376096,0.6501457725947521,0.3498542274052478,0.40770977905756395
s06c_accepted_support,range_energy_pull,61,mlp,MLP residual scale model,686,1.3877240915810414,0.34839650145772594,0.7565597667638484,0.2434402332361516,0.28972438718315463
s06c_accepted_support,range_energy_pull,61,phase_conformal_gated_cnn,Phase-conformal atom-gated CNN,686,0.9816978047645561,0.4446064139941691,0.956268221574344,0.043731778425655975,0.07659631834456869
s06c_accepted_support,range_energy_pull,61,ridge,Ridge residual scale model,686,1.6937469642180873,0.22740524781341107,0.6297376093294461,0.37026239067055394,0.459888997470696
s06c_accepted_support,range_energy_pull,61,traditional,S02/S03/S04 atom robust-width baseline,686,1.8664653449354507,0.24635568513119532,0.5072886297376094,0.49271137026239065,0.5595554731165091
s06c_accepted_support,range_energy_pull,62,cnn1d,1D-CNN residual scale model,655,0.9871554812296217,0.517557251908397,0.9267175572519084,0.0732824427480916,0.06863541112379112
s06c_accepted_support,range_energy_pull,62,gradient_boosted_trees,HistGradientBoosting residual scale model,655,0.9483702256849829,0.5267175572519084,0.9053435114503817,0.09465648854961832,0.08672867157483634
s06c_accepted_support,range_energy_pull,62,mlp,MLP residual scale model,655,1.0306599403700916,0.5206106870229008,0.8916030534351145,0.1083969465648855,0.08988315965349045
s06c_accepted_support,range_energy_pull,62,phase_conformal_gated_cnn,Phase-conformal atom-gated CNN,655,0.9206735421394936,0.6931297709923664,0.9297709923664123,0.07022900763358779,0.04505618799576207
s06c_accepted_support,range_energy_pull,62,ridge,Ridge residual scale model,655,1.025593170901369,0.5435114503816794,0.8916030534351145,0.1083969465648855,0.08289127644661518
s06c_accepted_support,range_energy_pull,62,traditional,S02/S03/S04 atom robust-width baseline,655,1.2140045201169527,0.4961832061068702,0.8396946564885496,0.16030534351145037,0.1677803732924958
s06c_accepted_support,range_energy_pull,63,cnn1d,1D-CNN residual scale model,298,0.8530174613615186,0.5335570469798657,0.9261744966442953,0.0738255033557047,0.09844149762675627
s06c_accepted_support,range_energy_pull,63,gradient_boosted_trees,HistGradientBoosting residual scale model,298,0.9777336017837583,0.5536912751677853,0.9026845637583892,0.09731543624161074,0.07397387191716948
s06c_accepted_support,range_energy_pull,63,mlp,MLP residual scale model,298,1.0090229090740261,0.5637583892617449,0.8825503355704698,0.1174496644295302,0.0782133352020854
s06c_accepted_support,range_energy_pull,63,phase_conformal_gated_cnn,Phase-conformal atom-gated CNN,298,0.9895336365146482,0.5805369127516778,0.9395973154362416,0.06040268456375839,0.04585607799954768
s06c_accepted_support,range_energy_pull,63,ridge,Ridge residual scale model,298,1.0553483222731108,0.5704697986577181,0.9161073825503355,0.08389261744966443,0.0713383126629304
s06c_accepted_support,range_energy_pull,63,traditional,S02/S03/S04 atom robust-width baseline,298,1.236346929317364,0.5268456375838926,0.8322147651006712,0.16778523489932887,0.16944031341728225
s06c_accepted_support,range_energy_pull,65,cnn1d,1D-CNN residual scale model,50,1.2907682806832388,0.42,0.92,0.08,0.16586444320505966
s06c_accepted_support,range_energy_pull,65,gradient_boosted_trees,HistGradientBoosting residual scale model,50,1.4986157115688337,0.44,0.86,0.14,0.2428263009264584
s06c_accepted_support,range_energy_pull,65,mlp,MLP residual scale model,50,1.4001239809309614,0.38,0.82,0.18,0.25320336826699036
s06c_accepted_support,range_energy_pull,65,phase_conformal_gated_cnn,Phase-conformal atom-gated CNN,50,0.9259715258136458,0.7,0.98,0.02,0.035334745512338527
s06c_accepted_support,range_energy_pull,65,ridge,Ridge residual scale model,50,1.6197877434900039,0.46,0.8,0.2,0.2981193089067509
s06c_accepted_support,range_energy_pull,65,traditional,S02/S03/S04 atom robust-width baseline,50,1.537881607914196,0.48,0.68,0.32,0.332642775012799
