fold,train_group,eval_group,heldout_run,method,n,q_template_mse,q_tail_mse
sample_i_analysis_from_sample_i_calib,sample_i_calib,sample_i_analysis,52,ml_extra_trees_shuffled,7152,0.041851845596870274,0.05013956429137163
sample_i_analysis_from_sample_i_calib,sample_i_calib,sample_i_analysis,52,ml_extra_trees_no_tail,7152,0.001780068384420205,0.0015649795173966032
sample_i_analysis_from_sample_i_calib,sample_i_calib,sample_i_analysis,52,ml_extra_trees_no_tail_shuffled,7152,0.04130199005491402,0.04952996719568211
sample_i_analysis_from_sample_i_calib,sample_i_calib,sample_i_analysis,53,calibration_amp_median,32200,0.019743547951202946,0.023355272482927434
sample_i_analysis_from_sample_i_calib,sample_i_calib,sample_i_analysis,53,traditional_shape_handle_median,32200,0.010543581595961717,0.012857199176740683
sample_i_analysis_from_sample_i_calib,sample_i_calib,sample_i_analysis,53,ml_extra_trees_conditional,32200,0.0013153567616632186,0.0015734441610841937
sample_i_analysis_from_sample_i_calib,sample_i_calib,sample_i_analysis,53,ml_extra_trees_shuffled,32200,0.02851365837022858,0.03503210858428549
sample_i_analysis_from_sample_i_calib,sample_i_calib,sample_i_analysis,53,ml_extra_trees_no_tail,32200,0.0013997841286680981,0.0016894925856185984
sample_i_analysis_from_sample_i_calib,sample_i_calib,sample_i_analysis,53,ml_extra_trees_no_tail_shuffled,32200,0.02800973762715686,0.03447805547223284
sample_i_analysis_from_sample_i_calib,sample_i_calib,sample_i_analysis,54,calibration_amp_median,30440,0.01576930133305894,0.018725013901507482
sample_i_analysis_from_sample_i_calib,sample_i_calib,sample_i_analysis,54,traditional_shape_handle_median,30440,0.008443578216179155,0.010385136043426793
sample_i_analysis_from_sample_i_calib,sample_i_calib,sample_i_analysis,54,ml_extra_trees_conditional,30440,0.0008044679404862151,0.000978715314957157
sample_i_analysis_from_sample_i_calib,sample_i_calib,sample_i_analysis,54,ml_extra_trees_shuffled,30440,0.02390099158416305,0.029614377331364444
sample_i_analysis_from_sample_i_calib,sample_i_calib,sample_i_analysis,54,ml_extra_trees_no_tail,30440,0.0008472446450196267,0.0010510127318612914
sample_i_analysis_from_sample_i_calib,sample_i_calib,sample_i_analysis,54,ml_extra_trees_no_tail_shuffled,30440,0.023563584359989172,0.02926223312715687
sample_i_analysis_from_sample_i_calib,sample_i_calib,sample_i_analysis,55,calibration_amp_median,17387,0.030255706381948095,0.03555057268107663
sample_i_analysis_from_sample_i_calib,sample_i_calib,sample_i_analysis,55,traditional_shape_handle_median,17387,0.015855438369293776,0.019108610766698304
sample_i_analysis_from_sample_i_calib,sample_i_calib,sample_i_analysis,55,ml_extra_trees_conditional,17387,0.0013462309673602786,0.001451930466992137
sample_i_analysis_from_sample_i_calib,sample_i_calib,sample_i_analysis,55,ml_extra_trees_shuffled,17387,0.04108990033021705,0.0497492504789791
sample_i_analysis_from_sample_i_calib,sample_i_calib,sample_i_analysis,55,ml_extra_trees_no_tail,17387,0.001547875339649108,0.001725169891631187
sample_i_analysis_from_sample_i_calib,sample_i_calib,sample_i_analysis,55,ml_extra_trees_no_tail_shuffled,17387,0.0403586184719842,0.048948930069964945
sample_i_analysis_from_sample_i_calib,sample_i_calib,sample_i_analysis,56,calibration_amp_median,40148,0.021406084271835,0.0259284746485964
sample_i_analysis_from_sample_i_calib,sample_i_calib,sample_i_analysis,56,traditional_shape_handle_median,40148,0.012964517471218896,0.016031437450417355
sample_i_analysis_from_sample_i_calib,sample_i_calib,sample_i_analysis,56,ml_extra_trees_conditional,40148,0.0016607868264979161,0.0018072498870433747
sample_i_analysis_from_sample_i_calib,sample_i_calib,sample_i_analysis,56,ml_extra_trees_shuffled,40148,0.02931051561649418,0.03651622428072905
sample_i_analysis_from_sample_i_calib,sample_i_calib,sample_i_analysis,56,ml_extra_trees_no_tail,40148,0.001788499768898872,0.001972966183815498
sample_i_analysis_from_sample_i_calib,sample_i_calib,sample_i_analysis,56,ml_extra_trees_no_tail_shuffled,40148,0.028959134911320492,0.03613715553150431
sample_i_analysis_from_sample_i_calib,sample_i_calib,sample_i_analysis,57,calibration_amp_median,13833,0.08662212745138073,0.1005389970261445
sample_i_analysis_from_sample_i_calib,sample_i_calib,sample_i_analysis,57,traditional_shape_handle_median,13833,0.04137739444363597,0.048603395715209184
sample_i_analysis_from_sample_i_calib,sample_i_calib,sample_i_analysis,57,ml_extra_trees_conditional,13833,0.003625242567573078,0.0037983767521544685
sample_i_analysis_from_sample_i_calib,sample_i_calib,sample_i_analysis,57,ml_extra_trees_shuffled,13833,0.11434270929841041,0.13610768412787777
sample_i_analysis_from_sample_i_calib,sample_i_calib,sample_i_analysis,57,ml_extra_trees_no_tail,13833,0.0040204635683899785,0.004282088565291884
sample_i_analysis_from_sample_i_calib,sample_i_calib,sample_i_analysis,57,ml_extra_trees_no_tail_shuffled,13833,0.11281661815507736,0.13439252659659082
sample_ii_analysis_from_run64_calib,sample_ii_calib,sample_ii_analysis,58,calibration_amp_median,16781,0.010930429392784604,0.013706071737210548
sample_ii_analysis_from_run64_calib,sample_ii_calib,sample_ii_analysis,58,traditional_shape_handle_median,16781,0.008640292942427626,0.011013781093563834
sample_ii_analysis_from_run64_calib,sample_ii_calib,sample_ii_analysis,58,ml_extra_trees_conditional,16781,0.0015109677757640617,0.0018867853381459821
sample_ii_analysis_from_run64_calib,sample_ii_calib,sample_ii_analysis,58,ml_extra_trees_shuffled,16781,0.023524196360534832,0.03129968624783514
sample_ii_analysis_from_run64_calib,sample_ii_calib,sample_ii_analysis,58,ml_extra_trees_no_tail,16781,0.00153934110011148,0.0019332469979873154
sample_ii_analysis_from_run64_calib,sample_ii_calib,sample_ii_analysis,58,ml_extra_trees_no_tail_shuffled,16781,0.023569486700673523,0.03136246604263698
sample_ii_analysis_from_run64_calib,sample_ii_calib,sample_ii_analysis,59,calibration_amp_median,21377,0.045490517059654303,0.050660248027422854
sample_ii_analysis_from_run64_calib,sample_ii_calib,sample_ii_analysis,59,traditional_shape_handle_median,21377,0.02898998237497042,0.03335331896467878
sample_ii_analysis_from_run64_calib,sample_ii_calib,sample_ii_analysis,59,ml_extra_trees_conditional,21377,0.004110998049520396,0.004443777364467857
sample_ii_analysis_from_run64_calib,sample_ii_calib,sample_ii_analysis,59,ml_extra_trees_shuffled,21377,0.061368392320246844,0.07207341458367653
sample_ii_analysis_from_run64_calib,sample_ii_calib,sample_ii_analysis,59,ml_extra_trees_no_tail,21377,0.00430133000038018,0.004729667877809568
sample_ii_analysis_from_run64_calib,sample_ii_calib,sample_ii_analysis,59,ml_extra_trees_no_tail_shuffled,21377,0.06275060747501233,0.07370244624244844
sample_ii_analysis_from_run64_calib,sample_ii_calib,sample_ii_analysis,60,calibration_amp_median,17029,0.049615673864400814,0.054802905215180345
sample_ii_analysis_from_run64_calib,sample_ii_calib,sample_ii_analysis,60,traditional_shape_handle_median,17029,0.029377192496406513,0.03303507252759902
sample_ii_analysis_from_run64_calib,sample_ii_calib,sample_ii_analysis,60,ml_extra_trees_conditional,17029,0.003600575984777905,0.0037947522722070427
sample_ii_analysis_from_run64_calib,sample_ii_calib,sample_ii_analysis,60,ml_extra_trees_shuffled,17029,0.06832997685996156,0.08009970459580151
sample_ii_analysis_from_run64_calib,sample_ii_calib,sample_ii_analysis,60,ml_extra_trees_no_tail,17029,0.0038517686484900717,0.00411816945494777
sample_ii_analysis_from_run64_calib,sample_ii_calib,sample_ii_analysis,60,ml_extra_trees_no_tail_shuffled,17029,0.06970281205910327,0.08164119342424332
sample_ii_analysis_from_run64_calib,sample_ii_calib,sample_ii_analysis,61,calibration_amp_median,18965,0.04019191009190487,0.04475912982203077
sample_ii_analysis_from_run64_calib,sample_ii_calib,sample_ii_analysis,61,traditional_shape_handle_median,18965,0.023091740235729453,0.026498541237034073
sample_ii_analysis_from_run64_calib,sample_ii_calib,sample_ii_analysis,61,ml_extra_trees_conditional,18965,0.0029004954434742195,0.0033595727212542147
sample_ii_analysis_from_run64_calib,sample_ii_calib,sample_ii_analysis,61,ml_extra_trees_shuffled,18965,0.057707312424820634,0.0685109422737592
sample_ii_analysis_from_run64_calib,sample_ii_calib,sample_ii_analysis,61,ml_extra_trees_no_tail,18965,0.003067506653337966,0.0036032216915074574
sample_ii_analysis_from_run64_calib,sample_ii_calib,sample_ii_analysis,61,ml_extra_trees_no_tail_shuffled,18965,0.05867361251061279,0.06955902076627149
sample_ii_analysis_from_run64_calib,sample_ii_calib,sample_ii_analysis,62,calibration_amp_median,19089,0.042503425157436325,0.04759759381506343
sample_ii_analysis_from_run64_calib,sample_ii_calib,sample_ii_analysis,62,traditional_shape_handle_median,19089,0.025503803023931054,0.029452839783883016
sample_ii_analysis_from_run64_calib,sample_ii_calib,sample_ii_analysis,62,ml_extra_trees_conditional,19089,0.003706826797457685,0.004189274764040596
sample_ii_analysis_from_run64_calib,sample_ii_calib,sample_ii_analysis,62,ml_extra_trees_shuffled,19089,0.05970987787802718,0.07079069065425912
sample_ii_analysis_from_run64_calib,sample_ii_calib,sample_ii_analysis,62,ml_extra_trees_no_tail,19089,0.0038782182077663377,0.004437136442431021
sample_ii_analysis_from_run64_calib,sample_ii_calib,sample_ii_analysis,62,ml_extra_trees_no_tail_shuffled,19089,0.06088550308242902,0.07209279140295809
sample_ii_analysis_from_run64_calib,sample_ii_calib,sample_ii_analysis,63,calibration_amp_median,18817,0.040997597949667605,0.046459015293319944
sample_ii_analysis_from_run64_calib,sample_ii_calib,sample_ii_analysis,63,traditional_shape_handle_median,18817,0.027017474495107215,0.03180673665767069
sample_ii_analysis_from_run64_calib,sample_ii_calib,sample_ii_analysis,63,ml_extra_trees_conditional,18817,0.0036576003735589654,0.004232892313087305
sample_ii_analysis_from_run64_calib,sample_ii_calib,sample_ii_analysis,63,ml_extra_trees_shuffled,18817,0.05612752076480626,0.06686272140748671
sample_ii_analysis_from_run64_calib,sample_ii_calib,sample_ii_analysis,63,ml_extra_trees_no_tail,18817,0.0037802053253829264,0.004424220583537854
sample_ii_analysis_from_run64_calib,sample_ii_calib,sample_ii_analysis,63,ml_extra_trees_no_tail_shuffled,18817,0.056928777606866016,0.06781561090504706
sample_ii_analysis_from_run64_calib,sample_ii_calib,sample_ii_analysis,65,calibration_amp_median,13038,0.038502614922999785,0.043076576310532556
sample_ii_analysis_from_run64_calib,sample_ii_calib,sample_ii_analysis,65,traditional_shape_handle_median,13038,0.024071840186148052,0.027984431764443655
sample_ii_analysis_from_run64_calib,sample_ii_calib,sample_ii_analysis,65,ml_extra_trees_conditional,13038,0.0023555219207625606,0.002566702795923396
sample_ii_analysis_from_run64_calib,sample_ii_calib,sample_ii_analysis,65,ml_extra_trees_shuffled,13038,0.05349586674077978,0.06314321511504413
sample_ii_analysis_from_run64_calib,sample_ii_calib,sample_ii_analysis,65,ml_extra_trees_no_tail,13038,0.0023981834439022955,0.0026346393792409098
sample_ii_analysis_from_run64_calib,sample_ii_calib,sample_ii_analysis,65,ml_extra_trees_no_tail_shuffled,13038,0.053693213972150634,0.06341565840736132
