split,method,method_prefix,threshold,n_events,n_positive,n_accepted_positive,failure_rate,time_rms_ns,time_sigma68_ns,charge_fractional_bias,charge_fractional_res68,detection_ap,detection_auc
train,compact_cnn_probability,ml,0.15,2600,1300,1285,0.011538461538461497,9.686362419973307,8.023331516393554,0.022604686281359677,0.08382275657267577,0.9192896180182302,0.9104940828402366
train,compact_cnn_probability,ml,0.2,2600,1300,1272,0.021538461538461506,9.663703324254799,8.026998664007282,0.022322091656512617,0.08367647322984452,0.9192896180182302,0.9104940828402366
train,compact_cnn_probability,ml,0.25,2600,1300,1246,0.041538461538461524,9.656430040679801,8.023159885654719,0.02339612179940003,0.08333344885458895,0.9192896180182302,0.9104940828402366
train,compact_cnn_probability,ml,0.3,2600,1300,1217,0.06384615384615389,9.697556685788678,8.05493237882154,0.02349310340424083,0.08207661142928534,0.9192896180182302,0.9104940828402366
train,compact_cnn_probability,ml,0.35,2600,1300,1190,0.08461538461538465,9.671166798195708,8.040081966306582,0.02368789558988578,0.08055358279686257,0.9192896180182302,0.9104940828402366
train,compact_cnn_probability,ml,0.4,2600,1300,1161,0.1069230769230769,9.728721026162335,8.058299659514908,0.02407733342171468,0.0801255539282475,0.9192896180182302,0.9104940828402366
train,compact_cnn_probability,ml,0.45,2600,1300,1125,0.13461538461538458,9.742626159880118,8.061186309829932,0.02407733342171468,0.07949353583811532,0.9192896180182302,0.9104940828402366
train,compact_cnn_probability,ml,0.5,2600,1300,1097,0.1561538461538462,9.756557952053555,8.068698200533985,0.024990480159961005,0.07952446784266774,0.9192896180182302,0.9104940828402366
train,compact_cnn_probability,ml,0.55,2600,1300,1057,0.18692307692307697,9.739760316173976,8.103061715873588,0.026398158595227643,0.07849872148311152,0.9192896180182302,0.9104940828402366
train,compact_cnn_probability,ml,0.6,2600,1300,1014,0.21999999999999997,9.7579929965965,8.135500207369013,0.027936290527127563,0.07784249975689904,0.9192896180182302,0.9104940828402366
train,compact_cnn_probability,ml,0.65,2600,1300,976,0.24923076923076926,9.719689332785904,8.140185388833922,0.028289876287031904,0.07734091115536759,0.9192896180182302,0.9104940828402366
train,compact_cnn_probability,ml,0.7,2600,1300,923,0.29000000000000004,9.703489952954449,8.124879855909793,0.02850623757184082,0.07599005897074157,0.9192896180182302,0.9104940828402366
train,compact_cnn_probability,ml,0.75,2600,1300,849,0.3469230769230769,9.656140167903935,8.056435499365145,0.030186036773702588,0.07575650643121057,0.9192896180182302,0.9104940828402366
train,compact_cnn_probability,ml,0.8,2600,1300,776,0.4030769230769231,9.628403701221373,7.899017696171925,0.0290591354849676,0.07442760528941351,0.9192896180182302,0.9104940828402366
train,compact_cnn_probability,ml,0.85,2600,1300,687,0.4715384615384616,9.62723953009224,7.831567847912735,0.029369981954210752,0.07257843833485156,0.9192896180182302,0.9104940828402366
train,compact_cnn_probability,ml,0.9,2600,1300,582,0.5523076923076924,9.406016072915644,7.6413179365933255,0.028289876287031904,0.07436140266718112,0.9192896180182302,0.9104940828402366
train,compact_cnn_probability,ml,0.95,2600,1300,442,0.6599999999999999,8.72028687827525,7.141225849842307,0.025986217697400945,0.0713662039575685,0.9192896180182302,0.9104940828402366
