run,method,n,bias_frac,res68_frac,mae_mev
54,geant4_birks_lookup,29664,-0.03131424604877148,0.03864883259994556,0.7936389833725188
54,ridge,29664,-0.030323787032036066,0.06688913591088472,1.0756752155452567
54,gradient_boosted_trees,29664,-0.022346035167214083,0.03547663883764958,0.7467509406517566
54,mlp,29664,-0.7575165148991441,0.7969423420887687,15.635060274023767
54,1d_cnn,29664,-0.20500097658426872,0.24042502523487738,4.177190511960968
54,physics_residual_mlp,29664,-0.005145173688667008,0.024615604562056262,0.6740183960709967
55,old_power_law,16836,-0.37667847963305967,0.4417653964081371,8.377833737619602
55,geant4_birks_lookup,16836,-0.02835607305009298,0.04104964865616976,0.9333088546047354
55,ridge,16836,-0.032419120531548135,0.07211673481600471,1.1575342178352201
55,gradient_boosted_trees,16836,-0.022476539127677088,0.044629412172468234,0.9120949646790443
55,mlp,16836,-0.752091875306259,0.7773020014921971,15.04924559484582
55,1d_cnn,16836,-0.19564969980736635,0.24185384681158117,4.098207283135422
55,physics_residual_mlp,16836,-0.004666196155963236,0.0436946887541022,0.8162518491836398
56,old_power_law,38925,-0.393022728881029,0.44629635158541575,8.71298014693876
56,geant4_birks_lookup,38925,-0.028246499086718203,0.04111076784996156,0.9216230656097578
56,ridge,38925,-0.038100570733093864,0.0705369721762803,1.166118070876611
56,gradient_boosted_trees,38925,-0.02380570319853794,0.04708039615654121,0.9966120663838698
56,mlp,38925,-0.7529293061638641,0.772490986232731,15.787281532426821
56,1d_cnn,38925,-0.19630968642538127,0.2406929275940822,4.26866778746775
56,physics_residual_mlp,38925,-0.008574398719088522,0.043250647957199975,0.8605417375393296
57,old_power_law,12928,0.038704138102064446,0.6717900561668158,6.72745838055008
57,geant4_birks_lookup,12928,-0.014610989471741902,0.04212259266504666,1.128338482146188
57,ridge,12928,-0.005792582898707493,0.1265689583831017,1.298423693387064
57,gradient_boosted_trees,12928,-0.000169175063305893,0.06518937470977566,0.8216367024051714
57,mlp,12928,-0.6857776600560257,0.7642456319722605,9.503729876587034
57,1d_cnn,12928,-0.20469048865089157,0.29119325516295097,3.3266702304919584
57,physics_residual_mlp,12928,0.0028990299077530455,0.07240794164549805,0.955528218142966
58,old_power_law,15919,-0.010090734829207072,0.4649028372118023,5.617360570446743
58,geant4_birks_lookup,15919,-0.02496666172766343,0.03351413737570772,0.6067979690657366
58,ridge,15919,0.05386812790680089,0.1048121942514243,1.1675612657749248
58,gradient_boosted_trees,15919,-0.009101442428869087,0.04359964432291355,0.5906702936271846
58,mlp,15919,-0.6321437797395277,0.7153278647999083,9.155954319189647
58,1d_cnn,15919,-0.1600248342217465,0.2136277805597794,2.726694890966579
58,physics_residual_mlp,15919,0.031826947447946646,0.051003785884592055,0.6415319869952603
59,old_power_law,13861,0.11607796396938136,0.9467905709180525,7.95648845966749
59,geant4_birks_lookup,13861,-0.013865779256794252,0.05300210964844663,1.8349149818096473
59,ridge,13861,0.05236788615584256,0.1779631192889738,1.948278984475244
59,gradient_boosted_trees,13861,5.8975778632735684e-05,0.11100591972467608,1.367010579476529
59,mlp,13861,-0.3609228951472006,0.6639915502381177,7.417688000434181
59,1d_cnn,13861,-0.06275019499222728,0.3095357301869427,3.841533915369322
59,physics_residual_mlp,13861,0.03501559995501902,0.11902070035753465,1.6085593872484252
60,old_power_law,10133,-0.002304026213289596,0.8456868767830109,9.292571457603481
60,geant4_birks_lookup,10133,-0.01647781537772228,0.04583646621802726,1.9185521855583878
60,ridge,10133,0.02898603917823918,0.17999168360684886,2.242659319889764
60,gradient_boosted_trees,10133,-0.011816993138321616,0.12287115211503064,1.6842547451179484
60,mlp,10133,-0.36274719418845314,0.6356072843975451,8.025673044684176
60,1d_cnn,10133,-0.05463207432773706,0.29661249344475465,4.023926766302044
60,physics_residual_mlp,10133,0.024967645472655047,0.10854779619716655,1.7259664409688644
61,old_power_law,11287,-0.013075839529917798,0.7677120465608231,8.882576980076962
61,geant4_birks_lookup,11287,-0.01700216200331645,0.04420193141201902,1.8197286246887914
61,ridge,11287,0.041392787326189,0.1822001395987718,2.2027982417257377
61,gradient_boosted_trees,11287,-0.012498694305952672,0.11484017266754275,1.5546655315112181
61,mlp,11287,-0.3583402593649948,0.633003580092128,7.667526124032486
