stave,mode,direction,log_amp_center,raw_bin_target_median_ns,fitted_target_ns,n_train_pulses,heldout_run
B4,monotonic,decreasing,7.941829046512676,-4.177762440362606,-4.177762440362606,377,62
B4,monotonic,decreasing,8.043663352393944,-4.177762440362606,-4.177762440362606,375,62
B6,monotonic,decreasing,7.342455512358637,2.6511713010933846,2.651171301093385,377,62
B6,monotonic,decreasing,7.561121589530238,2.6511713010933846,2.651171301093385,377,62
B6,monotonic,decreasing,7.68075283437045,2.6511713010933846,2.651171301093385,376,62
B6,monotonic,decreasing,7.7752758464868625,2.6511713010933846,2.651171301093385,377,62
B6,monotonic,decreasing,7.857287344636094,2.6511713010933846,2.651171301093385,378,62
B6,monotonic,decreasing,7.920264868596835,2.6511713010933846,2.651171301093385,375,62
B6,monotonic,decreasing,7.990661534245607,2.6511713010933846,2.651171301093385,376,62
B6,monotonic,decreasing,8.096055913913778,2.6511713010933846,2.651171301093385,377,62
B8,monotonic,decreasing,7.540887027132095,1.5265911392692146,1.5265911392692146,377,62
B8,monotonic,decreasing,7.869592825812262,1.5265911392692146,1.5265911392692146,377,62
B8,monotonic,decreasing,7.993197890036711,1.5265911392692146,1.5265911392692146,376,62
B8,monotonic,decreasing,8.07231135094428,1.5265911392692146,1.5265911392692146,377,62
B8,monotonic,decreasing,8.162943874692344,1.5265911392692146,1.5265911392692146,376,62
B8,monotonic,decreasing,8.259587586546926,1.5265911392692146,1.5265911392692146,377,62
B8,monotonic,decreasing,8.387539957268748,1.5265911392692146,1.5265911392692146,376,62
B8,monotonic,decreasing,8.57291168017258,0.026591139269214636,0.026591139269214636,377,62
B4,monotonic,decreasing,7.253470382684528,-4.158759834337928,-4.1587598343379275,433,63
B4,monotonic,decreasing,7.5057672644270435,-4.158759834337928,-4.1587598343379275,431,63
B4,monotonic,decreasing,7.64372245672501,-4.158759834337928,-4.1587598343379275,431,63
B4,monotonic,decreasing,7.737616187761972,-4.158759834337928,-4.1587598343379275,430,63
B4,monotonic,decreasing,7.814601552028292,-4.158759834337928,-4.1587598343379275,431,63
B4,monotonic,decreasing,7.879764495139897,-4.158759834337928,-4.1587598343379275,432,63
B4,monotonic,decreasing,7.941206626674331,-4.158759834337928,-4.1587598343379275,430,63
B4,monotonic,decreasing,8.042056410058754,-4.158759834337928,-4.1587598343379275,432,63
B6,monotonic,decreasing,7.367077009998512,2.6287166898180274,2.628716689818028,432,63
B6,monotonic,decreasing,7.569153761227502,2.6287166898180274,2.6287166898180274,431,63
B6,monotonic,decreasing,7.687538766201629,2.6287166898180274,2.6287166898180274,431,63
B6,monotonic,decreasing,7.780720886117918,2.6287166898180274,2.6287166898180274,431,63
B6,monotonic,decreasing,7.859026979751538,2.6287166898180274,2.6287166898180274,433,63
B6,monotonic,decreasing,7.922442332712485,2.6287166898180274,2.6287166898180274,429,63
B6,monotonic,decreasing,7.99074618674729,2.6287166898180274,2.6287166898180274,432,63
B6,monotonic,decreasing,8.09559870137819,2.6287166898180274,2.628716689818027,431,63
B8,monotonic,decreasing,7.554072563320547,1.530043144519901,1.5300431445199008,432,63
B8,monotonic,decreasing,7.8791022166043705,1.530043144519901,1.5300431445199008,431,63
B8,monotonic,decreasing,7.99581205371073,1.530043144519901,1.5300431445199008,433,63
B8,monotonic,decreasing,8.073714641109857,1.530043144519901,1.5300431445199008,429,63
B8,monotonic,decreasing,8.161232278211163,1.530043144519901,1.5300431445199008,431,63
B8,monotonic,decreasing,8.265264288670274,1.530043144519901,1.5300431445199008,431,63
B8,monotonic,decreasing,8.389814262086407,1.5300431445198797,1.5300431445198799,431,63
B8,monotonic,decreasing,8.570259264853172,0.030043144519897425,0.030043144519897425,432,63
B4,monotonic,decreasing,7.210633781263288,-4.1923989693845485,-4.1923989693845485,376,65
B4,monotonic,decreasing,7.446585099157725,-4.1923989693845485,-4.1923989693845485,375,65
B4,monotonic,decreasing,7.572374367656331,-4.1923989693845485,-4.1923989693845485,376,65
B4,monotonic,decreasing,7.665753431861699,-4.1923989693845485,-4.1923989693845485,375,65
B4,monotonic,decreasing,7.739794458408701,-4.1923989693845485,-4.1923989693845485,375,65
B4,monotonic,decreasing,7.802618063442671,-4.1923989693845485,-4.1923989693845485,377,65
B4,monotonic,decreasing,7.857770875584039,-4.1923989693845485,-4.1923989693845485,376,65
B4,monotonic,decreasing,7.9059945935034595,-4.1923989693845485,-4.1923989693845485,373,65
B4,monotonic,decreasing,7.959450647862495,-4.1923989693845485,-4.1923989693845485,376,65
B4,monotonic,decreasing,8.054046002966988,-4.192398969384541,-4.1923989693845485,375,65
B6,monotonic,decreasing,7.321519189904997,2.639152765080617,2.639152765080617,377,65
B6,monotonic,decreasing,7.5145270952241345,2.639152765080617,2.639152765080617,374,65
B6,monotonic,decreasing,7.626691964450588,2.639152765080617,2.639152765080617,376,65
B6,monotonic,decreasing,7.70998105456832,2.639152765080617,2.639152765080617,375,65
B6,monotonic,decreasing,7.780303087908373,2.639152765080617,2.639152765080617,377,65
B6,monotonic,decreasing,7.844632644464681,2.639152765080617,2.639152765080617,373,65
B6,monotonic,decreasing,7.89552910814424,2.639152765080617,2.639152765080617,376,65
B6,monotonic,decreasing,7.946086636765317,2.639152765080617,2.639152765080617,375,65
B6,monotonic,decreasing,8.008864447848834,2.639152765080617,2.639152765080617,375,65
B6,monotonic,decreasing,8.108773712164968,2.6391527650806097,2.6391527650806097,376,65
B8,monotonic,decreasing,7.482822494916023,1.5532462043039317,1.5532462043039317,376,65
B8,monotonic,decreasing,7.81278279812194,1.5532462043039317,1.5532462043039317,376,65
B8,monotonic,decreasing,7.940761810552253,1.5532462043039317,1.5532462043039317,374,65
B8,monotonic,decreasing,8.020927718981577,1.5532462043039317,1.5532462043039317,377,65
B8,monotonic,decreasing,8.081088444185724,1.5532462043039317,1.5532462043039317,376,65
B8,monotonic,decreasing,8.14945730011808,1.5532462043039317,1.5532462043039315,373,65
B8,monotonic,decreasing,8.22817688703868,1.5532462043039317,1.5532462043039315,376,65
B8,monotonic,decreasing,8.321786395073627,1.5532462043039317,1.5532462043039315,375,65
B8,monotonic,decreasing,8.424748901024957,1.3032462043039317,1.3032462043039317,375,65
B8,monotonic,decreasing,8.586765806670414,0.053246204303917466,0.053246204303917466,376,65
