sideband,value,method,pileup_ap,pileup_auc,pid_auc,pid_efficiency,pid_purity,pid_balanced_accuracy,time_bias_ns,time_sigma68_ns,late_tail_rate_abs_gt_15ns,pileup_miss_rate,false_split_rate,energy_fractional_bias,energy_fractional_sigma68,n_events,n_positive
energy_sideband,mid_edep,gradient_boosted_trees,0.8334759007728225,0.8114720224811968,0.9657596559424366,0.9823008849557522,0.8951612903225806,0.9304027789264742,0.22650376796604643,7.423476237693023,0.1,0.23423423423423423,0.30275229357798167,-0.02535853755401831,0.07678692082943911,220,111
energy_sideband,mid_edep,joint_sequence_transformer,0.7634159465846885,0.7828746177370031,0.4639814738235052,0.11504424778761062,0.5909090909090909,0.5154660491274502,0.7841259431998404,11.265665147351243,0.2236842105263158,0.3153153153153153,0.27522935779816515,0.023978839910569698,0.1333566232464638,220,111
energy_sideband,mid_edep,mlp,0.8050814974037825,0.7862633275477312,0.8080390373004714,0.5663716814159292,0.8311688311688312,0.7224381771565627,0.8035521323170514,11.768117350453624,0.21604938271604937,0.2702702702702703,0.28440366972477066,-0.03196804634189323,0.11544067042767411,220,111
energy_sideband,mid_edep,ridge,0.7723584813549429,0.773204397057608,0.9303614258539409,0.5132743362831859,0.90625,0.7285997849640229,0.4986183570769809,8.371585566636677,0.1518987341772152,0.2882882882882883,0.29357798165137616,-0.025943731312124782,0.0933606309020513,220,111
energy_sideband,mid_edep,template_residual_boosted_stack_new,0.8413663230951405,0.8216381519133812,0.9684889587296336,0.9646017699115044,0.9159663865546218,0.9355719129931354,-0.07617747118936258,8.241801616834808,0.11046511627906977,0.22522522522522523,0.3119266055045872,-0.03818395738199748,0.07931165829103105,220,111
pedestal_slice,high,1d_cnn,0.8309753658099962,0.8292499999999999,0.8003993676678592,0.6050420168067226,0.8275862068965517,0.7282635826607871,0.10811364977782567,11.44401503125139,0.1896551724137931,0.275,0.18,-0.0596427001953125,0.09992693298339841,220,120
pedestal_slice,high,deltaE_over_E_likelihood_template,0.7186893534891894,0.6407083333333333,0.7735252516848324,0.7058823529411765,0.865979381443299,0.7885847408270239,1.8690811617231118,6.962260480650386,0.18085106382978725,0.6083333333333333,0.14,-0.03182210278752156,0.12384682490281598,220,120
pedestal_slice,high,gradient_boosted_trees,0.8582795575830957,0.8255833333333334,0.9318578916715201,0.8991596638655462,0.8629032258064516,0.8654214160911889,1.7279728288944796,7.09564299594633,0.12637362637362637,0.24166666666666667,0.32,-0.03527252515701223,0.09005127007520002,220,120
pedestal_slice,high,joint_sequence_transformer,0.8442943736598666,0.8353333333333334,0.4955487145353191,0.15126050420168066,0.6,0.5162243115067809,4.563582225711937,11.604219142829422,0.2391304347826087,0.23333333333333334,0.25,-0.02916140886904911,0.11023899568205525,220,120
pedestal_slice,high,mlp,0.8254321837956393,0.8144166666666668,0.7877527248523173,0.5462184873949579,0.7738095238095238,0.679049837756885,1.2643597774230209,11.765764156239383,0.2222222222222222,0.25,0.27,-0.04560716372761471,0.11002782048780552,220,120
