accepted_n,accepted_fraction,bias_median_frac,model_energy_proxy_res68,p04b_charge_propagated_energy_res68,combined_energy_proxy_res68,depth_order_violation_rate,geometry,method,uncertainty_threshold,accepted_fraction_ci95,bias_median_frac_ci95,model_energy_proxy_res68_ci95,p04b_charge_propagated_energy_res68_ci95,combined_energy_proxy_res68_ci95,depth_order_violation_rate_ci95,clears_10pct_point,clears_10pct_ci95_high
332852,1.0,-0.003180885431168734,0.02393084387928593,0.17231076588444,0.17396460941368808,0.0,center_2cm,ml_monotonic_hgb,1.0,"[1.0, 1.0]","[-0.0063634702002913065, 0.0005587492663793226]","[0.021917983019812404, 0.026707518598829437]","[0.15297177378678442, 0.18103486576586492]","[0.15511184419563218, 0.18249809647565024]","[0.0, 0.0]",False,False
23135,0.06950536574814031,-0.004813142191347097,0.026816067760950323,0.03374994488153772,0.04310638316614737,0.0,zero_4cm,traditional_depth_charge_lookup,0.05,"[0.04240920712083165, 0.09956873902346179]","[-0.0062972975054973335, -0.004001415024975031]","[0.02454405476306265, 0.030208599383981554]","[0.029865822763576477, 0.03514119848352644]","[0.040630680607962155, 0.04466627975732888]","[0.0, 0.0]",True,True
25729,0.07729861920613365,-0.005461378430758855,0.03553661629352146,0.03576428975107123,0.05041761119878205,0.0,zero_4cm,traditional_depth_charge_lookup,0.075,"[0.0502225812657286, 0.119354356201058]","[-0.006649881939639207, -0.004436065040595938]","[0.03295999062126855, 0.03735844814316232]","[0.033593343863680965, 0.037572643176824044]","[0.04829765881673202, 0.05200523555248441]","[0.0, 0.0]",True,True
33478,0.10057923641738671,-0.007099225283264012,0.03746876208427621,0.04299280064614316,0.05702884392592139,0.0,zero_4cm,traditional_depth_charge_lookup,0.1,"[0.06453363365195297, 0.15647804164192852]","[-0.007784854904367235, -0.006787634374830218]","[0.03654938515379813, 0.038370238960750515]","[0.04264327981177905, 0.05499942167982414]","[0.05634837242544261, 0.06665762960989166]","[0.0, 0.0]",True,True
38751,0.11642111208585197,-0.007715345046583856,0.0405278499256758,0.08086141780389265,0.09044929800088991,0.0,zero_4cm,traditional_depth_charge_lookup,0.125,"[0.06939582830862531, 0.17012571049734732]","[-0.009306532242223988, -0.007237433353559192]","[0.03863423427186145, 0.04777607602087338]","[0.07568063087246098, 0.08218545762330355]","[0.0863282366277291, 0.09367745298027465]","[0.0, 0.0]",True,True
39866,0.11977094925071803,-0.007857276891956269,0.043843187194018925,0.08339542076701241,0.09421794557427385,0.0,zero_4cm,traditional_depth_charge_lookup,0.15,"[0.07344319900893244, 0.17838538301861667]","[-0.010008684647884881, -0.007356998460472296]","[0.03966010220908462, 0.0558350999370652]","[0.08169696637601336, 0.08668592793154554]","[0.09120105825904713, 0.10364901901677585]","[0.0, 0.0]",True,False
41631,0.12507360628747913,-0.00845373572393753,0.05204979827724692,0.08805961405497163,0.102292116647436,0.0,zero_4cm,traditional_depth_charge_lookup,0.2,"[0.08169154353971668, 0.19989083019902815]","[-0.011098709180978735, -0.007558633716515813]","[0.04220687636447198, 0.06623677247212045]","[0.08632771325182984, 0.09009374205568124]","[0.09650664340885948, 0.11120031158003307]","[0.0, 0.0]",False,False
117742,0.35373679593332774,-0.06569481219902643,0.12182849119649791,0.2283781521445067,0.2588411900068353,0.0,zero_4cm,traditional_depth_charge_lookup,0.25,"[0.2644521980791185, 0.4470448841684938]","[-0.07297646658182108, -0.05736739675618574]","[0.1160150945445246, 0.1316115256729503]","[0.22591584146347746, 0.2302226641554848]","[0.254338452860928, 0.2651509325977737]","[0.0, 0.0]",False,False
128213,0.3851952219004242,-0.06118559555517013,0.11754563389254999,0.2308368287063799,0.25904172933027597,0.0,zero_4cm,traditional_depth_charge_lookup,0.3,"[0.2822541288741949, 0.5513019793567082]","[-0.06760034203770755, -0.05606912610772463]","[0.11148641103123998, 0.12321278901464132]","[0.23018815395687103, 0.23473624178270622]","[0.25620061670947836, 0.26474439242951625]","[0.0, 0.0]",False,False
145282,0.43647627173638737,-0.05451411315346427,0.1082894930926522,0.23740330538159346,0.2609347499287316,0.0,zero_4cm,traditional_depth_charge_lookup,0.4,"[0.33466786592693326, 0.57362749395588]","[-0.060470627650639916, -0.049050917145377175]","[0.09944692548961805, 0.1160569270572847]","[0.23548088739750903, 0.24040078668095272]","[0.25790040389811436, 0.26494036434717516]","[0.0, 0.0]",False,False
