action_mask,method,n,runs,roc_auc,roc_auc_ci_low,roc_auc_ci_high,average_precision,ap_ci_low,ap_ci_high,purity_at_80pct_eff,purity_ci_low,purity_ci_high,ece,ece_ci_low,ece_ci_high,bootstrap_valid,traditional_roc_auc,traditional_average_precision,traditional_purity_at_80pct_eff,traditional_ece,roc_auc_minus_traditional,average_precision_minus_traditional,purity_at_80pct_eff_minus_traditional,ece_minus_traditional
p04s_dropout_phase_accept,ML_mlp,26077,33,0.9877918470468992,0.9795544104828886,0.9941221640975293,0.9889784147320135,0.9824127168850115,0.9945916487643702,0.9983066792097837,0.9884600762315108,0.9996304324606565,0.005683873014404418,0.0052940977604357745,0.042920090996165096,300,0.9880661199292643,0.9891276204421796,0.9963383719838513,0.03356174521038146,-0.00027427288236514524,-0.0001492057101660782,0.001968307225932331,-0.02787787219597704
p04s_dropout_phase_accept,NN_1d_cnn,26077,33,0.7974798321494443,0.7387974007004632,0.8612162848719477,0.7169493531497707,0.6463343719105906,0.8255407000921642,0.7219538744132253,0.655013166243715,0.8004766024964334,0.10353002846665288,0.06439529247848821,0.15473121557648092,300,0.9880661199292643,0.9891276204421796,0.9963383719838513,0.03356174521038146,-0.19058628777982,-0.2721782672924089,-0.274384497570626,0.06996828325627141
p04s_dropout_phase_accept,NN_action_gated_residual_ensemble_new,26077,33,0.9950897663670238,0.9918795762929314,0.997867089107099,0.9955121802640314,0.9924855750165346,0.9982221658268249,1.0,0.9990599764154464,1.0,0.009307585939768962,0.00722644727328136,0.0293029049259862,300,0.9880661199292643,0.9891276204421796,0.9963383719838513,0.03356174521038146,0.007023646437759545,0.006384559821851821,0.003661628016148666,-0.024254159270612495
p04s_dropout_phase_accept,control_charge_only,26077,33,0.9879762294089398,0.9796501646395928,0.9947946065920027,0.9890258180366231,0.9814446436607461,0.9954994615772926,0.9968063122299455,0.9907696935152959,0.9991539560421004,0.035358156858307066,0.026323546972884974,0.05255974164419337,300,0.9880661199292643,0.9891276204421796,0.9963383719838513,0.03356174521038146,-8.989052032448708e-05,-0.00010180240555646147,0.0004679402460942006,0.0017964116479256068
p04s_dropout_phase_accept,control_depth_only,26077,33,0.803189916068838,0.7745766794708367,0.8350981182122544,0.7450109306749406,0.7151118610241562,0.7789416221785733,0.7422017065323822,0.713398208392024,0.7759331106571828,0.14943139395546376,0.12309267739091012,0.18028475283941908,300,0.9880661199292643,0.9891276204421796,0.9963383719838513,0.03356174521038146,-0.18487620386042625,-0.244116689767239,-0.2541366654514692,0.1158696487450823
p04s_dropout_phase_accept,control_action_only,26077,33,0.5814149745827007,0.535697244098007,0.6465410419063435,0.5451924450890528,0.5232136837335113,0.5895606071524133,0.6178071089498669,0.5712404281617575,0.6991043701588869,0.02575817926510677,0.02046578525499299,0.07859950761495822,300,0.9880661199292643,0.9891276204421796,0.9963383719838513,0.03356174521038146,-0.40665114534656355,-0.44393517535312677,-0.37853126303398443,-0.00780356594527469
p04s_dropout_phase_accept,control_run_family_only,26077,33,0.5,0.5,0.5,0.5086858150860912,0.5036252665764583,0.5149551727230135,0.5086858150860912,0.5031824815622455,0.5150753700583836,0.008685815086091231,0.002064505863082264,0.015136756451756581,300,0.9880661199292643,0.9891276204421796,0.9963383719838513,0.03356174521038146,-0.4880661199292643,-0.4804418053560884,-0.4876525568977601,-0.02487593012429023
p04s_dropout_phase_accept,control_shuffled_label_hgb,26077,33,0.48772933791927775,0.4351150288769865,0.5336929317327768,0.48670715859508007,0.46057226566495074,0.5252813355012541,0.5185905224787364,0.5014833350810373,0.5422801970330834,0.018577043720614535,0.006457222788047066,0.05780150934332046,300,0.9880661199292643,0.9891276204421796,0.9963383719838513,0.03356174521038146,-0.5003367820099865,-0.5024204618470995,-0.47774784950511495,-0.014984701489766925
s14g_traditional_accept,ML_ridge_waveform,7651,21,0.9249537852433006,0.8679014006805449,0.9720833897431582,0.7709454966297135,0.5816538324731787,0.9181361872458121,0.5457556935817806,0.33574428256263517,0.8039339837236212,0.07386243064488843,0.05460291577953342,0.15040339470365366,300,0.9624257450562743,0.8969079253191469,0.6676798378926039,0.06285713380923286,-0.03747195981297369,-0.12596242868943341,-0.12192414431082332,0.01100529683565557
s14g_traditional_accept,ML_gradient_boosted_trees,7651,21,0.9572403320993225,0.9175873110273218,0.9847120210574054,0.8857353459896609,0.7791339131702276,0.958572500928473,0.7421171171171171,0.5020684877276327,0.9545518845000396,0.016186822026559623,0.016468453294113398,0.07933477437704001,300,0.9624257450562743,0.8969079253191469,0.6676798378926039,0.06285713380923286,-0.0051854129569518514,-0.01117257932948601,0.07443727922451326,-0.04667031178267324
s14g_traditional_accept,ML_mlp,7651,21,0.9535339530881809,0.9177025298388392,0.9822147744974402,0.880746693355673,0.7859056771474123,0.9533718163108585,0.746742209631728,0.4718745995761668,0.9358102016152238,0.015897876504542982,0.009466334788722592,0.08108518940063586,300,0.9624257450562743,0.8969079253191469,0.6676798378926039,0.06285713380923286,-0.008891791968093421,-0.016161231963473854,0.07906237173912412,-0.046959257304689875
s14g_traditional_accept,NN_1d_cnn,7651,21,0.7729700582556617,0.6510411912503306,0.8896287740703165,0.3685298810599989,0.1834379371560594,0.6929221625918575,0.3749644381223329,0.2263358869306199,0.6656573135357694,0.3059561226486287,0.22937977820858366,0.38766464677570894,300,0.9624257450562743,0.8969079253191469,0.6676798378926039,0.06285713380923286,-0.18945568680061264,-0.5283780442591479,-0.292715399770271,0.24309898883939585
s14g_traditional_accept,NN_action_gated_residual_ensemble_new,7651,21,0.9776374959769306,0.9563066887862375,0.9928715455272213,0.9367690427891835,0.8693625286308796,0.9772496501616251,0.8990450204638472,0.6763983395549339,0.9944346670315775,0.018044192705351788,0.010103218443230295,0.04919665828063254,300,0.9624257450562743,0.8969079253191469,0.6676798378926039,0.06285713380923286,0.015211750920656297,0.03986111747003662,0.23136518257124328,-0.044812941103881065
s14g_traditional_accept,control_charge_only,7651,21,0.9613513429369458,0.9261659877248005,0.9873866762102371,0.8915942875912831,0.809398207724553,0.962481612861916,0.6643145161290323,0.4292590916988847,0.9767192633243036,0.062170780568810556,0.04433336919559668,0.09844419567334597,300,0.9624257450562743,0.8969079253191469,0.6676798378926039,0.06285713380923286,-0.0010744021193285214,-0.0053136377278637514,-0.003365321763571627,-0.0006863532404223008
s14g_traditional_accept,control_depth_only,7651,21,0.7074892974224862,0.6324318115828066,0.7768961790710807,0.3817954051703112,0.22638217437895258,0.5485144943934718,0.34611344537815125,0.19758615555461165,0.4952296181630547,0.28750480278926316,0.22911839521020913,0.367958728744791,300,0.9624257450562743,0.8969079253191469,0.6676798378926039,0.06285713380923286,-0.2549364476337881,-0.5151125201488357,-0.3215663925144526,0.2246476689800303
s14g_traditional_accept,control_action_only,7651,21,0.2626146473688722,0.19261422257952757,0.3395826397781565,0.15905992279173103,0.10816946587133679,0.23631359521872278,0.1908582891531738,0.12481418815050584,0.2776413718507478,0.06864928182563247,0.025824690358643963,0.13652149693577845,300,0.9624257450562743,0.8969079253191469,0.6676798378926039,0.06285713380923286,-0.6998110976874021,-0.7378480025274159,-0.47682154873943006,0.005792148016399615
s14g_traditional_accept,control_run_family_only,7651,21,0.5,0.5,0.5,0.21539668017252647,0.14170545762425438,0.27710147479982294,0.21539668017252647,0.1393645077656782,0.28877204090231223,0.28460331982747356,0.22205640375359598,0.35699689350695346,300,0.9624257450562743,0.8969079253191469,0.6676798378926039,0.06285713380923286,-0.4624257450562743,-0.6815112451466204,-0.45228315772007743,0.2217461860182407
s14g_traditional_accept,control_shuffled_label_hgb,7651,21,0.4789432245851184,0.39281944402960184,0.5483955582685415,0.20611514655675858,0.12822223558380633,0.29483851663726235,0.21595936424709158,0.14521367598219076,0.2932292094911586,0.2846043615908097,0.20703715180823076,0.36344731189228946,300,0.9624257450562743,0.8969079253191469,0.6676798378926039,0.06285713380923286,-0.4834825204711559,-0.6907927787623883,-0.45172047364551227,0.22174722778157685
s14g_new_residual_accept,ML_ridge_waveform,7483,21,0.9165403305388923,0.8443944418275678,0.9687408872706261,0.7654062481537673,0.5994414610793743,0.8869859027133488,0.5214990138067062,0.31521696195478544,0.8355532265770694,0.08118342817353041,0.05917283576496533,0.15353637306106058,300,0.9568104771303073,0.8899834221947439,0.6405038759689923,0.07083070080766395,-0.040270146591415035,-0.12457717404097657,-0.11900486216228612,0.010352727365866468
