action_mask,method,n,runs,roc_auc,roc_auc_ci_low,roc_auc_ci_high,average_precision,ap_ci_low,ap_ci_high,purity_at_80pct_eff,purity_ci_low,purity_ci_high,ece,ece_ci_low,ece_ci_high,bootstrap_valid
s14g_traditional_accept,traditional_charge_depth_logistic,7651,21,0.9624257450562743,0.9195431602769039,0.9877963888381198,0.8969079253191469,0.8029996354707065,0.965093742533434,0.6676798378926039,0.45343134763308596,0.977864589286939,0.06285713380923286,0.046011613116254096,0.10371993797290205,300
s14g_traditional_accept,ML_ridge_waveform,7651,21,0.9249537852433006,0.8664775217626989,0.9732512532809051,0.7709454966297135,0.586321407039736,0.9055176232132608,0.5457556935817806,0.33025361069010783,0.8451371483025036,0.07386243064488843,0.05372997885655802,0.13723869006643194,300
s14g_traditional_accept,ML_gradient_boosted_trees,7651,21,0.9572403320993225,0.9226719154616223,0.9813416737315828,0.8857353459896609,0.7656367472094925,0.9542404394529551,0.7421171171171171,0.5338187487900924,0.9356578788617618,0.016186822026559623,0.014790513419941236,0.07852148272463443,300
s14g_traditional_accept,ML_mlp,7651,21,0.9535339530881809,0.919781393377015,0.9840426244401308,0.880746693355673,0.7586702460536429,0.9540533358110364,0.746742209631728,0.4624261299121651,0.9337948983575937,0.015897876504542982,0.010271768943432168,0.08685899754504418,300
s14g_traditional_accept,NN_1d_cnn,7651,21,0.7729700582556617,0.6530477898503119,0.8917661067023676,0.3685298810599989,0.2144088499464466,0.6992368972472446,0.3749644381223329,0.20089968064860478,0.6440314776841163,0.3059561226486287,0.23331163020985732,0.38603254173634466,300
s14g_traditional_accept,NN_action_gated_residual_ensemble_new,7651,21,0.9777129032571092,0.9602382626724311,0.9926022428992243,0.9369409955153393,0.8800800544978055,0.9797467283938857,0.8990450204638472,0.68868212167904,0.9966170093157726,0.018111894483686303,0.011624347493151381,0.05338169977803417,300
s14g_traditional_accept,control_charge_only,7651,21,0.9613513429369458,0.9200016365104476,0.9892930009375729,0.8915942875912831,0.7967502666612676,0.9680682105647223,0.6643145161290323,0.43266314558945534,0.9686205909025821,0.062170780568810556,0.04252554166645442,0.10090751387210223,300
s14g_traditional_accept,control_depth_only,7651,21,0.7074892974224862,0.6365491592837753,0.7749983653914065,0.3817954051703112,0.22846244943974728,0.5407019992373892,0.34611344537815125,0.18963960958295367,0.4908492822966507,0.28750480278926316,0.225116709623337,0.3550977830453405,300
s14g_traditional_accept,control_action_only,7651,21,0.2612770778850057,0.19736290883106367,0.3362831636571718,0.15852243121420373,0.10797770892466137,0.23698095507338818,0.1909727181831167,0.13087632010648564,0.2765499570394606,0.0682870090671378,0.01815865440510679,0.1396584414226069,300
s14g_traditional_accept,control_run_family_only,7651,21,0.5,0.5,0.5,0.21539668017252647,0.13497648856055092,0.28225234934591803,0.21539668017252647,0.13601728396146576,0.27958340825624856,0.28460331982747356,0.2209022151391157,0.3517867527740508,300
