run,method,family,n_events,tail_frac_abs_gt5ns,sigma68_ns,q95_abs_ns,median_residual_ns,q_template_median,q_template_p95,amp_ratio_median,tail_delta_vs_observed,sigma68_delta_vs_observed_ns,q95_delta_vs_observed_ns,tail_frac_abs_gt5ns_event_ci95,sigma68_ns_event_ci95,q95_abs_ns_event_ci95,tail_delta_vs_observed_event_ci95,sigma68_delta_vs_observed_ns_event_ci95,q95_delta_vs_observed_ns_event_ci95
61,observed_saturated,observed,10,0.5,9.865200383092965,58.01262346159719,-5.603873017094703,0.22656750544241652,0.5161805917240994,1.0,0.0,0.0,0.0,"[0.2, 1.0]","[1.9201625078263163, 49.39637428164014]","[12.405422886407086, 86.60192586084503]","[0.0, 0.0]","[0.0, 0.0]","[0.0, 0.0]"
61,traditional_template,traditional,10,0.5,9.865200383092965,58.01262346159719,-5.603873017094703,0.22656750544241652,0.5161805917240994,1.0,0.0,0.0,0.0,"[0.2, 1.0]","[2.057424068314714, 48.58122274144977]","[11.079409895001035, 86.9181967375464]","[0.0, 0.0]","[0.0, 0.0]","[0.0, 0.0]"
61,ridge,ml_nn,10,0.5,9.865200383092965,58.01262346159719,-5.603873017094703,0.22656750544241652,0.5161805917240994,1.0,0.0,0.0,0.0,"[0.2, 1.0]","[2.0887348851081504, 48.889283968745175]","[12.298526417756428, 91.75867490892118]","[0.0, 0.0]","[0.0, 0.0]","[0.0, 0.0]"
61,gradient_boosted_trees,ml_nn,10,0.5,9.972682057797602,59.034954292018824,-5.200203498725976,0.22941730744204564,0.4932789158141374,1.0690455105577865,0.0,0.10748167470463699,1.0223308304216374,"[0.2, 1.0]","[2.0392566931315197, 48.81893276564372]","[12.208792453899536, 89.44207001031026]","[0.0, 0.0]","[-0.06395952566210461, 1.1028268420713983]","[-0.023106565170479598, 2.0765170883519573]"
61,mlp,ml_nn,9,0.4444444444444444,8.87562250995061,62.61471650379282,-6.2031032532611405,0.22822070477960044,0.4177172096831489,1.0614156475190148,-0.05555555555555558,-0.9895778731423555,4.602093042195634,"[0.125, 0.7777777777777778]","[1.5635287090025836, 50.353003439404084]","[6.952630672491052, 86.44391141666222]","[-0.5555555555555556, 0.12535714285714294]","[-6.888323818501989, 11.852570104636964]","[-7.144476117926957, 9.281222094481908]"
61,cnn1d,ml_nn,10,0.5,9.865200383092965,58.01262346159719,-5.603873017094703,0.22656750544241652,0.5161805917240994,1.0,0.0,0.0,0.0,"[0.2, 1.0]","[3.6203736879935495, 47.142639557662456]","[11.879082544695306, 86.84703579028859]","[0.0, 0.0]","[0.0, 0.0]","[0.0, 0.0]"
61,gated_residual_cnn,ml_nn,10,0.5,9.865200383092965,58.01262346159719,-5.603873017094703,0.22656750544241652,0.5161805917240994,1.0,0.0,0.0,0.0,"[0.2, 1.0]","[2.19658325406332, 49.39637428164014]","[12.22191195918046, 90.57597518468584]","[0.0, 0.0]","[0.0, 0.0]","[0.0, 0.0]"
62,observed_saturated,observed,36,0.8055555555555556,19.038569904531112,55.28067136890615,-1.6179668321899712,0.22748106580861682,0.5917594474712743,1.0,0.0,0.0,0.0,"[0.42291666666666666, 0.8888888888888888]","[8.674038441959604, 28.71018964851151]","[25.56568714947405, 123.07958262105674]","[0.0, 0.0]","[0.0, 0.0]","[0.0, 0.0]"
62,traditional_template,traditional,36,0.8055555555555556,19.038569904531112,55.28067136890615,-1.6179668321899712,0.22748106580861682,0.5917594474712743,1.0,0.0,0.0,0.0,"[0.4444444444444444, 0.8888888888888888]","[9.149819260937466, 28.84251895885065]","[28.544595790916567, 123.07958262105674]","[0.0, 0.0]","[0.0, 0.0]","[0.0, 0.0]"
62,ridge,ml_nn,36,0.8055555555555556,19.038569904531112,55.28067136890615,-1.6179668321899712,0.22748106580861682,0.5917594474712743,1.0,0.0,0.0,0.0,"[0.4722222222222222, 0.8888888888888888]","[8.538015716611548, 29.52174073370109]","[32.13786871674736, 127.44308068099177]","[0.0, 0.0]","[0.0, 0.0]","[0.0, 0.0]"
62,gradient_boosted_trees,ml_nn,36,0.8055555555555556,19.23022465867748,55.28354407671823,-1.3437647814066196,0.22733295964980305,0.5689566288887964,1.0574522919564604,0.0,0.19165475414636646,0.0028727078120809324,"[0.42291666666666666, 0.8888888888888888]","[8.339375409236709, 27.31762504566226]","[24.6509839791333, 122.97976636674905]","[-0.02152777777777777, 0.08333333333333331]","[-0.3420385381342819, 0.4198558884460498]","[-0.9324203679873453, 0.2708778055821046]"
62,mlp,ml_nn,36,0.6666666666666666,19.638821546460733,57.545669552567375,0.664749104050351,0.22748106580861682,0.5379852113749746,1.0,-0.13888888888888895,0.6002516419296207,2.264998183661227,"[0.4722222222222222, 0.8611111111111112]","[9.033874437447368, 30.062495579427818]","[30.532719018072665, 128.40782400954743]","[-0.16666666666666674, 0.11111111111111116]","[-1.7284859914232227, 1.9974726175398492]","[-3.0464916995931466, 6.445262031236822]"
62,cnn1d,ml_nn,36,0.8055555555555556,19.038569904531112,55.291282341325115,-1.539805563026242,0.22748106580861682,0.5568803829057412,1.0,0.0,0.0,0.010610972418966469,"[0.45069444444444445, 0.8611111111111112]","[9.027927541388252, 28.126471952072375]","[27.671664760429266, 127.26900837870784]","[-0.02777777777777779, 0.05555555555555555]","[-0.45219830911872805, 0.20301633653755502]","[-0.8014935125436174, 0.39454476470811367]"
62,gated_residual_cnn,ml_nn,36,0.8055555555555556,19.038569904531112,55.36939447101889,-1.52924373007723,0.22748106580861682,0.5581464208167244,1.0,0.0,0.0,0.08872310211274481,"[0.4166666666666667, 0.8888888888888888]","[8.669419049121926, 29.124553093264904]","[28.94286774944305, 121.70837802814448]","[-0.02777777777777779, 0.0]","[-0.8222404631304556, 0.0573748733811037]","[-1.2333606946956905, 0.6612170114569459]"
63,observed_saturated,observed,74,0.7432432432432432,16.75073804831238,79.40368942927341,-5.720721837231835,0.1899304956436801,0.5456618062297386,1.0,0.0,0.0,0.0,"[0.5570945945945946, 0.8753378378378379]","[11.756506871643499, 21.531289493096633]","[29.30966280559388, 102.5739496536103]","[0.0, 0.0]","[0.0, 0.0]","[0.0, 0.0]"
63,traditional_template,traditional,74,0.7432432432432432,16.75073804831238,79.40368942927341,-5.720721837231835,0.1899304956436801,0.5456618062297386,1.0,0.0,0.0,0.0,"[0.5841216216216216, 0.8648648648648649]","[11.723557273012537, 21.312406211648128]","[30.66663710310537, 101.02386554188229]","[0.0, 0.013513513513513573]","[-0.07753981880362915, 0.2931197580900387]","[-0.14823788888929101, 0.0]"
63,ridge,ml_nn,74,0.7432432432432432,16.75073804831238,79.40368942927341,-5.720721837231835,0.1899304956436801,0.5456618062297386,1.0,0.0,0.0,0.0,"[0.581081081081081, 0.8648648648648649]","[11.790574083844392, 21.51981089809996]","[28.248126775969236, 102.19214786777188]","[0.0, 0.0]","[-0.041160045011290336, 0.0]","[0.0, 0.0]"
63,gradient_boosted_trees,ml_nn,74,0.7567567567567568,16.704949349048587,79.27409678289254,-5.487280347229422,0.19433199693176462,0.5322509600364751,1.0601286250789195,0.013513513513513598,-0.0457886992637917,-0.1295926463808712,"[0.5706081081081081, 0.8783783783783784]","[11.779556895336817, 21.280687171038227]","[30.331954664739612, 104.18326968896523]","[-0.013513513513513573, 0.03750000000000012]","[-0.26735105139951554, 0.22108019897429898]","[-0.8719972839433916, 0.20065243114581402]"
63,mlp,ml_nn,74,0.7297297297297297,16.994142362514353,80.46341976926504,-4.660991497240207,0.1993100809117284,0.5127662226859978,1.0648892904635785,-0.013513513513513487,0.24340431420197461,1.0597303399916314,"[0.6111486486486487, 0.8783783783783784]","[12.09988741342301, 21.52156271366644]","[34.35715673347531, 102.60235862464201]","[-0.08108108108108103, 0.09459459459459463]","[-0.5902256661591088, 1.7827614642068574]","[-5.103384640546915, 25.018807466362812]"
63,cnn1d,ml_nn,74,0.7432432432432432,16.75073804831238,79.40368942927341,-5.720721837231835,0.1899304956436801,0.5456618062297386,1.0,0.0,0.0,0.0,"[0.5945945945945946, 0.8783783783783784]","[11.382150443103422, 21.273852178840933]","[28.396444951519015, 103.20000496822719]","[0.0, 0.0]","[-0.7003774397897946, 0.0]","[-0.870880724000004, 0.0]"
63,gated_residual_cnn,ml_nn,74,0.7027027027027027,16.75420559884139,79.70465462485434,-5.068999871601772,0.1899304956436801,0.5028589529803521,1.0,-0.04054054054054046,0.0034675505290131525,0.30096519558092893,"[0.5945945945945946, 0.8648648648648649]","[10.943851016274708, 21.593395697200815]","[29.551090395722188, 102.57544665236587]","[-0.09459459459459463, 0.04054054054054054]","[-0.8551319812747198, 0.6804619364423288]","[-1.9111129105772866, 0.971342466300893]"
65,observed_saturated,observed,13,0.5384615384615384,10.96821737856995,20.36191120961752,-0.134776317040064,0.26127307435266317,0.47008809306889465,1.0,0.0,0.0,0.0,"[0.3076923076923077, 0.8461538461538461]","[5.371665696311377, 17.999601738248145]","[12.438308855790222, 27.056890071896614]","[0.0, 0.0]","[0.0, 0.0]","[0.0, 0.0]"
65,traditional_template,traditional,13,0.5384615384615384,10.96821737856995,20.36191120961752,-0.134776317040064,0.26127307435266317,0.47008809306889465,1.0,0.0,0.0,0.0,"[0.38461538461538464, 0.8461538461538461]","[5.638149722701033, 16.35008019646368]","[13.32080800671769, 29.604630290137344]","[0.0, 0.0]","[0.0, 0.0]","[0.0, 0.0]"
65,ridge,ml_nn,13,0.5384615384615384,10.96821737856995,20.36191120961752,-0.134776317040064,0.26127307435266317,0.47008809306889465,1.0,0.0,0.0,0.0,"[0.38461538461538464, 0.7692307692307693]","[5.4004542614009905, 17.62845939134665]","[14.237086619958166, 28.39545300892526]","[0.0, 0.0]","[0.0, 0.0]","[0.0, 0.0]"
65,gradient_boosted_trees,ml_nn,13,0.6153846153846154,11.472832723929931,20.651041155874665,0.11826048100765263,0.2584057026458589,0.45853518631963236,1.07169229765137,0.07692307692307698,0.5046153453599818,0.2891299462571446,"[0.32500000000000007, 0.8461538461538461]","[5.602081744787497, 17.230101083443973]","[12.547504752714477, 27.315525350897875]","[0.0, 0.15384615384615385]","[-0.02380824543070372, 0.9375717245402702]","[-0.05465163056009511, 1.8729242078303274]"
65,mlp,ml_nn,13,0.6923076923076923,11.294459374095528,26.138184618062464,0.168751921488699,0.26127307435266317,0.4469734330921105,1.0,0.15384615384615385,0.326241995525578,5.776273408444943,"[0.38461538461538464, 0.8461538461538461]","[5.581073291022788, 20.753662085774046]","[14.082186669493673, 32.378566219190596]","[-0.07692307692307696, 0.23076923076923084]","[0.0, 4.893783900222317]","[0.0, 9.719273946775663]"
65,cnn1d,ml_nn,13,0.5384615384615384,11.015530931290154,20.6672165122134,-0.134776317040064,0.26127307435266317,0.4630013645431063,1.0,0.0,0.047313552720204655,0.3053053025958796,"[0.38461538461538464, 0.8461538461538461]","[5.69806498130209, 18.053517090208352]","[12.117296184228715, 28.116357385034807]","[0.0, 0.0]","[0.0, 0.5914194090025724]","[0.0, 1.1828388180051448]"
65,gated_residual_cnn,ml_nn,13,0.5384615384615384,11.046334112138004,20.85547713796235,-0.134776317040064,0.26127307435266317,0.45789524394619724,1.0,0.0,0.07811673356805393,0.4935659283448288,"[0.3076923076923077, 0.8461538461538461]","[5.364180420053757, 18.752034089738128]","[13.274413567753687, 30.36714818552659]","[0.0, 0.0]","[0.0, 0.9764591696006875]","[0.0, 1.952918339201375]"
