stave,dropout_case,amp_bin_label,peak_region,method,n,charge_res68_abs_frac,charge_gain_vs_no_recovery,time_delta_vs_no_recovery_samples,tail_bias_median_frac,net_harm_label_rate,catastrophic_rate,accepted_fraction,support_status
B6,trailing_sample,1000_2000,late,gbt_residual,24,0.05015812483704424,0.6598277260485867,0.0,-0.004275087414585238,0.0,0.25,1.0,accept
B4,trailing_sample,1000_2000,late,gbt_residual,24,0.09335175839326434,0.5602471833350283,0.0,-0.0827900941638409,0.0,0.2916666666666667,1.0,accept
B4,trailing_sample,2000_3000,late,gbt_residual,24,0.011640613811034914,0.4615920494559647,0.0,-0.005349788509320885,0.0,0.041666666666666664,1.0,accept
B2,leading_edge,3000_5000,late,gbt_residual,24,0.05938235517474645,0.24490999996803098,-1.353602755743892,0.003600615956931272,0.0,0.08333333333333333,1.0,accept
B2,trailing_sample,3000_5000,late,gbt_residual,24,0.014502445329241737,0.23888536706481125,0.0,0.0035067134586984627,0.0,0.041666666666666664,1.0,accept
B6,trailing_sample,2000_3000,late,gbt_residual,24,0.010165501987186859,0.23662230222472783,0.0,-0.002328334718208258,0.0,0.0,1.0,accept
B4,leading_edge,1000_2000,central,gbt_residual,24,0.012312181191823104,0.22909843731568846,5.684341886080807e-16,0.02046707669472342,0.0,0.0,1.0,accept
B2,leading_edge,1000_2000,central,gbt_residual,24,0.014200807775976314,0.22764459118517216,-1.826317863115031,0.021870539367987996,0.0,0.0,1.0,accept
B6,trailing_sample,3000_5000,late,gbt_residual,24,0.011600934443471461,0.22438790837679765,0.0,0.005481408549763089,0.0,0.0,1.0,accept
B6,leading_edge,1000_2000,central,gbt_residual,24,0.01658724926512104,0.21638146908037253,-1.7835833534034058,0.02251266617706671,0.0,0.0,1.0,accept
B4,leading_edge,2000_3000,central,gbt_residual,24,0.017894004447978354,0.21447740670027832,-1.478031681551383,0.017568240744666286,0.0,0.0,1.0,accept
B2,leading_edge,2000_3000,central,gbt_residual,24,0.01626358028987473,0.2040710833850142,-1.8399919173693482,0.020741036055852813,0.0,0.0,1.0,accept
B6,leading_edge,2000_3000,central,gbt_residual,24,0.024333914122854357,0.20241362593051865,-1.757112626063767,0.026087539080680927,0.0,0.0,1.0,accept
B2,leading_edge,5000_7000,late,gbt_residual,24,0.04842643784818491,0.16488739450779993,-0.4109628210275287,-0.005716859027607955,0.0,0.0,1.0,accept
B2,leading_edge,ge7000,late,gbt_residual,24,0.045545001669364704,0.15570113104950292,-0.4681388272260213,-0.010457278483326532,0.0,0.041666666666666664,1.0,accept
B4,leading_edge,3000_5000,central,gbt_residual,24,0.018997361199777615,0.14829140584555078,-1.54809909173905,0.013234072702875244,0.0,0.0,1.0,accept
B2,leading_edge,3000_5000,central,gbt_residual,24,0.016494273155667837,0.1443044670215041,-1.651371701221665,0.017801130377252616,0.0,0.0,1.0,accept
B2,trailing_sample,5000_7000,late,gbt_residual,24,0.01108182599662393,0.13950099896522802,0.0,0.004835558527570533,0.0,0.0,1.0,accept
B2,trailing_sample,ge7000,late,gbt_residual,24,0.011164992858355321,0.13928182077079498,0.0,0.006355823106590219,0.0,0.125,1.0,accept
B6,leading_edge,3000_5000,central,gbt_residual,24,0.017223365127249785,0.13738259660314392,-1.1974834371604857,0.011394106505953128,0.0,0.0,1.0,accept
B8,leading_edge,3000_5000,central,gbt_residual,24,0.020409546536137295,0.13437617169451238,-1.3347961974982359,0.0022388231143757875,0.0,0.0,1.0,accept
B6,trailing_sample,1000_2000,early,gbt_residual,24,0.006937104290176777,0.13294249375786935,0.0,0.0,0.0,0.0,1.0,accept
B2,leading_edge,5000_7000,central,gbt_residual,24,0.01769957550427916,0.13089907832179018,-1.2198485677293411,0.01566422616484725,0.0,0.0,1.0,accept
B4,trailing_sample,1000_2000,early,gbt_residual,24,0.009275220638744159,0.1232271251624598,0.0,0.0024397138130377305,0.0,0.0,1.0,accept
B6,trailing_sample,1000_2000,central,gbt_residual,24,0.0014532985030729962,0.12027039963612376,0.0,-0.0006677626247438284,0.0,0.0,1.0,accept
B2,trailing_sample,1000_2000,central,gbt_residual,24,0.0015057041758481599,0.11963914897334182,0.0,-0.0007501186614296829,0.0,0.0,1.0,accept
B2,leading_edge,ge7000,central,gbt_residual,24,0.028389266659252385,0.11883883169930766,-0.8525129953316091,-0.0026627002029134816,0.0,0.08333333333333333,1.0,accept
B2,trailing_sample,2000_3000,central,gbt_residual,24,0.0015255793685609647,0.11881179884032898,0.0,0.0001078060087268129,0.0,0.0,1.0,accept
B4,trailing_sample,1000_2000,central,gbt_residual,24,0.0015661267401083322,0.11845772345307734,0.0,-0.0008169076365598105,0.0,0.0,1.0,accept
B6,trailing_sample,2000_3000,early,gbt_residual,24,0.009016638576177693,0.11783348073517307,0.0,-7.140751482079266e-05,0.0,0.0,1.0,accept
B4,trailing_sample,2000_3000,early,gbt_residual,24,0.007450316799385856,0.11766280780834294,0.0,-0.0005375190221800497,0.0,0.0,1.0,accept
B6,trailing_sample,2000_3000,central,gbt_residual,24,0.007154619754592624,0.11721884519181412,0.0,-0.0012953313760167284,0.0,0.0,1.0,accept
B4,trailing_sample,2000_3000,central,gbt_residual,24,0.002794660157334784,0.11571921934507402,0.0,7.219103084565859e-05,0.0,0.0,1.0,accept
B2,trailing_sample,1000_2000,early,gbt_residual,24,0.013235506160857632,0.11305838238887593,0.0,0.0,0.0,0.0,1.0,accept
B2,trailing_sample,2000_3000,early,gbt_residual,24,0.010867617342588159,0.1101500407290728,0.0,0.00043069639612547395,0.0,0.0,1.0,accept
B6,trailing_sample,3000_5000,central,gbt_residual,24,0.006857090856253871,0.10775120232146974,0.0,0.001525505182770337,0.0,0.0,1.0,accept
B2,trailing_sample,3000_5000,central,gbt_residual,24,0.006447081106235026,0.1072722416923713,0.0,0.0013339221488199993,0.0,0.0,1.0,accept
B6,trailing_sample,3000_5000,early,gbt_residual,24,0.004520501290777043,0.10076233888701557,0.0,0.002573632427827044,0.0,0.0,1.0,accept
B4,trailing_sample,3000_5000,central,gbt_residual,24,0.006744508432874915,0.09474303860529477,0.0,0.00039372569356638243,0.0,0.0,1.0,accept
B4,trailing_sample,3000_5000,early,gbt_residual,24,0.004493383192613992,0.09324374516543478,0.0,0.0024064584688335278,0.0,0.0,1.0,accept
B8,trailing_sample,3000_5000,central,gbt_residual,24,0.004208679775253629,0.09173555311272602,0.0,0.0014557599103882102,0.0,0.0,1.0,accept
B2,trailing_sample,3000_5000,early,gbt_residual,24,0.003935798430556765,0.08736866783419003,0.0,0.0025622136155924458,0.0,0.0,1.0,accept
B2,leading_edge,3000_5000,early,gbt_residual,24,0.023046448253802827,0.08606001254536753,-0.5775549701144098,-0.004056995753273306,0.0,0.0,1.0,accept
B2,trailing_sample,ge7000,early,gbt_residual,24,0.0047874071985171945,0.0826875719101406,0.0,0.003504465915926347,0.0,0.0,1.0,accept
B2,trailing_sample,5000_7000,early,gbt_residual,24,0.0031827822218636823,0.0812445842798224,0.0,0.0029755352341294117,0.0,0.0,1.0,accept
B2,trailing_sample,ge7000,central,gbt_residual,24,0.009894194724076606,0.08120814668501017,0.0,0.005769926566129346,0.0,0.0,1.0,accept
B2,trailing_sample,5000_7000,central,gbt_residual,24,0.00707297036328309,0.0759954384407179,0.0,0.0038099966195696555,0.0,0.0,1.0,accept
B2,leading_edge,5000_7000,early,gbt_residual,24,0.02632393190166795,0.07463840754606346,-0.49531605572970694,-0.00756255259707711,0.0,0.0,1.0,accept
B4,peak_trailing,1000_2000,late,gbt_residual,24,0.10166363877924767,0.551935302949045,0.0,-0.0827900941638409,0.041666666666666664,0.2916666666666667,1.0,accept
B2,trailing_sample,2000_3000,late,gbt_residual,24,0.01779666242288779,0.39346376709757663,-1.3877787807814457e-16,-0.008581330422598024,0.041666666666666664,0.08333333333333333,1.0,accept
B6,leading_edge,2000_3000,late,gbt_residual,24,0.042765965903655605,0.2842445205938786,-1.6969022923256099,0.01473792932708648,0.041666666666666664,0.041666666666666664,1.0,accept
B2,leading_edge,2000_3000,late,gbt_residual,24,0.07563967383994066,0.2547781267846302,-1.6521307185538525,0.013957341673890414,0.041666666666666664,0.125,1.0,accept
B4,leading_edge,3000_5000,late,gbt_residual,24,0.03723326238659969,0.22361934333736216,-1.0539564255640579,-0.001763243033363615,0.041666666666666664,0.041666666666666664,1.0,accept
B4,trailing_sample,3000_5000,late,gbt_residual,24,0.00816761687456744,0.20833002898688777,0.0,0.004145652671508071,0.041666666666666664,0.0,1.0,accept
B2,peak_trailing,5000_7000,central,gbt_residual,24,0.016966838320917606,0.208026865596607,0.0,0.10876577690640732,0.041666666666666664,0.0,1.0,accept
B2,leading_edge,2000_3000,early,gbt_residual,24,0.018270998642806492,0.15590807579202584,3.0184188481996443e-16,0.012147830302299878,0.041666666666666664,0.0,1.0,accept
B6,leading_edge,3000_5000,late,gbt_residual,24,0.07148333439870035,0.15204379502470144,-0.6293598777600861,-0.014851893875240607,0.041666666666666664,0.041666666666666664,1.0,accept
B4,leading_edge,3000_5000,early,gbt_residual,24,0.01053979286220686,0.09388729719394054,-1.0435394599802534,0.00884479351762163,0.041666666666666664,0.0,1.0,accept
B4,leading_edge,2000_3000,late,interpolation,24,0.07217427601963874,0.37472188254070027,-1.574484947077785,0.015416688794244085,0.0,0.125,1.0,accept
B4,trailing_sample,2000_3000,late,interpolation,24,0.10017744785695326,0.3730552154100464,0.0,-0.005349788509320899,0.0,0.375,1.0,accept
B4,trailing_sample,1000_2000,late,interpolation,24,0.3997172310336263,0.2538817106946664,0.0,-0.08279009416384092,0.0,0.5833333333333334,1.0,accept
B6,leading_edge,2000_3000,late,interpolation,24,0.07584142853020764,0.2511690579673266,-1.6969022923256099,0.01473792932708648,0.0,0.125,1.0,accept
B6,trailing_sample,2000_3000,late,interpolation,24,0.013238939138891015,0.23354886507302366,0.0,-0.002328334718208258,0.0,0.20833333333333334,1.0,accept
B2,trailing_sample,3000_5000,late,interpolation,24,0.025538055049850517,0.22784975734420249,0.0,0.0035067134586985182,0.0,0.16666666666666666,1.0,accept
B2,leading_edge,3000_5000,late,interpolation,24,0.07897711199507118,0.22531524314770623,-1.353602755743892,0.0036006159569312857,0.0,0.125,1.0,accept
B6,trailing_sample,3000_5000,late,interpolation,24,0.014789059533571791,0.22119978328669732,0.0,0.005481408549763089,0.0,0.08333333333333333,1.0,accept
B4,leading_edge,3000_5000,late,interpolation,24,0.04794803935122,0.21290456637274185,-1.0539564255640579,-0.0017632430333636706,0.0,0.08333333333333333,1.0,accept
B6,trailing_sample,1000_2000,late,interpolation,24,0.5078263056437187,0.20215954524191238,0.0,-0.004275087414585266,0.0,0.4583333333333333,1.0,accept
B2,leading_edge,2000_3000,late,interpolation,24,0.1298049942165068,0.2006128064080641,-1.6521307185538525,0.013957341673890442,0.0,0.125,1.0,accept
B4,leading_edge,1000_2000,central,interpolation,24,0.049229408951884296,0.19218120955562726,0.0,0.02046707669472342,0.0,0.0,1.0,accept
B2,leading_edge,1000_2000,central,interpolation,24,0.05156169137541241,0.19028370758573607,-1.826317863115031,0.021870539367988023,0.0,0.0,1.0,accept
B4,leading_edge,2000_3000,central,interpolation,24,0.04428474726855209,0.1880866638797046,-1.478031681551383,0.01756824074466634,0.0,0.0,1.0,accept
B6,leading_edge,1000_2000,central,interpolation,24,0.05562427491612021,0.17734444342937336,-1.7835833534034058,0.022512666177066737,0.0,0.0,1.0,accept
B6,leading_edge,2000_3000,central,interpolation,24,0.05514442874425542,0.17160311130911757,-1.7571126260637673,0.026087539080680927,0.0,0.0,1.0,accept
B2,leading_edge,2000_3000,central,interpolation,24,0.049097202725231395,0.17123746094965753,-1.8399919173693482,0.02074103605585287,0.0,0.0,1.0,accept
B2,leading_edge,5000_7000,late,interpolation,24,0.055729410616269036,0.1575844217397158,-0.4109628210275287,-0.005716859027607955,0.0,0.08333333333333333,1.0,accept
B2,leading_edge,ge7000,late,interpolation,24,0.05870046687948616,0.14254566583938147,-0.4681388272260213,-0.010457278483326532,0.0,0.041666666666666664,1.0,accept
B6,trailing_sample,1000_2000,early,interpolation,24,0.002816809871685109,0.137062788176361,0.0,0.0,0.0,0.0,1.0,accept
B6,leading_edge,3000_5000,late,interpolation,24,0.09035285402105,0.13317427540235177,-0.6293598777600861,-0.014851893875240552,0.0,0.041666666666666664,1.0,accept
B4,leading_edge,3000_5000,central,interpolation,24,0.036514102259947646,0.13077466478538077,-1.5480990917390507,0.013234072702875188,0.0,0.0,1.0,accept
B8,leading_edge,3000_5000,central,interpolation,24,0.027152261131436938,0.12763345709921275,-1.3347961974982359,0.0022388231143756765,0.0,0.0,1.0,accept
B2,leading_edge,3000_5000,central,interpolation,24,0.033633814101812744,0.1271649260753592,-1.651371701221665,0.017801130377252616,0.0,0.0,1.0,accept
B2,trailing_sample,5000_7000,late,interpolation,24,0.023485656638413926,0.12709716832343804,0.0,0.004835558527570505,0.0,0.125,1.0,accept
B2,trailing_sample,ge7000,late,interpolation,24,0.025436404354910094,0.1250104092742402,0.0,0.0063558231065901916,0.0,0.16666666666666666,1.0,accept
B6,leading_edge,3000_5000,central,interpolation,24,0.0312340664053981,0.12337189532499561,-1.1974834371604857,0.011394106505953128,0.0,0.0,1.0,accept
B4,trailing_sample,1000_2000,early,interpolation,24,0.009866354112403775,0.12263599168880018,0.0,0.0024397138130377236,0.0,0.0,1.0,accept
B6,trailing_sample,1000_2000,central,interpolation,24,0.0018050053455830023,0.11991869279361375,0.0,-0.0006677626247438562,0.0,0.0,1.0,accept
B4,trailing_sample,2000_3000,early,interpolation,24,0.0057232580846615436,0.11938986652306727,0.0,-0.0005375190221801052,0.0,0.0,1.0,accept
B2,trailing_sample,2000_3000,central,interpolation,24,0.0013218792018637666,0.11901549900702618,0.0,0.00010780600872678514,0.0,0.0,1.0,accept
B2,trailing_sample,1000_2000,central,interpolation,24,0.002198306915962665,0.11894654623322733,0.0,-0.0007501186614296829,0.0,0.0,1.0,accept
B6,trailing_sample,2000_3000,central,interpolation,24,0.005993637689794105,0.11837982725661264,0.0,-0.001295331376016784,0.0,0.0,1.0,accept
B4,trailing_sample,1000_2000,central,interpolation,24,0.0020863331302491688,0.11793751706293651,0.0,-0.0008169076365598382,0.0,0.0,1.0,accept
B2,leading_edge,5000_7000,central,interpolation,24,0.032081353848928996,0.11651729997714036,-1.2198485677293416,0.01566422616484725,0.0,0.0,1.0,accept
B6,trailing_sample,2000_3000,early,interpolation,24,0.010602383916922966,0.1162477353944278,0.0,-7.140751482073715e-05,0.0,0.0,1.0,accept
B4,trailing_sample,2000_3000,central,interpolation,24,0.0032787467339275363,0.11523513276848127,0.0,7.219103084568634e-05,0.0,0.0,1.0,accept
B2,trailing_sample,1000_2000,early,interpolation,24,0.016182142434256464,0.1101117461154771,0.0,0.0,0.0,0.0,1.0,accept
B2,trailing_sample,3000_5000,central,interpolation,24,0.00606785393194192,0.10765146886666441,0.0,0.0013339221488200548,0.0,0.0,1.0,accept
B6,trailing_sample,3000_5000,central,interpolation,24,0.007860300833643667,0.10674799234407994,0.0,0.0015255051827702815,0.0,0.0,1.0,accept
B2,leading_edge,ge7000,central,interpolation,24,0.04431385300735818,0.10291424535120186,-0.8525129953316091,-0.0026627002029134816,0.0,0.16666666666666666,1.0,accept
B4,trailing_sample,3000_5000,central,interpolation,24,0.003620205309405783,0.0978673417287639,0.0,0.00039372569356643794,0.0,0.0,1.0,accept
B6,trailing_sample,3000_5000,early,interpolation,24,0.009532582412865564,0.09575025776492704,0.0,0.0025736324278272105,0.0,0.0,1.0,accept
B2,trailing_sample,2000_3000,early,interpolation,24,0.030858860403833545,0.09015879766782742,0.0,0.00043069639612552946,0.0,0.0,1.0,accept
B8,trailing_sample,3000_5000,central,interpolation,24,0.007288646831183686,0.08865558605679597,0.0,0.0014557599103881547,0.0,0.0,1.0,accept
B4,trailing_sample,3000_5000,early,interpolation,24,0.010007799549551806,0.08772932880849697,0.0,0.0024064584688335278,0.0,0.0,1.0,accept
B2,trailing_sample,3000_5000,early,interpolation,24,0.011549113580287127,0.07975535268445967,0.0,0.0025622136155923347,0.0,0.0,1.0,accept
B2,leading_edge,3000_5000,early,interpolation,24,0.03204922792986033,0.07705723286931003,-0.5775549701144098,-0.0040569957532733646,0.0,0.0,1.0,accept
B2,trailing_sample,ge7000,early,interpolation,24,0.012971749393517138,0.07450322971514066,0.0,0.0035044659159264024,0.0,0.0,1.0,accept
B2,trailing_sample,ge7000,central,interpolation,24,0.016709741520363922,0.07439259988872285,0.0,0.005769926566129457,0.0,0.0,1.0,accept
B2,trailing_sample,5000_7000,early,interpolation,24,0.010822983555007437,0.07360438294667865,0.0,0.0029755352341294117,0.0,0.0,1.0,accept
B2,trailing_sample,5000_7000,central,interpolation,24,0.016096521040838214,0.06697188776316279,0.0,0.0038099966195696555,0.0,0.0,1.0,accept
B2,leading_edge,5000_7000,early,interpolation,24,0.03400398674006003,0.06695835270767139,-0.49531605572970694,-0.007562552597077055,0.0,0.0,1.0,accept
B2,leading_edge,1000_2000,late,interpolation,24,0.28706279556305764,0.02728273748069121,-0.7688822213234427,0.00430271503355012,0.0,0.375,1.0,accept
B4,peak_trailing,1000_2000,late,interpolation,24,0.3997172310336263,0.2538817106946664,0.0,-0.08279009416384092,0.041666666666666664,0.5833333333333334,1.0,accept
B2,trailing_sample,2000_3000,late,interpolation,24,0.16196993437853485,0.24929049514192958,0.0,-0.008581330422597996,0.041666666666666664,0.375,1.0,accept
B4,trailing_sample,3000_5000,late,interpolation,24,0.015671156171777122,0.2008264896896781,0.0,0.0041456526715080155,0.041666666666666664,0.125,1.0,accept
B2,peak_trailing,5000_7000,central,interpolation,24,0.04581549093829972,0.17917821297922487,0.0,0.10876577690640726,0.041666666666666664,0.08333333333333333,1.0,accept
B2,leading_edge,2000_3000,early,interpolation,24,0.02997343819053339,0.14420563624429894,0.0,0.012147830302299878,0.041666666666666664,0.0,1.0,accept
B4,leading_edge,3000_5000,early,interpolation,24,0.02057472503245111,0.0838523650236963,-1.0435394599802534,0.00884479351762174,0.041666666666666664,0.0,1.0,accept
B6,trailing_sample,1000_2000,late,mlp_residual,24,0.10735802495571066,0.6026278259299204,0.0,-0.004275087414585266,0.0,0.3333333333333333,1.0,accept
B4,trailing_sample,1000_2000,late,mlp_residual,24,0.0684748662143074,0.5851240755139853,0.0,-0.08279009416384092,0.0,0.20833333333333334,1.0,accept
B4,trailing_sample,2000_3000,late,mlp_residual,24,0.019409438139785264,0.4538232251272144,0.0,-0.005349788509320899,0.0,0.041666666666666664,1.0,accept
B4,leading_edge,2000_3000,late,mlp_residual,24,0.13989077769441433,0.3070053808659247,-1.574484947077785,0.015416688794244085,0.0,0.125,1.0,accept
B2,leading_edge,3000_5000,late,mlp_residual,24,0.05132037352376136,0.2529719816190161,-1.353602755743892,0.0036006159569312857,0.0,0.08333333333333333,1.0,accept
B6,trailing_sample,2000_3000,late,mlp_residual,24,0.011516598522439154,0.23527120568947552,0.0,-0.002328334718208258,0.0,0.0,1.0,accept
B2,trailing_sample,3000_5000,late,mlp_residual,24,0.021668025773562537,0.23171978662049048,0.0,0.0035067134586985182,0.0,0.041666666666666664,1.0,accept
B4,leading_edge,1000_2000,central,mlp_residual,24,0.011034394385906164,0.23037622412160538,5.684341886080807e-16,0.02046707669472342,0.0,0.0,1.0,accept
B2,leading_edge,1000_2000,central,mlp_residual,24,0.011545540032919377,0.2302998589282291,-1.826317863115031,0.021870539367988023,0.0,0.0,1.0,accept
B6,trailing_sample,3000_5000,late,mlp_residual,24,0.011516162487281871,0.22447268033298723,0.0,0.005481408549763089,0.0,0.0,1.0,accept
B6,leading_edge,1000_2000,central,mlp_residual,24,0.014348036222963281,0.21862068212253027,-1.7835833534034058,0.022512666177066737,0.0,0.0,1.0,accept
B4,leading_edge,2000_3000,central,mlp_residual,24,0.015007215398057229,0.21736419575019947,-1.478031681551383,0.01756824074466634,0.0,0.0,1.0,accept
B6,leading_edge,2000_3000,central,mlp_residual,24,0.015911605443036263,0.21083593461033673,-1.757112626063767,0.026087539080680927,0.0,0.0,1.0,accept
B2,leading_edge,2000_3000,central,mlp_residual,24,0.01156394941450732,0.20877071426038163,-1.8399919173693482,0.02074103605585287,0.0,0.0,1.0,accept
B2,leading_edge,2000_3000,late,mlp_residual,24,0.13724934753538515,0.19316845308918573,-1.6521307185538525,0.013957341673890414,0.0,0.20833333333333334,1.0,accept
B2,leading_edge,ge7000,late,mlp_residual,24,0.038500634151823705,0.16274549856704393,-0.4681388272260213,-0.010457278483326532,0.0,0.041666666666666664,1.0,accept
B2,leading_edge,5000_7000,late,mlp_residual,24,0.060987979098783625,0.15232585325720122,-0.4109628210275287,-0.005716859027607955,0.0,0.0,1.0,accept
B4,leading_edge,3000_5000,central,mlp_residual,24,0.020426727196312774,0.14686203984901564,-1.54809909173905,0.013234072702875188,0.0,0.0,1.0,accept
B2,leading_edge,3000_5000,central,mlp_residual,24,0.018243518861321313,0.14255522131585063,-1.651371701221665,0.017801130377252616,0.0,0.0,1.0,accept
B2,trailing_sample,5000_7000,late,mlp_residual,24,0.017024072132471164,0.1335587528293808,0.0,0.004835558527570505,0.0,0.0,1.0,accept
B8,leading_edge,3000_5000,central,mlp_residual,24,0.02203244710274916,0.13275327112790053,-1.3347961974982359,0.0022388231143756765,0.0,0.0,1.0,accept
B2,leading_edge,5000_7000,central,mlp_residual,24,0.018486140816636274,0.13011251300943308,-1.2198485677293416,0.01566422616484725,0.0,0.0,1.0,accept
B6,leading_edge,3000_5000,central,mlp_residual,24,0.02491556027237375,0.12969040145801997,-1.1974834371604857,0.011394106505953128,0.0,0.0,1.0,accept
B2,trailing_sample,ge7000,late,mlp_residual,24,0.02450402181068164,0.12594279181846865,0.0,0.0063558231065901916,0.0,0.125,1.0,accept
B2,leading_edge,ge7000,central,mlp_residual,24,0.02322306660233582,0.12400503175622422,-0.8525129953316091,-0.0026627002029134816,0.0,0.0,1.0,accept
B6,trailing_sample,1000_2000,early,mlp_residual,24,0.020431301491528702,0.11944829655651741,0.0,0.0,0.0,0.0,1.0,accept
B6,trailing_sample,2000_3000,central,mlp_residual,24,0.008300658470432418,0.11607280647597433,0.0,-0.001295331376016784,0.0,0.0,1.0,accept
B6,trailing_sample,1000_2000,central,mlp_residual,24,0.006843493766102939,0.11488020437309382,0.0,-0.0006677626247438562,0.0,0.0,1.0,accept
B4,trailing_sample,2000_3000,early,mlp_residual,24,0.010750244799459921,0.11436287980826888,0.0,-0.0005375190221801052,0.0,0.0,1.0,accept
B6,trailing_sample,2000_3000,early,mlp_residual,24,0.013058694535293274,0.11379142477605748,0.0,-7.140751482073715e-05,0.0,0.0,1.0,accept
B2,trailing_sample,2000_3000,central,mlp_residual,24,0.0067789361230627294,0.11355844208582722,0.0,0.00010780600872678514,0.0,0.0,1.0,accept
B2,trailing_sample,1000_2000,central,mlp_residual,24,0.008603187239847588,0.1125416659093424,0.0,-0.0007501186614296829,0.0,0.0,1.0,accept
B4,trailing_sample,1000_2000,central,mlp_residual,24,0.007728176717665674,0.11229567347552,0.0,-0.0008169076365598382,0.0,0.0,1.0,accept
B4,trailing_sample,2000_3000,central,mlp_residual,24,0.011970363104001552,0.10654351639840726,0.0,7.219103084568634e-05,0.0,0.0,1.0,accept
B2,trailing_sample,1000_2000,early,mlp_residual,24,0.020814712974553968,0.10547917557517959,0.0,0.0,0.0,0.041666666666666664,1.0,accept
B2,trailing_sample,3000_5000,central,mlp_residual,24,0.008491322779242461,0.10522800001936387,0.0,0.0013339221488200548,0.0,0.0,1.0,accept
B2,trailing_sample,2000_3000,early,mlp_residual,24,0.015846206630997294,0.10517145144066367,0.0,0.00043069639612552946,0.0,0.0,1.0,accept
B6,trailing_sample,3000_5000,central,mlp_residual,24,0.010912855048264431,0.10369543812945918,0.0,0.0015255051827702815,0.0,0.0,1.0,accept
B6,trailing_sample,3000_5000,early,mlp_residual,24,0.012880071723528704,0.0924027684542639,0.0,0.0025736324278272105,0.0,0.0,1.0,accept
B2,leading_edge,3000_5000,early,mlp_residual,24,0.01748211802353599,0.09162434277563436,-0.5775549701144098,-0.0040569957532733646,0.0,0.0,1.0,accept
B4,trailing_sample,3000_5000,central,mlp_residual,24,0.010244876023319614,0.09124267101485008,0.0,0.00039372569356643794,0.0,0.0,1.0,accept
B4,trailing_sample,3000_5000,early,mlp_residual,24,0.008464897807812942,0.08927223055023584,0.0,0.0024064584688335278,0.0,0.0,1.0,accept
B8,trailing_sample,3000_5000,central,mlp_residual,24,0.011413745476879057,0.0845304874111006,0.0,0.0014557599103881547,0.0,0.0,1.0,accept
B2,trailing_sample,ge7000,central,mlp_residual,24,0.009364211593960397,0.08173812981512638,0.0,0.005769926566129457,0.0,0.0,1.0,accept
B2,leading_edge,5000_7000,early,mlp_residual,24,0.022683578501806457,0.07827876094592497,-0.49531605572970694,-0.007562552597077055,0.0,0.0,1.0,accept
