heldout_run,method,shuffled_proxy,n_pairs,n_events,n_tail_pairs_before,threshold,veto_fraction,timing_efficiency,tail_capture,tail_fraction_before,tail_fraction_after,tail_fraction_delta,sigma68_before_ns,sigma68_after_ns,sigma68_delta_ns,full_rms_before_ns,full_rms_after_ns,auc,average_precision,brier,train_threshold_quantile,train_utility,train_tail_capture,train_efficiency
61,traditional_quantile,False,2799,933,57,0.912365777623831,0.10325116112897463,0.8967488388710254,0.3333333333333333,0.020364415862808145,0.015139442231075698,-0.005224973631732447,1.6969451470464478,1.5553236591356459,-0.14162148791080198,6.264312275363575,5.911112799149791,0.7058748256490972,0.07448889844195686,0.35379981423236034,0.9,0.30102920383630405,0.3360655737704918,0.8998960859023207
61,traditional_quantile,True,2799,933,57,0.913058538275026,0.10039299749910682,0.8996070025008932,0.07017543859649122,0.020364415862808145,0.021048451151707705,0.00068403528889956,1.6969451470464478,1.6959056786691187,-0.0010394683773291558,6.264312275363575,6.135499626853808,0.48306077008714343,0.020554186908253974,0.3684615816554565,0.9,0.07967731738848163,0.11475409836065574,0.8997806257937883
61,ridge,False,2799,933,57,0.4868006147263877,0.10289389067524116,0.8971061093247589,0.47368421052631576,0.020364415862808145,0.011947431302270013,-0.008416984560538132,1.6969451470464478,1.5482193225200658,-0.14872582452638206,6.264312275363575,4.537527703477217,0.7339821106376444,0.10647839389383934,0.2046959720412724,0.9,0.49775051531171394,0.5327868852459017,0.8998960859023207
61,ridge,True,2799,933,57,0.5099332291939674,0.1111111111111111,0.8888888888888888,0.08771929824561403,0.020364415862808145,0.02090032154340836,0.0005359056806002148,1.6969451470464478,1.6841825376881272,-0.012762609358320631,6.264312275363575,6.607368724189977,0.2799851561800197,0.014616203521571917,0.25106205435909945,0.9,0.02234067924614013,0.05737704918032787,0.8998960859023207
61,gradient_boosted_trees,False,2799,933,57,0.015292622684246611,0.09146123615576991,0.90853876384423,0.5263157894736842,0.020364415862808145,0.01061738104600865,-0.009747034816799494,1.6969451470464478,1.593192337189163,-0.10375280985728486,6.264312275363575,3.928139613292841,0.7684044173160838,0.3404352644581912,0.01625703358485422,0.9,0.9558374548806502,0.9918032786885246,0.8972405034060732
61,gradient_boosted_trees,True,2799,933,57,0.022655906379232444,0.09110396570203644,0.9088960342979635,0.2807017543859649,0.020364415862808145,0.01611635220125786,-0.004248063661550283,1.6969451470464478,1.6861492861282614,-0.010795860918186406,6.264312275363575,4.939833278201648,0.6729912856539598,0.045247534087315515,0.019867748533737815,0.9,0.13709477760679586,0.1721311475409836,0.8998960859023207
61,mlp,False,2799,933,57,0.057377675663325585,0.0918185066095034,0.9081814933904966,0.5087719298245614,0.020364415862808145,0.011014948859166011,-0.009349467003642134,1.6969451470464478,1.6353933683763495,-0.06155177867009831,6.264312275363575,4.507965495593866,0.7182297465033847,0.36707995050215436,0.017192809358143435,0.9,0.43217674481991064,0.4672131147540984,0.8998960859023207
61,mlp,True,2799,933,57,0.1886963360731065,0.04715969989281887,0.9528403001071811,0.03508771929824561,0.020364415862808145,0.02062242219722535,0.00025800633441720386,1.6969451470464478,1.7109216976482862,0.013976550601838333,6.264312275363575,6.373641536887816,0.3281124035471611,0.01497295305771971,0.03512129628507667,0.95,0.02344521607128999,0.040983606557377046,0.9498903128968941
61,cnn1d,False,2799,933,57,0.502727921062067,0.0496605930689532,0.9503394069310468,0.5263157894736842,0.020364415862808145,0.010150375939849625,-0.01021403992295852,1.6969451470464478,1.6417516785618436,-0.05519346848460427,6.264312275363575,3.8679730448533443,0.7346731160505201,0.35341341759096245,0.17709078355316843,0.95,0.5480353800057162,0.5655737704918032,0.9498903128968941
61,cnn1d,True,2799,933,57,0.5914403065034569,0.04644515898535191,0.953554841014648,0.05263157894736842,0.020364415862808145,0.020232296740352193,-0.00013211912245595162,1.6969451470464478,1.6875419753210656,-0.009403171725382187,6.264312275363575,6.305476582529325,0.363430457983032,0.01950106205223473,0.23512869956895988,0.95,0.03983865869424082,0.05737704918032787,0.9498903128968941
