run,file,n_events,branches,missing_required_branches,trigger_values,trigger_counts,has_nonbeam_trigger_code
52,data/root/root/hrdb_run_0052.root,10005,"EVENTNO,EVT,HRD,HRDI,HRDv,NO,TRIGGER",,1,10005,False
53,data/root/root/hrdb_run_0053.root,39612,"EVENTNO,EVT,HRD,HRDI,HRDv,NO,TRIGGER",,1,39612,False
54,data/root/root/hrdb_run_0054.root,37413,"EVENTNO,EVT,HRD,HRDI,HRDv,NO,TRIGGER",,1,37413,False
55,data/root/root/hrdb_run_0055.root,24416,"EVENTNO,EVT,HRD,HRDI,HRDv,NO,TRIGGER",,1,24416,False
56,data/root/root/hrdb_run_0056.root,51823,"EVENTNO,EVT,HRD,HRDI,HRDv,NO,TRIGGER",,1,51823,False
57,data/root/root/hrdb_run_0057.root,31284,"EVENTNO,EVT,HRD,HRDI,HRDv,NO,TRIGGER",,1,31284,False
58,data/root/root/hrdb_run_0058.root,34141,"EVENTNO,EVT,HRD,HRDI,HRDv,NO,TRIGGER",,1,34141,False
59,data/root/root/hrdb_run_0059.root,42303,"EVENTNO,EVT,HRD,HRDI,HRDv,NO,TRIGGER",,1,42303,False
60,data/root/root/hrdb_run_0060.root,36074,"EVENTNO,EVT,HRD,HRDI,HRDv,NO,TRIGGER",,1,36074,False
61,data/root/root/hrdb_run_0061.root,36535,"EVENTNO,EVT,HRD,HRDI,HRDv,NO,TRIGGER",,1,36535,False
62,data/root/root/hrdb_run_0062.root,37584,"EVENTNO,EVT,HRD,HRDI,HRDv,NO,TRIGGER",,1,37584,False
63,data/root/root/hrdb_run_0063.root,37030,"EVENTNO,EVT,HRD,HRDI,HRDv,NO,TRIGGER",,1,37030,False
64,data/root/root/hrdb_run_0064.root,35943,"EVENTNO,EVT,HRD,HRDI,HRDv,NO,TRIGGER",,1,35943,False
65,data/root/root/hrdb_run_0065.root,38424,"EVENTNO,EVT,HRD,HRDI,HRDv,NO,TRIGGER",,1,38424,False
