n_bins,shrink_strength,fold,sigma68_ns,n_pair_residuals,heldout_run
10,80.0,0,1.0,2622,61
10,80.0,1,1.1954115623497672,2640,61
10,80.0,2,1.132702386472964,3399,61
10,80.0,-1,1.1093713162742438,0,61
10,320.0,0,1.3872831304417634,2622,61
10,320.0,1,1.3313027034344596,2640,61
10,320.0,2,1.5476336120060452,3399,61
10,320.0,-1,1.4220731486274227,0,61
6,20.0,0,1.8712703348621853,2799,62
6,20.0,1,1.185671138656211,2841,62
6,20.0,2,1.3379624504566259,3399,62
6,20.0,-1,1.4649679746583406,0,62
6,80.0,0,1.3717453299561662,2799,62
6,80.0,1,1.0243950962362238,2841,62
6,80.0,2,1.184118757600108,3399,62
6,80.0,-1,1.1934197279308325,0,62
6,320.0,0,1.1620664570975965,2799,62
6,320.0,1,1.1775260105774343,2841,62
6,320.0,2,1.1103894776642593,3399,62
6,320.0,-1,1.1499939817797633,0,62
8,20.0,0,1.7964413189159953,2799,62
8,20.0,1,1.1333500846647873,2841,62
8,20.0,2,1.2500000000000036,3399,62
8,20.0,-1,1.3932638011935954,0,62
8,80.0,0,1.4004145333843792,2799,62
8,80.0,1,0.996050772135365,2841,62
8,80.0,2,1.1331236162864116,3399,62
8,80.0,-1,1.176529640602052,0,62
8,320.0,0,1.217926915869801,2799,62
8,320.0,1,1.3173330765633504,2841,62
8,320.0,2,1.377261022033121,3399,62
8,320.0,-1,1.3041736714887575,0,62
10,20.0,0,1.7484287283673439,2799,62
10,20.0,1,1.1275882370333603,2841,62
10,20.0,2,1.2499999999999964,3399,62
10,20.0,-1,1.3753389884669003,0,62
10,80.0,0,1.36245701156824,2799,62
10,80.0,1,0.9212531887725426,2841,62
10,80.0,2,1.0711909106348791,3399,62
10,80.0,-1,1.1183003703252206,0,62
10,320.0,0,1.2703015714001973,2799,62
10,320.0,1,1.46395883234025,2841,62
10,320.0,2,1.586063337741006,3399,62
10,320.0,-1,1.440107913827151,0,62
6,20.0,0,1.8964838361338252,2799,63
6,20.0,1,1.2178197110241342,2841,63
6,20.0,2,1.3165382878546998,4710,63
6,20.0,-1,1.476947278337553,0,63
6,80.0,0,1.5,2799,63
6,80.0,1,1.0000000000000036,2841,63
6,80.0,2,1.0953798467833522,4710,63
6,80.0,-1,1.1984599489277852,0,63
6,320.0,0,1.1980403347189856,2799,63
6,320.0,1,1.055852203015752,2841,63
6,320.0,2,1.2292633115470497,4710,63
6,320.0,-1,1.1610519497605958,0,63
8,20.0,0,1.8426688776585687,2799,63
8,20.0,1,1.1708616388350386,2841,63
8,20.0,2,1.3334175243160507,4710,63
8,20.0,-1,1.448982680269886,0,63
8,80.0,0,1.4076418213564466,2799,63
8,80.0,1,1.00627916934666,2841,63
8,80.0,2,1.11684563474565,4710,63
8,80.0,-1,1.1769222084829187,0,63
8,320.0,0,1.195950452083956,2799,63
8,320.0,1,1.203195308641476,2841,63
8,320.0,2,1.3689077155342986,4710,63
8,320.0,-1,1.2560178254199101,0,63
10,20.0,0,1.7872825614340262,2799,63
10,20.0,1,1.21081654225191,2841,63
10,20.0,2,1.283851878784199,4710,63
10,20.0,-1,1.4273169941567119,0,63
10,80.0,0,1.3714976887505808,2799,63
10,80.0,1,0.9573602386014748,2841,63
10,80.0,2,1.0710430111447746,4710,63
10,80.0,-1,1.1333003128322767,0,63
10,320.0,0,1.2653445211369223,2799,63
10,320.0,1,1.3129103331222418,2841,63
10,320.0,2,1.5,4710,63
10,320.0,-1,1.3594182847530547,0,63
6,20.0,0,1.908508160536001,3018,65
6,20.0,1,1.2282192497088857,3534,65
6,20.0,2,1.339738300243912,4710,65
6,20.0,-1,1.4921552368295996,0,65
6,80.0,0,1.5126929516752121,3018,65
6,80.0,1,1.0908852533455398,3534,65
6,80.0,2,1.2499999999999964,4710,65
6,80.0,-1,1.2845260683402495,0,65
6,320.0,0,1.2317070082159098,3018,65
6,320.0,1,1.0437329443438763,3534,65
6,320.0,2,1.0692098413397924,4710,65
6,320.0,-1,1.1148832646331928,0,65
8,20.0,0,1.8411178433505215,3018,65
8,20.0,1,1.183359649259362,3534,65
8,20.0,2,1.346882753463607,4710,65
8,20.0,-1,1.457120082024497,0,65
8,80.0,0,1.3431945952298316,3018,65
8,80.0,1,1.0372474151814957,3534,65
8,80.0,2,1.180614669446768,4710,65
8,80.0,-1,1.1870188932860317,0,65
8,320.0,0,1.2277694676182906,3018,65
8,320.0,1,1.1920285593910835,3534,65
8,320.0,2,1.2530493451643165,4710,65
8,320.0,-1,1.2242824573912303,0,65
10,20.0,0,1.802658082904993,3018,65
10,20.0,1,1.1782925052773492,3534,65
10,20.0,2,1.322451869466637,4710,65
10,20.0,-1,1.4344674858829929,0,65
10,80.0,0,1.3350441569864664,3018,65
10,80.0,1,1.0925937064550346,3534,65
10,80.0,2,1.0835353509123635,4710,65
10,80.0,-1,1.1703910714512882,0,65
10,320.0,0,1.1225566100564706,3018,65
10,320.0,1,1.2725552368214714,3534,65
10,320.0,2,1.4510079904407966,4710,65
10,320.0,-1,1.2820399457729128,0,65
