pool,heldout_run,alpha,cv_rmse_ns_mean,cv_rmse_ns_std,note
sample_iii_early,62,0.01,2.255656380774341,1.1969161206424515,run-group CV inside calibration pool
sample_iii_early,63,100.0,2.237486560787631,1.2198777168960708,run-group CV inside calibration pool
sample_iii_early,63,1000.0,2.2387407087016693,1.2245802009492792,run-group CV inside calibration pool
sample_iii_early,63,10.0,2.2514204516593592,1.2016348323025343,run-group CV inside calibration pool
sample_iii_early,63,1.0,2.2551843493379518,1.1974326331919993,run-group CV inside calibration pool
sample_iii_early,63,0.1,2.2556129412332053,1.1969635651514567,run-group CV inside calibration pool
sample_iii_early,63,0.01,2.255656380774341,1.1969161206424515,run-group CV inside calibration pool
sample_iii_early,65,100.0,2.237486560787631,1.2198777168960708,run-group CV inside calibration pool
sample_iii_early,65,1000.0,2.2387407087016693,1.2245802009492792,run-group CV inside calibration pool
sample_iii_early,65,10.0,2.2514204516593592,1.2016348323025343,run-group CV inside calibration pool
sample_iii_early,65,1.0,2.2551843493379518,1.1974326331919993,run-group CV inside calibration pool
sample_iii_early,65,0.1,2.2556129412332053,1.1969635651514567,run-group CV inside calibration pool
sample_iii_early,65,0.01,2.255656380774341,1.1969161206424515,run-group CV inside calibration pool
sample_iii_late,58,100.0,3.0602431288106096,1.9634424731961821,run-group CV inside calibration pool
sample_iii_late,58,10.0,3.0624447227372,1.9362282215443845,run-group CV inside calibration pool
sample_iii_late,58,1000.0,3.063427178823234,2.005357744362245,run-group CV inside calibration pool
sample_iii_late,58,1.0,3.065779906155508,1.9293271999548716,run-group CV inside calibration pool
sample_iii_late,58,0.1,3.0662135324272555,1.9285340547387697,run-group CV inside calibration pool
sample_iii_late,58,0.01,3.066258079348686,1.9284535681421717,run-group CV inside calibration pool
sample_iii_late,59,100.0,3.0602431288106096,1.9634424731961821,run-group CV inside calibration pool
sample_iii_late,59,10.0,3.0624447227372,1.9362282215443845,run-group CV inside calibration pool
sample_iii_late,59,1000.0,3.063427178823234,2.005357744362245,run-group CV inside calibration pool
sample_iii_late,59,1.0,3.065779906155508,1.9293271999548716,run-group CV inside calibration pool
sample_iii_late,59,0.1,3.0662135324272555,1.9285340547387697,run-group CV inside calibration pool
sample_iii_late,59,0.01,3.066258079348686,1.9284535681421717,run-group CV inside calibration pool
sample_iii_late,60,100.0,3.0602431288106096,1.9634424731961821,run-group CV inside calibration pool
sample_iii_late,60,10.0,3.0624447227372,1.9362282215443845,run-group CV inside calibration pool
sample_iii_late,60,1000.0,3.063427178823234,2.005357744362245,run-group CV inside calibration pool
sample_iii_late,60,1.0,3.065779906155508,1.9293271999548716,run-group CV inside calibration pool
sample_iii_late,60,0.1,3.0662135324272555,1.9285340547387697,run-group CV inside calibration pool
sample_iii_late,60,0.01,3.066258079348686,1.9284535681421717,run-group CV inside calibration pool
sample_iii_late,61,100.0,3.0602431288106096,1.9634424731961821,run-group CV inside calibration pool
sample_iii_late,61,10.0,3.0624447227372,1.9362282215443845,run-group CV inside calibration pool
sample_iii_late,61,1000.0,3.063427178823234,2.005357744362245,run-group CV inside calibration pool
sample_iii_late,61,1.0,3.065779906155508,1.9293271999548716,run-group CV inside calibration pool
sample_iii_late,61,0.1,3.0662135324272555,1.9285340547387697,run-group CV inside calibration pool
sample_iii_late,61,0.01,3.066258079348686,1.9284535681421717,run-group CV inside calibration pool
sample_iii_late,62,100.0,3.0602431288106096,1.9634424731961821,run-group CV inside calibration pool
sample_iii_late,62,10.0,3.0624447227372,1.9362282215443845,run-group CV inside calibration pool
sample_iii_late,62,1000.0,3.063427178823234,2.005357744362245,run-group CV inside calibration pool
sample_iii_late,62,1.0,3.065779906155508,1.9293271999548716,run-group CV inside calibration pool
sample_iii_late,62,0.1,3.0662135324272555,1.9285340547387697,run-group CV inside calibration pool
sample_iii_late,62,0.01,3.066258079348686,1.9284535681421717,run-group CV inside calibration pool
sample_iii_late,63,100.0,3.0602431288106096,1.9634424731961821,run-group CV inside calibration pool
sample_iii_late,63,10.0,3.0624447227372,1.9362282215443845,run-group CV inside calibration pool
sample_iii_late,63,1000.0,3.063427178823234,2.005357744362245,run-group CV inside calibration pool
sample_iii_late,63,1.0,3.065779906155508,1.9293271999548716,run-group CV inside calibration pool
sample_iii_late,63,0.1,3.0662135324272555,1.9285340547387697,run-group CV inside calibration pool
sample_iii_late,63,0.01,3.066258079348686,1.9284535681421717,run-group CV inside calibration pool
sample_iii_late,65,100.0,3.0602431288106096,1.9634424731961821,run-group CV inside calibration pool
sample_iii_late,65,10.0,3.0624447227372,1.9362282215443845,run-group CV inside calibration pool
sample_iii_late,65,1000.0,3.063427178823234,2.005357744362245,run-group CV inside calibration pool
sample_iii_late,65,1.0,3.065779906155508,1.9293271999548716,run-group CV inside calibration pool
sample_iii_late,65,0.1,3.0662135324272555,1.9285340547387697,run-group CV inside calibration pool
sample_iii_late,65,0.01,3.066258079348686,1.9284535681421717,run-group CV inside calibration pool
sample_iii_mixed,58,100.0,2.625898023489924,1.1717209038903522,run-group CV inside calibration pool
sample_iii_mixed,58,10.0,2.6312953822974254,1.1589997376081884,run-group CV inside calibration pool
sample_iii_mixed,58,1000.0,2.6322658085840596,1.1864381017483916,run-group CV inside calibration pool
sample_iii_mixed,58,1.0,2.6326121063147334,1.1568473307381284,run-group CV inside calibration pool
sample_iii_mixed,58,0.1,2.6327575007221733,1.1566179620659176,run-group CV inside calibration pool
sample_iii_mixed,58,0.01,2.632772187129249,1.1565948756007602,run-group CV inside calibration pool
sample_iii_mixed,59,100.0,2.625898023489924,1.1717209038903522,run-group CV inside calibration pool
sample_iii_mixed,59,10.0,2.6312953822974254,1.1589997376081884,run-group CV inside calibration pool
sample_iii_mixed,59,1000.0,2.6322658085840596,1.1864381017483916,run-group CV inside calibration pool
sample_iii_mixed,59,1.0,2.6326121063147334,1.1568473307381284,run-group CV inside calibration pool
sample_iii_mixed,59,0.1,2.6327575007221733,1.1566179620659176,run-group CV inside calibration pool
sample_iii_mixed,59,0.01,2.632772187129249,1.1565948756007602,run-group CV inside calibration pool
sample_iii_mixed,60,100.0,2.625898023489924,1.1717209038903522,run-group CV inside calibration pool
sample_iii_mixed,60,10.0,2.6312953822974254,1.1589997376081884,run-group CV inside calibration pool
sample_iii_mixed,60,1000.0,2.6322658085840596,1.1864381017483916,run-group CV inside calibration pool
sample_iii_mixed,60,1.0,2.6326121063147334,1.1568473307381284,run-group CV inside calibration pool
sample_iii_mixed,60,0.1,2.6327575007221733,1.1566179620659176,run-group CV inside calibration pool
sample_iii_mixed,60,0.01,2.632772187129249,1.1565948756007602,run-group CV inside calibration pool
sample_iii_mixed,61,100.0,2.625898023489924,1.1717209038903522,run-group CV inside calibration pool
sample_iii_mixed,61,10.0,2.6312953822974254,1.1589997376081884,run-group CV inside calibration pool
sample_iii_mixed,61,1000.0,2.6322658085840596,1.1864381017483916,run-group CV inside calibration pool
sample_iii_mixed,61,1.0,2.6326121063147334,1.1568473307381284,run-group CV inside calibration pool
sample_iii_mixed,61,0.1,2.6327575007221733,1.1566179620659176,run-group CV inside calibration pool
sample_iii_mixed,61,0.01,2.632772187129249,1.1565948756007602,run-group CV inside calibration pool
sample_iii_mixed,62,100.0,2.625898023489924,1.1717209038903522,run-group CV inside calibration pool
sample_iii_mixed,62,10.0,2.6312953822974254,1.1589997376081884,run-group CV inside calibration pool
sample_iii_mixed,62,1000.0,2.6322658085840596,1.1864381017483916,run-group CV inside calibration pool
sample_iii_mixed,62,1.0,2.6326121063147334,1.1568473307381284,run-group CV inside calibration pool
sample_iii_mixed,62,0.1,2.6327575007221733,1.1566179620659176,run-group CV inside calibration pool
sample_iii_mixed,62,0.01,2.632772187129249,1.1565948756007602,run-group CV inside calibration pool
sample_iii_mixed,63,100.0,2.625898023489924,1.1717209038903522,run-group CV inside calibration pool
sample_iii_mixed,63,10.0,2.6312953822974254,1.1589997376081884,run-group CV inside calibration pool
sample_iii_mixed,63,1000.0,2.6322658085840596,1.1864381017483916,run-group CV inside calibration pool
sample_iii_mixed,63,1.0,2.6326121063147334,1.1568473307381284,run-group CV inside calibration pool
sample_iii_mixed,63,0.1,2.6327575007221733,1.1566179620659176,run-group CV inside calibration pool
sample_iii_mixed,63,0.01,2.632772187129249,1.1565948756007602,run-group CV inside calibration pool
sample_iii_mixed,65,100.0,2.625898023489924,1.1717209038903522,run-group CV inside calibration pool
sample_iii_mixed,65,10.0,2.6312953822974254,1.1589997376081884,run-group CV inside calibration pool
sample_iii_mixed,65,1000.0,2.6322658085840596,1.1864381017483916,run-group CV inside calibration pool
sample_iii_mixed,65,1.0,2.6326121063147334,1.1568473307381284,run-group CV inside calibration pool
sample_iii_mixed,65,0.1,2.6327575007221733,1.1566179620659176,run-group CV inside calibration pool
sample_iii_mixed,65,0.01,2.632772187129249,1.1565948756007602,run-group CV inside calibration pool
