alpha_global,alpha_dev,fold,sigma68_ns,n_pair_residuals,heldout_run
10.0,100.0,0,1.9897404106478276,2799,63
10.0,100.0,1,1.2658996288582642,2841,63
10.0,100.0,2,1.4284834062691254,4710,63
10.0,100.0,-1,1.5613744819250723,0,63
10.0,1000.0,0,2.063828079787641,2799,63
10.0,1000.0,1,1.332441241638618,2841,63
10.0,1000.0,2,1.4463718879536756,4710,63
10.0,1000.0,-1,1.614213736459978,0,63
10.0,10000.0,0,2.0835801871271693,2799,63
10.0,10000.0,1,1.3315865354801146,2841,63
10.0,10000.0,2,1.4294098745641834,4710,63
10.0,10000.0,-1,1.6148588657238225,0,63
100.0,1.0,0,2.4468817393552387,2799,63
100.0,1.0,1,2.6697465928478064,2841,63
100.0,1.0,2,2.7384991022765948,4710,63
100.0,1.0,-1,2.618375811493213,0,63
100.0,10.0,0,1.4888671040889758,2799,63
100.0,10.0,1,2.031070214788586,2841,63
100.0,10.0,2,1.8727394422605905,4710,63
100.0,10.0,-1,1.7975589203793845,0,63
100.0,100.0,0,1.477400898714491,2799,63
100.0,100.0,1,0.9205990830951875,2841,63
100.0,100.0,2,1.0843266010019117,4710,63
100.0,100.0,-1,1.1607755276038634,0,63
100.0,1000.0,0,1.948718207147063,2799,63
100.0,1000.0,1,1.2199174246413582,2841,63
100.0,1000.0,2,1.3036190422042555,4710,63
100.0,1000.0,-1,1.4907515579975588,0,63
100.0,10000.0,0,2.040729664649717,2799,63
100.0,10000.0,1,1.2789199957077542,2841,63
100.0,10000.0,2,1.3641472956907197,4710,63
100.0,10000.0,-1,1.5612656520160637,0,63
0.01,1.0,0,2.078492913235112,3018,65
0.01,1.0,1,1.4896562780740321,3534,65
0.01,1.0,2,1.5143810786299077,4710,65
0.01,1.0,-1,1.6941767566463508,0,65
0.01,10.0,0,2.089277332848621,3018,65
0.01,10.0,1,1.4861673141743919,3534,65
0.01,10.0,2,1.5071207631077415,4710,65
0.01,10.0,-1,1.694188470043585,0,65
0.01,100.0,0,2.0910954650141416,3018,65
0.01,100.0,1,1.46839901139134,3534,65
0.01,100.0,2,1.4834262169072012,4710,65
0.01,100.0,-1,1.6809735644375607,0,65
0.01,1000.0,0,2.0904245725236863,3018,65
0.01,1000.0,1,1.4195545717181044,3534,65
0.01,1000.0,2,1.4451710261053856,4710,65
0.01,1000.0,-1,1.6517167234490586,0,65
0.01,10000.0,0,2.090391616821426,3018,65
0.01,10000.0,1,1.3933035670464067,3534,65
0.01,10000.0,2,1.4026554093741423,4710,65
0.01,10000.0,-1,1.6287835310806582,0,65
0.1,1.0,0,2.002415119434714,3018,65
0.1,1.0,1,1.4252034493709027,3534,65
0.1,1.0,2,1.4718243238956603,4710,65
0.1,1.0,-1,1.6331476309004256,0,65
0.1,10.0,0,2.083862603289222,3018,65
0.1,10.0,1,1.483192453762588,3534,65
0.1,10.0,2,1.500841520694547,4710,65
0.1,10.0,-1,1.6892988592487856,0,65
0.1,100.0,0,2.0930097666717113,3018,65
0.1,100.0,1,1.4662089910189195,3534,65
0.1,100.0,2,1.483525105621036,4710,65
0.1,100.0,-1,1.6809146211038888,0,65
0.1,1000.0,0,2.096395745232548,3018,65
0.1,1000.0,1,1.4247541812858757,3534,65
0.1,1000.0,2,1.4463447239905332,4710,65
0.1,1000.0,-1,1.6558315501696523,0,65
0.1,10000.0,0,2.099836858571155,3018,65
0.1,10000.0,1,1.397029065422891,3534,65
0.1,10000.0,2,1.4050985477757558,4710,65
0.1,10000.0,-1,1.6339881572566004,0,65
1.0,1.0,0,1.4237416334372859,3018,65
1.0,1.0,1,1.089159611432893,3534,65
1.0,1.0,2,1.144658070909325,4710,65
1.0,1.0,-1,1.2191864385931679,0,65
1.0,10.0,0,1.992472194725553,3018,65
1.0,10.0,1,1.418604590824629,3534,65
1.0,10.0,2,1.4850651793755527,4710,65
1.0,10.0,-1,1.6320473216419114,0,65
1.0,100.0,0,2.072300559088081,3018,65
1.0,100.0,1,1.4569655949777722,3534,65
1.0,100.0,2,1.5188436920384025,4710,65
1.0,100.0,-1,1.6827032820347518,0,65
1.0,1000.0,0,2.0790960703328496,3018,65
1.0,1000.0,1,1.4249969168703043,3534,65
1.0,1000.0,2,1.4914223305870635,4710,65
1.0,1000.0,-1,1.6651717725967392,0,65
1.0,10000.0,0,2.083896077199447,3018,65
1.0,10000.0,1,1.4013311447767127,3534,65
1.0,10000.0,2,1.4628012757689186,4710,65
1.0,10000.0,-1,1.6493428325816926,0,65
10.0,1.0,0,1.555051047111218,3018,65
10.0,1.0,1,1.8514987558431666,3534,65
10.0,1.0,2,2.0245602862324756,4710,65
10.0,1.0,-1,1.8103700297289536,0,65
10.0,10.0,0,1.417007924703368,3018,65
10.0,10.0,1,1.0698862950978825,3534,65
10.0,10.0,2,1.1316225711939063,4710,65
10.0,10.0,-1,1.2061722636650523,0,65
10.0,100.0,0,1.9921424116072057,3018,65
10.0,100.0,1,1.3874495985707678,3534,65
10.0,100.0,2,1.4688944855592534,4710,65
10.0,100.0,-1,1.6161621652457423,0,65
10.0,1000.0,0,2.0788856976549677,3018,65
10.0,1000.0,1,1.4080418001753805,3534,65
10.0,1000.0,2,1.492100814874112,4710,65
10.0,1000.0,-1,1.65967610423482,0,65
10.0,10000.0,0,2.090845594657722,3018,65
10.0,10000.0,1,1.394394076951243,3534,65
10.0,10000.0,2,1.4659313903364786,4710,65
10.0,10000.0,-1,1.6503903539818143,0,65
100.0,1.0,0,2.4899200043876784,3018,65
100.0,1.0,1,2.7463068857958834,3534,65
100.0,1.0,2,2.8907030529468223,4710,65
100.0,1.0,-1,2.7089766477101285,0,65
100.0,10.0,0,1.5536852068359002,3018,65
100.0,10.0,1,1.8483563518831458,3534,65
100.0,10.0,2,2.0372249730466465,4710,65
100.0,10.0,-1,1.8130888439218975,0,65
100.0,100.0,0,1.3830991220649078,3018,65
100.0,100.0,1,1.0221843317560695,3534,65
100.0,100.0,2,1.0788284525497605,4710,65
100.0,100.0,-1,1.1613706354569124,0,65
100.0,1000.0,0,1.9666127686302823,3018,65
100.0,1000.0,1,1.2825098132302128,3534,65
100.0,1000.0,2,1.3912313271351129,4710,65
100.0,1000.0,-1,1.5467846363318694,0,65
100.0,10000.0,0,2.051726204663154,3018,65
100.0,10000.0,1,1.3340323000565464,3534,65
100.0,10000.0,2,1.4227121642020653,4710,65
100.0,10000.0,-1,1.6028235563072553,0,65
