alpha_global,alpha_dev,fold,sigma68_ns,n_pair_residuals,heldout_run
1.0,100.0,2,1.4749146468773695,3399,60
1.0,100.0,-1,1.6567298138028386,0,60
1.0,1000.0,0,2.0871405582660363,2799,60
1.0,1000.0,1,1.415018725496859,2838,60
1.0,1000.0,2,1.4388718365897646,3399,60
1.0,1000.0,-1,1.6470103734508867,0,60
1.0,10000.0,0,2.0964786047722237,2799,60
1.0,10000.0,1,1.402327827917873,2838,60
1.0,10000.0,2,1.4001161130908906,3399,60
1.0,10000.0,-1,1.6329741819269958,0,60
10.0,1.0,0,1.4586326371270815,2799,60
10.0,1.0,1,1.92747270041928,2838,60
10.0,1.0,2,1.9541387246962976,3399,60
10.0,1.0,-1,1.7800813540808864,0,60
10.0,10.0,0,1.5321135062490479,2799,60
10.0,10.0,1,1.030895779493332,2838,60
10.0,10.0,2,1.0999623094841136,3399,60
10.0,10.0,-1,1.2209905317421645,0,60
10.0,100.0,0,2.007759966417251,2799,60
10.0,100.0,1,1.3779328166018838,2838,60
10.0,100.0,2,1.4175207611212421,3399,60
10.0,100.0,-1,1.6010711813801255,0,60
10.0,1000.0,0,2.079246060027831,2799,60
10.0,1000.0,1,1.4160811770538242,2838,60
10.0,1000.0,2,1.4265070950022933,3399,60
10.0,1000.0,-1,1.6406114440279829,0,60
10.0,10000.0,0,2.0953490975439575,2799,60
10.0,10000.0,1,1.4091824095079069,2838,60
10.0,10000.0,2,1.3959666925773466,3399,60
10.0,10000.0,-1,1.6334993998764038,0,60
100.0,1.0,0,2.2847391613795214,2799,60
100.0,1.0,1,2.6081991972254044,2838,60
100.0,1.0,2,2.7898043647709727,3399,60
100.0,1.0,-1,2.5609142411252996,0,60
100.0,10.0,0,1.462035866876248,2799,60
100.0,10.0,1,1.9280695484126338,2838,60
100.0,10.0,2,1.9549699599433512,3399,60
100.0,10.0,-1,1.7816917917440775,0,60
100.0,100.0,0,1.4833661456503322,2799,60
100.0,100.0,1,1.0645405504839693,2838,60
100.0,100.0,2,1.0703372039105523,3399,60
100.0,100.0,-1,1.2060813000149513,0,60
100.0,1000.0,0,1.9815524534032989,2799,60
100.0,1000.0,1,1.289393388039123,2838,60
100.0,1000.0,2,1.2848269737644966,3399,60
100.0,1000.0,-1,1.518590938402306,0,60
100.0,10000.0,0,2.0686994291367875,2799,60
100.0,10000.0,1,1.3373847366447411,2838,60
100.0,10000.0,2,1.3108292558943435,3399,60
100.0,10000.0,-1,1.5723044738919576,0,60
0.01,1.0,0,1.5212348731501275,2622,61
0.01,1.0,1,1.498600207199751,2640,61
0.01,1.0,2,1.6057652783381773,3399,61
0.01,1.0,-1,1.5418667862293518,0,61
0.01,10.0,0,1.5142545017871782,2622,61
0.01,10.0,1,1.5010906782360915,2640,61
0.01,10.0,2,1.6055395548267257,3399,61
0.01,10.0,-1,1.5402949116166653,0,61
0.01,100.0,0,1.502398056574891,2622,61
0.01,100.0,1,1.5063317220984276,2640,61
0.01,100.0,2,1.5817503595453144,3399,61
0.01,100.0,-1,1.5301600460728775,0,61
0.01,1000.0,0,1.4815389839652107,2622,61
0.01,1000.0,1,1.5186991027218948,2640,61
0.01,1000.0,2,1.5781430328838923,3399,61
0.01,1000.0,-1,1.5261270398569993,0,61
0.01,10000.0,0,1.4776322842765381,2622,61
0.01,10000.0,1,1.5280183921000445,2640,61
0.01,10000.0,2,1.5830561772863851,3399,61
0.01,10000.0,-1,1.5295689512209893,0,61
0.1,1.0,0,1.4599245683109476,2622,61
0.1,1.0,1,1.4323199075131456,2640,61
0.1,1.0,2,1.5433053778666368,3399,61
0.1,1.0,-1,1.4785166178969102,0,61
0.1,10.0,0,1.5084636825290976,2622,61
0.1,10.0,1,1.4979060506641326,2640,61
0.1,10.0,2,1.5966989860126477,3399,61
0.1,10.0,-1,1.5343562397352926,0,61
0.1,100.0,0,1.5032949441937167,2622,61
0.1,100.0,1,1.506677411955307,2640,61
0.1,100.0,2,1.587208493514764,3399,61
0.1,100.0,-1,1.5323936165545957,0,61
0.1,1000.0,0,1.4831732037203051,2622,61
0.1,1000.0,1,1.523986248246926,2640,61
0.1,1000.0,2,1.585162769741392,3399,61
0.1,1000.0,-1,1.5307740739028743,0,61
0.1,10000.0,0,1.4782522469771562,2622,61
0.1,10000.0,1,1.5324365970280651,2640,61
0.1,10000.0,2,1.5881941318030353,3399,61
0.1,10000.0,-1,1.5329609919360856,0,61
1.0,1.0,0,1.0870497831946546,2622,61
1.0,1.0,1,1.1300125217250458,2640,61
1.0,1.0,2,1.2001876131454254,3399,61
1.0,1.0,-1,1.1390833060217087,0,61
1.0,10.0,0,1.4434659239930867,2622,61
1.0,10.0,1,1.4590463531222895,2640,61
1.0,10.0,2,1.5337898262834186,3399,61
1.0,10.0,-1,1.4787673677995983,0,61
1.0,100.0,0,1.500797457888499,2622,61
1.0,100.0,1,1.5234960561735185,2640,61
1.0,100.0,2,1.5866348803518733,3399,61
1.0,100.0,-1,1.536976131471297,0,61
1.0,1000.0,0,1.4880789294109622,2622,61
1.0,1000.0,1,1.5513413780604166,2640,61
1.0,1000.0,2,1.5972400756511391,3399,61
1.0,1000.0,-1,1.5455534610408392,0,61
1.0,10000.0,0,1.4841749769029178,2622,61
1.0,10000.0,1,1.5638269066688693,2640,61
1.0,10000.0,2,1.5981010588432136,3399,61
1.0,10000.0,-1,1.548700980805,0,61
10.0,1.0,0,1.7368016615109636,2622,61
10.0,1.0,1,1.8503356080925863,2640,61
10.0,1.0,2,1.8672545376237888,3399,61
10.0,1.0,-1,1.8181306024091128,0,61
10.0,10.0,0,1.0629485426514698,2622,61
10.0,10.0,1,1.1197411616165587,2640,61
10.0,10.0,2,1.1799072841271885,3399,61
10.0,10.0,-1,1.1208656627984057,0,61
10.0,100.0,0,1.4231783475390052,2622,61
10.0,100.0,1,1.4785595099940334,2640,61
10.0,100.0,2,1.5161186396403927,3399,61
10.0,100.0,-1,1.472618832391144,0,61
10.0,1000.0,0,1.476581271667592,2622,61
10.0,1000.0,1,1.5506783829398187,2640,61
10.0,1000.0,2,1.582748682033861,3399,61
10.0,1000.0,-1,1.5366694455470906,0,61
10.0,10000.0,0,1.479177575944611,2622,61
10.0,10000.0,1,1.564613331921423,2640,61
10.0,10000.0,2,1.5926300265590392,3399,61
10.0,10000.0,-1,1.545473644808358,0,61
100.0,1.0,0,2.5627363203417826,2622,61
100.0,1.0,1,2.682973210998897,2640,61
100.0,1.0,2,2.8055877495468096,3399,61
100.0,1.0,-1,2.6837657602958296,0,61
100.0,10.0,0,1.7169814150991114,2622,61
100.0,10.0,1,1.8531639460588467,2640,61
100.0,10.0,2,1.8716956909798355,3399,61
100.0,10.0,-1,1.8139470173792642,0,61
100.0,100.0,0,0.9952933308062549,2622,61
100.0,100.0,1,1.1111630222979683,2640,61
100.0,100.0,2,1.1331554879744228,3399,61
100.0,100.0,-1,1.079870613692882,0,61
100.0,1000.0,0,1.3284417084915314,2622,61
100.0,1000.0,1,1.4162051005398197,2640,61
100.0,1000.0,2,1.4256650710422263,3399,61
100.0,1000.0,-1,1.3901039600245257,0,61
100.0,10000.0,0,1.4166455323613285,2622,61
100.0,10000.0,1,1.5058521843558974,2640,61
100.0,10000.0,2,1.5216637616565796,3399,61
100.0,10000.0,-1,1.4813871594579353,0,61
0.01,1.0,0,2.091922075253251,2799,62
0.01,1.0,1,1.3399458732381966,2841,62
0.01,1.0,2,1.4854109617028248,3399,62
0.01,1.0,-1,1.6390929700647574,0,62
0.01,10.0,0,2.101980464724894,2799,62
0.01,10.0,1,1.350456665889014,2841,62
0.01,10.0,2,1.4823973202112524,3399,62
0.01,10.0,-1,1.6449448169417202,0,62
0.01,100.0,0,2.109191552636888,2799,62
0.01,100.0,1,1.3534411655632568,2841,62
0.01,100.0,2,1.4681918948406807,3399,62
0.01,100.0,-1,1.6436082043469418,0,62
0.01,1000.0,0,2.109904795727691,2799,62
0.01,1000.0,1,1.3401627407551109,2841,62
0.01,1000.0,2,1.4147441481047123,3399,62
0.01,1000.0,-1,1.6216038948625047,0,62
0.01,10000.0,0,2.1254601639180084,2799,62
0.01,10000.0,1,1.316280470902256,2841,62
0.01,10000.0,2,1.3687725552454513,3399,62
0.01,10000.0,-1,1.6035043966885718,0,62
0.1,1.0,0,2.028688251758647,2799,62
0.1,1.0,1,1.266794564018829,2841,62
0.1,1.0,2,1.4473824499681665,3399,62
0.1,1.0,-1,1.5809550885818808,0,62
0.1,10.0,0,2.095668555808821,2799,62
0.1,10.0,1,1.3341141147208353,2841,62
0.1,10.0,2,1.4848969494057838,3399,62
0.1,10.0,-1,1.63822653997848,0,62
0.1,100.0,0,2.1030430752231277,2799,62
0.1,100.0,1,1.3514545496590378,2841,62
0.1,100.0,2,1.46664362383862,3399,62
0.1,100.0,-1,1.640380416240262,0,62
0.1,1000.0,0,2.1170145123424926,2799,62
0.1,1000.0,1,1.3415512807696193,2841,62
0.1,1000.0,2,1.4183884544394392,3399,62
0.1,1000.0,-1,1.625651415850517,0,62
0.1,10000.0,0,2.1333147173684495,2799,62
0.1,10000.0,1,1.3154994979262062,2841,62
0.1,10000.0,2,1.3763626602502321,3399,62
0.1,10000.0,-1,1.6083922918482958,0,62
1.0,1.0,0,1.5412150630706531,2799,62
1.0,1.0,1,0.9301200157841436,2841,62
1.0,1.0,2,1.1200419815060054,3399,62
1.0,1.0,-1,1.197125686786934,0,62
1.0,10.0,0,2.050159410713865,2799,62
1.0,10.0,1,1.2836572010402292,2841,62
1.0,10.0,2,1.454285547972561,3399,62
1.0,10.0,-1,1.5960340532422184,0,62
1.0,100.0,0,2.1118624819381684,2799,62
1.0,100.0,1,1.3648768306373995,2841,62
1.0,100.0,2,1.49146558355461,3399,62
1.0,100.0,-1,1.6560682987100594,0,62
1.0,1000.0,0,2.1173051009086983,2799,62
1.0,1000.0,1,1.3653722029290063,2841,62
1.0,1000.0,2,1.4546663535188424,3399,62
1.0,1000.0,-1,1.645781219118849,0,62
1.0,10000.0,0,2.1362677136025923,2799,62
1.0,10000.0,1,1.346200005225905,2841,62
1.0,10000.0,2,1.425785373465637,3399,62
1.0,10000.0,-1,1.6360843640980447,0,62
10.0,1.0,0,1.4703380814064824,2799,62
10.0,1.0,1,2.045088545551903,2841,62
10.0,1.0,2,2.0580457906582508,3399,62
10.0,1.0,-1,1.8578241392055455,0,62
10.0,10.0,0,1.5326200968674917,2799,62
10.0,10.0,1,0.933537790978157,2841,62
10.0,10.0,2,1.1153422040993413,3399,62
10.0,10.0,-1,1.1938333639816632,0,62
10.0,100.0,0,2.0402139888134503,2799,62
10.0,100.0,1,1.2989570812726001,2841,62
10.0,100.0,2,1.4288657135828078,3399,62
10.0,100.0,-1,1.589345594556286,0,62
10.0,1000.0,0,2.110168515581385,2799,62
10.0,1000.0,1,1.3671689791500357,2841,62
10.0,1000.0,2,1.4440503707047316,3399,62
10.0,1000.0,-1,1.6404626218120508,0,62
10.0,10000.0,0,2.128196179057598,2799,62
10.0,10000.0,1,1.346260088361425,2841,62
10.0,10000.0,2,1.426064213757097,3399,62
10.0,10000.0,-1,1.6335068270587065,0,62
100.0,1.0,0,2.4663671244828302,2799,62
100.0,1.0,1,2.683784615210186,2841,62
100.0,1.0,2,2.894690779477755,3399,62
100.0,1.0,-1,2.6816141730569236,0,62
100.0,10.0,0,1.4774872964946375,2799,62
