run,method,n,charge_bias_median_frac,charge_res68_abs_frac,charge_full_rms_frac,charge_within10_frac,time_bias_median_ns,time_abs68_ns,time_full_rms_ns,charge_res68_abs_frac_ci95,time_abs68_ns_ci95,charge_bias_median_frac_ci95,time_bias_median_ns_ci95
45,observed_raw,5466,0.10822171402223651,0.13104238069174262,3.6324593340971125,0.42682034394438345,-0.08938601762162612,0.24841226709882286,1.136438696458261,"[0.12961233166835434, 0.1326646077641566]","[0.23580423042470572, 0.26081542463640417]","[0.10648272605205333, 0.10980280176453988]","[-0.0997184229569383, -0.07993214539283407]"
45,traditional_template,5466,0.10822171402223651,0.13104238069174262,3.6324587744688914,0.42682034394438345,-0.08917354299908631,0.24875323299473076,1.1364530980063834,"[0.1295359412960522, 0.1324065552659714]","[0.23528456417143156, 0.26061115242881033]","[0.1063518243866593, 0.10980196308704271]","[-0.09778949001061576, -0.07990114021944335]"
46,ml_ratio_transfer,144,0.15239171926491313,0.1874072897138081,0.26840283033543016,0.13194444444444445,0.1306203935161232,0.3216087942747016,0.7014015569122555,"[0.17075027631685472, 0.19375562736451735]","[0.23749720804906782, 0.3877050412525533]","[0.14545789503618817, 0.17064063893701456]","[0.01113718620028159, 0.17021172543394125]"
46,observed_raw,144,0.10109726949637324,0.13005720650822952,0.22833532313081742,0.4861111111111111,-0.13276421412643558,0.31165776866564476,0.7659102066310812,"[0.12037608337518475, 0.14114541451342744]","[0.2233951686263571, 0.34919898461291643]","[0.09412910561484517, 0.11682054291230917]","[-0.18819358476474513, -0.08985399479485956]"
46,traditional_template,144,0.10109726949637324,0.13005720650822952,0.22833532313081742,0.4861111111111111,-0.13276421412643558,0.31165776866564476,0.7659102066310812,"[0.12029015834509672, 0.13924591293583843]","[0.22965012852584862, 0.3552516422311891]","[0.09414723454521585, 0.11743871050870168]","[-0.18819358476474513, -0.08985399479485956]"
47,ml_ratio_transfer,1268,0.1581286622837778,0.18345802096585684,2.6311121774031063,0.08201892744479496,0.16510569449497403,0.2568981200070922,0.8222357132024799,"[0.17960735174276185, 0.18632670758259182]","[0.24227022923914981, 0.271489548390214]","[0.1554465494998815, 0.1610507123348549]","[0.14335710725033354, 0.17104081628115186]"
47,observed_raw,1268,0.10469458822547478,0.12760861673898993,2.455676878680106,0.4645110410094637,-0.11201247707501771,0.25540499176880516,0.8782664694939191,"[0.12369504154850522, 0.1308195526898596]","[0.22835815646523455, 0.27669419839314835]","[0.10129375233109734, 0.1071022779703331]","[-0.12644162466546996, -0.0923875420616011]"
47,traditional_template,1268,0.10469458822547478,0.12760861673898993,2.455676878680106,0.4645110410094637,-0.11201247707501771,0.25540499176880516,0.8782664694939191,"[0.12389485246220981, 0.1307763011747265]","[0.22978638274050928, 0.2790025917263597]","[0.10139727484895741, 0.10690268651390253]","[-0.12659061281068734, -0.0939962312060238]"
48,ml_ratio_transfer,1986,0.16432760729343265,0.19321773645815982,1.4697403724528888,0.08408862034239678,0.17778701044355216,0.29738532046201427,1.3620693239778239,"[0.18963802060100576, 0.19695982021527914]","[0.28141583377857265, 0.3118579686561168]","[0.16198135966859586, 0.16711692364864578]","[0.17316585220050804, 0.18128332429636176]"
48,observed_raw,1986,0.10734148294811918,0.13575003840243158,1.3683224973093697,0.42900302114803623,-0.07472302615689408,0.2623854944983152,1.4489594933083445,"[0.1314766810543653, 0.13858986297201606]","[0.2489280853430353, 0.2901461360659102]","[0.10479023317787672, 0.1101271034122076]","[-0.089755039229897, -0.050189791741361886]"
