split,action,family,taxon,ml_quantile,ml_threshold,n_pairs,tail_rate,sigma68_ns,full_rms_ns,q95_abs_ns,median_ns,kept_pair_fraction,removed_pair_fraction,median_log_amp_delta,abs_median_log_amp_delta,max_pair_composition_drift,charge_constraint_pass,pair_composition_constraint_pass,kept_fraction_constraint_pass,all_constraints_pass
train,hybrid_novel_broad_template_mismatch_or_ml_q0p95,hybrid,novel_broad_template_mismatch,0.95,0.6727397345550277,22537,0.02333939743532857,1.9036454341125442,4.119014284580705,3.5098376729329464,-1.1357831954956055,0.9493260320134793,0.050673967986520685,0.0048059900266013145,0.0048059900266013145,0.0007644846802332683,True,True,True,True
train,hybrid_novel_broad_template_mismatch_or_ml_q0p975,hybrid,novel_broad_template_mismatch,0.975,0.751105189917307,23124,0.034942051548175056,1.949238784332278,4.96157349719814,3.7002121300697284,-1.1617795626322582,0.9740522325189553,0.02594776748104466,0.001782690551443089,0.001782690551443089,0.001896249034726849,True,True,True,True
train,hybrid_novel_delayed_peak_or_ml_q0p9,hybrid,novel_delayed_peak,0.9,0.5666396966763746,19010,0.0058390320883745395,1.838087484982804,2.2395755560871127,3.3019459077835047,-1.042128403981529,0.8007582139848357,0.1992417860151643,0.010383940652654466,0.010383940652654466,0.0032949890692922368,True,True,True,True
train,hybrid_novel_delayed_peak_or_ml_q0p95,hybrid,novel_delayed_peak,0.95,0.6727397345550277,20007,0.022142250212425652,1.9065785320027726,2.6974216752117592,3.492513558419539,-1.0895419988632185,0.8427548441449031,0.1572451558550969,0.006136898346031927,0.006136898346031927,0.00479838585559933,True,True,True,True
train,hybrid_novel_delayed_peak_or_ml_q0p975,hybrid,novel_delayed_peak,0.975,0.751105189917307,20505,0.03247988295537674,1.9514047104899062,2.883592996339395,3.661364011383062,-1.1190994580586846,0.8637320977253581,0.13626790227464192,0.0033843993829263397,0.0033843993829263397,0.0057003891010617425,True,True,True,True
train,hybrid_novel_early_pretrigger_or_ml_q0p9,hybrid,novel_early_pretrigger,0.9,0.5666396966763746,20489,0.005466347796378545,1.7709168441136736,2.5458033932348743,3.2693817507425904,-1.1668801307678152,0.8630581297388374,0.13694187026116256,0.020311542504577673,0.020311542504577673,0.0074547264620138665,False,True,True,False
train,hybrid_novel_early_pretrigger_or_ml_q0p95,hybrid,novel_early_pretrigger,0.95,0.6727397345550277,21658,0.023224674485178686,1.8552991530609164,3.8015043637568935,3.492906429990122,-1.2150414929389886,0.9122999157540017,0.08770008424599829,0.015535753112668083,0.015535753112668083,0.0036943881304709048,True,True,True,True
train,hybrid_novel_early_pretrigger_or_ml_q0p975,hybrid,novel_early_pretrigger,0.975,0.751105189917307,22246,0.03519733884743324,1.9002725969950387,4.591209042544452,3.698724338531494,-1.244184631347654,0.9370682392586352,0.06293176074136475,0.012104161529132185,0.012104161529132185,0.002738600868090524,True,True,True,True
train,hybrid_pileup_or_long_tail_or_ml_q0p9,hybrid,pileup_or_long_tail,0.9,0.5666396966763746,21150,0.0058628841607565015,1.826647274583184,2.8514581038204407,3.296610907729469,-1.081442663192755,0.8909014321819714,0.10909856781802862,0.008528078690974716,0.008528078690974716,0.002920946184134271,True,True,True,True
train,hybrid_pileup_or_long_tail_or_ml_q0p95,hybrid,pileup_or_long_tail,0.95,0.6727397345550277,22315,0.023257898274703113,1.903773839263915,4.096765117430457,3.508826196193701,-1.1331401557922405,0.9399747262005055,0.060025273799494516,0.004006593972128769,0.004006593972128769,0.0007473882891078087,True,True,True,True
train,hybrid_pileup_or_long_tail_or_ml_q0p975,hybrid,pileup_or_long_tail,0.975,0.751105189917307,22903,0.0348862594419945,1.9496902240498921,4.974901013544095,3.7008873910903786,-1.159663200378425,0.964743049705139,0.03525695029486098,0.0008917425238692545,0.0008917425238692545,0.0019153688014517112,True,True,True,True
