split,action,family,taxon,ml_quantile,ml_threshold,n_pairs,tail_rate,sigma68_ns,full_rms_ns,q95_abs_ns,median_ns,kept_pair_fraction,removed_pair_fraction,median_log_amp_delta,abs_median_log_amp_delta,max_pair_composition_drift,charge_constraint_pass,pair_composition_constraint_pass,kept_fraction_constraint_pass,all_constraints_pass
heldout,hybrid_dropout_or_ml_q0p975,hybrid,dropout,0.975,0.751105189917307,2150,0.04883720930232558,2.0000186307525647,3.8094234216258336,3.9828922073364272,-1.335823579311377,0.9871441689623508,0.012855831037649201,0.0022980811621930997,0.0022980811621930997,0.00202233754030795,True,True,True,True
heldout,hybrid_novel_broad_template_mismatch_or_ml_q0p9,hybrid,novel_broad_template_mismatch,0.9,0.5666396966763746,2002,0.03696303696303696,1.9532728377278552,2.474464944244736,3.7089635881264966,-1.2927899198532131,0.9191919191919192,0.08080808080808077,0.014088091778329925,0.014088091778329925,0.006301779029051768,True,True,True,True
heldout,hybrid_novel_broad_template_mismatch_or_ml_q0p95,hybrid,novel_broad_template_mismatch,0.95,0.6727397345550277,2100,0.043333333333333335,1.9808911601702348,3.561002010358848,3.8444600815137178,-1.311121030330657,0.9641873278236914,0.03581267217630857,0.007734950728908174,0.007734950728908174,0.004713367440640159,True,True,True,True
heldout,hybrid_novel_broad_template_mismatch_or_ml_q0p975,hybrid,novel_broad_template_mismatch,0.975,0.751105189917307,2149,0.04839460214053048,1.998299721679683,3.76614534502803,3.9655481179555174,-1.334933866182972,0.9866850321395776,0.013314967860422411,0.0022502594415305666,0.0022502594415305666,0.002112157575586665,True,True,True,True
heldout,hybrid_novel_delayed_peak_or_ml_q0p9,hybrid,novel_delayed_peak,0.9,0.5666396966763746,1681,0.03866745984533016,1.9659794117609724,2.5836115310073637,3.7611518592834443,-1.2047199697494406,0.7718089990817264,0.2281910009182736,0.014040830565571483,0.014040830565571483,0.005310800941107585,True,True,False,False
heldout,hybrid_novel_delayed_peak_or_ml_q0p95,hybrid,novel_delayed_peak,0.95,0.6727397345550277,1761,0.044293015332197615,1.993633190790816,2.7538680858759874,3.8821484645207605,-1.2300152454376203,0.8085399449035813,0.19146005509641872,0.008828289738980644,0.008828289738980644,0.004342636524764465,True,True,True,True
heldout,hybrid_novel_delayed_peak_or_ml_q0p975,hybrid,novel_delayed_peak,0.975,0.751105189917307,1806,0.04928017718715393,2.010595401128134,2.843864166193816,4.000019346237181,-1.2707638740539586,0.8292011019283747,0.1707988980716253,0.0031106482132718938,0.0031106482132718938,0.0035571663478639604,True,True,True,True
heldout,hybrid_novel_early_pretrigger_or_ml_q0p9,hybrid,novel_early_pretrigger,0.9,0.5666396966763746,1947,0.03697996918335902,1.9169304528617885,2.365419042852631,3.7135922428448973,-1.3577503833770734,0.8939393939393939,0.10606060606060608,0.020542007653744143,0.020542007653744143,0.008280026770011356,False,True,True,False
heldout,hybrid_novel_early_pretrigger_or_ml_q0p95,hybrid,novel_early_pretrigger,0.95,0.6727397345550277,2045,0.04352078239608802,1.950867269414264,3.514915003868942,3.8479861649831064,-1.3815251986185686,0.9389348025711662,0.06106519742883376,0.012527255401959536,0.012527255401959536,0.007010985606228981,True,True,True,True
heldout,hybrid_novel_early_pretrigger_or_ml_q0p975,hybrid,novel_early_pretrigger,0.975,0.751105189917307,2095,0.04916467780429594,1.9849336002222753,3.7737846307027785,3.996637106704716,-1.3933610916137695,0.9618916437098255,0.038108356290174505,0.008353072318071142,0.008353072318071142,0.004170364964463463,True,True,True,True
heldout,hybrid_pileup_or_long_tail_or_ml_q0p9,hybrid,pileup_or_long_tail,0.9,0.5666396966763746,1957,0.036791006642820645,1.9546978212865127,2.4874927312329125,3.71056717885335,-1.297855008761097,0.8985307621671258,0.1014692378328742,0.011959073568491796,0.011959073568491796,0.0071714027908574285,True,True,True,True
heldout,hybrid_pileup_or_long_tail_or_ml_q0p95,hybrid,pileup_or_long_tail,0.95,0.6727397345550277,2054,0.0433300876338851,1.9838461215782126,3.5901839795001633,3.8458705149014727,-1.3128347921371404,0.9430670339761249,0.0569329660238751,0.004113657393682857,0.004113657393682857,0.0059441900638678435,True,True,True,True
heldout,hybrid_pileup_or_long_tail_or_ml_q0p975,hybrid,pileup_or_long_tail,0.975,0.751105189917307,2104,0.04895437262357415,2.0072829704793302,3.8412841575301533,3.990552256011967,-1.3408939043680945,0.9660238751147842,0.03397612488521584,-0.00043149602709569024,0.00043149602709569024,0.0031410719710062984,True,True,True,True
