action,family,metric,ci_low,ci_high
hybrid_novel_delayed_peak_or_ml_q0p975,hybrid,kept_pair_fraction,0.7180925666199158,0.8892333709131905
hybrid_novel_delayed_peak_or_ml_q0p975,hybrid,abs_median_log_amp_delta,0.0015549247593618755,0.031354647988877105
hybrid_novel_delayed_peak_or_ml_q0p975,hybrid,max_pair_composition_drift,0.0011758012407661056,0.019072703708349015
hybrid_novel_early_pretrigger_or_ml_q0p9,hybrid,tail_rate,0.030211480362537766,0.0449438202247191
hybrid_novel_early_pretrigger_or_ml_q0p9,hybrid,full_rms_ns,1.9209660473011323,2.6743543071146045
hybrid_novel_early_pretrigger_or_ml_q0p9,hybrid,q95_abs_ns,3.6246317914326838,3.7933146953582906
hybrid_novel_early_pretrigger_or_ml_q0p9,hybrid,sigma68_ns,1.8666952292124557,1.9456218135770145
hybrid_novel_early_pretrigger_or_ml_q0p9,hybrid,kept_pair_fraction,0.8717587373167982,0.93048128342246
hybrid_novel_early_pretrigger_or_ml_q0p9,hybrid,abs_median_log_amp_delta,0.013368533270419647,0.030625726524940333
hybrid_novel_early_pretrigger_or_ml_q0p9,hybrid,max_pair_composition_drift,0.0069257594183124715,0.011231987620165612
hybrid_novel_early_pretrigger_or_ml_q0p95,hybrid,tail_rate,0.03908629441624366,0.051617343427391604
hybrid_novel_early_pretrigger_or_ml_q0p95,hybrid,full_rms_ns,2.3604357060302195,4.872924646792742
hybrid_novel_early_pretrigger_or_ml_q0p95,hybrid,q95_abs_ns,3.7698555657227795,4.042734503746033
hybrid_novel_early_pretrigger_or_ml_q0p95,hybrid,sigma68_ns,1.9124255498250304,2.0113677774810803
hybrid_novel_early_pretrigger_or_ml_q0p95,hybrid,kept_pair_fraction,0.9261555806087937,0.964572192513369
hybrid_novel_early_pretrigger_or_ml_q0p95,hybrid,abs_median_log_amp_delta,0.007742808936637147,0.02051379094093253
hybrid_novel_early_pretrigger_or_ml_q0p95,hybrid,max_pair_composition_drift,0.003722562546091962,0.0093529777724978
hybrid_novel_early_pretrigger_or_ml_q0p975,hybrid,tail_rate,0.04178674351585014,0.05287817938420348
hybrid_novel_early_pretrigger_or_ml_q0p975,hybrid,full_rms_ns,2.365702140031502,4.866777906068217
hybrid_novel_early_pretrigger_or_ml_q0p975,hybrid,q95_abs_ns,3.8442250092824253,4.0892033638636285
hybrid_novel_early_pretrigger_or_ml_q0p975,hybrid,sigma68_ns,1.9450688362121573,2.018590320269263
hybrid_novel_early_pretrigger_or_ml_q0p975,hybrid,kept_pair_fraction,0.9563139931740614,0.9733520336605891
hybrid_novel_early_pretrigger_or_ml_q0p975,hybrid,abs_median_log_amp_delta,0.004842144663286696,0.014010210079272944
hybrid_novel_early_pretrigger_or_ml_q0p975,hybrid,max_pair_composition_drift,0.0031546697600349227,0.0064601057994685684
hybrid_pileup_or_long_tail_or_ml_q0p9,hybrid,tail_rate,0.02923076923076923,0.043691703485517916
hybrid_pileup_or_long_tail_or_ml_q0p9,hybrid,full_rms_ns,1.9337950450795083,2.854794279727717
hybrid_pileup_or_long_tail_or_ml_q0p9,hybrid,q95_abs_ns,3.6091116415977385,3.7933146953582906
hybrid_pileup_or_long_tail_or_ml_q0p9,hybrid,sigma68_ns,1.907174794336953,1.9754745852152453
hybrid_pileup_or_long_tail_or_ml_q0p9,hybrid,kept_pair_fraction,0.8858985141575554,0.9156391953277093
hybrid_pileup_or_long_tail_or_ml_q0p9,hybrid,abs_median_log_amp_delta,0.006945937406783287,0.0233389687454979
hybrid_pileup_or_long_tail_or_ml_q0p9,hybrid,max_pair_composition_drift,0.001527986877289167,0.01160424606936461
hybrid_pileup_or_long_tail_or_ml_q0p95,hybrid,tail_rate,0.03812316715542522,0.05124747134187458
hybrid_pileup_or_long_tail_or_ml_q0p95,hybrid,full_rms_ns,2.379764931571283,5.058252983532557
hybrid_pileup_or_long_tail_or_ml_q0p95,hybrid,q95_abs_ns,3.7605899572372437,4.042734503746033
hybrid_pileup_or_long_tail_or_ml_q0p95,hybrid,sigma68_ns,1.9573400473531128,2.025664731979374
hybrid_pileup_or_long_tail_or_ml_q0p95,hybrid,kept_pair_fraction,0.9398868458274399,0.9493835171966256
hybrid_pileup_or_long_tail_or_ml_q0p95,hybrid,abs_median_log_amp_delta,0.0010122968809582744,0.012202473787965573
hybrid_pileup_or_long_tail_or_ml_q0p95,hybrid,max_pair_composition_drift,0.0023402707299327585,0.010669311712954932
hybrid_pileup_or_long_tail_or_ml_q0p975,hybrid,tail_rate,0.04105571847507331,0.052742616033755275
hybrid_pileup_or_long_tail_or_ml_q0p975,hybrid,full_rms_ns,2.384626334181077,4.904582169947362
hybrid_pileup_or_long_tail_or_ml_q0p975,hybrid,q95_abs_ns,3.848926453908277,4.061796892801922
hybrid_pileup_or_long_tail_or_ml_q0p975,hybrid,sigma68_ns,1.9842118314107346,2.0376672479248072
hybrid_pileup_or_long_tail_or_ml_q0p975,hybrid,kept_pair_fraction,0.9522491349480969,0.972492358988608
hybrid_pileup_or_long_tail_or_ml_q0p975,hybrid,abs_median_log_amp_delta,0.0,0.006271144111353877
hybrid_pileup_or_long_tail_or_ml_q0p975,hybrid,max_pair_composition_drift,0.0010454634528708484,0.010830379138376478
