method,n,positives,roc_auc,auc_ci_low,auc_ci_high,average_precision,role,family
traditional_scalar__cfd50_time,9745,2089,0.7024000986908087,0.6034396109741273,0.777788905801934,0.7505536928104389,traditional_scalar,constant_fraction_shape_ratios
traditional_scalar__cfd20_time,9745,2089,0.7009610661508534,0.6067674387935915,0.7795704313909066,0.747480574252762,traditional_scalar,constant_fraction_shape_ratios
traditional_scalar__zero_crossings_derivative,9745,2089,0.6940361401939702,0.6341258114518744,0.7362540128746661,0.4818254719626034,traditional_scalar,zero_crossing_derivative
traditional_scalar__haar_l0_d05,9745,2089,0.6907081390655037,0.6191379304110645,0.7615115083922728,0.49825013443172605,traditional_scalar,wavelet_haar
traditional_scalar__haar_l1_d02,9745,2089,0.6537698338262872,0.5846027528123592,0.6989709620967632,0.36159855851307965,traditional_scalar,wavelet_haar
traditional_scalar__max_fall_step,9745,2089,0.6424815098543248,0.5623164040084082,0.7160949856244462,0.6482989124223609,traditional_scalar,zero_crossing_derivative
traditional_scalar__rise_20_80,9745,2089,0.619340347233581,0.5585517200690002,0.681055733293111,0.46905075494846177,traditional_scalar,rise_time_width
traditional_scalar__cf_ratio_s6_s8,9745,2089,0.6050914240538463,0.527605431237,0.663136361099104,0.5865649320721689,traditional_scalar,constant_fraction_shape_ratios
traditional_scalar__rise_10_50,9745,2089,0.6020448517962178,0.5373525164677323,0.6655456895588042,0.4687886960553933,traditional_scalar,rise_time_width
traditional_scalar__max_rise_step,9745,2089,0.5998480996892215,0.5377440781039282,0.6713656753458103,0.4775590733148334,traditional_scalar,zero_crossing_derivative
traditional_scalar__fft_k2_fraction,9745,2089,0.5984826913428704,0.5553437588053903,0.6293137156637926,0.27222213529157097,traditional_scalar,frequency_domain_fft
traditional_scalar__haar_l0_d04,9745,2089,0.5832025917716975,0.5364968490871633,0.6136452108079776,0.2520105790788007,traditional_scalar,wavelet_haar
traditional_scalar__haar_l0_d00,9745,2089,0.5699851263497455,0.5277382713072312,0.6263456436116,0.41225147128965645,traditional_scalar,wavelet_haar
traditional_scalar__le_ratio_s5_s7,9745,2089,0.5575064351609391,0.4862224777726831,0.6068848602401439,0.5338551473380453,traditional_scalar,constant_fraction_shape_ratios
traditional_scalar__haar_l0_d01,9745,2089,0.5431068246720019,0.48015087506299714,0.591586120840591,0.3104174073647589,traditional_scalar,wavelet_haar
traditional_scalar__haar_l1_d00,9745,2089,0.5038182976160642,0.4260365573191172,0.5609409606722652,0.2844802895038307,traditional_scalar,wavelet_haar
traditional_scalar__le_ratio_s4_s7,9745,2089,0.49813560407228386,0.43055817244231853,0.5461100968465138,0.5104616623252827,traditional_scalar,constant_fraction_shape_ratios
traditional_scalar__early_0_4_over_total,9745,2089,0.4692847054757142,0.37870682907656184,0.5643429726505051,0.20461331548020806,traditional_scalar,charge_comparison_psd
