method,base_method,drift_order,fold,heldout_runs,sigma68_ns,n_pair_residuals,heldout_run
s02f_global_timewalk_drift0,template_phase,0,1,60 64,1.5005242097968314,3054,63
s02f_global_timewalk_drift0,template_phase,0,2,59 62,1.5149739564724134,4710,63
s02f_global_timewalk_drift1,template_phase,1,0,58 61 65,2.0851871507148894,3216,63
s02f_global_timewalk_drift1,template_phase,1,1,60 64,1.511523318925735,3054,63
s02f_global_timewalk_drift1,template_phase,1,2,59 62,1.5426935628894485,4710,63
s02f_global_timewalk_drift2,template_phase,2,0,58 61 65,2.11724263747119,3216,63
s02f_global_timewalk_drift2,template_phase,2,1,60 64,1.5310979972642316,3054,63
s02f_global_timewalk_drift2,template_phase,2,2,59 62,1.769868633744824,4710,63
s02f_binned_timewalk_drift0,s02b_template,0,0,58 61 64,3.2028530159982256,3648,65
s02f_binned_timewalk_drift0,s02b_template,0,1,60 63,2.7267675156070377,3534,65
s02f_binned_timewalk_drift0,s02b_template,0,2,59 62,3.0440244600015887,4710,65
s02f_binned_timewalk_drift1,s02b_template,1,0,58 61 64,3.208556886772882,3648,65
s02f_binned_timewalk_drift1,s02b_template,1,1,60 63,2.7294156648970023,3534,65
s02f_binned_timewalk_drift1,s02b_template,1,2,59 62,3.103563906478775,4710,65
s02f_binned_timewalk_drift2,s02b_template,2,0,58 61 64,3.217830688402613,3648,65
s02f_binned_timewalk_drift2,s02b_template,2,1,60 63,2.725673753386406,3534,65
s02f_binned_timewalk_drift2,s02b_template,2,2,59 62,3.1385653520844032,4710,65
s02f_global_timewalk_drift0,template_phase,0,0,58 61 64,2.077768331907359,3648,65
s02f_global_timewalk_drift0,template_phase,0,1,60 63,1.5118992701709866,3534,65
s02f_global_timewalk_drift0,template_phase,0,2,59 62,1.5685949450848429,4710,65
s02f_global_timewalk_drift1,template_phase,1,0,58 61 64,2.081784272715496,3648,65
s02f_global_timewalk_drift1,template_phase,1,1,60 63,1.5115167810524246,3534,65
s02f_global_timewalk_drift1,template_phase,1,2,59 62,1.5767998259629978,4710,65
s02f_global_timewalk_drift2,template_phase,2,0,58 61 64,2.0751944957213184,3648,65
s02f_global_timewalk_drift2,template_phase,2,1,60 63,1.5071317772803472,3534,65
s02f_global_timewalk_drift2,template_phase,2,2,59 62,1.7327524425312937,4710,65
