event,track_id,pdg,particle,y_deuteron,pseudo_run,total_edep_MeV,early_edep_MeV,downstream_edep_MeV,early_fraction,deepest_layer,n_layers_hit,layer_centroid,max_layer_edep_MeV,B2_edep_MeV,B4_edep_MeV,B6_edep_MeV,B8_edep_MeV,edep_l0,edep_l1,edep_l2,edep_l3,edep_l4,edep_l5,edep_l6,edep_l7,benchmark_sample
78,2,1000010020,deuteron,1,0,69.271103,69.271103,0,1,1,2,0.24492346,52.304985,69.271103,0,0,0,52.304985,16.966118,0,0,0,0,0,0,True
85,1,2212,proton,0,0,87.949112,40.906982,47.04213,0.46512103,2,3,1.3364508,47.04213,40.906982,47.04213,0,0,17.45159,23.455395,47.04213,0,0,0,0,0,True
88,2,1000010020,deuteron,1,0,81.322433,81.322433,0,1,1,2,0.53492063,43.501049,81.322433,0,0,0,37.821381,43.501049,0,0,0,0,0,0,True
101,2,1000010020,deuteron,1,0,72.389206,72.389206,0,1,1,2,0.37411883,45.307045,72.389206,0,0,0,45.307045,27.082165,0,0,0,0,0,0,True
102,2,1000010020,deuteron,1,0,17.963615,17.963615,0,1,0,1,0,17.963615,17.963615,0,0,0,17.963615,0,0,0,0,0,0,0,True
107,1,2212,proton,0,0,146.86266,24.099184,122.76347,0.16409335,7,8,4.3092117,31.928391,24.099184,27.316055,36.516701,58.930717,11.393135,12.706049,12.969028,14.347028,16.919153,19.597548,27.002329,31.928391,True
112,1,2212,proton,0,0,139.49596,24.430599,115.06535,0.17513482,6,7,3.808121,39.611156,24.430599,31.326191,44.128014,39.611156,11.195985,13.234614,15.318845,16.007345,18.98387,25.144142,39.611156,0,True
121,1,2212,proton,0,0,113.26135,21.898251,91.363106,0.19334266,7,8,3.9770255,20.900581,21.898251,25.332203,28.234154,37.796745,10.590606,11.307644,12.322854,13.009349,13.389925,14.844229,16.896164,20.900581,True
122,1,2212,proton,0,0,116.20794,22.256874,93.951065,0.19152628,7,8,4.0020103,21.988029,22.256874,25.874319,28.611628,39.465118,10.759517,11.497356,12.501683,13.372636,13.390187,15.22144,17.477089,21.988029,True
145,1,2212,proton,0,0,133.60081,26.400631,107.2002,0.19760831,6,7,3.5076847,33.399109,26.400631,31.778854,55.583233,19.8381,12.613804,13.786827,15.254487,16.524368,22.184124,33.399109,19.8381,0,True
153,2,1000010020,deuteron,1,0,103.7433,48.865044,54.878258,0.47101879,3,4,1.4962218,36.476486,48.865044,54.878258,0,0,21.800344,27.064701,36.476486,18.401772,0,0,0,0,True
155,1,2212,proton,0,0,130.52101,25.061092,105.45993,0.19200811,6,7,3.4853678,36.542591,25.061092,31.601995,59.063877,14.794052,11.791362,13.269732,14.7244,16.877596,22.521286,36.542591,14.794052,0,True
162,2,1000010020,deuteron,1,0,91.526688,91.526688,0,1,1,2,0.63708156,58.309967,91.526688,0,0,0,33.216717,58.309967,0,0,0,0,0,0,True
171,2,1000010020,deuteron,1,0,79.801758,79.801758,0,1,1,2,0.50383973,40.207294,79.801758,0,0,0,39.59446,40.207294,0,0,0,0,0,0,True
181,2,1000010020,deuteron,1,0,101.09746,48.043507,53.053947,0.47521973,3,4,1.483461,35.642788,48.043507,53.053947,0,0,21.588423,26.455084,35.642788,17.41116,0,0,0,0,True
195,2,1000010020,deuteron,1,0,73.018295,73.018295,0,1,1,2,0.38170367,45.146942,73.018295,0,0,0,45.146942,27.871351,0,0,0,0,0,0,True
200,2,1000010020,deuteron,1,0,51.615318,51.615318,0,1,0,1,0,51.615318,51.615318,0,0,0,51.615318,0,0,0,0,0,0,0,True
200,1,2212,proton,0,0,89.359772,40.206841,49.152939,0.44994342,3,4,1.4299265,42.183544,40.206841,49.152939,0,0,17.704203,22.502636,42.183544,6.9693942,0,0,0,0,True
202,2,1000010020,deuteron,1,0,31.717522,31.717522,0,1,0,1,0,31.717522,31.717522,0,0,0,31.717522,0,0,0,0,0,0,0,True
209,2,1000010020,deuteron,1,0,66.2705,48.978416,17.292082,0.73906815,2,3,0.92743742,26.877579,48.978416,17.292082,0,0,22.100838,26.877579,17.292082,0,0,0,0,0,True
213,1,2212,proton,0,0,39.251743,36.082516,3.1692262,0.91925895,2,3,0.66116601,19.613468,36.082516,3.1692262,0,0,16.469048,19.613468,3.1692262,0,0,0,0,0,True
214,2,1000010020,deuteron,1,0,120.68994,54.988632,65.701309,0.45561901,3,4,1.3822155,60.976158,54.988632,65.701309,0,0,24.296909,30.691725,60.976158,4.7251515,0,0,0,0,True
214,1,2212,proton,0,0,37.15086,37.15086,0,1,0,1,0,37.15086,37.15086,0,0,0,37.15086,0,0,0,0,0,0,0,True
217,1,2212,proton,0,0,40.446823,40.446823,0,1,0,1,0,40.446823,40.446823,0,0,0,40.446823,0,0,0,0,0,0,0,True
223,1,2212,proton,0,0,20.240356,20.240356,0,1,1,2,0.32308197,13.701061,20.240356,0,0,0,13.701061,6.5392942,0,0,0,0,0,0,True
225,2,1000010020,deuteron,1,0,55.623024,55.623024,0,1,0,1,0,55.623024,55.623024,0,0,0,55.623024,0,0,0,0,0,0,0,True
228,1,2212,proton,0,0,40.219406,40.219406,0,1,0,1,0,40.219406,40.219406,0,0,0,40.219406,0,0,0,0,0,0,0,True
229,2,1000010020,deuteron,1,0,64.163834,64.163834,0,1,0,1,0,64.163834,64.163834,0,0,0,64.163834,0,0,0,0,0,0,0,True
230,2,1000010020,deuteron,1,0,70.215042,70.215042,0,1,1,2,0.33868197,46.434475,70.215042,0,0,0,46.434475,23.780569,0,0,0,0,0,0,True
230,1,2212,proton,0,0,58.040642,58.040642,0,1,1,2,0.50865805,29.522839,58.040642,0,0,0,28.517803,29.522839,0,0,0,0,0,0,True
233,1,2212,proton,0,0,114.27896,21.311687,92.96727,0.18648829,7,8,4.0388427,21.215557,21.311687,23.920813,29.798912,39.247543,10.57836,10.733327,11.975079,11.945734,14.661318,15.137595,18.031986,21.215557,True
241,1,2212,proton,0,0,137.97624,24.919716,113.05653,0.18060875,6,7,3.7922523,39.36647,24.919716,30.604881,43.085178,39.36647,11.598948,13.320767,15.009139,15.595741,18.510254,24.574924,39.36647,0,True
251,2,1000010020,deuteron,1,0,132.526,48.878868,83.647141,0.36882475,3,4,1.8085415,45.946648,48.878868,83.647141,0,0,22.441031,26.43784,37.700497,45.946648,0,0,0,0,True
252,1,2212,proton,0,0,9.1688957,9.1688957,0,1,0,1,0,9.1688957,9.1688957,0,0,0,9.1688957,0,0,0,0,0,0,0,True
253,1,2212,proton,0,0,113.15898,22.266937,90.892044,0.19677569,7,8,3.9557245,19.931395,22.266937,24.676746,28.814266,37.401024,10.818334,11.448603,12.185061,12.491687,14.076917,14.73735,17.469631,19.931395,True
260,1,2212,proton,0,0,128.68526,28.241077,100.44418,0.21945854,5,6,3.1381636,39.405792,28.241077,35.478485,64.965691,0,13.27302,14.968057,16.836674,18.641813,25.5599,39.405792,0,0,True
264,2,1000010020,deuteron,1,0,132.412,50.747002,81.664993,0.38325077,3,4,1.7711598,43.312229,50.747002,81.664993,0,0,22.866411,27.88059,38.352768,43.312229,0,0,0,0,True
267,2,1000010020,deuteron,1,0,57.855743,57.855743,0,1,0,1,0,57.855743,57.855743,0,0,0,57.855743,0,0,0,0,0,0,0,True
273,1,2212,proton,0,0,121.4765,22.771511,98.704994,0.1874561,7,8,4.0859733,24.487906,22.771511,25.545403,29.438507,43.721085,10.642359,12.129152,12.081074,13.464329,14.341474,15.097034,19.233179,24.487906,True
283,1,2212,proton,0,0,146.23091,24.525829,121.70508,0.16771987,7,8,4.143014,32.335869,24.525829,29.207867,39.147633,53.349579,11.440479,13.085349,13.829397,15.378469,17.892237,21.255396,32.335869,21.013712,True
285,2,1000010020,deuteron,1,0,24.193737,24.193737,0,1,0,1,0,24.193737,24.193737,0,0,0,24.193737,0,0,0,0,0,0,0,True
286,2,1000010020,deuteron,1,0,71.412338,71.412338,0,1,1,2,0.31731734,48.751965,71.412338,0,0,0,48.751965,22.660374,0,0,0,0,0,0,True
289,2,1000010020,deuteron,1,0,123.28114,53.444012,69.837135,0.43351328,3,4,1.5445042,48.789783,53.444012,69.837135,0,0,23.757395,29.686617,48.789783,21.047352,0,0,0,0,True
291,1,2212,proton,0,0,132.04431,27.155388,104.88892,0.20565359,6,7,3.458817,34.835938,27.155388,31.888908,55.586639,17.413374,12.820419,14.334969,14.947299,16.941608,20.7507,34.835938,17.413374,0,True
299,2,1000010020,deuteron,1,0,126.5908,52.958321,73.632477,0.41834259,3,4,1.6207715,44.68008,52.958321,73.632477,0,0,24.000927,28.957392,44.68008,28.9524,0,0,0,0,True
303,1,2212,proton,0,0,46.82243,46.82243,0,1,0,1,0,46.82243,46.82243,0,0,0,46.82243,0,0,0,0,0,0,0,True
312,1,2212,proton,0,0,60.655388,60.655388,0,1,1,2,0.54369271,32.977894,60.655388,0,0,0,27.677492,32.977894,0,0,0,0,0,0,True
331,2,1000010020,deuteron,1,0,59.983677,59.983677,0,1,0,1,0,59.983677,59.983677,0,0,0,59.983677,0,0,0,0,0,0,0,True
340,1,2212,proton,0,0,48.359455,48.359455,0,1,1,2,0.11186954,42.949505,48.359455,0,0,0,42.949505,5.4099503,0,0,0,0,0,0,True
344,1,2212,proton,0,0,147.15785,24.300404,122.85745,0.16513154,7,8,4.2496738,29.406849,24.300404,28.477633,36.895531,57.484283,11.335944,12.96446,13.801548,14.676085,16.683788,20.211744,29.406849,28.077435,True
358,2,1000010020,deuteron,1,0,39.08144,39.08144,0,1,0,1,0,39.08144,39.08144,0,0,0,39.08144,0,0,0,0,0,0,0,True
364,2,1000010020,deuteron,1,0,9.0414152,9.0414152,0,1,0,1,0,9.0414152,9.0414152,0,0,0,9.0414152,0,0,0,0,0,0,0,True
365,1,2212,proton,0,0,23.978031,23.978031,0,1,1,2,0.50461203,12.099603,23.978031,0,0,0,11.878428,12.099603,0,0,0,0,0,0,True
368,1,2212,proton,0,0,129.34061,27.735367,101.60524,0.21443665,5,6,3.2001557,43.334766,27.735367,34.013981,67.591263,0,13.507904,14.227464,16.059118,17.954863,24.256495,43.334766,0,0,True
369,1,2212,proton,0,0,145.94083,23.78886,122.15198,0.16300346,7,8,4.2087097,30.677214,23.78886,28.943718,38.045738,55.162521,11.238528,12.550333,13.708001,15.235716,17.13998,20.905756,30.677214,24.485306,True
375,1,2212,proton,0,0,132.22073,26.747978,105.47275,0.20229791,6,7,3.3628061,41.761803,26.747978,33.532967,63.812038,8.1277485,12.494096,14.253883,15.996507,17.536461,22.050236,41.761803,8.1277485,0,True
376,1,2212,proton,0,0,128.67068,27.15929,101.51141,0.21107598,5,6,3.2142131,43.530491,27.15929,34.292114,67.219292,0,13.235032,13.924259,15.633241,18.658873,23.688801,43.530491,0,0,True
379,2,1000010020,deuteron,1,0,130.53407,49.739296,80.794785,0.38104454,3,4,1.7653762,41.713261,49.739296,80.794785,0,0,22.600382,27.138912,39.08152,41.713261,0,0,0,0,True
384,2,1000010020,deuteron,1,0,37.262207,37.262207,0,1,1,2,0.37852457,23.157545,37.262207,0,0,0,23.157545,14.104661,0,0,0,0,0,0,True
390,2,1000010020,deuteron,1,0,25.463207,25.463207,0,1,1,2,0.023523729,24.864218,25.463207,0,0,0,24.864218,0.59898961,0,0,0,0,0,0,True
398,2,1000010020,deuteron,1,0,69.60006,69.60006,0,1,1,2,0.28150693,50.00716,69.60006,0,0,0,50.00716,19.592899,0,0,0,0,0,0,True
411,1,2212,proton,0,0,126.20793,26.959354,99.248581,0.21361062,5,6,3.1534202,38.245914,26.959354,35.240101,64.008476,0,13.074827,13.884527,15.89803,19.342072,25.76256,38.245914,0,0,True
412,2,1000010020,deuteron,1,0,59.705959,59.705959,0,1,1,2,0.32195592,40.483273,59.705959,0,0,0,40.483273,19.222687,0,0,0,0,0,0,True
412,1,2212,proton,0,0,43.764023,43.764023,0,1,0,1,0,43.764023,43.764023,0,0,0,43.764023,0,0,0,0,0,0,0,True
415,1,2212,proton,0,0,137.64828,26.094673,111.55361,0.189575,6,7,3.7104919,35.149727,26.094673,30.942434,45.461449,35.149727,11.967326,14.127347,14.939955,16.00248,19.47743,25.984018,35.149727,0,True
418,2,1000010020,deuteron,1,0,61.971806,61.971806,0,1,0,1,0,61.971806,61.971806,0,0,0,61.971806,0,0,0,0,0,0,0,True
426,1,2212,proton,0,0,125.40107,27.050999,98.350067,0.21571586,5,6,3.1494954,38.31237,27.050999,34.67984,63.670227,0,12.931809,14.119188,16.201912,18.477928,25.357859,38.31237,0,0,True
429,1,2212,proton,0,0,117.59412,21.628731,95.965385,0.18392698,7,8,4.0390701,21.620806,21.628731,25.521549,30.393482,40.050354,10.023859,11.604873,12.630932,12.890616,14.458054,15.935429,18.42955,21.620806,True
434,1,2212,proton,0,0,138.8652,25.501816,113.36337,0.18364438,6,7,3.7468565,36.706036,25.501816,30.80743,45.849915,36.706036,12.70335,12.798467,14.574767,16.232664,19.82382,26.026093,36.706036,0,True
436,2,1000010020,deuteron,1,0,74.392731,48.825912,25.566816,0.65632641,2,3,1.043004,26.45829,48.825912,25.566816,0,0,22.36762,26.45829,25.566816,0,0,0,0,0,True
437,2,1000010020,deuteron,1,0,134.64885,49.006973,85.641876,0.36396131,3,4,1.8345814,49.196716,49.006973,85.641876,0,0,22.463167,26.543808,36.445156,49.196716,0,0,0,0,True
444,2,1000010020,deuteron,1,0,72.010651,72.010651,0,1,1,2,0.36596242,45.657459,72.010651,0,0,0,45.657459,26.353191,0,0,0,0,0,0,True
444,1,2212,proton,0,0,51.335636,51.335636,0,1,1,2,0.30171904,35.846699,51.335636,0,0,0,35.846699,15.488938,0,0,0,0,0,0,True
447,2,1000010020,deuteron,1,0,129.66916,50.80035,78.868813,0.39176896,3,4,1.7302814,39.63982,50.80035,78.868813,0,0,23.402838,27.397512,39.63982,39.228992,0,0,0,0,True
450,2,1000010020,deuteron,1,0,68.524574,68.524574,0,1,1,2,0.21534099,53.768425,68.524574,0,0,0,53.768425,14.756149,0,0,0,0,0,0,True
451,2,1000010020,deuteron,1,0,128.81746,50.326591,78.490875,0.39068145,3,4,1.7299564,40.362366,50.326591,78.490875,0,0,22.588253,27.73834,40.362366,38.128506,0,0,0,0,True
453,2,1000010020,deuteron,1,0,132.30154,48.782013,83.519531,0.36871839,3,4,1.8101257,45.898354,48.782013,83.519531,0,0,22.237019,26.544994,37.621178,45.898354,0,0,0,0,True
457,2,1000010020,deuteron,1,0,120.57703,54.459908,66.117119,0.45166072,3,4,1.3997985,60.196114,54.459908,66.117119,0,0,23.831614,30.628296,60.196114,5.9210057,0,0,0,0,True
461,2,1000010020,deuteron,1,0,123.6661,52.828598,70.837494,0.42718738,3,4,1.5752722,47.064068,52.828598,70.837494,0,0,23.469257,29.359341,47.064068,23.77343,0,0,0,0,True
466,2,1000010020,deuteron,1,0,69.414223,69.414223,0,1,1,2,0.26796442,50.813679,69.414223,0,0,0,50.813679,18.600542,0,0,0,0,0,0,True
475,2,1000010020,deuteron,1,0,66.187912,66.187912,0,1,1,2,0.058609392,62.308681,66.187912,0,0,0,62.308681,3.8792334,0,0,0,0,0,0,True
475,1,2212,proton,0,0,56.055809,56.055809,0,1,1,2,0.44926086,30.872126,56.055809,0,0,0,30.872126,25.183681,0,0,0,0,0,0,True
479,2,1000010020,deuteron,1,0,67.65937,67.65937,0,1,1,2,0.17740311,55.656391,67.65937,0,0,0,55.656391,12.002982,0,0,0,0,0,0,True
483,1,2212,proton,0,0,128.93109,26.567608,102.36347,0.20606051,5,6,3.2430871,44.761559,26.567608,34.235039,68.128433,0,12.416302,14.151306,15.996945,18.238094,23.366877,44.761559,0,0,True
484,1,2212,proton,0,0,133.96315,26.953915,107.00923,0.20120394,6,7,3.5216579,32.412548,26.953915,31.634428,53.488358,21.886448,13.208435,13.745481,14.561014,17.073414,21.075808,32.412548,21.886448,0,True
488,1,2212,proton,0,0,144.24249,25.054699,119.18779,0.17369846,7,8,4.0682955,36.545918,25.054699,28.435585,39.671787,51.080418,11.715324,13.339375,13.542109,14.893475,17.658888,22.012899,36.545918,14.5345,True
495,1,2212,proton,0,0,137.8737,26.143402,111.7303,0.18961848,6,7,3.6706328,32.844433,26.143402,31.988554,46.897312,32.844433,12.730293,13.41311,15.149561,16.838993,19.698614,27.198698,32.844433,0,True
503,1,2212,proton,0,0,58.096912,58.096912,0,1,1,2,0.51186442,29.737741,58.096912,0,0,0,28.359171,29.737741,0,0,0,0,0,0,True
504,1,2212,proton,0,0,130.73718,28.621372,102.11582,0.21892297,5,6,3.1849852,43.822121,28.621372,34.842033,67.273788,0,13.473779,15.147594,16.19499,18.647045,23.451668,43.822121,0,0,True
505,1,2212,proton,0,0,1.5443512,1.5443512,0,1,0,1,0,1.5443512,1.5443512,0,0,0,1.5443512,0,0,0,0,0,0,0,True
506,2,1000010020,deuteron,1,0,13.321171,13.321171,0,1,0,1,0,13.321171,13.321171,0,0,0,13.321171,0,0,0,0,0,0,0,True
508,2,1000010020,deuteron,1,0,84.622894,84.622894,0,1,1,2,0.59561616,50.402763,84.622894,0,0,0,34.220131,50.402763,0,0,0,0,0,0,True
529,2,1000010020,deuteron,1,0,73.255806,73.255806,0,1,1,2,0.38001657,45.417385,73.255806,0,0,0,45.417385,27.838419,0,0,0,0,0,0,True
530,2,1000010020,deuteron,1,0,71.305412,71.305412,0,1,1,2,0.34030733,47.039658,71.305412,0,0,0,47.039658,24.265755,0,0,0,0,0,0,True
532,2,1000010020,deuteron,1,0,77.36898,77.36898,0,1,1,2,0.47560713,40.571743,77.36898,0,0,0,40.571743,36.797237,0,0,0,0,0,0,True
534,2,1000010020,deuteron,1,0,3.5005932,3.5005932,0,1,0,1,0,3.5005932,3.5005932,0,0,0,3.5005932,0,0,0,0,0,0,0,True
537,1,2212,proton,0,0,33.313747,22.541128,10.772619,0.67663139,2,3,0.99305224,11.537054,22.541128,10.772619,0,0,11.004074,11.537054,10.772619,0,0,0,0,0,True
549,1,2212,proton,0,0,123.15944,22.614151,100.54529,0.18361688,7,8,4.1213398,25.54327,22.614151,25.301926,30.318558,44.924797,10.844967,11.769184,12.299523,13.002402,14.478334,15.840224,19.381527,25.54327,True
555,1,2212,proton,0,0,48.946228,48.946228,0,1,1,2,0.054695703,46.269081,48.946228,0,0,0,46.269081,2.6771483,0,0,0,0,0,0,True
563,1,2212,proton,0,0,42.81506,28.346642,14.468418,0.66207176,2,3,1.0164115,14.580885,28.346642,14.468418,0,0,13.765758,14.580885,14.468418,0,0,0,0,0,True
564,1,2212,proton,0,0,145.63031,24.605917,121.0244,0.16896151,7,8,4.1429358,33.33271,24.605917,29.217186,38.105392,53.701817,11.467982,13.137935,13.697215,15.519971,16.862204,21.243189,33.33271,20.369106,True
565,2,1000010020,deuteron,1,0,67.162933,67.162933,0,1,1,2,0.19905521,53.793804,67.162933,0,0,0,53.793804,13.369132,0,0,0,0,0,0,True
565,1,2212,proton,0,0,62.515961,62.515961,0,1,1,2,0.58379745,36.496658,62.515961,0,0,0,26.0193,36.496658,0,0,0,0,0,0,True
567,2,1000010020,deuteron,1,0,62.137444,62.137444,0,1,0,1,0,62.137444,62.137444,0,0,0,62.137444,0,0,0,0,0,0,0,True
568,1,2212,proton,0,0,141.82162,24.4077,117.41393,0.17210139,6,7,3.9069188,46.884293,24.4077,29.639503,40.890133,46.884293,11.921668,12.486032,14.39619,15.243315,18.679218,22.210915,46.884293,0,True
579,1,2212,proton,0,0,75.218857,39.914215,35.304646,0.53064108,2,3,1.2333391,35.304646,39.914215,35.304646,0,0,17.753149,22.161064,35.304646,0,0,0,0,0,True
594,1,2212,proton,0,0,145.27635,23.664104,121.61225,0.16289027,7,8,4.2531805,29.584341,23.664104,28.260281,36.646954,56.705017,11.590454,12.073651,12.970198,15.290084,16.58326,20.063694,29.584341,27.120676,True
597,1,2212,proton,0,0,129.94952,23.420242,106.52928,0.18022569,7,8,4.1748252,28.604017,23.420242,26.111668,31.603849,48.813763,11.382078,12.038165,12.626541,13.485127,14.735909,16.867941,20.209745,28.604017,True
605,2,1000010020,deuteron,1,0,75.55069,75.55069,0,1,1,2,0.44288382,42.090515,75.55069,0,0,0,42.090515,33.460178,0,0,0,0,0,0,True
609,2,1000010020,deuteron,1,0,66.313156,66.313156,0,1,0,1,0,66.313156,66.313156,0,0,0,66.313156,0,0,0,0,0,0,0,True
614,2,1000010020,deuteron,1,0,35.913464,35.913464,0,1,0,1,0,35.913464,35.913464,0,0,0,35.913464,0,0,0,0,0,0,0,True
614,1,2212,proton,0,0,92.882973,26.541565,66.341408,0.28575274,5,6,2.6486223,21.016111,26.541565,31.922756,34.418652,0,12.425505,14.116059,14.949567,16.97319,21.016111,13.40254,0,0,True
617,1,2212,proton,0,0,66.495186,33.254704,33.240482,0.50010693,3,4,1.4274522,22.624292,33.254704,33.240482,0,0,15.433157,17.821547,22.624292,10.616189,0,0,0,0,True
621,2,1000010020,deuteron,1,0,127.00814,51.472984,75.535156,0.40527311,3,4,1.6715411,42.810287,51.472984,75.535156,0,0,22.968834,28.504152,42.810287,32.724869,0,0,0,0,True
627,1,2212,proton,0,0,145.41168,24.414001,120.9977,0.16789573,7,8,4.1953478,31.347281,24.414001,27.977055,37.720383,55.300255,12.17403,12.239972,13.662457,14.314599,16.812439,20.907946,31.347281,23.952972,True
631,1,2212,proton,0,0,144.08923,24.842655,119.24659,0.17241161,7,8,4.0797052,36.324741,24.842655,28.496235,39.270229,51.480129,12.113007,12.729648,13.15983,15.336404,17.604244,21.665985,36.324741,15.155388,True
641,2,1000010020,deuteron,1,0,87.867645,87.867645,0,1,1,2,0.61476636,54.018074,87.867645,0,0,0,33.849575,54.018074,0,0,0,0,0,0,True
641,1,2212,proton,0,0,59.555016,59.555016,0,1,1,2,0.50453538,30.047613,59.555016,0,0,0,29.507401,30.047613,0,0,0,0,0,0,True
646,1,2212,proton,0,0,130.31157,26.836884,103.47469,0.20594399,5,6,3.2673063,47.17326,26.836884,33.894398,69.580284,0,12.502717,14.334167,15.743939,18.150459,22.407026,47.17326,0,0,True
647,1,2212,proton,0,0,43.607761,43.607761,0,1,0,1,0,43.607761,43.607761,0,0,0,43.607761,0,0,0,0,0,0,0,True
651,2,1000010020,deuteron,1,0,58.228611,58.228611,0,1,0,1,0,58.228611,58.228611,0,0,0,58.228611,0,0,0,0,0,0,0,True
652,1,2212,proton,0,0,122.77777,22.038233,100.73954,0.17949693,7,8,4.1151471,24.595701,22.038233,25.30418,32.076668,43.358688,10.653871,11.384362,12.146152,13.15803,15.033366,17.043301,18.762989,24.595701,True
671,2,1000010020,deuteron,1,0,129.75005,50.598618,79.151428,0.38996994,3,4,1.7319772,40.363445,50.598618,79.151428,0,0,22.965349,27.633268,40.363445,38.787983,0,0,0,0,True
678,2,1000010020,deuteron,1,0,89.332283,89.332283,0,1,1,2,0.63137102,56.401814,89.332283,0,0,0,32.93047,56.401814,0,0,0,0,0,0,True
678,1,2212,proton,0,0,57.056732,57.056732,0,1,1,2,0.49680123,28.71088,57.056732,0,0,0,28.71088,28.345854,0,0,0,0,0,0,True
679,2,1000010020,deuteron,1,0,81.523453,81.523453,0,1,1,2,0.53795189,43.855698,81.523453,0,0,0,37.667759,43.855698,0,0,0,0,0,0,True
679,1,2212,proton,0,0,40.680477,40.680477,0,1,0,1,0,40.680477,40.680477,0,0,0,40.680477,0,0,0,0,0,0,0,True
695,1,2212,proton,0,0,119.79938,22.157957,97.641411,0.18495886,7,8,4.0941582,24.475382,22.157957,24.686951,29.949406,43.005058,11.285687,10.87227,12.380144,12.306808,14.328166,15.62124,18.529676,24.475382,True
701,1,2212,proton,0,0,138.64847,25.279644,113.36882,0.18232906,6,7,3.7532952,36.747726,25.279644,31.187462,45.43364,36.747726,12.0857,13.193945,14.45811,16.729353,19.564142,25.869495,36.747726,0,True
706,2,1000010020,deuteron,1,0,84.781052,84.781052,0,1,1,2,0.57804132,49.00695,84.781052,0,0,0,35.774097,49.00695,0,0,0,0,0,0,True
706,1,2212,proton,0,0,87.425964,43.302437,44.123524,0.49530408,2,3,1.2868309,44.123524,43.302437,44.123524,0,0,19.047052,24.255386,44.123524,0,0,0,0,0,True
711,2,1000010020,deuteron,1,0,77.470779,77.470779,0,1,1,2,0.47331545,40.802658,77.470779,0,0,0,40.802658,36.668118,0,0,0,0,0,0,True
712,1,2212,proton,0,0,8.3168039,8.3168039,0,1,0,1,0,8.3168039,8.3168039,0,0,0,8.3168039,0,0,0,0,0,0,0,True
715,1,2212,proton,0,0,126.17642,27.725159,98.451263,0.21973328,5,6,3.1261563,37.016026,27.725159,35.317791,63.133469,0,12.873576,14.851583,15.907615,19.410175,26.117441,37.016026,0,0,True
718,1,2212,proton,0,0,144.24115,24.790066,119.4511,0.17186542,7,8,4.0724158,36.055573,24.790066,28.989677,39.296227,51.165195,11.678952,13.111115,13.486957,15.502721,17.765228,21.530998,36.055573,15.109623,True
734,2,1000010020,deuteron,1,0,80.375107,80.375107,0,1,1,2,0.53105652,42.683723,80.375107,0,0,0,37.69138,42.683723,0,0,0,0,0,0,True
742,1,2212,proton,0,0,135.56081,25.716089,109.84472,0.18970151,6,7,3.6623886,31.059271,25.716089,31.10071,47.684738,31.059271,12.457878,13.258211,14.744728,16.355982,20.118586,27.566154,31.059271,0,True
751,2,1000010020,deuteron,1,0,77.525009,77.525009,0,1,1,2,0.47320649,40.839676,77.525009,0,0,0,40.839676,36.685337,0,0,0,0,0,0,True
751,1,2212,proton,0,0,4.8717475,4.8717475,0,1,0,1,0,4.8717475,4.8717475,0,0,0,4.8717475,0,0,0,0,0,0,0,True
