method,run,n,energy_scale_bias,energy_sigma68,energy_rms,pid_auc,pid_ap,pid_fixed_purity_eff,pileup_auc,pileup_ap,pileup_fixed_purity_eff,saturation_auc,saturation_ap,saturation_fixed_purity_eff
mlp,64,460,-0.030672943280898105,0.5665288902523797,0.5819282569772342,0.9969442322383499,0.9928337162365463,0.9747899159663865,1.0,0.9999999999999999,1.0,0.9999279953917051,0.9998048822787915,1.0
mlp,65,450,-0.033802087041113094,0.5510721957399163,0.6080627976428505,0.9836309523809523,0.9691939652675186,0.8947368421052632,1.0,0.9999999999999999,1.0,0.9999221284879948,0.9997789240972734,1.0
pedestal_residual_fusion_new,42,460,-0.030653838490612095,0.8629247608860711,0.9047607897902121,0.927862959112959,0.9165632591012796,0.7905405405405406,0.9311023622047244,0.9039512279918849,0.7755905511811023,0.6605801860974274,0.5696228545601689,0.22758620689655173
pedestal_residual_fusion_new,50,460,0.026000951927107607,0.9452584733981142,0.9838201052746405,0.8973888888888889,0.8608244561541128,0.72,0.9656548463356974,0.9523006981914774,0.9446808510638298,0.74285771446863,0.7371349157018222,0.4318181818181818
pedestal_residual_fusion_new,57,460,-0.07719807642555399,0.8876833507324281,0.928747194114906,0.9192688172043011,0.9167579636632177,0.8,0.9381009273482391,0.9139822780055996,0.7695473251028807,0.6402401477832513,0.4107984978518438,0.09821428571428571
pedestal_residual_fusion_new,58,459,-0.0899706077051805,0.8619528907467328,0.9270045604310618,0.9153846153846154,0.8847529250789633,0.7578947368421053,0.900480584390619,0.844748915166895,0.4117647058823529,0.5970424671385237,0.3450534481703895,0.02608695652173913
pedestal_residual_fusion_new,60,460,-0.18066012836912826,0.8168499854608822,0.8101240746491728,0.9771397849462365,0.9717425941425438,0.9133333333333333,0.8435562357742721,0.8721846625798307,0.5875912408759124,0.5128925735965714,0.30099325833377744,0.015503875968992248
pedestal_residual_fusion_new,62,460,-0.25435437364254887,0.7908955595032436,0.8441667765835337,0.9790800415800416,0.9728607106268317,0.9256756756756757,0.8465522513569299,0.8271452083939497,0.5669291338582677,0.5831793924466339,0.31100345684369357,0.008928571428571428
pedestal_residual_fusion_new,64,460,-0.10867162797159402,0.7733242525941884,0.7988945907370355,0.9809753813548879,0.9688701194933895,0.907563025210084,0.8736010284331519,0.8744261465977061,0.5905172413793104,0.5694124423963134,0.332092435834599,0.008064516129032258
pedestal_residual_fusion_new,65,450,-0.18331491601931482,0.8007686251709466,0.8560385535909151,0.9286236424394319,0.9112291134188966,0.8245614035087719,0.8520207295516632,0.823401487369326,0.5663265306122449,0.5421155094094743,0.2880766687548223,0.0
ridge,42,460,-0.025225649275974593,0.5957491556783853,0.6605341629381835,0.9555613305613305,0.9446592935895107,0.8445945945945946,0.9967892362969192,0.9957811857775603,1.0,0.9975478927203065,0.9917275874190168,1.0
ridge,50,460,-0.0011053095771802468,0.6417557050922218,0.6954701280253841,0.9511111111111111,0.9085292312517167,0.78,1.0,1.0,1.0,0.9986395646606915,0.9979587297820218,0.9943181818181818
ridge,57,460,-0.03748250132294206,0.5967878264130486,0.7399293109723519,0.9511827956989247,0.9385089033915281,0.8466666666666667,1.0,1.0,1.0,0.9990250410509032,0.9971955587688393,0.9910714285714286
ridge,58,459,-0.057430653409089594,0.6461447512591517,0.7355397824030189,0.9322440717177559,0.9015427241616402,0.7789473684210526,1.0,1.0,1.0,0.9992922143579372,0.997791186185496,1.0
ridge,60,460,-0.07471054849138081,0.5623511387232573,0.6337738662989578,0.9811182795698925,0.9745921468598929,0.9333333333333333,1.0,1.0,1.0,0.9996721234689336,0.9991524515156519,1.0
ridge,62,460,-0.12970875126337678,0.6442349640113658,0.6923907797694966,0.989648302148302,0.9840525823169068,0.9527027027027027,1.0,1.0,1.0,0.9997947454844006,0.9993473984384539,1.0
ridge,64,460,-0.08883287974258058,0.6499198647140123,0.6738609302643896,0.9909312698686513,0.9810804137419877,0.9411764705882353,1.0,0.9999999999999999,1.0,0.9997119815668203,0.9992359349795701,1.0
ridge,65,450,-0.056656234445136455,0.6147269566248585,0.6721190754594198,0.9624321219715956,0.9419909226557546,0.8245614035087719,1.0,0.9999999999999999,1.0,0.9980532121998702,0.9918892800561343,1.0
traditional_state_space_gls,42,460,0.19161374602445314,1.6515717915093295,1.7401299630661076,0.17011001386001384,0.20453202166434667,0.0,0.12042275055423894,0.37258729532014534,0.0,1.0,1.0,1.0
traditional_state_space_gls,50,460,0.48986578510394496,1.2864813828768509,1.534645530413334,0.2396388888888889,0.15792632294827286,0.0,0.07288888888888892,0.32939479933146965,0.0,0.9999999999999999,1.0000000000000004,1.0
traditional_state_space_gls,57,460,0.2331726245758423,1.6322165917077907,1.6730476359011595,0.1620430107526882,0.20661461715642132,0.0,0.14454495458079689,0.35896125134751133,0.0,1.0,0.9999999999999999,1.0
traditional_state_space_gls,58,459,0.569475415321655,1.2902988204557753,1.597231941716852,0.18062463851937535,0.13815671893460302,0.0,0.10793925413302577,0.28230000499103836,0.0,1.0,0.9999999999999997,1.0
traditional_state_space_gls,60,460,0.46413665709633234,2.0974389490450207,1.9321523422298024,0.07916129032258065,0.2105813495732582,0.006666666666666667,0.206341731418256,0.43079622361972775,0.0,1.0,1.0,1.0
traditional_state_space_gls,62,460,0.3308669583490049,1.9362795840796923,1.8245955604310544,0.09719334719334718,0.2159855332714375,0.02027027027027027,0.23279948016206714,0.39882224836496016,0.0,1.0,0.9999999999999999,1.0
traditional_state_space_gls,64,460,0.523046174277678,1.881429026080665,1.7678671319194128,0.10798688977057098,0.1623945575025701,0.0,0.13469827586206895,0.3333120990140416,0.0,1.0,1.0,1.0
traditional_state_space_gls,65,450,0.3683292821993769,1.4489976309682608,1.6129770869756932,0.15925229741019215,0.1804244078214806,0.0,0.16021211634260002,0.28452561251480535,0.0,1.0,1.0,1.0
waveform_transformer,42,460,0.03480214745387222,1.8677337915941012,1.889675030459945,0.8537335412335413,0.825584109455046,0.5472972972972973,0.9437160767525419,0.9234361608117729,0.8740157480314961,0.5439299397920087,0.33649176839596406,0.006896551724137931
waveform_transformer,50,460,0.45080091159836,1.2706307846882834,1.6350011747635822,0.8005833333333332,0.7108161660045095,0.47,0.9748463356973995,0.9714917072166264,0.948936170212766,0.5980113636363636,0.40594766059746523,0.0
waveform_transformer,57,460,0.07586724445456516,1.9117192037682857,1.9632181067118826,0.85247311827957,0.8351590206469829,0.6266666666666667,0.955585898238228,0.9449344901232019,0.8930041152263375,0.5835129310344827,0.29228590563310375,0.008928571428571428
waveform_transformer,58,459,0.4711542550680079,1.518185224049195,1.8199129163933767,0.8372469635627532,0.7859826412017352,0.631578947368421,0.9349096501345636,0.9003016331627706,0.6176470588235294,0.5462841253791708,0.26990084506948325,0.0
waveform_transformer,60,460,0.4133616917214553,2.487523203608397,2.310207673766483,0.9255913978494624,0.9198327987358739,0.7933333333333333,0.8731653716348795,0.8957483222831641,0.6131386861313869,0.5666409049392257,0.30866000575747243,0.0
waveform_transformer,62,460,0.2793159504266769,2.4570604719569467,2.2242972833182906,0.9288158350658351,0.925759591359558,0.8108108108108109,0.8810870728537573,0.8671427114528196,0.6535433070866141,0.597188013136289,0.3111989828945932,0.008928571428571428
waveform_transformer,64,460,0.5479563220564794,2.187346106150271,2.114771448459505,0.9130091919465733,0.9000255974941505,0.7815126050420168,0.9118647912885661,0.9145102740954795,0.6982758620689655,0.5994623655913979,0.3350465551212398,0.008064516129032258
waveform_transformer,65,450,0.32539433611898616,1.7960872962341794,1.9046355909449395,0.8504594820384295,0.8353174569178092,0.6842105263157895,0.8978989233488671,0.8768193365719745,0.6632653061224489,0.5881116158338742,0.3241965541348899,0.008695652173913044
