method,n_pairs,median_ns,robust_width_ns,full_rms_ns,tail_fraction_abs_gt_5ns,within_abs_2ns,core_sigma_ns,core_sigma_err_ns,core_mean_ns,chi2_ndf,fit_window_ns,pool,support_fraction
traditional,82,-0.0418350163261465,1.6476514243133908,1.5035511476341732,0.0,0.8536585365853658,2.988738197117709,2.3245291912627923,-0.4563052292899123,1.119866954986594,2.5,sample_iii_early,0.6456692913385826
ridge,82,-0.026608087172041772,1.5561796611251753,1.4967166793911892,0.0,0.8170731707317073,2.197893679352913,0.8109232211202597,-0.20128373376186787,0.8999135910344964,2.5,sample_iii_early,0.6456692913385826
gradient_boosted_trees,82,-0.5986495578480637,1.4482793269187682,1.4260228496167244,0.0,0.8292682926829268,2.091555125713443,0.8023183861429554,0.05823284059472056,1.134745888436832,2.5,sample_iii_early,0.6456692913385826
mlp,82,-0.38396950857288203,1.5759378835387117,1.4126561805101452,0.0,0.8414634146341463,2.1699030538425834,0.9259104270815041,0.03391106654198245,1.243931718962089,2.5,sample_iii_early,0.6456692913385826
cnn1d,82,-0.3591214037636128,1.5249704181208175,1.4050093382270694,0.0,0.8292682926829268,5.335349205638049,13.95872055240644,-0.13753726319498646,1.3801825580730152,2.5,sample_iii_early,0.6456692913385826
leakage_gated_cnn_new,82,-0.2579291032857487,1.601871200874931,1.4026906330600803,0.0,0.8536585365853658,2.803575174844639,2.099091834652262,0.03789199746748028,1.8659470468153931,2.5,sample_iii_early,0.6456692913385826
ridge__safe_no_tail,82,-0.0947987980894589,1.553744023280649,1.5320069591968268,0.0,0.8292682926829268,2.6175653240933148,1.372928965343078,-0.49379425042156644,1.0907760175153725,2.5,sample_iii_early,0.6456692913385826
ridge__waveform_only,82,-0.7117361516462175,1.5740959461758062,1.4953603455994684,0.0,0.7926829268292683,2.0202840212768285,0.6194596315324075,0.07743409051817739,0.4224026648342711,2.5,sample_iii_early,0.6456692913385826
cnn1d__waveform_only,82,-0.35183382243712913,1.1654262642002724,1.1582193684364928,0.0,0.9146341463414634,1.453360057865028,0.31255838839812844,0.01149825089444376,1.0355959101968826,2.5,sample_iii_early,0.6456692913385826
leakage_gated_cnn_new__waveform_only,82,-0.20002436166262783,0.920167199999891,0.9964081450240527,0.0,0.926829268292683,1.174515833505769,0.22411189608152465,-0.02342140623766336,0.9329221517704958,2.5,sample_iii_early,0.6456692913385826
ridge__run_only,82,-0.665548787546558,1.6631983689332248,1.5344463444801446,0.0,0.8048780487804879,2.33749095791552,1.0005254991625068,-0.18061534771786852,1.9655007872271377,2.5,sample_iii_early,0.6456692913385826
traditional,94,-0.022275488161085377,1.5363072117330387,1.449848333729036,0.0,0.851063829787234,2.5400027599950925,1.3934804794435676,0.13003174739563533,1.0845390509921875,2.5,sample_iii_late,0.7401574803149606
ridge,94,0.38270147112810937,1.6609110018132553,1.5772795089359755,0.0,0.7659574468085106,2.2392965922666135,0.9401627488336756,-0.2655618863366823,0.8259251243119443,2.5,sample_iii_late,0.7401574803149606
gradient_boosted_trees,94,-0.5000671837382331,1.424451863095197,1.3910466371568304,0.0,0.8297872340425532,1.753147054423085,0.4405212047396696,0.12036468891755699,0.8953602441929741,2.5,sample_iii_late,0.7401574803149606
mlp,94,0.48587422018818116,1.647051981735053,1.4788571427739232,0.0,0.8297872340425532,1.9537870560775357,0.5755667242798574,-0.3112978846091354,0.7150343010048333,2.5,sample_iii_late,0.7401574803149606
cnn1d,94,0.2029896453398976,1.5688860655318342,1.5082503158368934,0.0,0.776595744680851,6.849676466590126,22.34472937482835,-3.546570554470356,1.4058573512864545,2.5,sample_iii_late,0.7401574803149606
leakage_gated_cnn_new,94,-0.4192043227678184,1.5867214668498693,1.445112262403203,0.0,0.8085106382978723,3.0183112843508058,2.1566542392687786,0.07072932827096255,1.0559124003388238,2.5,sample_iii_late,0.7401574803149606
ridge__safe_no_tail,94,0.3175416876041943,1.63390627247284,1.588169877571692,0.0,0.7659574468085106,2.2253118814093686,0.7704605445482196,0.2103615501937227,0.7608984384229152,2.5,sample_iii_late,0.7401574803149606
ridge__waveform_only,94,-0.6350196803945707,1.5702129815085488,1.446735804353027,0.0,0.7659574468085106,2.439084329040728,0.9917726836271936,0.45000679725856346,1.501123536767279,2.5,sample_iii_late,0.7401574803149606
cnn1d__waveform_only,94,-0.5413225825256944,1.4176333117283924,1.3745963766245897,0.0,0.8191489361702128,2.296635159258673,0.9571318472905329,-0.2467359951300734,1.2662422462333718,2.5,sample_iii_late,0.7401574803149606
leakage_gated_cnn_new__waveform_only,94,0.23096876350970064,1.568109750119027,1.5113303858244735,0.0,0.7978723404255319,2.603597010047956,1.4452554658891386,-0.2218848453854879,1.4547566734383142,2.5,sample_iii_late,0.7401574803149606
ridge__run_only,94,-0.4495282843362336,1.6114059280820052,1.5064766121067967,0.0,0.8085106382978723,2.039328374959502,0.6106251865531285,0.07137034310335948,2.317814961237763,2.5,sample_iii_late,0.7401574803149606
traditional,89,0.035379553577293166,1.5767558375684207,1.476435032283112,0.0,0.8426966292134831,2.006357215756395,0.6799501087752845,0.11265328936454824,0.8832088022865259,2.5,sample_iii_mixed,0.7007874015748031
ridge,89,0.08141391930620667,1.5866961453805237,1.5140322779459554,0.0,0.8089887640449438,2.582559266623418,1.3488919260082421,-0.03546761234911849,0.9307490898000655,2.5,sample_iii_mixed,0.7007874015748031
gradient_boosted_trees,89,-0.511003699595447,1.3627327137611958,1.369158498712622,0.0,0.8426966292134831,1.6233183233840618,0.3324089963254976,0.1692326396338046,0.5499439097175226,2.5,sample_iii_mixed,0.7007874015748031
mlp,89,0.04726000618349335,1.5251593665598104,1.4020457500228425,0.0,0.8426966292134831,2.04571626925127,0.8106620569405495,0.26548876265204974,0.6520968037885728,2.5,sample_iii_mixed,0.7007874015748031
cnn1d,89,-0.23165350511286675,1.4616494331365084,1.4093951159972726,0.0,0.8314606741573034,2.1383843178085233,0.8179961132449719,-0.20498864081462245,1.203808391442835,2.5,sample_iii_mixed,0.7007874015748031
leakage_gated_cnn_new,89,-0.1582491885447297,1.4999022912790991,1.4058021870296016,0.0,0.8539325842696629,2.217944503406822,1.0394098554670026,0.21389527927736535,1.3126390356354882,2.5,sample_iii_mixed,0.7007874015748031
ridge__safe_no_tail,89,0.05287396478190676,1.5923615620303133,1.5546661402426656,0.0,0.797752808988764,2.385289293456376,1.0915981665508905,-0.5528337152955449,1.1568314604298282,2.5,sample_iii_mixed,0.7007874015748031
ridge__waveform_only,89,-0.855213428787053,1.6507066816554143,1.502587917917414,0.0,0.8089887640449438,2.7898503924944746,1.8069570322671347,-0.4605580192449778,1.2703774349177182,2.5,sample_iii_mixed,0.7007874015748031
cnn1d__waveform_only,89,-0.5578428305071981,1.3382543781093514,1.315066533316672,0.0,0.8539325842696629,1.7831761451574895,0.43899133063209594,0.22045980408851412,0.8926323573068877,2.5,sample_iii_mixed,0.7007874015748031
leakage_gated_cnn_new__waveform_only,89,-0.4726303508253764,1.0870593989637702,1.146859493329209,0.0,0.898876404494382,1.5974774892114978,0.43490578065911045,-0.032920519563114925,1.4567159617745775,2.5,sample_iii_mixed,0.7007874015748031
ridge__run_only,89,-0.34945651448591786,1.6484308336900808,1.510191579690896,0.0,0.8089887640449438,2.29200537933955,0.9774475725396602,-0.052044038694225934,1.8332567681849028,2.5,sample_iii_mixed,0.7007874015748031
