sample,run,event,amp_left,amp_right,peak_left,peak_right,area_left,area_right,tail_left,tail_right,raw_residual_ns
sample_iii,31,10375,3429.5,1338.0,5.0,7.0,31550.0,9995.0,0.3548969889064976,0.2961480740370185,5.586185763731709
sample_iii,31,10605,2960.0,1614.5,6.0,7.0,23378.0,11729.0,0.3314227051073659,0.33302071787876203,2.41137453890515
sample_iii,31,10779,2605.5,1263.0,7.0,7.0,19922.0,9001.0,0.34524646119867486,0.3487390289967781,4.807256584283088
sample_iii,31,11040,2589.0,1488.0,6.0,7.0,18372.0,11315.0,0.2725887219682125,0.3589041095890411,4.186760028119799
sample_iii,31,11252,1036.5,2178.5,6.0,7.0,6941.0,15817.0,0.25342169716179225,0.36637794777770755,5.860581007347985
sample_iii,31,11280,2276.5,1341.0,6.0,7.0,15934.0,9794.0,0.28247772059746457,0.30590157239126,0.5509331857454747
sample_iii,31,11375,2159.0,1053.5,7.0,7.0,15822.0,7247.0,0.36790544811022624,0.3387608665654754,3.007394547325106
sample_iii,31,11641,3493.0,1832.5,4.0,5.0,28282.0,12764.0,0.26992433349833816,0.20283610153556877,2.182232668366872
sample_iii,31,11756,2420.0,1950.0,7.0,7.0,17722.0,14145.0,0.35278185306398824,0.38168964298338637,4.467235644979532
sample_iii,31,11973,2566.5,1600.5,6.0,7.0,19618.0,11884.0,0.3185849729839943,0.33498821945472906,2.8302238805970177
sample_iii,31,12009,2783.5,1431.0,6.0,7.0,21257.0,10896.0,0.29411487980429973,0.3404001468428781,3.4876215659396372
sample_iii,31,12100,2407.0,1107.5,6.0,7.0,18081.0,8052.0,0.33051269288203083,0.31010928961748635,0.9687710805126812
sample_iii,31,12378,3561.5,2004.0,5.0,7.0,32626.0,14741.0,0.41522098939496105,0.35960925310358866,4.519032398192387
sample_iii,31,12408,1773.0,1640.0,7.0,7.0,12919.0,11624.0,0.327966560879325,0.36846180316586374,5.912332278003923
sample_iii,31,12478,2527.5,1336.5,7.0,7.0,18693.0,10351.0,0.3277697533836195,0.3805429427108492,3.985184884523278
sample_iii,31,12513,3233.0,2041.0,6.0,7.0,27640.0,14233.0,0.4146888567293777,0.39141431883650674,5.8694258783204845
sample_iii,31,12863,2718.5,1567.0,6.0,7.0,20063.0,11218.0,0.32278323281662763,0.33767159921554646,3.3774307402214347
sample_iii,31,12993,2423.0,1144.0,7.0,7.0,18325.0,7667.0,0.36687585266030015,0.3161601669492631,4.242526453505448
sample_iii,31,12996,2892.5,2406.5,6.0,7.0,22385.0,17570.0,0.3690864418137145,0.3809334092202618,3.3903478207634805
sample_iii,31,13295,2856.0,2328.5,6.0,7.0,23175.0,17751.0,0.33091693635382957,0.3506281336262746,3.3057959671992236
sample_iii,31,13371,2664.0,1215.5,7.0,7.0,19685.0,8594.0,0.3619507239014478,0.38259250639981385,5.002563150074295
sample_iii,31,13404,3155.0,2237.5,6.0,7.0,26150.0,16321.0,0.3961759082217973,0.4138226824336744,5.420031205428295
sample_iii,31,13478,2932.0,2103.5,6.0,7.0,23603.0,15896.0,0.32220480447400757,0.3532964267740312,3.602732779951488
sample_iii,31,13659,3606.5,2094.0,5.0,7.0,32758.0,15157.0,0.39285060137981564,0.3386554067427591,4.35142295517732
sample_iii,31,13938,2505.0,1385.5,6.0,7.0,17438.0,10120.0,0.2859272852391329,0.31343873517786563,1.97434649610679
sample_iii,31,13995,1149.0,1950.5,7.0,7.0,8779.0,14172.0,0.29969244788700306,0.3595822749082698,5.682230869001298
sample_iii,31,14025,2100.0,2435.5,6.0,7.0,15499.0,17734.0,0.3166010710368411,0.35761813465659187,4.393538293670034
sample_iii,31,14190,3349.5,1836.5,5.0,7.0,29107.0,12860.0,0.3656852303569588,0.33763608087091757,5.624900588753764
sample_iii,31,14528,2301.5,1044.5,17.0,17.0,2813.0,753.0,1.0391041592605759,1.2642762284196547,4.390966148291966
sample_iii,31,14575,2852.0,1413.0,6.0,7.0,22682.0,10139.0,0.31712371043117893,0.3189663674918631,3.494492218817612
sample_iii,31,14595,3024.0,2495.5,6.0,7.0,24065.0,19296.0,0.31788905048826094,0.3558768656716418,2.8959387133200316
sample_iii,31,14651,3218.0,2362.0,9.0,7.0,27477.0,16738.0,0.41951450303890525,0.40082447126299436,5.900542954027905
sample_iii,31,14816,2228.5,1333.0,6.0,7.0,16300.0,9493.0,0.28368098159509203,0.3028547350679448,3.915689975961868
sample_iii,31,14842,3645.0,1849.0,5.0,7.0,33632.0,13812.0,0.42792578496669836,0.3912539820445989,5.638943857070167
sample_iii,31,14905,1772.0,1675.0,6.0,7.0,12913.0,12854.0,0.2999303027956323,0.3293916290648825,1.3392986775242228
sample_iii,31,15014,1157.5,1399.0,6.0,7.0,8340.0,10539.0,0.2780575539568345,0.3487996963658791,2.8209764600243012
sample_iii,31,15235,2482.0,1774.0,7.0,7.0,18203.0,12398.0,0.33417568532659453,0.36949507985158897,5.781199232018906
sample_iii,31,15316,2683.5,2652.0,6.0,6.0,20610.0,20937.0,0.3253760310528869,0.3515307828246645,1.819860006003097
sample_iii,31,15701,2621.0,1308.0,7.0,5.0,17090.0,8452.0,0.09169104739613809,0.1364174159962139,2.0503581438804126
sample_iii,31,15839,1486.0,1836.0,6.0,7.0,10982.0,13525.0,0.3122382079766891,0.33604436229205176,1.913209132931783
sample_iii,31,15943,2372.5,1537.0,4.0,5.0,12838.0,9449.0,-0.031157501168406293,0.12085935019578792,2.535368956743003
sample_iii,31,16134,2522.0,1252.0,6.0,7.0,18567.0,8857.0,0.3107125545322346,0.31184373941515187,2.3065097150930853
sample_iii,31,16168,3339.5,1346.5,6.0,8.0,29555.0,9833.0,0.4063271866012519,0.4084206244279467,7.155228342023783
sample_iii,31,16192,2152.5,2745.0,7.0,7.0,15470.0,21463.0,0.35559146735617325,0.41308298001211385,3.5365573609151966
sample_iii,31,16351,2011.0,1330.0,6.0,7.0,14274.0,9710.0,0.2566904861986829,0.3083419155509784,4.910896236223749
sample_iii,31,18,2550.5,1848.0,7.0,7.0,19017.0,13466.0,0.36709260135668087,0.39165305213129364,3.4069814051417495
sample_iii,31,250,1248.5,2728.5,7.0,7.0,9152.0,20328.0,0.3249562937062937,0.38257575757575757,4.757753635885749
sample_iii,31,297,1626.0,1195.0,4.0,5.0,2440.0,4699.0,-1.8331967213114755,-0.24579697808044265,0.7465310804006045
sample_iii,31,358,3257.0,1706.0,6.0,8.0,28066.0,12806.0,0.38626808237725363,0.3995002342651882,6.444025959994676
sample_iii,31,515,2890.5,1853.5,6.0,7.0,22704.0,13498.0,0.32452431289640593,0.3327900429693288,3.2681220446152395
sample_iii,31,716,3066.0,1976.0,8.0,6.0,25534.0,14500.0,0.26059371817968197,0.2553793103448276,3.1033468063651384
sample_iii,31,1217,2611.5,1446.5,7.0,8.0,18780.0,10784.0,0.3624600638977636,0.42563056379821956,3.7748773856141113
sample_iii,31,1429,1507.0,1842.5,3.0,4.0,-3144.0,7072.0,-9374.0,-0.2754524886877828,2.801433011959329
sample_iii,31,1584,2081.5,1804.5,5.0,5.0,12717.0,11880.0,0.1408351026185421,0.17575757575757575,1.4804349220604287
sample_iii,31,1694,1886.5,1033.5,7.0,7.0,13261.0,7274.0,0.351029334137697,0.3798460269452846,3.3856216073083587
sample_iii,31,1984,1415.5,2199.5,7.0,7.0,9932.0,17244.0,0.3013491743858236,0.42333565298074693,6.0701723313437554
sample_iii,31,2254,3417.5,1579.5,5.0,7.0,30824.0,11542.0,0.39475733194913054,0.3533183157165136,5.357056465415596
sample_iii,31,2257,2769.0,1580.5,6.0,7.0,21019.0,11165.0,0.3412150911080451,0.33685624720107477,3.5011057100265717
sample_iii,31,2376,2552.0,2399.5,4.0,5.0,17496.0,16542.0,0.1342021033379058,0.20051988876798452,2.989538043566654
sample_iii,31,2972,2332.0,1845.0,7.0,7.0,17472.0,13082.0,0.3638392857142857,0.369362482800795,4.894154507477147
sample_iii,31,3001,2333.5,1271.0,7.0,8.0,16910.0,9427.0,0.35523358959195744,0.39705102365545775,3.4005376344086073
sample_iii,31,3045,3200.5,2308.0,8.0,6.0,27361.0,17143.0,0.325243960381565,0.33185556787026776,4.928306288549134
sample_iii,31,3179,2415.0,1209.0,4.0,5.0,14099.0,7662.0,0.042981771756862186,0.15139650221874185,2.0669839652961954
sample_iii,31,3470,3406.0,1962.0,4.0,5.0,29988.0,13887.0,0.30688942243564094,0.2436811406351264,4.232622990326021
sample_iii,31,3614,2919.5,1528.5,5.0,6.0,23404.0,11060.0,0.27076568108015725,0.25867992766726944,3.8331043336929937
sample_iii,31,3857,3104.5,1650.0,9.0,7.0,25965.0,12210.0,0.38016560754862316,0.3797706797706798,3.596829894624989
sample_iii,31,4115,3578.0,1672.0,5.0,7.0,33101.0,12216.0,0.42186036675629135,0.3758185985592665,7.314738373659537
sample_iii,31,4770,2411.5,2199.0,7.0,7.0,17089.0,16549.0,0.3571888349230499,0.39978246419723246,2.5329423082891083
sample_iii,31,5212,3023.0,1509.5,5.0,6.0,24387.0,11741.0,0.24886209865912165,0.3138574227067541,5.895114749386973
sample_iii,31,5313,2362.0,2209.5,6.0,6.0,17546.0,15928.0,0.3118659523538128,0.3191863385233551,1.895986568927512
sample_iii,31,5355,2242.5,1298.5,6.0,7.0,16331.0,9802.0,0.3321290796644419,0.39665374413385024,5.705115373692756
sample_iii,31,5742,1346.0,1496.5,7.0,7.0,9676.0,11005.0,0.31572964034725093,0.38000908677873696,5.7602916613342074
sample_iii,31,6045,2121.5,1585.0,6.0,7.0,15074.0,11487.0,0.2694706116491973,0.31122138069121613,5.215286162762617
sample_iii,31,6154,2777.5,2033.5,6.0,7.0,21084.0,15773.0,0.3272623790552077,0.3966271476573892,4.212621160187226
sample_iii,31,6277,3037.0,1915.5,6.0,7.0,24802.0,13911.0,0.35747117167970327,0.3605060743296672,3.5806179758726557
sample_iii,31,6543,2207.5,2249.5,7.0,7.0,15479.0,16696.0,0.340719684734156,0.3866195495927168,1.4770303671080143
sample_iii,31,6727,1669.0,2946.0,7.0,6.0,12094.0,23629.0,0.35306763684471637,0.3941766473401329,2.382324428379519
sample_iii,31,7049,2419.0,2430.5,7.0,7.0,18019.0,18000.0,0.3507408846217881,0.3968333333333333,5.1201705721619675
sample_iii,31,7278,2561.0,1564.5,6.0,6.0,18362.0,11382.0,0.25563664088879207,0.29142505710771394,3.4069276396380914
sample_iii,31,7398,2227.5,2337.5,5.0,5.0,13734.0,16229.0,0.11933886704528907,0.20500338899500894,2.4067715867566015
sample_iii,31,7601,1755.0,1199.0,4.0,5.0,2969.0,4909.0,-1.698551700909397,-0.20065186392340598,2.069193020719741
sample_iii,31,7902,1864.5,2488.5,6.0,7.0,13209.0,20076.0,0.26444091149973503,0.36605897589161185,4.066274970622796
sample_iii,31,7946,2748.0,1281.0,7.0,7.0,20925.0,8845.0,0.3764874551971326,0.3599773883550028,4.020751497837551
sample_iii,31,8091,2616.5,1416.0,6.0,6.0,18924.0,9926.0,0.20677446628619742,0.22002820874471085,2.974020824048374
sample_iii,31,8246,2373.0,1424.5,5.0,6.0,14387.0,9392.0,0.08208799610759714,0.16514054514480409,2.1646565144189545
sample_iii,31,8342,1802.5,2358.0,6.0,7.0,13759.0,17792.0,0.3123773530053056,0.359375,4.113922910662826
sample_iii,31,8560,2237.5,1228.5,4.0,5.0,11124.0,7498.0,-0.05816253146350234,0.11229661242998133,1.727590063498866
sample_iii,31,8571,2848.0,1082.0,6.0,7.0,22476.0,8840.0,0.3424096814379783,0.40316742081447965,3.122232674819692
sample_iii,31,8682,1336.0,2466.5,6.0,6.0,10240.0,18393.0,0.28037109375,0.3444788778339586,5.445099890221137
sample_iii,31,8684,2528.0,1483.5,6.0,7.0,18369.0,11012.0,0.329794762915782,0.37404649473301854,3.8523497455594367
sample_iii,31,8976,1976.5,1218.0,6.0,7.0,14609.0,9023.0,0.32007666506947774,0.3629613210683808,4.807638116425657
sample_iii,31,9169,2849.0,1182.5,8.0,7.0,22923.0,8435.0,0.38690398289927147,0.3747480735032602,4.821255070866933
sample_iii,31,9458,1917.5,1222.5,7.0,7.0,13959.0,8930.0,0.33419299376746187,0.38331466965285554,5.873313504892451
sample_iii,31,9487,1002.5,2397.0,7.0,7.0,7218.0,17469.0,0.3369354391798282,0.41244490239853454,5.735053777598566
sample_iii,31,9537,3241.0,1642.5,6.0,7.0,27930.0,12212.0,0.38002148227712135,0.3790533901080904,4.636957011934861
sample_iii,31,9565,3272.5,1306.5,6.0,8.0,28349.0,10041.0,0.4025891565840065,0.39856587989244097,4.3616426348063655
sample_iii,31,9681,1898.5,1182.5,5.0,5.0,8556.0,7844.0,-0.11968209443665265,0.1528556858745538,1.6187773190869308
sample_iii,31,9685,2173.5,1534.5,6.0,7.0,15946.0,10745.0,0.2995108491157657,0.29120521172638436,1.9907119476268456
sample_iii,31,9761,3449.5,1806.0,5.0,7.0,30847.0,12788.0,0.39336078062696533,0.34766969033468875,4.993726905559853
sample_iii,31,9863,2657.5,1470.5,6.0,7.0,19752.0,10965.0,0.31586674767112194,0.32813497492020066,1.4665757798625947
sample_iii,31,9930,1135.5,2894.0,6.0,6.0,8437.0,23414.0,0.29489154912883725,0.33928418894678397,1.595799279993038
sample_iii,31,10065,2156.5,1540.0,7.0,7.0,15823.0,11227.0,0.35233520824116793,0.38389596508417206,5.277872349518155
sample_iii,31,10311,2297.5,1476.0,5.0,6.0,15337.0,10788.0,0.1912368781378366,0.2467556544308491,3.535027593237018
sample_iii,31,10344,1879.0,1572.0,6.0,7.0,12763.0,11599.0,0.25276188983781245,0.3392533839124062,3.897791163638768
sample_iii,31,10443,2702.0,2113.5,6.0,6.0,20131.0,15367.0,0.30217078138194825,0.33676059087655363,3.050795615275817
sample_iii,31,10843,1658.5,1713.5,6.0,7.0,12292.0,12028.0,0.33574682720468596,0.37046890588626535,6.439431513828893
sample_iii,31,10986,2556.0,1890.5,6.0,7.0,20146.0,13386.0,0.349101558622059,0.3336321529956671,3.536643388841995
sample_iii,31,11006,1914.0,1277.0,6.0,7.0,14087.0,9163.0,0.31362248881947896,0.3195460002182691,2.993348605269553
sample_iii,31,11117,3043.5,1345.5,8.0,7.0,24583.0,10286.0,0.3180653296993858,0.385475403461015,6.153014563721374
sample_iii,31,11867,2516.5,2210.0,7.0,7.0,18251.0,16131.0,0.35187113034902195,0.4138615088959147,5.986724171337123
sample_iii,31,11989,2397.0,1272.0,6.0,6.0,17802.0,10268.0,0.27856420626895856,0.3328788469029996,3.169565435316521
sample_iii,31,12018,1416.0,2498.5,6.0,6.0,10114.0,18219.0,0.27318568321139014,0.32372797628849004,1.9769477096106556
sample_iii,31,12105,2942.5,1429.5,8.0,7.0,23540.0,9932.0,0.3215802888700085,0.30396697543294404,4.023481171982464
sample_iii,31,12816,2391.0,1474.5,6.0,7.0,17113.0,10487.0,0.29895401157015133,0.3450939258129112,4.695131283325885
sample_iii,31,12847,3360.5,1905.0,5.0,6.0,29306.0,14618.0,0.3267590254555381,0.3071555616363388,4.011461695540479
sample_iii,31,12865,2248.5,1002.0,6.0,7.0,16803.0,7299.0,0.31750282687615305,0.3318262775722702,2.970493630834305
sample_iii,31,12984,3809.5,1873.5,5.0,6.0,33861.0,13298.0,0.386019314255338,0.316438562189803,4.00220263762392
sample_iii,31,13012,3412.0,1243.5,5.0,7.0,29372.0,9220.0,0.3447841481683236,0.3071583514099783,3.5432420038977384
sample_iii,31,13304,2720.0,1684.0,6.0,7.0,21224.0,12392.0,0.31228797587636636,0.3428018076178179,4.164684830293233
sample_iii,31,13320,3204.0,1633.0,8.0,6.0,27789.0,12433.0,0.33937889092806506,0.3200353896887316,2.255228603069135
sample_iii,31,13413,2920.5,1914.0,6.0,7.0,23104.0,13993.0,0.35162742382271467,0.34653040806117347,1.9880200079677763
sample_iii,31,13559,1477.5,2284.5,7.0,7.0,10822.0,16866.0,0.3552947699131399,0.3982568480967627,4.728588661037399
sample_iii,31,13766,2283.0,2070.0,6.0,7.0,16124.0,15301.0,0.28609526172165717,0.3323312201816875,2.8965410092620623
sample_iii,31,13807,2583.0,1188.0,7.0,7.0,19060.0,9148.0,0.3501573976915005,0.3991036292085702,4.095586861668778
sample_iii,31,13848,2805.5,2439.0,6.0,7.0,20601.0,17948.0,0.3172661521285374,0.3654446177847114,3.228067029608127
sample_iii,31,13939,2248.0,1915.0,7.0,7.0,16477.0,14221.0,0.3665108939734175,0.43358413613669927,6.292160466111866
sample_iii,31,14054,3841.5,2167.5,5.0,6.0,36681.0,15838.0,0.401079577983152,0.30976133350170476,5.324163349550343
sample_iii,31,14144,2372.5,1348.0,7.0,7.0,17120.0,10532.0,0.3407710280373832,0.40429168249145464,4.299760840178855
sample_iii,31,14219,2476.0,1439.5,4.0,5.0,14637.0,8781.0,0.01127280180364829,0.12048741601184375,2.675675078994935
sample_iii,31,14496,3921.5,2000.0,5.0,7.0,35824.0,14852.0,0.3917764627065654,0.3298545650417452,5.684468504331061
sample_iii,31,14505,1505.5,1563.0,3.0,4.0,-2443.0,4730.0,-8904.0,-0.5526427061310782,2.035853179928985
sample_iii,31,14510,3182.0,1744.5,6.0,8.0,27016.0,12884.0,0.3934335208765176,0.40693883886991616,6.178313807179784
sample_iii,31,15014,3469.0,2130.5,5.0,7.0,31550.0,15583.0,0.41160063391442153,0.3756657896425592,5.9345584788509385
sample_iii,31,15108,1286.0,2360.5,7.0,7.0,8839.0,16776.0,0.31813553569408304,0.38668335717691943,4.805463137084715
sample_iii,31,15119,1379.0,1050.0,4.0,5.0,-3298.0,3243.0,-7866.0,-0.5396238051187172,1.6038624044621024
sample_iii,31,15122,3174.0,2787.0,8.0,6.0,27457.0,21552.0,0.28597443274938994,0.3108296213808463,6.571124044597152
sample_iii,31,15522,1177.0,1799.0,5.0,5.0,5466.0,12236.0,-0.09787778997438712,0.18649885583524028,2.5663740382718494
sample_iii,31,15735,2375.0,1014.0,6.0,7.0,17057.0,7689.0,0.2972386703406226,0.35089088307972427,3.2847163972401745
sample_iii,31,15765,1078.0,2775.0,7.0,7.0,7721.0,21597.0,0.3590208522212149,0.43256007778858174,2.577807250221042
sample_iii,31,15805,1894.0,1996.0,5.0,6.0,11666.0,14517.0,0.11666380936053489,0.22091341186195496,1.5799721395136999
sample_iii,31,15813,3180.0,1866.5,8.0,6.0,27288.0,14151.0,0.3535986514218704,0.33608932230937744,2.3087926297074546
sample_iii,31,15866,1905.0,2355.5,6.0,6.0,13227.0,17483.0,0.24177818099342255,0.32299948521420807,4.201047623475443
sample_iii,31,15908,1304.0,1070.5,7.0,7.0,9681.0,8028.0,0.3604999483524429,0.40072247135027406,4.1957406785354365
sample_iii,31,15941,2275.0,1895.5,6.0,7.0,17174.0,13979.0,0.34330965412833353,0.38457686529794693,5.800990228867477
sample_iii,31,15991,3818.5,1570.5,5.0,7.0,33894.0,11291.0,0.4122853602407506,0.3452307147285449,4.277738816047396
sample_iii,31,16040,3168.5,1196.0,5.0,6.0,27520.0,9076.0,0.3283793604651163,0.32822829440282064,5.297429950030779
sample_iii,31,16067,1373.0,2612.5,7.0,7.0,10277.0,19998.0,0.29240050598423667,0.3544354435443544,3.045064141818578
sample_iii,31,16205,2908.0,2383.5,5.0,7.0,22399.0,18361.0,0.27411938032947897,0.35025325418005554,4.744550663074591
sample_iii,31,16266,3022.5,1353.5,4.0,6.0,24301.0,9830.0,0.22546397267602156,0.23550356052899288,3.3537405857740588
sample_iii,31,25,1545.5,1521.5,6.0,6.0,10810.0,11280.0,0.25605920444033303,0.33794326241134753,3.6918470418470406
sample_iii,31,78,1336.5,1973.5,5.0,5.0,6050.0,13055.0,-0.13090909090909092,0.1769436997319035,2.999727970112982
sample_iii,31,93,2719.5,1482.0,6.0,6.0,20891.0,10289.0,0.3035757024556029,0.2770920400427641,3.455660108354717
sample_iii,31,183,1125.0,2745.5,7.0,6.0,7947.0,20794.0,0.26890650559959733,0.3587573338463018,4.184603039010128
sample_iii,31,337,1868.5,1594.0,7.0,7.0,13712.0,11286.0,0.3283255542590432,0.34972532340953394,5.418506787330315
sample_iii,31,374,1662.0,1135.0,6.0,6.0,11459.0,8409.0,0.24277860197224888,0.31133309549292426,3.1960132077779164
sample_iii,31,443,3354.5,1420.5,6.0,7.0,30153.0,10878.0,0.43023911385268465,0.41395477109762824,6.144012475754117
sample_iii,31,635,2027.0,2271.0,6.0,7.0,14564.0,17091.0,0.30904971161768746,0.3636416827570066,2.6470874500148014
sample_iii,31,640,2661.0,2114.0,7.0,7.0,19870.0,15771.0,0.3574735782586814,0.3932534398579672,2.9287753268789274
sample_iii,31,883,2226.0,2002.0,6.0,7.0,16061.0,15625.0,0.2916381296307826,0.368512,3.347074562935628
sample_iii,31,920,2355.0,2756.0,6.0,6.0,16986.0,21103.0,0.2697515601083245,0.3281050087665261,3.105708245243129
sample_iii,31,956,2978.5,1255.0,6.0,8.0,23738.0,9404.0,0.3632993512511585,0.38547426626967246,5.120914107825101
sample_iii,31,1046,2194.5,1264.5,6.0,7.0,16145.0,9148.0,0.3115515639516878,0.33974639265413203,3.8545919399883957
sample_iii,31,1047,3111.5,1439.0,6.0,7.0,25476.0,10146.0,0.35511854294237716,0.3341218214074512,3.5637660181361497
sample_iii,31,1294,1776.5,1280.5,5.0,6.0,12635.0,9740.0,0.2141669964384646,0.29917864476386036,4.7463016024620615
sample_iii,31,1434,3178.5,2088.0,6.0,7.0,26349.0,15266.0,0.40145736081065697,0.39361980872527186,3.6641373995375943
sample_iii,31,1586,1841.5,1249.5,6.0,7.0,12816.0,9085.0,0.27715355805243447,0.3211887727022565,2.1645359848484844
