heldout_run,model,score_column,flag_column,threshold,n_train,n_heldout,n_tail,n_parameters,average_precision,roc_auc,brier,ece,tail_capture_at_90_clean,clean_acceptance,flagged_fraction,C,learning_rate,hidden
59,traditional_scorecard,score_traditional_scorecard,flag_traditional_scorecard,0.3077966101694915,3057,763,308,0,0.41018647422158994,0.5133259597545312,0.2486463151888125,0.10086386060151528,0.9935064935064936,0.03296703296703297,0.9777195281782438,,,
59,ridge,score_ridge_C0.1,flag_ridge_C0.1,0.44776119402985076,3057,763,308,99,0.8594998780346701,0.908512915655773,0.11921225115440814,0.042902841865113645,0.8246753246753247,0.8351648351648352,0.43119266055045874,0.1,,
59,ridge,score_ridge_C1,flag_ridge_C1,0.3588235294117647,3057,763,308,99,0.8931319980960059,0.9306193806193808,0.10144550486581277,0.037322757985165586,0.8896103896103896,0.8,0.4783748361730013,1.0,,
59,ridge,score_ridge_C10,flag_ridge_C10,0.3669724770642202,3057,763,308,99,0.8938637922817022,0.933751962323391,0.09977233798481851,0.03481574294294976,0.8733766233766234,0.8483516483516483,0.4429882044560944,10.0,,
59,gradient_boosted_trees,score_gradient_boosted_trees_learning_rate0.03,flag_gradient_boosted_trees_learning_rate0.03,0.2037037037037037,3057,763,308,99,0.8662020916090134,0.9238333095475952,0.11730207779730861,0.06644454420169689,0.9512987012987013,0.6923076923076923,0.5674967234600262,,0.03,
59,gradient_boosted_trees,score_gradient_boosted_trees_learning_rate0.07,flag_gradient_boosted_trees_learning_rate0.07,0.005434782608695652,3057,763,308,99,0.8469022182442778,0.9246289424860853,0.11713938300209857,0.1042767954188826,0.9707792207792207,0.6659340659340659,0.5910878112712975,,0.07,
59,mlp,score_mlp_hidden32,flag_mlp_hidden32,0.45,3057,763,308,3233,0.8627730477101101,0.9158377336948765,0.11681388890966038,0.04412981494009022,0.8441558441558441,0.8285714285714286,0.4429882044560944,,,32.0
59,mlp,score_mlp_hidden64,flag_mlp_hidden64,0.2567567567567568,3057,763,308,6465,0.9354213647170241,0.9571999429142286,0.08139180847551732,0.04100345961185045,0.9448051948051948,0.7824175824175824,0.5111402359108781,,,64.0
59,cnn1d,score_cnn1d,flag_cnn1d,0.4189189189189189,3057,763,308,1233,0.5307035048056056,0.689289282146425,0.22075976806062847,0.10798019328082178,0.29545454545454547,0.8395604395604396,0.21494102228047182,,,
59,dilated_tcn,score_dilated_tcn,flag_dilated_tcn,0.4004507888805409,3057,763,308,2017,0.5528336800490934,0.713807620950478,0.2123056718286052,0.10830449756008938,0.6428571428571429,0.643956043956044,0.47182175622542594,,,
60,traditional_scorecard,score_traditional_scorecard,flag_traditional_scorecard,0.30566037735849066,3012,808,270,0,0.3396987983738996,0.5122538895773097,0.22249144665210502,0.036065506316375714,0.9888888888888889,0.03531598513011153,0.9727722772277227,,,
60,ridge,score_ridge_C0.1,flag_ridge_C0.1,0.4074074074074074,3012,808,270,99,0.7552561787934721,0.8861524163568774,0.13377712365480746,0.054542641752944744,0.7185185185185186,0.8513011152416357,0.33910891089108913,0.1,,
60,ridge,score_ridge_C1,flag_ridge_C1,0.3888888888888889,3012,808,270,99,0.7668371741977319,0.8977626325209969,0.12675888176695901,0.05838111184069082,0.8296296296296296,0.8252788104089219,0.3935643564356436,1.0,,
60,ridge,score_ridge_C10,flag_ridge_C10,0.35714285714285715,3012,808,270,99,0.7657278961910249,0.8996316948919181,0.11974987097265449,0.056342639804848244,0.8296296296296296,0.8401486988847584,0.38366336633663367,10.0,,
60,gradient_boosted_trees,score_gradient_boosted_trees_learning_rate0.03,flag_gradient_boosted_trees_learning_rate0.03,0.14473684210526316,3012,808,270,99,0.7628321740846302,0.8873709211069807,0.1484275748784002,0.11046836862998911,0.8481481481481481,0.7565055762081785,0.44554455445544555,,0.03,
60,gradient_boosted_trees,score_gradient_boosted_trees_learning_rate0.07,flag_gradient_boosted_trees_learning_rate0.07,0.018292682926829267,3012,808,270,99,0.7545761935062194,0.8800151452567808,0.15850851149987455,0.14452134604917793,0.9333333333333333,0.6858736059479554,0.5210396039603961,,0.07,
60,mlp,score_mlp_hidden32,flag_mlp_hidden32,0.2689655172413793,3012,808,270,3233,0.8472899815886138,0.9302905135618891,0.10094279285642761,0.0496025474011915,0.9259259259259259,0.8066914498141264,0.4381188118811881,,,32.0
60,mlp,score_mlp_hidden64,flag_mlp_hidden64,0.35185185185185186,3012,808,270,6465,0.871828880652292,0.9414601404378357,0.0933405487767877,0.04759545141468184,0.8888888888888888,0.8420074349442379,0.40222772277227725,,,64.0
60,cnn1d,score_cnn1d,flag_cnn1d,0.3711747285291214,3012,808,270,1233,0.4252800933472414,0.6579650282252513,0.1992997599503219,0.043224984666273475,0.9074074074074074,0.38847583643122674,0.7103960396039604,,,
60,dilated_tcn,score_dilated_tcn,flag_dilated_tcn,0.3913253012048193,3012,808,270,2017,0.4418226738747389,0.6772993253476525,0.1910165250786545,0.04678567590947213,0.9740740740740741,0.3903345724907063,0.7314356435643564,,,
61,traditional_scorecard,score_traditional_scorecard,flag_traditional_scorecard,0.3770672546857773,2887,933,137,0,0.14672858046468185,0.49959652275978433,0.17669532763715254,0.2250536788742341,0.9562043795620438,0.04271356783919598,0.9571275455519829,,,
61,ridge,score_ridge_C0.1,flag_ridge_C0.1,0.5306122448979592,2887,933,137,99,0.6660318744622763,0.8923816161097458,0.08850968831912395,0.08232760336713438,0.7007299270072993,0.9108040201005025,0.1789924973204716,0.1,,
61,ridge,score_ridge_C1,flag_ridge_C1,0.3711340206185567,2887,933,137,99,0.6835170853850828,0.9028582694494369,0.08201443570837866,0.07461617366090302,0.7956204379562044,0.871859296482412,0.22615219721329047,1.0,,
61,ridge,score_ridge_C10,flag_ridge_C10,0.42424242424242425,2887,933,137,99,0.6896257319528795,0.9065216593918497,0.08132551310410825,0.06731255360593393,0.7956204379562044,0.8957286432160804,0.2057877813504823,10.0,,
61,gradient_boosted_trees,score_gradient_boosted_trees_learning_rate0.03,flag_gradient_boosted_trees_learning_rate0.03,0.2553191489361702,2887,933,137,99,0.6642057251898745,0.8842478817444889,0.08719561256555122,0.07014812549193798,0.7664233576642335,0.8630653266331658,0.22936763129689175,,0.03,
61,gradient_boosted_trees,score_gradient_boosted_trees_learning_rate0.07,flag_gradient_boosted_trees_learning_rate0.07,0.013245033112582781,2887,933,137,99,0.6514514036474292,0.8700574038073579,0.09210642419844985,0.08630021725318311,0.8540145985401459,0.7512562814070352,0.33762057877813506,,0.07,
61,mlp,score_mlp_hidden32,flag_mlp_hidden32,0.3010752688172043,2887,933,137,3233,0.7548995426770548,0.9302121923486044,0.06040063464298277,0.02827447546034519,0.7664233576642335,0.9396984924623115,0.1639871382636656,,,32.0
61,mlp,score_mlp_hidden64,flag_mlp_hidden64,0.2625,2887,933,137,6465,0.77819364038799,0.9400102703297509,0.05611225635933635,0.02809719216773052,0.7883211678832117,0.9183417085427136,0.18542336548767416,,,64.0
61,cnn1d,score_cnn1d,flag_cnn1d,0.4827586206896552,2887,933,137,1233,0.19880556912292158,0.5919194512709532,0.19076552400379676,0.23948173370628872,0.291970802919708,0.7839195979899497,0.22722400857449088,,,
61,dilated_tcn,score_dilated_tcn,flag_dilated_tcn,0.5,2887,933,137,2017,0.18844116223763166,0.6146150460330851,0.1983903251766089,0.2484696112129842,0.9343065693430657,0.27889447236180903,0.752411575562701,,,
