model,alpha,fold,target_rmse_ns,heldout_run,proxy_family
ridge,10.0,1,1.9686656336183312,61,all_root_proxies
ridge,10.0,2,1.9661886618458873,61,all_root_proxies
ridge,10.0,-1,1.898234387955488,61,all_root_proxies
ridge,0.001,0,2.1808714894092307,62,all_root_proxies
ridge,0.001,1,1.8345328135194179,62,all_root_proxies
ridge,0.001,2,1.9918192494598141,62,all_root_proxies
ridge,0.001,-1,2.0024078507961542,62,all_root_proxies
ridge,0.01,0,2.180871846071899,62,all_root_proxies
ridge,0.01,1,1.8344683376924276,62,all_root_proxies
ridge,0.01,2,1.9918190362467731,62,all_root_proxies
ridge,0.01,-1,2.0023864066703667,62,all_root_proxies
ridge,0.1,0,2.1808753421571736,62,all_root_proxies
ridge,0.1,1,1.8344329783761415,62,all_root_proxies
ridge,0.1,2,1.9918167215168001,62,all_root_proxies
ridge,0.1,-1,2.002375014016705,62,all_root_proxies
ridge,1.0,0,2.1809103201644637,62,all_root_proxies
ridge,1.0,1,1.8344051434789883,62,all_root_proxies
ridge,1.0,2,1.9917937124919538,62,all_root_proxies
ridge,1.0,-1,2.0023697253784687,62,all_root_proxies
ridge,10.0,0,2.1812603465162845,62,all_root_proxies
ridge,10.0,1,1.8341385508364716,62,all_root_proxies
ridge,10.0,2,1.9915649189132005,62,all_root_proxies
ridge,10.0,-1,2.0023212720886523,62,all_root_proxies
ridge,0.001,0,2.1848286251408338,63,all_root_proxies
ridge,0.001,1,1.8311326397978358,63,all_root_proxies
ridge,0.001,2,1.9647361074082277,63,all_root_proxies
ridge,0.001,-1,1.9935657907822988,63,all_root_proxies
ridge,0.01,0,2.1848288922961396,63,all_root_proxies
ridge,0.01,1,1.8311007349568948,63,all_root_proxies
ridge,0.01,2,1.964735925024439,63,all_root_proxies
ridge,0.01,-1,1.9935551840924912,63,all_root_proxies
ridge,0.1,0,2.1848317961154,63,all_root_proxies
ridge,0.1,1,1.8310620233361006,63,all_root_proxies
ridge,0.1,2,1.964733850000291,63,all_root_proxies
ridge,0.1,-1,1.9935425564839306,63,all_root_proxies
ridge,1.0,0,2.1848606902993737,63,all_root_proxies
ridge,1.0,1,1.8310381177968647,63,all_root_proxies
ridge,1.0,2,1.9647132776484735,63,all_root_proxies
ridge,1.0,-1,1.9935373619149042,63,all_root_proxies
ridge,10.0,0,2.185149651255548,63,all_root_proxies
ridge,10.0,1,1.8308290909807565,63,all_root_proxies
ridge,10.0,2,1.964508497735017,63,all_root_proxies
ridge,10.0,-1,1.9934957466571073,63,all_root_proxies
ridge,0.001,0,2.1864092657528693,65,all_root_proxies
ridge,0.001,1,1.8895215104261547,65,all_root_proxies
ridge,0.001,2,1.9591733605625723,65,all_root_proxies
ridge,0.001,-1,2.0117013789138656,65,all_root_proxies
ridge,0.01,0,2.1864095224371862,65,all_root_proxies
ridge,0.01,1,1.8895213678633125,65,all_root_proxies
ridge,0.01,2,1.9591732154550783,65,all_root_proxies
ridge,0.01,-1,2.0117013685851926,65,all_root_proxies
ridge,0.1,0,2.1864119296715456,65,all_root_proxies
ridge,0.1,1,1.8895196303199928,65,all_root_proxies
ridge,0.1,2,1.9591716962284218,65,all_root_proxies
ridge,0.1,-1,2.0117010854066533,65,all_root_proxies
ridge,1.0,0,2.1864365153804584,65,all_root_proxies
ridge,1.0,1,1.8895020612205267,65,all_root_proxies
ridge,1.0,2,1.959156553187746,65,all_root_proxies
ridge,1.0,-1,2.0116983765962435,65,all_root_proxies
ridge,10.0,0,2.186682387262321,65,all_root_proxies
ridge,10.0,1,1.8893273902276875,65,all_root_proxies
ridge,10.0,2,1.9590058987610557,65,all_root_proxies
ridge,10.0,-1,2.011671892083688,65,all_root_proxies
