axis,method,levels,best_level,best_sigma68_ns,worst_level,worst_sigma68_ns,sigma68_span_ns
energy_bin,traditional_cfd_template_derivative,4,q2,0.7589128730786704,q1_low,1.0442202642667657,0.28530739118809534
energy_bin,mlp,4,q1_low,4.221113374643889,q4_high,4.475435473260572,0.254322098616683
late_tail_morphology,1d_cnn,4,diffuse_tail,4.908525976662117,late_derivative_bump,8.549295466908376,3.6407694902462584
late_tail_morphology,compact_waveform_transformer,4,diffuse_tail,4.432122057692139,late_derivative_bump,6.904671594680792,2.4725495369886534
late_tail_morphology,derivative_gate_transformer_new,4,diffuse_tail,3.667062724877639,late_derivative_bump,5.2918531276430745,1.6247904027654356
late_tail_morphology,gradient_boosted_trees,4,diffuse_tail,3.193486040921026,late_rising_tail,4.4865276563273495,1.2930416154063233
late_tail_morphology,ridge,4,diffuse_tail,3.3625913463406953,late_rising_tail,4.505227498843121,1.1426361525024258
late_tail_morphology,mlp,4,diffuse_tail,4.086489292318888,late_rising_tail,4.812569585704229,0.7260802933853414
late_tail_morphology,traditional_cfd_template_derivative,4,late_derivative_bump,0.810136447743045,diffuse_tail,0.9376569718142584,0.1275205240712134
pedestal_drift_bin,1d_cnn,3,mid,5.0786486425892985,high,6.93774459242737,1.8590959498380712
pedestal_drift_bin,compact_waveform_transformer,3,mid,5.032518147466632,high,6.809760781240718,1.7772426337740859
pedestal_drift_bin,derivative_gate_transformer_new,3,mid,4.360018353040706,high,5.364316095021879,1.0042977419811727
pedestal_drift_bin,gradient_boosted_trees,3,low,3.5148712957866017,high,4.110804782856418,0.5959334870698161
pedestal_drift_bin,mlp,3,low,4.054518437124149,high,4.443644022110034,0.38912558498588457
pedestal_drift_bin,ridge,3,mid,3.944994624315669,high,4.244117944427616,0.2991233201119474
pedestal_drift_bin,traditional_cfd_template_derivative,3,mid,0.8546377067905717,low,0.9264970582682786,0.07185935147770683
pid_sideband,1d_cnn,3,central,5.231672645312569,high_duplicate,8.826334447372506,3.594661802059937
pid_sideband,derivative_gate_transformer_new,3,low_duplicate,4.236969578202514,high_duplicate,6.023545499384305,1.7865759211817913
pid_sideband,compact_waveform_transformer,3,central,5.18290196731813,high_duplicate,6.039524392166969,0.8566224248488394
pid_sideband,ridge,3,low_duplicate,3.757082657491692,high_duplicate,4.444554262989816,0.687471605498124
pid_sideband,gradient_boosted_trees,3,central,3.606979705106811,high_duplicate,4.286640558190081,0.67966085308327
pid_sideband,mlp,3,central,4.232048394095255,high_duplicate,4.6416648842974535,0.4096164902021986
pid_sideband,traditional_cfd_template_derivative,3,low_duplicate,0.8510396727968728,high_duplicate,0.9919674242731622,0.14092775147628944
pileup_separation_bin,gradient_boosted_trees,4,late,1.5360397503430612,mid,3.812803184468878,2.276763434125817
pileup_separation_bin,compact_waveform_transformer,4,none,4.86752824130707,late,6.559322453095129,1.6917942117880589
pileup_separation_bin,ridge,4,late,2.9018673498740277,mid,4.471716291769262,1.5698489418952342
pileup_separation_bin,1d_cnn,4,late,5.118252239777258,mid,5.933215995294045,0.8149637555167875
pileup_separation_bin,derivative_gate_transformer_new,4,none,4.517715539287641,mid,5.235511998199229,0.7177964589115877
pileup_separation_bin,mlp,4,late,3.9032205956525132,close,4.395264732697669,0.4920441370451556
pileup_separation_bin,traditional_cfd_template_derivative,4,late,0.6660043556523312,none,0.9275478025784936,0.2615434469261624
pulse_shape_class,1d_cnn,3,nominal,4.601990758948813,compact,6.525079275015644,1.923088516066831
pulse_shape_class,compact_waveform_transformer,3,nominal,5.085556048175292,compact,6.511068600737147,1.4255125525618553
pulse_shape_class,mlp,3,nominal,3.8152051017679818,late_tail,4.588351025719128,0.7731459239511458
pulse_shape_class,gradient_boosted_trees,3,nominal,3.403450940565243,late_tail,4.1263313275943965,0.7228803870291536
pulse_shape_class,derivative_gate_transformer_new,3,nominal,4.441874238465478,compact,5.13533263146438,0.6934583929989024
pulse_shape_class,ridge,3,nominal,3.8791481901888805,compact,4.422587070937221,0.5434388807483401
pulse_shape_class,traditional_cfd_template_derivative,3,nominal,0.7939282836284176,compact,0.9996245184361843,0.20569623480776666
saturation_onset_bin,1d_cnn,2,near_saturation,5.262199617126013,linear,6.063795077489544,0.8015954603635311
saturation_onset_bin,compact_waveform_transformer,2,near_saturation,5.351437424285978,linear,6.062512465944941,0.7110750416589635
saturation_onset_bin,mlp,2,near_saturation,4.12086292149497,linear,4.409648074804875,0.28878515330990506
saturation_onset_bin,ridge,2,near_saturation,3.985557037695355,linear,4.205765234573201,0.22020819687784643
saturation_onset_bin,gradient_boosted_trees,2,near_saturation,3.6620424421673086,linear,3.845112648738148,0.1830702065708394
saturation_onset_bin,traditional_cfd_template_derivative,2,near_saturation,0.7859381965900079,linear,0.9332053559416208,0.14726715935161294
saturation_onset_bin,derivative_gate_transformer_new,2,near_saturation,4.763321208139424,linear,4.876692838105448,0.11337162996602412
