method,run,sampling_phase_bin,n,bias_ns,sigma68_ns,rms_ns,pileup_false_positive_rate,pedestal_residual_adc,energy_scale_drift_log_adc,pid_boundary_movement
compact_waveform_transformer,65,phase_q4,117,0.4333294438806732,5.485087790173841,5.8332348438895725,0.2905982905982906,0.0,0.0,0.0
derivative_gate_transformer_new,42,phase_q1,225,-0.8779499593036117,5.334599007721511,5.882358529103134,0.37777777777777777,0.0,0.0,0.0
derivative_gate_transformer_new,42,phase_q2,188,1.3972487230197759,5.613262405394723,5.287999150971171,0.3670212765957447,0.0,0.0,0.0
derivative_gate_transformer_new,42,phase_q3,135,0.7584046622136995,5.566105289251718,6.073816169737406,0.32592592592592595,0.0,0.0,0.0
derivative_gate_transformer_new,42,phase_q4,109,-0.036877557231854,5.814412336923242,5.487717729009557,0.28440366972477066,0.0,0.0,0.0
derivative_gate_transformer_new,50,phase_q1,236,-4.259008068105447,9.838635577468558,11.441236160960067,0.3728813559322034,0.0,0.0,-2.168404344971009e-19
derivative_gate_transformer_new,50,phase_q2,198,-3.1099502829496366,10.582224656842065,10.384373272964558,0.3282828282828283,0.0,8.881784197001252e-16,-4.336808689942018e-19
derivative_gate_transformer_new,50,phase_q3,146,-4.891341690842688,10.008687292931036,11.316296088519612,0.4589041095890411,0.0,8.881784197001252e-16,4.336808689942018e-19
derivative_gate_transformer_new,50,phase_q4,100,-1.8608128954630927,8.403829670679125,9.960699406705881,0.29,0.0,0.0,4.336808689942018e-19
derivative_gate_transformer_new,57,phase_q1,233,-2.198301583823584,5.382043433333701,5.779644234552578,0.40772532188841204,0.0,0.0,0.0
derivative_gate_transformer_new,57,phase_q2,173,-1.810438046244229,5.648809136997606,5.473644745164176,0.37572254335260113,0.0,0.0,0.0
derivative_gate_transformer_new,57,phase_q3,165,-1.4615401539945836,6.136501244635078,6.082753913955279,0.38181818181818183,0.0,0.0,0.0
derivative_gate_transformer_new,57,phase_q4,99,-1.5571270919785896,5.964640139562373,6.267859352790446,0.26262626262626265,0.0,0.0,0.0
derivative_gate_transformer_new,58,phase_q1,234,-6.065087524652508,4.850756394982005,7.595285938556079,0.4358974358974359,0.0,8.881784197001252e-16,0.0
derivative_gate_transformer_new,58,phase_q2,179,-4.970595378603626,4.225960292652159,6.563852177728497,0.441340782122905,0.0,0.0,0.0
derivative_gate_transformer_new,58,phase_q3,139,-3.7513323051404655,3.4188304805904455,6.104816052572112,0.5107913669064749,0.0,0.0,0.0
derivative_gate_transformer_new,58,phase_q4,102,-6.6968790679692,4.066366198412572,7.442929808873547,0.43137254901960786,0.0,0.0,-2.168404344971009e-19
derivative_gate_transformer_new,60,phase_q1,240,-1.907495235850905,4.188735436416708,4.757640117112339,0.35833333333333334,0.0,0.0,-2.168404344971009e-19
derivative_gate_transformer_new,60,phase_q2,175,-1.6907276083785518,3.402246107206701,4.832453252315445,0.3942857142857143,0.0,0.0,0.0
derivative_gate_transformer_new,60,phase_q3,179,-1.5002388383125709,3.7987072830573956,4.770944852358377,0.2849162011173184,0.0,0.0,0.0
derivative_gate_transformer_new,60,phase_q4,126,-0.9249980790778753,4.614460734955474,4.847720253517977,0.1746031746031746,0.0,0.0,-8.673617379884035e-19
derivative_gate_transformer_new,62,phase_q1,215,-3.155958655824872,3.7122796945431538,5.15030513080481,0.33488372093023255,0.0,0.0,0.0
derivative_gate_transformer_new,62,phase_q2,203,-2.8429928137433027,4.029428641924117,6.45830072907101,0.2561576354679803,0.0,0.0,0.0
derivative_gate_transformer_new,62,phase_q3,182,-2.48860279829165,4.129065011105458,5.577535720136505,0.2692307692307692,0.0,-4.440892098500626e-16,0.0
derivative_gate_transformer_new,62,phase_q4,120,-3.4979693948643718,3.549899951113599,4.658846303876907,0.2833333333333333,0.0,-4.440892098500626e-16,0.0
derivative_gate_transformer_new,64,phase_q1,226,-3.1152774697659362,3.709438422271237,5.032442474937188,0.33185840707964603,0.0,-4.440892098500626e-16,-2.168404344971009e-19
derivative_gate_transformer_new,64,phase_q2,191,-3.5644692316431072,4.082266748478972,6.312485907687617,0.193717277486911,0.0,0.0,0.0
derivative_gate_transformer_new,64,phase_q3,180,-2.6363824365032915,3.3327842142044473,4.9028405929283885,0.19444444444444445,0.0,0.0,-4.336808689942018e-19
derivative_gate_transformer_new,64,phase_q4,123,-3.160361589384415,3.237423004773301,4.937206339280866,0.21138211382113822,0.0,0.0,0.0
derivative_gate_transformer_new,65,phase_q1,217,-3.478003727406062,4.332442480234975,5.543414414245677,0.3317972350230415,0.0,0.0,0.0
derivative_gate_transformer_new,65,phase_q2,166,-2.778073083125231,3.5352115078757325,5.9004164449689105,0.2469879518072289,0.0,0.0,0.0
derivative_gate_transformer_new,65,phase_q3,145,-2.374877140425781,4.006444892238098,5.335332565205274,0.2482758620689655,0.0,0.0,0.0
derivative_gate_transformer_new,65,phase_q4,117,-2.327645617248386,3.7625862749978003,4.6602377435374,0.2905982905982906,0.0,0.0,0.0
gradient_boosted_trees,42,phase_q1,225,2.7251647102474728,2.5907266296784472,4.082820899643785,0.37777777777777777,0.0,0.0,0.0
gradient_boosted_trees,42,phase_q2,188,2.259523592479212,2.3805422138507533,3.4858331318306006,0.3670212765957447,0.0,0.0,0.0
gradient_boosted_trees,42,phase_q3,135,2.645960887147578,2.464929725110917,4.076328631145169,0.32592592592592595,0.0,0.0,0.0
gradient_boosted_trees,42,phase_q4,109,2.308120957161126,2.4363878066791322,4.059948718467207,0.28440366972477066,0.0,0.0,0.0
gradient_boosted_trees,50,phase_q1,236,0.4567044368885771,8.082835558815933,8.412026573058004,0.3728813559322034,0.0,0.0,-2.168404344971009e-19
gradient_boosted_trees,50,phase_q2,198,0.394204193684772,8.829507364755576,8.197555965156631,0.3282828282828283,0.0,8.881784197001252e-16,-4.336808689942018e-19
gradient_boosted_trees,50,phase_q3,146,0.0005694503718001501,8.43691738126007,8.891896297700738,0.4589041095890411,0.0,8.881784197001252e-16,4.336808689942018e-19
gradient_boosted_trees,50,phase_q4,100,0.37150600063902095,7.764321283204486,7.62912157123927,0.29,0.0,0.0,4.336808689942018e-19
gradient_boosted_trees,57,phase_q1,233,-0.5031133758611954,3.9262799993532678,4.04973354909721,0.40772532188841204,0.0,0.0,0.0
gradient_boosted_trees,57,phase_q2,173,-0.2630532232093929,3.9433711629713972,3.5719852177076428,0.37572254335260113,0.0,0.0,0.0
gradient_boosted_trees,57,phase_q3,165,0.1763469870039671,3.897077859977812,3.958398957215705,0.38181818181818183,0.0,0.0,0.0
gradient_boosted_trees,57,phase_q4,99,0.1386265658125394,4.153397853463614,3.942221344175606,0.26262626262626265,0.0,0.0,0.0
gradient_boosted_trees,58,phase_q1,234,-3.4429492995931525,2.637154291734689,5.1607398412448795,0.4358974358974359,0.0,8.881784197001252e-16,0.0
gradient_boosted_trees,58,phase_q2,179,-4.099569410887323,2.5039534574055415,4.4810169833181615,0.441340782122905,0.0,0.0,0.0
gradient_boosted_trees,58,phase_q3,139,-3.274430250597156,2.163287875621514,4.882645654994694,0.5107913669064749,0.0,0.0,0.0
gradient_boosted_trees,58,phase_q4,102,-3.8513494614056114,2.1268191514468073,4.636708532287883,0.43137254901960786,0.0,0.0,-2.168404344971009e-19
gradient_boosted_trees,60,phase_q1,240,0.12063443307157226,3.7271601242288925,3.289600876694591,0.35833333333333334,0.0,0.0,-2.168404344971009e-19
gradient_boosted_trees,60,phase_q2,175,0.2469756884679483,3.590041512473714,3.5125687817616846,0.3942857142857143,0.0,0.0,0.0
gradient_boosted_trees,60,phase_q3,179,0.130444797078117,3.646054934742767,3.8087611801039225,0.2849162011173184,0.0,0.0,0.0
gradient_boosted_trees,60,phase_q4,126,-0.28456479255223255,3.9829435462702203,3.3826180449965393,0.1746031746031746,0.0,0.0,-8.673617379884035e-19
gradient_boosted_trees,62,phase_q1,215,-0.9643761362816364,2.881672603802773,2.984484637391362,0.33488372093023255,0.0,0.0,0.0
gradient_boosted_trees,62,phase_q2,203,-1.4202204366567803,3.1189279598458786,2.888709617469595,0.2561576354679803,0.0,0.0,0.0
gradient_boosted_trees,62,phase_q3,182,-1.1855624621736611,2.8411142925013206,2.9462043530077566,0.2692307692307692,0.0,-4.440892098500626e-16,0.0
gradient_boosted_trees,62,phase_q4,120,-1.1191681960427569,2.798692146980914,2.967592737390672,0.2833333333333333,0.0,-4.440892098500626e-16,0.0
gradient_boosted_trees,64,phase_q1,226,-1.5981483878488678,3.9614656989587176,3.940984885010023,0.33185840707964603,0.0,-4.440892098500626e-16,-2.168404344971009e-19
gradient_boosted_trees,64,phase_q2,191,-1.5935438142903162,3.969676952780514,4.125123582806358,0.193717277486911,0.0,0.0,0.0
gradient_boosted_trees,64,phase_q3,180,-1.0786560094552469,3.4047054482931003,3.296073945211507,0.19444444444444445,0.0,0.0,-4.336808689942018e-19
gradient_boosted_trees,64,phase_q4,123,-1.9696669647308789,3.6919632510225338,3.4367571949281484,0.21138211382113822,0.0,0.0,0.0
gradient_boosted_trees,65,phase_q1,217,-1.6562857329987484,3.7545321245372802,3.6359978361875496,0.3317972350230415,0.0,0.0,0.0
gradient_boosted_trees,65,phase_q2,166,-1.7043063699981982,3.2923929153225924,3.4409292744847995,0.2469879518072289,0.0,0.0,0.0
gradient_boosted_trees,65,phase_q3,145,-1.680751685174018,3.5930939547106355,3.635092299576943,0.2482758620689655,0.0,0.0,0.0
gradient_boosted_trees,65,phase_q4,117,-1.8145461604302184,3.6826273462610293,3.697087294024679,0.2905982905982906,0.0,0.0,0.0
mlp,42,phase_q1,225,3.008185124260862,3.9584066635023674,5.027469837906728,0.37777777777777777,0.0,0.0,0.0
mlp,42,phase_q2,188,2.387838677160791,3.47154735502537,4.494002755900789,0.3670212765957447,0.0,0.0,0.0
mlp,42,phase_q3,135,2.708732977342692,4.043178806495156,5.011495396913833,0.32592592592592595,0.0,0.0,0.0
mlp,42,phase_q4,109,2.082060643919048,3.9012195434268264,4.940191568808497,0.28440366972477066,0.0,0.0,0.0
mlp,50,phase_q1,236,-0.574102773145877,7.863606297367027,8.138653425860127,0.3728813559322034,0.0,0.0,-2.168404344971009e-19
mlp,50,phase_q2,198,-0.2745113922774831,8.47781673460316,8.137928738228158,0.3282828282828283,0.0,8.881784197001252e-16,-4.336808689942018e-19
mlp,50,phase_q3,146,-1.5338359979813303,7.965415024133707,8.804712479534631,0.4589041095890411,0.0,8.881784197001252e-16,4.336808689942018e-19
mlp,50,phase_q4,100,-0.3864949818879201,7.8810156683042925,7.486852393226394,0.29,0.0,0.0,4.336808689942018e-19
mlp,57,phase_q1,233,0.588052427138976,4.961127380167085,5.106193501086291,0.40772532188841204,0.0,0.0,0.0
mlp,57,phase_q2,173,-0.1391186791196972,4.134725321420069,4.202856783991999,0.37572254335260113,0.0,0.0,0.0
mlp,57,phase_q3,165,0.6063896730046476,5.113760933303812,4.755135137514112,0.38181818181818183,0.0,0.0,0.0
mlp,57,phase_q4,99,0.9858197827355996,4.962877892902735,4.6341309927610155,0.26262626262626265,0.0,0.0,0.0
mlp,58,phase_q1,234,-3.148367701290655,3.3750445452827784,5.343302394807233,0.4358974358974359,0.0,8.881784197001252e-16,0.0
mlp,58,phase_q2,179,-3.2965487489032235,3.1007915355694315,4.617745994727263,0.441340782122905,0.0,0.0,0.0
mlp,58,phase_q3,139,-2.9277758058333814,2.878166832516503,4.592191489421842,0.5107913669064749,0.0,0.0,0.0
mlp,58,phase_q4,102,-3.9219356285977174,3.519055748716718,5.295506029349729,0.43137254901960786,0.0,0.0,-2.168404344971009e-19
mlp,60,phase_q1,240,-0.33471690854149205,4.197603529124631,3.886401980290118,0.35833333333333334,0.0,0.0,-2.168404344971009e-19
mlp,60,phase_q2,175,0.044759066317507,4.034738520932895,3.7454168586057506,0.3942857142857143,0.0,0.0,0.0
mlp,60,phase_q3,179,-0.8291409644435497,3.936482250661334,3.9290327598175594,0.2849162011173184,0.0,0.0,0.0
mlp,60,phase_q4,126,-0.5448952391187802,4.0483531568389255,3.8950524773027917,0.1746031746031746,0.0,0.0,-8.673617379884035e-19
mlp,62,phase_q1,215,-1.0467957528111889,3.188695866356942,3.525192209148413,0.33488372093023255,0.0,0.0,0.0
mlp,62,phase_q2,203,-1.230486112635381,3.684235805499166,3.782422088824362,0.2561576354679803,0.0,0.0,0.0
mlp,62,phase_q3,182,-1.4987187813507774,3.3614705626906414,3.58406537283589,0.2692307692307692,0.0,-4.440892098500626e-16,0.0
mlp,62,phase_q4,120,-1.479611416336199,3.552673316783839,3.338200632038347,0.2833333333333333,0.0,-4.440892098500626e-16,0.0
mlp,64,phase_q1,226,-1.8634865548515078,4.520581529644607,4.168811200967859,0.33185840707964603,0.0,-4.440892098500626e-16,-2.168404344971009e-19
mlp,64,phase_q2,191,-2.617996407530532,4.6548936926094795,4.447829434457884,0.193717277486911,0.0,0.0,0.0
mlp,64,phase_q3,180,-2.3271274318520665,4.272237604501479,4.056729304453243,0.19444444444444445,0.0,0.0,-4.336808689942018e-19
mlp,64,phase_q4,123,-2.0321689925222364,3.9162830383418665,3.4755906614130416,0.21138211382113822,0.0,0.0,0.0
mlp,65,phase_q1,217,-1.2993886877122112,4.260473428659592,4.027609673204677,0.3317972350230415,0.0,0.0,0.0
mlp,65,phase_q2,166,-2.044655899420156,4.269528390439472,4.752697965297202,0.2469879518072289,0.0,0.0,0.0
mlp,65,phase_q3,145,-1.7542393293103775,4.642629163855657,4.521131545192795,0.2482758620689655,0.0,0.0,0.0
mlp,65,phase_q4,117,-0.8542865187203033,4.369648270163928,3.984463633245072,0.2905982905982906,0.0,0.0,0.0
ridge,42,phase_q1,225,2.147120602027613,4.627239293378111,5.534993954215436,0.37777777777777777,0.0,0.0,0.0
ridge,42,phase_q2,188,2.2710870096199525,3.947958109048682,4.742315556790333,0.3670212765957447,0.0,0.0,0.0
ridge,42,phase_q3,135,2.5664344468103977,4.830413782452535,5.695083136013809,0.32592592592592595,0.0,0.0,0.0
ridge,42,phase_q4,109,2.0426508207544813,5.124284649903832,5.381084093857192,0.28440366972477066,0.0,0.0,0.0
ridge,50,phase_q1,236,-1.494651969954469,9.097616657371645,9.19776482505154,0.3728813559322034,0.0,0.0,-2.168404344971009e-19
ridge,50,phase_q2,198,-0.19955399949947772,9.269430754846,8.99606986122027,0.3282828282828283,0.0,8.881784197001252e-16,-4.336808689942018e-19
ridge,50,phase_q3,146,-2.0965486752698297,8.469048796837114,9.403043025790511,0.4589041095890411,0.0,8.881784197001252e-16,4.336808689942018e-19
ridge,50,phase_q4,100,-0.5042218688833504,8.446079338693064,8.110962797408499,0.29,0.0,0.0,4.336808689942018e-19
ridge,57,phase_q1,233,0.6595321736415194,5.083326520763949,5.268532486721689,0.40772532188841204,0.0,0.0,0.0
ridge,57,phase_q2,173,-0.0719208471813743,4.596437750118321,4.389707556480304,0.37572254335260113,0.0,0.0,0.0
ridge,57,phase_q3,165,0.6721535116124571,5.2845138675466234,4.9194384372620465,0.38181818181818183,0.0,0.0,0.0
ridge,57,phase_q4,99,1.1092300053754505,5.995047918358994,5.274911131780197,0.26262626262626265,0.0,0.0,0.0
ridge,58,phase_q1,234,-3.2449596388253505,4.09075423121887,5.254264543212282,0.4358974358974359,0.0,8.881784197001252e-16,0.0
ridge,58,phase_q2,179,-2.9777634013753094,3.121728239470557,4.5861601326256185,0.441340782122905,0.0,0.0,0.0
ridge,58,phase_q3,139,-1.5450705887813854,2.926179467247145,4.146014119713734,0.5107913669064749,0.0,0.0,0.0
ridge,58,phase_q4,102,-4.193274412393993,3.5149075838002832,5.369852051435066,0.43137254901960786,0.0,0.0,-2.168404344971009e-19
ridge,60,phase_q1,240,-0.08209104913214291,3.469397687332811,3.407324576122712,0.35833333333333334,0.0,0.0,-2.168404344971009e-19
ridge,60,phase_q2,175,0.201885242372855,3.1762822804976416,3.0419021049590866,0.3942857142857143,0.0,0.0,0.0
ridge,60,phase_q3,179,0.0868113351722819,3.080246873948394,3.606514602597797,0.2849162011173184,0.0,0.0,0.0
ridge,60,phase_q4,126,0.5888176569463379,3.353856921569246,3.932778968963296,0.1746031746031746,0.0,0.0,-8.673617379884035e-19
ridge,62,phase_q1,215,-0.9328275119271404,2.7487711490326165,3.28556680334771,0.33488372093023255,0.0,0.0,0.0
ridge,62,phase_q2,203,-0.9299065388032446,3.17712095831375,3.3172169909566374,0.2561576354679803,0.0,0.0,0.0
ridge,62,phase_q3,182,-1.0025609318250286,2.99016613552819,4.269144255687958,0.2692307692307692,0.0,-4.440892098500626e-16,0.0
ridge,62,phase_q4,120,-1.1906772448766216,3.3075295204654815,3.155951609078168,0.2833333333333333,0.0,-4.440892098500626e-16,0.0
ridge,64,phase_q1,226,-1.6123263019408922,3.7376422835544525,3.7928224209424597,0.33185840707964603,0.0,-4.440892098500626e-16,-2.168404344971009e-19
ridge,64,phase_q2,191,-2.29152693228143,4.119846961695782,3.8483018880323177,0.193717277486911,0.0,0.0,0.0
ridge,64,phase_q3,180,-1.3666108036770517,3.360656543811541,3.522945513078282,0.19444444444444445,0.0,0.0,-4.336808689942018e-19
ridge,64,phase_q4,123,-1.6076791689634795,3.446706185067778,3.4604657616382357,0.21138211382113822,0.0,0.0,0.0
ridge,65,phase_q1,217,-0.8543666974737221,4.036017392619112,4.126421394427014,0.3317972350230415,0.0,0.0,0.0
ridge,65,phase_q2,166,-1.0944339593054373,3.738647118165747,3.6620511951302337,0.2469879518072289,0.0,0.0,0.0
ridge,65,phase_q3,145,0.1817493953793771,4.076821752891424,5.398585285728798,0.2482758620689655,0.0,0.0,0.0
ridge,65,phase_q4,117,0.578488362857291,3.6193456995834383,3.617555154410838,0.2905982905982906,0.0,0.0,0.0
traditional_cfd_template_derivative,42,phase_q1,225,0.0848615728577328,0.5553664583592334,0.7413621594088622,0.37777777777777777,0.0,0.0,0.0
traditional_cfd_template_derivative,42,phase_q2,188,-0.01437750208436705,0.6357448323302215,0.7314522327374422,0.3670212765957447,0.0,0.0,0.0
traditional_cfd_template_derivative,42,phase_q3,135,0.0770228708682978,0.4957329357250373,0.5865344714820738,0.32592592592592595,0.0,0.0,0.0
traditional_cfd_template_derivative,42,phase_q4,109,0.0418068479263151,0.4217466861847917,0.5464904183141523,0.28440366972477066,0.0,0.0,0.0
traditional_cfd_template_derivative,50,phase_q1,236,-0.07005895948689585,0.6793044500907561,0.7279199748038896,0.3728813559322034,0.0,0.0,-2.168404344971009e-19
traditional_cfd_template_derivative,50,phase_q2,198,-0.09253799250104411,0.7512337955927184,0.7331504463771878,0.3282828282828283,0.0,8.881784197001252e-16,-4.336808689942018e-19
traditional_cfd_template_derivative,50,phase_q3,146,-0.04164257888342665,0.7248011139880466,0.7334848192918779,0.4589041095890411,0.0,8.881784197001252e-16,4.336808689942018e-19
traditional_cfd_template_derivative,50,phase_q4,100,-0.1122261501470602,0.6978233999936583,0.7995858106170254,0.29,0.0,0.0,4.336808689942018e-19
