heldout_run,target,label,n_pulses,n_uncensored,censored_fraction,naive_last_above_mean_ns,observable_end_mean_ns,km_restricted_mean_ns,km_tau_ns,km_survival_at_tau,weibull_shape,weibull_scale_ns,censored_weibull_mean_ns,censored_weibull_median_ns,weibull_ok,uncensored_tail_excess_over_km_ns
47,noise_floor,noise floor,5276,282,0.9465504169825626,124.6203836022791,131.70719179030033,142.0465328157485,148.4351851851852,0.9316775716040766,1.0,2343.792783524069,2343.792783524069,1624.5933597164546,True,2201.7462507083205
48,5pct,5%,14000,1655,0.8817857142857143,119.22341643937335,128.9755592965162,152.45619714955703,170.0,0.5621279393691857,1.0,1008.5364532829163,1008.5364532829163,699.0641990849805,True,856.0802561333593
48,10pct,10%,14000,3235,0.7689285714285714,116.6912735822305,128.9755592965162,145.52901977799644,170.0,0.48906870358943155,1.0,505.0008748773498,505.0008748773498,350.0399326015407,True,359.4718550993534
48,20pct,20%,14000,6140,0.5614285714285714,109.82413072508763,128.9755592965162,130.09338852796856,170.0,0.35707794150502015,1.0,250.41332740720304,250.41332740720304,173.57329186693727,True,120.31993887923448
48,noise_floor,noise floor,14000,1898,0.8644285714285714,110.84770215365906,128.9755592965162,150.2149792799616,170.0,0.8376018020649475,1.0,830.079199252345,830.079199252345,575.36705660322,True,679.8642199723834
49,5pct,5%,14815,1795,0.8788390145123186,119.04977123830737,129.20636928083184,153.5307104858909,170.0,0.6767012753107551,1.0,982.5751314437458,982.5751314437458,681.06918204855,True,829.044420957855
49,10pct,10%,14815,3451,0.7670604117448532,116.5334026929142,129.20636928083184,145.08751169240458,170.0,0.48222290416541214,1.0,500.2730689621917,500.2730689621917,346.76286726121424,True,355.1855572697871
49,20pct,20%,14815,6355,0.5710428619642254,109.85031123155744,129.20636928083184,130.17654889012965,170.0,0.33941444163167334,1.0,256.0869175531902,256.0869175531902,177.50592488028093,True,125.91036866306052
49,noise_floor,noise floor,14815,2089,0.8589942625717178,110.62992648636677,129.20636928083184,143.44973520676413,170.0,0.4174904124493255,1.0,796.6015802169588,796.6015802169588,552.1621393569822,True,653.1518450101947
50,5pct,5%,35217,888,0.9747849050174632,129.01758052818403,130.94079942814713,161.21173593475987,170.0,0.5822916399331185,1.0,5116.68033048993,5116.68033048993,3546.6125449056244,False,
50,10pct,10%,35217,1838,0.9478092966465059,128.38748710739293,130.94079942814713,158.21059950549798,170.0,0.4673813589897838,1.0,2459.968516589259,2459.968516589259,1705.1202415400758,True,2301.7579170837607
50,20pct,20%,35217,3673,0.8957037794247097,126.59772648042303,130.94079942814713,153.29586464828668,170.0,0.3397329468061696,1.0,1213.8285144326321,1213.8285144326321,841.3618124622458,True,1060.5326497843455
50,noise_floor,noise floor,35217,1131,0.9678848283499446,127.18437497404828,130.94079942814713,165.42158794442764,170.0,0.9550444713852256,1.0,3969.789375097946,3969.789375097946,2751.6483127659685,True,3804.3677871535183
51,5pct,5%,14740,590,0.9599728629579376,127.40180261556372,130.68741998327064,158.61341293342704,170.0,0.42820112801666255,1.0,3182.8857128159484,3182.8857128159484,2206.2082578829063,True,3024.2722998825216
51,10pct,10%,14740,1084,0.9264586160108548,126.59583246631,130.68741998327064,156.3403620135708,170.0,0.40742299896529327,1.0,1721.4230355926286,1721.4230355926286,1193.1995236719729,True,1565.0826735790579
51,20pct,20%,14740,2038,0.8617367706919946,124.36788131298572,130.68741998327064,152.44681051173714,170.0,0.590921883942306,1.0,899.5007706586897,899.5007706586897,623.4864230935688,True,747.0539601469526
51,noise_floor,noise floor,14740,717,0.9513568521031207,124.455398273637,130.68741998327064,142.66332284660263,148.4981498612396,0.9281740994138918,1.0,2569.848236242171,2569.848236242171,1781.283059418209,True,2427.1849133955684
52,5pct,5%,7152,280,0.9608501118568232,127.90483571453247,131.02424287336916,160.08648921225992,170.0,0.5543563125520418,1.0,3267.054946561915,3267.054946561915,2264.5499249438144,True,3106.968457349655
52,10pct,10%,7152,539,0.9246364653243848,127.04493638567341,131.02424287336916,157.67052856765446,170.0,0.5238288979687411,1.0,1685.7613822677854,1685.7613822677854,1168.4807492157515,True,1528.090853700131
52,20pct,20%,7152,970,0.8643736017897092,124.8469498084922,131.02424287336916,149.66981713539593,170.0,0.2993183988785582,1.0,920.5210155137487,920.5210155137487,638.0565465495325,True,770.8511983783528
52,noise_floor,noise floor,7152,342,0.9521812080536913,125.23285584876065,131.02424287336916,147.5266518371856,160.0,0.0,1.0,2628.707516788701,2628.707516788701,1822.0812037788232,True,2481.1808649515156
53,5pct,5%,32200,877,0.9727639751552795,128.15595364936215,130.23918346302676,160.35809762826932,170.0,0.5210639707620459,1.0,4705.383931046135,4705.383931046135,3261.5236052567006,True,4545.025833417866
53,10pct,10%,32200,1573,0.9511490683229814,127.62489774874103,130.23918346302676,157.31554787999207,170.0,0.39128627384337034,1.0,2612.5376398896765,2612.5376398896765,1810.873099196263,True,2455.2220920096843
53,20pct,20%,32200,2999,0.906863354037267,126.1044008543311,130.23918346302676,152.17467630632854,170.0,0.28677436118395366,1.0,1353.9718931532045,1353.9718931532045,938.5018002965552,True,1201.797216846876
53,noise_floor,noise floor,32200,1110,0.965527950310559,126.30253750029382,130.23918346302676,155.42480813344082,170.0,0.15706406860572875,1.0,3672.7719288932067,3672.7719288932067,2545.771507352038,True,3517.347120759766
54,5pct,5%,30440,729,0.9760512483574244,128.39441326877898,130.1687233870444,160.89956502920128,170.0,0.6101066383436756,1.0,5361.21528107494,5361.21528107494,3716.1112564519894,False,
54,10pct,10%,30440,1451,0.9523324572930355,127.82838173132825,130.1687233870444,157.21096855672718,170.0,0.45675518815529786,1.0,2681.6650171734195,2681.6650171734195,1858.788545859993,True,2524.4540486166925
54,20pct,20%,30440,2783,0.9085742444152431,126.33265242778029,130.1687233870444,153.80629578188461,170.0,0.3530850995211529,1.0,1381.8059432032453,1381.8059432032453,957.7948936123054,True,1227.9996474213608
54,noise_floor,noise floor,30440,952,0.9687253613666229,126.66543823592745,130.1687233870444,160.70441664354686,170.0,0.47469777694329857,1.0,4059.0030477565374,4059.0030477565374,2813.486518436669,True,3898.2986311129907
55,5pct,5%,17387,776,0.9553689538160695,127.03614095074482,130.69864742109624,159.29993221049452,170.0,0.5437980562730442,1.0,2846.362606612887,2846.362606612887,1972.9482156249792,True,2687.062674402392
55,10pct,10%,17387,1349,0.9224132972910796,126.23611794505092,130.69864742109624,156.61888350850623,170.0,0.5439093270251671,1.0,1627.0329004815421,1627.0329004815421,1127.773267647051,True,1470.4140169730358
55,20pct,20%,17387,2474,0.857709783171335,124.05575330480245,130.69864742109624,151.5676021257623,170.0,0.43240264889178304,1.0,871.8501951364592,871.8501951364592,604.3205046294748,True,720.2825930106969
55,noise_floor,noise floor,17387,950,0.945361476965549,123.91771914134699,130.69864742109624,162.1961741173606,170.0,0.9298015806728712,1.0,2278.447009832896,2278.447009832896,1579.29912092091,True,2116.2508357155357
56,5pct,5%,40148,1159,0.9711318122945103,129.05655664936867,131.2643876745754,160.11748223095404,170.0,0.4696414400951355,1.0,4470.545846749657,4470.545846749657,3098.7462492384984,True,4310.428364518703
56,10pct,10%,40148,2319,0.9422387167480323,128.36461682671253,131.2643876745754,157.67938247739738,170.0,0.3510935309081693,1.0,2222.329726783033,2222.329726783033,1540.401584394213,True,2064.650344305636
56,20pct,20%,40148,4731,0.8821610042841487,126.34359460891834,131.2643876745754,152.245981667646,170.0,0.37407868079697326,1.0,1072.1713456856594,1072.1713456856594,743.1725453391773,True,919.9253640180134
56,noise_floor,noise floor,40148,1464,0.9635349207930657,127.01461184514433,131.2643876745754,155.41354552886108,170.0,0.23808295300297483,1.0,3492.4727561208997,3492.4727561208997,2420.797644087623,True,3337.0592105920387
57,5pct,5%,13833,1642,0.8812983445384226,118.55314166822112,128.53145439864838,151.6705836895226,170.0,0.5196811434881912,1.0,998.7488481970175,998.7488481970175,692.2799482152554,True,847.078264507495
57,10pct,10%,13833,3240,0.7657774886141835,115.98464604182047,128.53145439864838,144.36807016372123,170.0,0.4691597156965876,1.0,495.1900027109576,495.1900027109576,343.2395542205719,True,350.8219325472363
57,20pct,20%,13833,5961,0.5690739535892431,109.31870228413956,128.53145439864838,129.62213445611175,170.0,0.3251164918786933,1.0,253.68320899823902,253.68320899823902,175.83980107252873,True,124.06107454212727
57,noise_floor,noise floor,13833,1890,0.863370201691607,110.44427157496585,128.53145439864838,141.77165608526465,160.0,0.0,1.0,820.3418268451443,820.3418268451443,568.6176243731067,True,678.5701707598796
