definition_id,cfd_fraction,cfd_key,downstream_min_hits,timing_profile,clean_downstream_span_ns,clean_all_span_ns,violating_downstream_span_ns,violating_b2_displacement_ns,qtemplate_quality,q_downstream_max_le,ambiguity_handling,labelled_events,clean,violating,ambiguous_promoted,qtemplate_missing_events,runs,labelled_delta_to_12147,abs_labelled_delta_to_12147,clean_delta_to_10636,violating_delta_to_1511
cfd15_ds2_loose_qtight_ambas_violating,0.15,cfd15,2,loose,6.0,12.0,12.0,25.0,tight,0.06,as_violating,8750,4863,3887,2249,2,33,-3397,3397,-5773,2376
cfd15_ds2_strict_qnone_ambexclude,0.15,cfd15,2,strict,4.0,8.0,8.0,15.0,none,,exclude,7830,5101,2729,0,2,32,-4317,4317,-5535,1218
cfd20_ds2_strict_qnone_ambexclude,0.2,cfd20,2,strict,4.0,8.0,8.0,15.0,none,,exclude,7506,4854,2652,0,2,32,-4641,4641,-5782,1141
cfd25_ds2_strict_qnone_ambexclude,0.25,cfd25,2,strict,4.0,8.0,8.0,15.0,none,,exclude,7448,4778,2670,0,2,32,-4699,4699,-5858,1159
cfd25_ds2_loose_qtight_ambexclude,0.25,cfd25,2,loose,6.0,12.0,12.0,25.0,tight,0.06,exclude,6893,5300,1593,0,2,32,-5254,5254,-5336,82
cfd20_ds2_loose_qtight_ambexclude,0.2,cfd20,2,loose,6.0,12.0,12.0,25.0,tight,0.06,exclude,6735,5116,1619,0,2,32,-5412,5412,-5520,108
cfd15_ds2_loose_qtight_ambexclude,0.15,cfd15,2,loose,6.0,12.0,12.0,25.0,tight,0.06,exclude,6501,4863,1638,0,2,32,-5646,5646,-5773,127
cfd20_ds3_loose_qnone_ambas_violating,0.2,cfd20,3,loose,6.0,12.0,12.0,25.0,none,,as_violating,5290,3251,2039,1309,0,33,-6857,6857,-7385,528
cfd20_ds3_app_a_qnone_ambas_violating,0.2,cfd20,3,app_a,5.0,10.0,10.0,20.0,none,,as_violating,5290,2268,3022,2238,0,33,-6857,6857,-8368,1511
cfd20_ds3_strict_qnone_ambas_violating,0.2,cfd20,3,strict,4.0,8.0,8.0,15.0,none,,as_violating,5290,1288,4002,3102,0,33,-6857,6857,-9348,2491
cfd25_ds3_app_a_qnone_ambas_violating,0.25,cfd25,3,app_a,5.0,10.0,10.0,20.0,none,,as_violating,5290,2212,3078,2308,0,33,-6857,6857,-8424,1567
cfd25_ds3_strict_qnone_ambas_violating,0.25,cfd25,3,strict,4.0,8.0,8.0,15.0,none,,as_violating,5290,1221,4069,3174,0,33,-6857,6857,-9415,2558
cfd15_ds3_strict_qnone_ambas_violating,0.15,cfd15,3,strict,4.0,8.0,8.0,15.0,none,,as_violating,5290,1418,3872,2934,0,33,-6857,6857,-9218,2361
cfd25_ds3_loose_qnone_ambas_violating,0.25,cfd25,3,loose,6.0,12.0,12.0,25.0,none,,as_violating,5290,3331,1959,1249,0,33,-6857,6857,-7305,448
cfd15_ds3_loose_qnone_ambas_violating,0.15,cfd15,3,loose,6.0,12.0,12.0,25.0,none,,as_violating,5290,3153,2137,1401,0,33,-6857,6857,-7483,626
cfd15_ds3_app_a_qnone_ambas_violating,0.15,cfd15,3,app_a,5.0,10.0,10.0,20.0,none,,as_violating,5290,2258,3032,2238,0,33,-6857,6857,-8378,1521
cfd25_ds2_app_a_qtight_ambexclude,0.25,cfd25,2,app_a,5.0,10.0,10.0,20.0,tight,0.06,exclude,5265,3577,1688,0,2,32,-6882,6882,-7059,177
cfd20_ds2_app_a_qtight_ambexclude,0.2,cfd20,2,app_a,5.0,10.0,10.0,20.0,tight,0.06,exclude,5177,3471,1706,0,2,32,-6970,6970,-7165,195
cfd15_ds2_app_a_qtight_ambexclude,0.15,cfd15,2,app_a,5.0,10.0,10.0,20.0,tight,0.06,exclude,5048,3306,1742,0,2,32,-7099,7099,-7330,231
cfd25_ds3_loose_qnone_ambexclude,0.25,cfd25,3,loose,6.0,12.0,12.0,25.0,none,,exclude,4041,3331,710,0,0,32,-8106,8106,-7305,-801
cfd20_ds3_loose_qnone_ambexclude,0.2,cfd20,3,loose,6.0,12.0,12.0,25.0,none,,exclude,3981,3251,730,0,0,32,-8166,8166,-7385,-781
cfd15_ds3_loose_qnone_ambexclude,0.15,cfd15,3,loose,6.0,12.0,12.0,25.0,none,,exclude,3889,3153,736,0,0,32,-8258,8258,-7483,-775
cfd15_ds2_strict_qtight_ambexclude,0.15,cfd15,2,strict,4.0,8.0,8.0,15.0,tight,0.06,exclude,3836,1843,1993,0,2,32,-8311,8311,-8793,482
cfd25_ds2_strict_qtight_ambexclude,0.25,cfd25,2,strict,4.0,8.0,8.0,15.0,tight,0.06,exclude,3720,1801,1919,0,2,32,-8427,8427,-8835,408
cfd20_ds2_strict_qtight_ambexclude,0.2,cfd20,2,strict,4.0,8.0,8.0,15.0,tight,0.06,exclude,3683,1752,1931,0,2,32,-8464,8464,-8884,420
cfd15_ds3_app_a_qnone_ambexclude,0.15,cfd15,3,app_a,5.0,10.0,10.0,20.0,none,,exclude,3052,2258,794,0,0,32,-9095,9095,-8378,-717
cfd20_ds3_app_a_qnone_ambexclude,0.2,cfd20,3,app_a,5.0,10.0,10.0,20.0,none,,exclude,3052,2268,784,0,0,32,-9095,9095,-8368,-727
cfd25_ds3_strict_qtight_ambas_violating,0.25,cfd25,3,strict,4.0,8.0,8.0,15.0,tight,0.06,as_violating,2999,384,2615,1966,0,33,-9148,9148,-10252,1104
cfd25_ds3_app_a_qtight_ambas_violating,0.25,cfd25,3,app_a,5.0,10.0,10.0,20.0,tight,0.06,as_violating,2999,965,2034,1462,0,33,-9148,9148,-9671,523
cfd15_ds3_loose_qtight_ambas_violating,0.15,cfd15,3,loose,6.0,12.0,12.0,25.0,tight,0.06,as_violating,2999,1538,1461,907,0,33,-9148,9148,-9098,-50
cfd15_ds3_strict_qtight_ambas_violating,0.15,cfd15,3,strict,4.0,8.0,8.0,15.0,tight,0.06,as_violating,2999,429,2570,1887,0,33,-9148,9148,-10207,1059
cfd15_ds3_app_a_qtight_ambas_violating,0.15,cfd15,3,app_a,5.0,10.0,10.0,20.0,tight,0.06,as_violating,2999,973,2026,1433,0,33,-9148,9148,-9663,515
cfd20_ds3_strict_qtight_ambas_violating,0.2,cfd20,3,strict,4.0,8.0,8.0,15.0,tight,0.06,as_violating,2999,390,2609,1948,0,33,-9148,9148,-10246,1098
cfd20_ds3_app_a_qtight_ambas_violating,0.2,cfd20,3,app_a,5.0,10.0,10.0,20.0,tight,0.06,as_violating,2999,991,2008,1426,0,33,-9148,9148,-9645,497
cfd25_ds3_loose_qtight_ambas_violating,0.25,cfd25,3,loose,6.0,12.0,12.0,25.0,tight,0.06,as_violating,2999,1663,1336,801,0,33,-9148,9148,-8973,-175
cfd20_ds3_loose_qtight_ambas_violating,0.2,cfd20,3,loose,6.0,12.0,12.0,25.0,tight,0.06,as_violating,2999,1614,1385,836,0,33,-9148,9148,-9022,-126
cfd25_ds3_app_a_qnone_ambexclude,0.25,cfd25,3,app_a,5.0,10.0,10.0,20.0,none,,exclude,2982,2212,770,0,0,32,-9165,9165,-8424,-741
cfd15_ds3_strict_qnone_ambexclude,0.15,cfd15,3,strict,4.0,8.0,8.0,15.0,none,,exclude,2356,1418,938,0,0,32,-9791,9791,-9218,-573
cfd25_ds3_loose_qtight_ambexclude,0.25,cfd25,3,loose,6.0,12.0,12.0,25.0,tight,0.06,exclude,2198,1663,535,0,0,32,-9949,9949,-8973,-976
cfd20_ds3_strict_qnone_ambexclude,0.2,cfd20,3,strict,4.0,8.0,8.0,15.0,none,,exclude,2188,1288,900,0,0,32,-9959,9959,-9348,-611
cfd20_ds3_loose_qtight_ambexclude,0.2,cfd20,3,loose,6.0,12.0,12.0,25.0,tight,0.06,exclude,2163,1614,549,0,0,32,-9984,9984,-9022,-962
cfd25_ds3_strict_qnone_ambexclude,0.25,cfd25,3,strict,4.0,8.0,8.0,15.0,none,,exclude,2116,1221,895,0,0,32,-10031,10031,-9415,-616
cfd15_ds3_loose_qtight_ambexclude,0.15,cfd15,3,loose,6.0,12.0,12.0,25.0,tight,0.06,exclude,2092,1538,554,0,0,32,-10055,10055,-9098,-957
cfd20_ds3_app_a_qtight_ambexclude,0.2,cfd20,3,app_a,5.0,10.0,10.0,20.0,tight,0.06,exclude,1573,991,582,0,0,32,-10574,10574,-9645,-929
cfd15_ds3_app_a_qtight_ambexclude,0.15,cfd15,3,app_a,5.0,10.0,10.0,20.0,tight,0.06,exclude,1566,973,593,0,0,32,-10581,10581,-9663,-918
cfd25_ds3_app_a_qtight_ambexclude,0.25,cfd25,3,app_a,5.0,10.0,10.0,20.0,tight,0.06,exclude,1537,965,572,0,0,32,-10610,10610,-9671,-939
cfd15_ds3_strict_qtight_ambexclude,0.15,cfd15,3,strict,4.0,8.0,8.0,15.0,tight,0.06,exclude,1112,429,683,0,0,32,-11035,11035,-10207,-828
cfd20_ds3_strict_qtight_ambexclude,0.2,cfd20,3,strict,4.0,8.0,8.0,15.0,tight,0.06,exclude,1051,390,661,0,0,32,-11096,11096,-10246,-850
cfd25_ds3_strict_qtight_ambexclude,0.25,cfd25,3,strict,4.0,8.0,8.0,15.0,tight,0.06,exclude,1033,384,649,0,0,32,-11114,11114,-10252,-862
