run,group,event_index,eventno,evt,stave,stave_idx,amplitude_adc,peak_sample,baseline_adc,pileup_label,secondary_fraction,delay_samples,true_amplitude_adc,true_t50
31,sample_i_calib,21003,412396,8112,B4,1,3050.0,6,7046.0,0,0.0,0,3050.0,4.104319095611572
31,sample_i_calib,21003,412396,8112,B6,2,3370.0,6,6955.0,0,0.0,0,3370.0,4.4964752197265625
31,sample_i_calib,21011,412404,8119,B2,0,6671.5,6,6749.5,0,0.0,0,6671.5,4.309621334075928
31,sample_i_calib,21106,412499,8206,B2,0,6624.0,6,6749.0,0,0.0,0,6624.0,4.539646148681641
31,sample_i_calib,21235,412628,8322,B4,1,3448.5,5,7060.5,0,0.0,0,3448.5,3.544186592102051
31,sample_i_calib,21277,412670,8360,B4,1,2781.5,11,7043.5,0,0.0,0,2781.5,8.812602043151855
31,sample_i_calib,21525,412918,8590,B8,3,3779.5,5,6889.5,0,0.0,0,3779.5,3.495986223220825
31,sample_i_calib,21532,412925,8597,B6,2,3693.0,7,6942.0,0,0.0,0,3693.0,5.184734344482422
31,sample_i_calib,21864,413257,8930,B2,0,4783.5,5,10788.5,0,0.0,0,4783.5,4.114166736602783
31,sample_i_calib,21949,413342,9011,B2,0,2726.5,6,6751.5,0,0.0,0,2726.5,4.353732109069824
31,sample_i_calib,22089,413482,9139,B6,2,2349.5,10,6950.5,0,0.0,0,2349.5,8.044696807861328
31,sample_i_calib,22137,413530,9184,B2,0,3516.5,7,6744.5,0,0.0,0,3516.5,5.453971862792969
31,sample_i_calib,22315,413708,9354,B4,1,5057.5,6,7038.5,0,0.0,0,5057.5,4.318449020385742
31,sample_i_calib,22455,413848,9481,B2,0,2132.0,8,6726.0,0,0.0,0,2132.0,6.030769348144531
31,sample_i_calib,22677,414070,9687,B6,2,2035.5,8,6951.5,0,0.0,0,2035.5,5.982056140899658
31,sample_i_calib,22677,414070,9687,B8,3,2557.5,9,6876.5,0,0.0,0,2557.5,6.184967041015625
31,sample_i_calib,22802,414195,9802,B2,0,5379.5,7,7966.5,0,0.0,0,5379.5,5.405965328216553
31,sample_i_calib,22854,414247,9850,B2,0,6499.5,6,6739.5,0,0.0,0,6499.5,4.501324653625488
