feature,mean_auc_importance,min_auc_importance,max_auc_importance,stability_std
ds_shape_std_norm_s00,0.0022607985774382383,-0.002192982456140233,0.010346720041322435,0.003935189834822046
ds_shape_std_norm_s11,0.002200923054532463,-0.0234375,0.030092592592592587,0.015584248905385052
B4_norm_s03,0.002127210075093688,-0.0078125,0.013888888888888867,0.006326644864810867
ds_shape_mean_norm_s13,0.0019903991104099467,0.0,0.010030864197530853,0.0035873103165156967
B8_norm_s00,0.0019739187112834005,-0.0008595364152891166,0.007716049382716028,0.0027907771753378423
B2_norm_s05,0.0019388012085375741,-4.058112166219208e-05,0.01080246913580242,0.003939339679696997
B6_norm_s11,0.0018038943607524976,-0.0007747933884296315,0.008487654320987637,0.0032014519094692986
B4_norm_s08,0.001755757449410224,-0.0002683529183883371,0.003858024691358014,0.0017068090803639135
B8_norm_s01,0.0017228941659745462,-0.0005771006463526213,0.0055668097882232564,0.002069278809308454
ds_shape_mean_norm_s10,0.0017092502163491147,-0.0078125,0.009259259259259231,0.005582895414508633
ds_shape_std_norm_s07,0.0017007506352811877,-0.0001614987080103547,0.00329488959194231,0.0013429458847559388
B4_norm_s07,0.0016895208477055268,0.0,0.006172839506172839,0.002238532684024961
ds_shape_mean_late_fraction,0.0016598968874845046,-0.0003369544163222271,0.010802469135802434,0.004041783138367458
B8_norm_s11,0.0015990475430204304,-0.0001953007631752962,0.008487654320987623,0.0031019077559036475
ds_shape_std_late_fraction,0.001598358202369078,-0.003784189595000348,0.0046296296296296086,0.002967714922965753
B8_norm_s15,0.0015972005038816636,-0.0006898790682574041,0.007716049382716014,0.0029243264792068297
max_downstream_late_fraction,0.0015438965407095415,-0.003858024691358042,0.009911938965993045,0.005104716530070676
B6_norm_s00,0.0013980886346758672,-0.0010772545398583383,0.003858024691358,0.0016854089820281474
B2_max_down_step,0.0013113291308565536,-0.00023084025854107348,0.006944444444444406,0.002538652623053169
ds_shape_std_norm_s01,0.0013003579903907436,-0.00030435841246650996,0.0030890850981405843,0.001402610575330033
B8_norm_s17,0.0012643247451793996,-0.00026028215392548404,0.0046296296296296086,0.0016834993861933446
B8_norm_s07,0.0012468781058523179,0.0,0.003770390889504552,0.0012216452468052927
B4_peak_sample,0.0012186349030734792,0.0,0.00273421068445405,0.0011450629512808794
ds_shape_std_norm_s14,0.0011546729295446253,-6.658380681812126e-05,0.0027905474430623273,0.0012107628129832055
ds_shape_mean_norm_s16,0.0010980777417123036,-0.002500769467528363,0.0046296296296296224,0.0022024736687628116
ds_shape_std_tail_fraction,0.0010541228620846701,-0.0020390889504461884,0.005020015495867891,0.002213308584997062
ds_shape_mean_norm_s12,0.0010138233960259927,-0.0078125,0.010802469135802434,0.005748572975132534
B8_norm_s13,0.001009253069500084,-0.0007990056818180935,0.005401234567901203,0.0021045798260381065
ds_shape_mean_tail_fraction,0.0009604605972890876,-0.00021791064049576925,0.005401234567901203,0.001978398259818811
B4_norm_s11,0.0009455054661000685,0.0,0.00296244998461076,0.0011912135679000813
B8_norm_s02,0.0009435654844703699,0.0,0.0046296296296296086,0.0016430497728895973
B2_norm_s00,0.000904835056885618,-0.0018467220683286156,0.003858024691358014,0.0018676953812472347
B4_norm_s16,0.0008739711713529866,-0.001577408433363972,0.0027763429752067637,0.0014797038890878758
B6_peak_sample,0.0008661414064059435,-0.00028543957694848743,0.0030864197530864057,0.0011590793242716641
B4_norm_s01,0.0008210055715592976,-0.0007716049382716084,0.002729080431783132,0.0011823377065999
B6_norm_s13,0.0007795077290733718,-0.000901907928718873,0.003858024691358014,0.0015736616153831104
ds_shape_mean_norm_s02,0.0007768926232933784,-0.0005771006463526351,0.004629629629629595,0.0017605097700381844
B6_late_fraction,0.0007597639353076137,-0.0013729910972367365,0.003858024691358,0.001729165451196909
B8_norm_s04,0.0007541366261222994,-0.0015774084333640137,0.0046296296296296086,0.0018871456943261502
B4_norm_s00,0.000751668123974762,-0.001577408433363986,0.0030864197530864057,0.0014230880719348037
B2_norm_s01,0.0007367131919790952,-0.0008464142813172926,0.005401234567901231,0.002094576604326794
B6_norm_s15,0.0007132723270052294,-2.4212293388323203e-05,0.0023148148148148112,0.0008190400907266211
B4_norm_s04,0.0006875206838666964,-0.0006153957902891027,0.0030864197530864057,0.0011713840107821442
B6_norm_s14,0.0006622982704650468,0.0,0.0023148148148147973,0.000798402357382487
B6_norm_s03,0.0006617393915400469,-0.00038473376423504846,0.003858024691358014,0.0014368003908881279
B2_area_over_peak,0.0006457715930165043,0.0,0.0024010524276860262,0.0008713851045096555
B8_norm_s05,0.0006353313983898498,-0.0008623488353218245,0.002314814814814825,0.0011555525625738569
ds_shape_mean_norm_s15,0.0006348073614554579,-0.00024212293388420347,0.0046296296296296086,0.0017678079232409443
B8_norm_s16,0.0006096810004719844,-0.0006540473991997336,0.003086419753086392,0.0012837234172655765
B4_norm_s02,0.0005712174168676662,-7.226268932826463e-05,0.0019236688211758945,0.0007033928933425848
B2_norm_s15,0.0005454026139066383,-9.765038158764117e-05,0.002500769467528585,0.0009546522565046897
B2_norm_s04,0.0005086039996367844,-0.0001352082206597799,0.0030864197530864057,0.00115361652603936
ds_shape_mean_max_down_step,0.0004925666491894104,-0.008487654320987664,0.005021913805697567,0.004276788533504095
B8_norm_s03,0.00048426320949799303,-4.035382231343254e-06,0.001734842951059204,0.0006324023371281325
B2_norm_s13,0.00046897984069990483,-0.0004657172044949115,0.0023148148148148112,0.0010302399758779063
ds_shape_std_norm_s12,0.0004550158983697745,-0.0015432098765432167,0.002326858596369455,0.0014033257855956519
B6_norm_s16,0.0004140656853512749,-0.0003847337642350207,0.0016029543056570172,0.0006810853587270868
B4_norm_s13,0.0004070370595240672,-0.00018764527376020912,0.0013850415512467046,0.0005480992200080949
B4_norm_s15,0.00036817481140619313,-0.0004463923382842794,0.0015432098765432029,0.0006754564580787508
B8_norm_s14,0.0003588483950235822,-0.0018851954447521857,0.0030864197530864057,0.001481578482303185
