method,n,harm_rate,flag_rate,precision,recall,f1,accepted_coverage,accepted_charge_bias_frac,accepted_charge_res68_frac,accepted_timing_abs68_ns,accepted_timing_tail_frac_gt5ns,calibration_ece,precision_ci95,recall_ci95,accepted_coverage_ci95,accepted_charge_res68_frac_ci95,accepted_timing_abs68_ns_ci95,accepted_timing_tail_frac_gt5ns_ci95,flag_rate_ci95,primary_rank,stave
ridge,11910,0.4280436607892527,0.7111670864819479,0.5685950413223141,0.9446841898783837,0.7099056603773585,0.28883291351805207,0.0020837475413615263,0.04552458740432538,0.06442542336614877,0.01366279069767442,0.18808452106768303,"[0.5594390736215872, 0.5886962867510721]","[0.9315856777493606, 0.9636036566434476]","[0.22895218831306147, 0.3202204017335301]","[0.04257544518679045, 0.04789266720824928]","[0.06190478743825184, 0.0676814910618551]","[0.007874125676895306, 0.017436559782664715]","[0.6797795982664699, 0.7710478116869385]",4,B6
gradient_boosted_trees,11910,0.4280436607892527,0.544752308984047,0.7359741060419236,0.9366418203216947,0.8242706715000864,0.45524769101595297,0.011274633305857578,0.046230604832418296,0.08875958158388876,0.04223533751383254,0.12635492923798838,"[0.7201573921165791, 0.7610809162153391]","[0.9262882398034217, 0.9505570112783662]","[0.42165613168552296, 0.47324288333845893]","[0.04423490536709811, 0.049058866020659286]","[0.07968680404786514, 0.10262945127532482]","[0.0338613977193033, 0.05262726203791333]","[0.5267571166615411, 0.578343868314477]",5,B6
cnn_1d,11910,0.4280436607892527,0.7857262804366079,0.5266082496259885,0.9666535896429973,0.6817930271167681,0.2142737195633921,-0.002401025654010982,0.04785677561005166,0.10429147423386954,0.014498432601880877,0.23791638958939576,"[0.5112268697545417, 0.5454050250379626]","[0.9599968071422581, 0.9749881197045815]","[0.1869198680444931, 0.24049686259584097]","[0.04378817761400974, 0.05159078210496405]","[0.08188357106090721, 0.1596539597324425]","[0.009479359459241974, 0.020949624530663322]","[0.759503137404159, 0.8130801319555069]",6,B6
wavegate_resnet,11910,0.4280436607892527,0.6184718723761545,0.615802335052946,0.8897606904668497,0.7278562259306804,0.3815281276238455,0.01109842471517683,0.049215941774646665,0.06599358397207197,0.005501760563380281,0.17926104142249263,"[0.6067366292570325, 0.6293757224621157]","[0.818254904829436, 0.9440637372611047]","[0.30965086689082344, 0.4498712458077279]","[0.04372577071200935, 0.05806077579530662]","[0.06391809355701072, 0.07044765667637912]","[0.003467547055414501, 0.007821306350042337]","[0.550128754192272, 0.6903491331091766]",7,B6
mlp,4777,0.34205568348335774,0.3747121624450492,0.829050279329609,0.9082007343941249,0.866822429906542,0.6252878375549508,-0.0046994097676572215,0.05708807532759031,0.13444564741957124,0.08503515232674924,0.057455138927633514,"[0.81277478469464, 0.8575815035471299]","[0.8903454606141522, 0.9251539726790664]","[0.5961205889158857, 0.6458346015934886]","[0.05268407701854984, 0.06069196467623807]","[0.10485683012683154, 0.19568371680202007]","[0.07565426833884277, 0.09450126634246515]","[0.3541653984065114, 0.4038794110841143]",1,B8
wavegate_resnet,4777,0.34205568348335774,0.455725350638476,0.4937988056959118,0.6578947368421053,0.564156389399108,0.5442746493615239,-0.028408124725219176,0.06582665858163401,0.060634316212083254,0.013461538461538462,0.198217230648257,"[0.4636635488912193, 0.5489967689890171]","[0.6254318307104739, 0.7042096426179171]","[0.48620869122446764, 0.5926278248433592]","[0.0627625004635084, 0.06833094647687352]","[0.05807429889895318, 0.06380882663651839]","[0.009727469182052638, 0.01751709806397305]","[0.40737217515664087, 0.5137913087755324]",2,B8
traditional_rule,4777,0.34205568348335774,0.2311073895750471,0.6431159420289855,0.43451652386780903,0.5186267348429511,0.7688926104249529,-0.02558317837686188,0.07195184644710502,0.07387219244326063,0.018785733732643615,0.03694787523550347,"[0.6226892050094682, 0.6728298481221009]","[0.4194413695103963, 0.456655685826935]","[0.7455023658043245, 0.7825639445882215]","[0.06886463678743973, 0.0764646053169611]","[0.06976258970990733, 0.07984502949539234]","[0.016866576253433727, 0.020095045408746567]","[0.21743605541177843, 0.2544976341956755]",3,B8
shuffled_target_gbt,4777,0.34205568348335774,0.0,0.0,0.0,0.0,1.0,-0.004178519191033758,0.16507741817898836,0.16234862907304187,0.13250994347917103,0.011292991330810971,"[0.0, 0.0]","[0.0, 0.0]","[1.0, 1.0]","[0.1323687009965073, 0.202642391850197]","[0.1364620184198415, 0.19995195420351777]","[0.12517450859000154, 0.13660801375613502]","[0.0, 0.0]",4,B8
gradient_boosted_trees,4777,0.34205568348335774,0.5045007326774126,0.6,0.8849449204406364,0.71513353115727,0.4954992673225874,-0.015511380767457334,0.05727567215031764,0.10822989450804901,0.04140261934938741,0.1727942467021168,"[0.567198363211452, 0.6438256322107373]","[0.8701702022272323, 0.8951903565561891]","[0.4693426014956073, 0.5055375663012533]","[0.05374929779857566, 0.06033487138216691]","[0.089489394401213, 0.1441049798156537]","[0.03506698821007503, 0.050760869565217394]","[0.49446243369874676, 0.5306573985043926]",5,B8
ridge,4777,0.34205568348335774,0.52501570023027,0.4302232854864434,0.6603427172582619,0.5210043457267021,0.47498429976972995,-0.03221928560776543,0.07176743389688427,0.062114519462115825,0.0246804759806082,0.20237820177977123,"[0.3942719647135246, 0.4787127528253063]","[0.6279553170390578, 0.6998084677419355]","[0.4287809476607542, 0.5039552662434732]","[0.06994509409373223, 0.07383277343525516]","[0.0601998998820878, 0.06522872807084462]","[0.020788507853259527, 0.028532711161387628]","[0.4960447337565268, 0.5712190523392459]",6,B8
cnn_1d,4777,0.34205568348335774,0.6185890726397321,0.40135363790186124,0.7258261933904528,0.5168882109392025,0.38141092736026794,-0.03268029022567658,0.07540325319343034,0.07697717801816667,0.027442371020856202,0.2569714377616486,"[0.37801005621085504, 0.44693164949004105]","[0.7103329619618616, 0.761099824474015]","[0.33728914373515484, 0.4085821673534105]","[0.07219248747262026, 0.0783293648406024]","[0.06974051346402632, 0.09627175533718901]","[0.021133323315957398, 0.0350324889780197]","[0.5914178326465894, 0.662710856264845]",7,B8
