method,n,harm_rate,flag_rate,precision,recall,f1,accepted_coverage,accepted_charge_bias_frac,accepted_charge_res68_frac,accepted_timing_abs68_ns,accepted_timing_tail_frac_gt5ns,calibration_ece,precision_ci95,recall_ci95,accepted_coverage_ci95,accepted_charge_res68_frac_ci95,accepted_timing_abs68_ns_ci95,accepted_timing_tail_frac_gt5ns_ci95,flag_rate_ci95,stave,run
shuffled_target_gbt,4527,0.35409763640379943,0.0,0.0,0.0,0.0,1.0,0.0027707700005630497,0.17162250129216125,0.27754632630336895,0.14910536779324055,0.006120019027761473,"[0.0, 0.0]","[0.0, 0.0]","[1.0, 1.0]","[0.17162250129216125, 0.17162250129216125]","[0.27754632630336895, 0.27754632630336895]","[0.14910536779324055, 0.14910536779324055]","[0.0, 0.0]",B4,59
traditional_rule,4040,0.3574257425742574,0.2457920792079208,0.67472306143001,0.46398891966759004,0.5498563807960607,0.7542079207920792,-0.02055535389649234,0.06922765270477255,0.07927749417360846,0.02461437479488021,0.03892326732673265,"[0.67472306143001, 0.67472306143001]","[0.46398891966759004, 0.46398891966759004]","[0.7542079207920792, 0.7542079207920792]","[0.06922765270477255, 0.06922765270477255]","[0.07927749417360846, 0.07927749417360846]","[0.02461437479488021, 0.02461437479488021]","[0.2457920792079208, 0.2457920792079208]",B4,60
ridge,4040,0.3574257425742574,0.5846534653465346,0.3983911939034716,0.6516620498614959,0.4944823962165003,0.4153465346534653,-0.03891480079202844,0.07563710420640343,0.08243054450486824,0.029797377830750895,0.19131630113956954,"[0.3983911939034716, 0.3983911939034716]","[0.6516620498614959, 0.6516620498614959]","[0.4153465346534653, 0.4153465346534653]","[0.07563710420640343, 0.07563710420640343]","[0.08243054450486824, 0.08243054450486824]","[0.029797377830750895, 0.029797377830750895]","[0.5846534653465346, 0.5846534653465346]",B4,60
gradient_boosted_trees,4040,0.3574257425742574,0.5188118811881188,0.5954198473282443,0.8642659279778393,0.7050847457627119,0.48118811881188117,-0.01753920713561695,0.058784461219072284,0.2064184194450084,0.046296296296296294,0.15971237738624675,"[0.5954198473282443, 0.5954198473282443]","[0.8642659279778393, 0.8642659279778393]","[0.48118811881188117, 0.48118811881188117]","[0.058784461219072284, 0.058784461219072284]","[0.2064184194450084, 0.2064184194450084]","[0.046296296296296294, 0.046296296296296294]","[0.5188118811881188, 0.5188118811881188]",B4,60
mlp,4040,0.3574257425742574,0.3987623762376238,0.8131595282433272,0.907202216066482,0.8576104746317512,0.6012376237623762,-0.0006133590784402527,0.05669495071781304,0.3652189512514472,0.0893371757925072,0.06383450837412753,"[0.8131595282433272, 0.8131595282433272]","[0.907202216066482, 0.907202216066482]","[0.6012376237623762, 0.6012376237623762]","[0.05669495071781304, 0.05669495071781304]","[0.3652189512514472, 0.3652189512514472]","[0.0893371757925072, 0.0893371757925072]","[0.3987623762376238, 0.3987623762376238]",B4,60
cnn_1d,4040,0.3574257425742574,0.6037128712871287,0.3890938909389094,0.657202216066482,0.48879732165851153,0.3962871287128713,-0.04067251084015553,0.07579689628163921,0.09902740937223342,0.029981261711430358,0.25364877920007645,"[0.3890938909389094, 0.3890938909389094]","[0.657202216066482, 0.657202216066482]","[0.3962871287128713, 0.3962871287128713]","[0.07579689628163921, 0.07579689628163921]","[0.09902740937223342, 0.09902740937223342]","[0.029981261711430358, 0.029981261711430358]","[0.6037128712871287, 0.6037128712871287]",B4,60
wavegate_resnet,4040,0.3574257425742574,0.5361386138613862,0.4159741458910434,0.6239612188365651,0.4991689750692522,0.4638613861386139,-0.03799806211225902,0.07317368390670662,0.07664360994225242,0.0144076840981857,0.23461727950852226,"[0.4159741458910434, 0.4159741458910434]","[0.6239612188365651, 0.6239612188365651]","[0.4638613861386139, 0.4638613861386139]","[0.07317368390670662, 0.07317368390670662]","[0.07664360994225242, 0.07664360994225242]","[0.0144076840981857, 0.0144076840981857]","[0.5361386138613862, 0.5361386138613862]",B4,60
shuffled_target_gbt,4040,0.3574257425742574,0.0,0.0,0.0,0.0,1.0,0.0028790156534226883,0.15017604725255507,0.3861977480199919,0.1537128712871287,0.005454631513036962,"[0.0, 0.0]","[0.0, 0.0]","[1.0, 1.0]","[0.15017604725255507, 0.15017604725255507]","[0.3861977480199919, 0.3861977480199919]","[0.1537128712871287, 0.1537128712871287]","[0.0, 0.0]",B4,60
traditional_rule,4401,0.4383094751192911,0.22926607589184275,0.5074331020812686,0.2654224987039917,0.34853641933287954,0.7707339241081572,-0.04860300418958859,0.10286967489121325,0.08352419633856745,0.0347877358490566,0.17314246762099522,"[0.5074331020812686, 0.5074331020812686]","[0.2654224987039917, 0.2654224987039917]","[0.7707339241081572, 0.7707339241081572]","[0.10286967489121325, 0.10286967489121325]","[0.08352419633856745, 0.08352419633856745]","[0.0347877358490566, 0.0347877358490566]","[0.22926607589184275, 0.22926607589184275]",B4,61
ridge,4401,0.4383094751192911,0.631447398318564,0.3566030946383591,0.5137376879212027,0.42098555649957514,0.36855260168143605,-0.07791250280480486,0.11210807131211681,0.07267788617161713,0.036374845869297165,0.215977450208457,"[0.3566030946383591, 0.3566030946383591]","[0.5137376879212027, 0.5137376879212027]","[0.36855260168143605, 0.36855260168143605]","[0.11210807131211681, 0.11210807131211681]","[0.07267788617161713, 0.07267788617161713]","[0.036374845869297165, 0.036374845869297165]","[0.631447398318564, 0.631447398318564]",B4,61
gradient_boosted_trees,4401,0.4383094751192911,0.6523517382413088,0.5917798676419366,0.8807672369103162,0.7079166666666667,0.3476482617586912,-0.02371075246023044,0.08408513608988913,1.143172314378935,0.09869281045751634,0.1732126562450874,"[0.5917798676419366, 0.5917798676419366]","[0.8807672369103162, 0.8807672369103162]","[0.3476482617586912, 0.3476482617586912]","[0.08408513608988913, 0.08408513608988913]","[1.143172314378935, 1.143172314378935]","[0.09869281045751634, 0.09869281045751634]","[0.6523517382413088, 0.6523517382413088]",B4,61
mlp,4401,0.4383094751192911,0.4437627811860941,0.9001536098310292,0.911353032659409,0.9057187017001546,0.556237218813906,-0.011280150159531023,0.08017498246147622,1.1583025967834766,0.1670751633986928,0.04384905534241296,"[0.9001536098310292, 0.9001536098310292]","[0.911353032659409, 0.911353032659409]","[0.556237218813906, 0.556237218813906]","[0.08017498246147622, 0.08017498246147622]","[1.1583025967834766, 1.1583025967834766]","[0.1670751633986928, 0.1670751633986928]","[0.4437627811860941, 0.4437627811860941]",B4,61
cnn_1d,4401,0.4383094751192911,0.6880254487616451,0.3741743725231176,0.5873509590461379,0.45713132943312484,0.31197455123835494,-0.07981213549188265,0.11415681751942715,0.09924333743419582,0.03641660597232338,0.328581077170911,"[0.3741743725231176, 0.3741743725231176]","[0.5873509590461379, 0.5873509590461379]","[0.31197455123835494, 0.31197455123835494]","[0.11415681751942715, 0.11415681751942715]","[0.09924333743419582, 0.09924333743419582]","[0.03641660597232338, 0.03641660597232338]","[0.6880254487616451, 0.6880254487616451]",B4,61
wavegate_resnet,4401,0.4383094751192911,0.5830493069756874,0.3807482462977397,0.5064800414722654,0.43470522803114575,0.41695069302431265,-0.07135397679103309,0.10492822279890787,0.05853473727229319,0.019618528610354225,0.3007240947708138,"[0.3807482462977397, 0.3807482462977397]","[0.5064800414722654, 0.5064800414722654]","[0.41695069302431265, 0.41695069302431265]","[0.10492822279890787, 0.10492822279890787]","[0.05853473727229319, 0.05853473727229319]","[0.019618528610354225, 0.019618528610354225]","[0.5830493069756874, 0.5830493069756874]",B4,61
shuffled_target_gbt,4401,0.4383094751192911,0.0,0.0,0.0,0.0,1.0,-0.028941951226606515,0.1474133832840853,0.2836797587418012,0.15882753919563736,0.08242710246318834,"[0.0, 0.0]","[0.0, 0.0]","[1.0, 1.0]","[0.1474133832840853, 0.1474133832840853]","[0.2836797587418012, 0.2836797587418012]","[0.15882753919563736, 0.15882753919563736]","[0.0, 0.0]",B4,61
traditional_rule,4183,0.3554864929476452,0.22926129572077455,0.6444212721584984,0.4156018829858776,0.5053147996729355,0.7707387042792254,-0.017910367194801567,0.07327429144484035,0.08669011686800882,0.02698511166253102,0.0475137461152283,"[0.6444212721584984, 0.6444212721584984]","[0.4156018829858776, 0.4156018829858776]","[0.7707387042792254, 0.7707387042792254]","[0.07327429144484035, 0.07327429144484035]","[0.08669011686800882, 0.08669011686800882]","[0.02698511166253102, 0.02698511166253102]","[0.22926129572077455, 0.22926129572077455]",B4,62
ridge,4183,0.3554864929476452,0.6399713124551757,0.3884945834889802,0.699394754539341,0.499519692603266,0.3600286875448243,-0.0404172061624058,0.07718811156304851,0.08363060668091798,0.02656042496679947,0.1940426363198061,"[0.3884945834889802, 0.3884945834889802]","[0.699394754539341, 0.699394754539341]","[0.3600286875448243, 0.3600286875448243]","[0.07718811156304851, 0.07718811156304851]","[0.08363060668091798, 0.08363060668091798]","[0.02656042496679947, 0.02656042496679947]","[0.6399713124551757, 0.6399713124551757]",B4,62
gradient_boosted_trees,4183,0.3554864929476452,0.519244561319627,0.5883977900552486,0.859448554135844,0.698551516807871,0.48075543868037296,-0.013894440099568896,0.06197786797350871,0.20170649911392252,0.058677274987568376,0.16661070014092133,"[0.5883977900552486, 0.5883977900552486]","[0.859448554135844, 0.859448554135844]","[0.48075543868037296, 0.48075543868037296]","[0.06197786797350871, 0.06197786797350871]","[0.20170649911392252, 0.20170649911392252]","[0.058677274987568376, 0.058677274987568376]","[0.519244561319627, 0.519244561319627]",B4,62
mlp,4183,0.3554864929476452,0.4004303131723643,0.8197014925373134,0.9233355749831876,0.868437697659709,0.5995696868276357,0.0026543659200790864,0.05585626416885084,0.30046097378065406,0.08532695374800638,0.059533649636596256,"[0.8197014925373134, 0.8197014925373134]","[0.9233355749831876, 0.9233355749831876]","[0.5995696868276357, 0.5995696868276357]","[0.05585626416885084, 0.05585626416885084]","[0.30046097378065406, 0.30046097378065406]","[0.08532695374800638, 0.08532695374800638]","[0.4004303131723643, 0.4004303131723643]",B4,62
cnn_1d,4183,0.3554864929476452,0.6808510638297872,0.37043539325842695,0.7094821788836584,0.4867358708189158,0.3191489361702128,-0.04325256260162267,0.07853739185317833,0.08279277055267918,0.021722846441947566,0.2713689961843148,"[0.37043539325842695, 0.37043539325842695]","[0.7094821788836584, 0.7094821788836584]","[0.3191489361702128, 0.3191489361702128]","[0.07853739185317833, 0.07853739185317833]","[0.08279277055267918, 0.08279277055267918]","[0.021722846441947566, 0.021722846441947566]","[0.6808510638297872, 0.6808510638297872]",B4,62
wavegate_resnet,4183,0.3554864929476452,0.44609132201769064,0.5187566988210075,0.6509751176866173,0.5773933790635252,0.5539086779823094,-0.021044161276558032,0.06795537578076494,0.07355569183072135,0.012516184721622789,0.17872540844009244,"[0.5187566988210075, 0.5187566988210075]","[0.6509751176866173, 0.6509751176866173]","[0.5539086779823094, 0.5539086779823094]","[0.06795537578076494, 0.06795537578076494]","[0.07355569183072135, 0.07355569183072135]","[0.012516184721622789, 0.012516184721622789]","[0.44609132201769064, 0.44609132201769064]",B4,62
shuffled_target_gbt,4183,0.3554864929476452,0.0,0.0,0.0,0.0,1.0,0.0040302644469678225,0.1652544385804421,0.3330333186130448,0.15013148458044465,0.006724000012003108,"[0.0, 0.0]","[0.0, 0.0]","[1.0, 1.0]","[0.1652544385804421, 0.1652544385804421]","[0.3330333186130448, 0.3330333186130448]","[0.15013148458044465, 0.15013148458044465]","[0.0, 0.0]",B4,62
traditional_rule,2645,0.38147448015122876,0.23478260869565218,0.6328502415458938,0.38949454905847375,0.48220858895705526,0.7652173913043478,-0.025173389422149167,0.08065161679774586,0.08008191776706497,0.024703557312252964,0.07646502835538754,"[0.6328502415458938, 0.6328502415458938]","[0.38949454905847375, 0.38949454905847375]","[0.7652173913043478, 0.7652173913043478]","[0.08065161679774586, 0.08065161679774586]","[0.08008191776706497, 0.08008191776706497]","[0.024703557312252964, 0.024703557312252964]","[0.23478260869565218, 0.23478260869565218]",B4,63
ridge,2645,0.38147448015122876,0.6805293005671077,0.41888888888888887,0.7472745292368682,0.5368458526165895,0.31947069943289225,-0.04055415098813425,0.07730665158098132,0.05572347845761019,0.02485207100591716,0.17306605070998404,"[0.41888888888888887, 0.41888888888888887]","[0.7472745292368682, 0.7472745292368682]","[0.31947069943289225, 0.31947069943289225]","[0.07730665158098132, 0.07730665158098132]","[0.05572347845761019, 0.05572347845761019]","[0.02485207100591716, 0.02485207100591716]","[0.6805293005671077, 0.6805293005671077]",B4,63
gradient_boosted_trees,2645,0.38147448015122876,0.547069943289225,0.6233586731167934,0.8939544103072349,0.734527687296417,0.452930056710775,-0.014262831698275587,0.06076608998302472,0.2468670975774336,0.05926544240400668,0.16403107165797604,"[0.6233586731167934, 0.6233586731167934]","[0.8939544103072349, 0.8939544103072349]","[0.452930056710775, 0.452930056710775]","[0.06076608998302472, 0.06076608998302472]","[0.2468670975774336, 0.2468670975774336]","[0.05926544240400668, 0.05926544240400668]","[0.547069943289225, 0.547069943289225]",B4,63
mlp,2645,0.38147448015122876,0.42117202268431003,0.8518850987432675,0.9405351833498513,0.8940178991992463,0.57882797731569,0.002382765586029435,0.05477728171755278,0.22043481839300294,0.07838014369693011,0.05046552877016401,"[0.8518850987432675, 0.8518850987432675]","[0.9405351833498513, 0.9405351833498513]","[0.57882797731569, 0.57882797731569]","[0.05477728171755278, 0.05477728171755278]","[0.22043481839300294, 0.22043481839300294]","[0.07838014369693011, 0.07838014369693011]","[0.42117202268431003, 0.42117202268431003]",B4,63
cnn_1d,2645,0.38147448015122876,0.6684310018903592,0.42138009049773756,0.7383548067393458,0.5365502340655384,0.33156899810964086,-0.040311664268442314,0.07804660146969042,0.06187850023865316,0.03078677309007982,0.2757894406457817,"[0.42138009049773756, 0.42138009049773756]","[0.7383548067393458, 0.7383548067393458]","[0.33156899810964086, 0.33156899810964086]","[0.07804660146969042, 0.07804660146969042]","[0.06187850023865316, 0.06187850023865316]","[0.03078677309007982, 0.03078677309007982]","[0.6684310018903592, 0.6684310018903592]",B4,63
wavegate_resnet,2645,0.38147448015122876,0.6427221172022685,0.44058823529411767,0.7423191278493558,0.5529715762273902,0.3572778827977316,-0.036304610782393526,0.07897716764231577,0.08306256704866179,0.02433862433862434,0.23036670910726198,"[0.44058823529411767, 0.44058823529411767]","[0.7423191278493558, 0.7423191278493558]","[0.3572778827977316, 0.3572778827977316]","[0.07897716764231577, 0.07897716764231577]","[0.08306256704866179, 0.08306256704866179]","[0.02433862433862434, 0.02433862433862434]","[0.6427221172022685, 0.6427221172022685]",B4,63
shuffled_target_gbt,2645,0.38147448015122876,0.0,0.0,0.0,0.0,1.0,0.0015684371692945465,0.20481412322189615,0.26462849513388265,0.1383742911153119,0.03778930809343575,"[0.0, 0.0]","[0.0, 0.0]","[1.0, 1.0]","[0.20481412322189615, 0.20481412322189615]","[0.26462849513388265, 0.26462849513388265]","[0.1383742911153119, 0.1383742911153119]","[0.0, 0.0]",B4,63
traditional_rule,1689,0.428656009473061,0.2522202486678508,0.636150234741784,0.3743093922651934,0.47130434782608693,0.7477797513321492,-0.02514580694382211,0.09242911063083024,0.08627433152073223,0.038796516231195566,0.12048549437537004,"[0.636150234741784, 0.636150234741784]","[0.3743093922651934, 0.3743093922651934]","[0.7477797513321492, 0.7477797513321492]","[0.09242911063083024, 0.09242911063083024]","[0.08627433152073223, 0.08627433152073223]","[0.038796516231195566, 0.038796516231195566]","[0.2522202486678508, 0.2522202486678508]",B4,64
ridge,1689,0.428656009473061,0.7164002368265245,0.4636363636363636,0.7748618784530387,0.580144777662875,0.2835997631734754,-0.041150034494960894,0.07868966821232017,0.06204535043437519,0.022964509394572025,0.14058489337907593,"[0.4636363636363636, 0.4636363636363636]","[0.7748618784530387, 0.7748618784530387]","[0.2835997631734754, 0.2835997631734754]","[0.07868966821232017, 0.07868966821232017]","[0.06204535043437519, 0.06204535043437519]","[0.022964509394572025, 0.022964509394572025]","[0.7164002368265245, 0.7164002368265245]",B4,64
gradient_boosted_trees,1689,0.428656009473061,0.5873297809354647,0.6491935483870968,0.8895027624309392,0.7505827505827505,0.4126702190645352,-0.017180948779342366,0.06052224771684954,0.16578816398341084,0.06886657101865136,0.15209840840906408,"[0.6491935483870968, 0.6491935483870968]","[0.8895027624309392, 0.8895027624309392]","[0.4126702190645352, 0.4126702190645352]","[0.06052224771684954, 0.06052224771684954]","[0.16578816398341084, 0.16578816398341084]","[0.06886657101865136, 0.06886657101865136]","[0.5873297809354647, 0.5873297809354647]",B4,64
mlp,1689,0.428656009473061,0.42095914742451157,0.8973277074542897,0.8812154696132597,0.8891986062717769,0.5790408525754884,0.0008200913471474312,0.06416137787641729,0.3007623973094542,0.11554192229038855,0.042685176966002165,"[0.8973277074542897, 0.8973277074542897]","[0.8812154696132597, 0.8812154696132597]","[0.5790408525754884, 0.5790408525754884]","[0.06416137787641729, 0.06416137787641729]","[0.3007623973094542, 0.3007623973094542]","[0.11554192229038855, 0.11554192229038855]","[0.42095914742451157, 0.42095914742451157]",B4,64
cnn_1d,1689,0.428656009473061,0.7347542924807579,0.45769540692989524,0.7845303867403315,0.578117048346056,0.26524570751924215,-0.042480509246480815,0.0783925536274613,0.0643586820833275,0.026785714285714284,0.2653634054084513,"[0.45769540692989524, 0.45769540692989524]","[0.7845303867403315, 0.7845303867403315]","[0.26524570751924215, 0.26524570751924215]","[0.0783925536274613, 0.0783925536274613]","[0.0643586820833275, 0.0643586820833275]","[0.026785714285714284, 0.026785714285714284]","[0.7347542924807579, 0.7347542924807579]",B4,64
wavegate_resnet,1689,0.428656009473061,0.6631142687981054,0.4928571428571429,0.7624309392265194,0.5986984815618221,0.33688573120189463,-0.036340865877403726,0.07212893845568384,0.056531085258662586,0.01054481546572935,0.23476668030338976,"[0.4928571428571429, 0.4928571428571429]","[0.7624309392265194, 0.7624309392265194]","[0.33688573120189463, 0.33688573120189463]","[0.07212893845568384, 0.07212893845568384]","[0.056531085258662586, 0.056531085258662586]","[0.01054481546572935, 0.01054481546572935]","[0.6631142687981054, 0.6631142687981054]",B4,64
shuffled_target_gbt,1689,0.428656009473061,0.0,0.0,0.0,0.0,1.0,0.0013646340402652933,0.2594619183599838,0.23501223043630387,0.14742451154529307,0.07600338289815706,"[0.0, 0.0]","[0.0, 0.0]","[1.0, 1.0]","[0.2594619183599838, 0.2594619183599838]","[0.23501223043630387, 0.23501223043630387]","[0.14742451154529307, 0.14742451154529307]","[0.0, 0.0]",B4,64
traditional_rule,842,0.4679334916864608,0.32779097387173395,0.6956521739130435,0.4873096446700508,0.5731343283582089,0.672209026128266,-0.029766231737586336,0.09726066425573597,0.11621835948549526,0.038869257950530034,0.1445961995249406,"[0.6956521739130435, 0.6956521739130435]","[0.4873096446700508, 0.4873096446700508]","[0.672209026128266, 0.672209026128266]","[0.09726066425573597, 0.09726066425573597]","[0.11621835948549526, 0.11621835948549526]","[0.038869257950530034, 0.038869257950530034]","[0.32779097387173395, 0.32779097387173395]",B4,65
ridge,842,0.4679334916864608,0.7185273159144893,0.515702479338843,0.7918781725888325,0.6246246246246246,0.2814726840855107,-0.04205735616168437,0.07742931382566749,0.06279798718273841,0.02531645569620253,0.14258475042437146,"[0.515702479338843, 0.515702479338843]","[0.7918781725888325, 0.7918781725888325]","[0.2814726840855107, 0.2814726840855107]","[0.07742931382566749, 0.07742931382566749]","[0.06279798718273841, 0.06279798718273841]","[0.02531645569620253, 0.02531645569620253]","[0.7185273159144893, 0.7185273159144893]",B4,65
gradient_boosted_trees,842,0.4679334916864608,0.6235154394299287,0.6819047619047619,0.9086294416243654,0.779107725788901,0.37648456057007124,-0.011725552238421482,0.060081426971268295,0.25172667259081427,0.050473186119873815,0.14369243520751626,"[0.6819047619047619, 0.6819047619047619]","[0.9086294416243654, 0.9086294416243654]","[0.37648456057007124, 0.37648456057007124]","[0.060081426971268295, 0.060081426971268295]","[0.25172667259081427, 0.25172667259081427]","[0.050473186119873815, 0.050473186119873815]","[0.6235154394299287, 0.6235154394299287]",B4,65
mlp,842,0.4679334916864608,0.5190023752969121,0.8718535469107551,0.9670050761421319,0.9169675090252707,0.4809976247030879,0.001273476028468272,0.05710011721693804,0.5568749452486285,0.10617283950617284,0.04713238088559041,"[0.8718535469107551, 0.8718535469107551]","[0.9670050761421319, 0.9670050761421319]","[0.4809976247030879, 0.4809976247030879]","[0.05710011721693804, 0.05710011721693804]","[0.5568749452486285, 0.5568749452486285]","[0.10617283950617284, 0.10617283950617284]","[0.5190023752969121, 0.5190023752969121]",B4,65
